Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.39,2.39,2.12,2.31,2444118.0,0.0,1.0,2.39,2.39,2.12,2.31,2444118.0
2020-01-03,2.18,2.3,2.16,2.22,1511982.0,0.0,1.0,2.18,2.3,2.16,2.22,1511982.0
2020-01-06,2.16,2.18,2.0,2.07,2460860.0,0.0,1.0,2.16,2.18,2.0,2.07,2460860.0
2020-01-07,1.9,1.95,1.72,1.78,3506161.0,0.0,1.0,1.9,1.95,1.72,1.78,3506161.0
2020-01-08,1.75,1.76,1.62,1.64,2364068.0,0.0,1.0,1.75,1.76,1.62,1.64,2364068.0
2020-01-09,1.66,1.94,1.65,1.91,3468913.0,0.0,1.0,1.66,1.94,1.65,1.91,3468913.0
2020-01-10,1.56,1.59,1.37,1.46,18521717.0,0.0,1.0,1.56,1.59,1.37,1.46,18521717.0
2020-01-13,1.47,1.48,1.26,1.3,7772103.0,0.0,1.0,1.47,1.48,1.26,1.3,7772103.0
2020-01-14,1.3,1.42,1.28,1.33,5159631.0,0.0,1.0,1.3,1.42,1.28,1.33,5159631.0
2020-01-15,1.3,1.4,1.3,1.4,3310606.0,0.0,1.0,1.3,1.4,1.3,1.4,3310606.0
2020-01-16,1.38,1.47,1.38,1.47,3173744.0,0.0,1.0,1.38,1.47,1.38,1.47,3173744.0
2020-01-17,1.46,1.58,1.45,1.49,5802191.0,0.0,1.0,1.46,1.58,1.45,1.49,5802191.0
2020-01-21,1.49,1.67,1.49,1.56,6659830.0,0.0,1.0,1.49,1.67,1.49,1.56,6659830.0
2020-01-22,1.56,1.62,1.52,1.58,2818384.0,0.0,1.0,1.56,1.62,1.52,1.58,2818384.0
2020-01-23,1.59,1.59,1.46,1.51,2543076.0,0.0,1.0,1.59,1.59,1.46,1.51,2543076.0
2020-01-24,1.57,1.58,1.47,1.47,3420718.0,0.0,1.0,1.57,1.58,1.47,1.47,3420718.0
2020-01-27,1.45,1.55,1.41,1.52,2457558.0,0.0,1.0,1.45,1.55,1.41,1.52,2457558.0
2020-01-28,1.53,1.56,1.43,1.49,2083666.0,0.0,1.0,1.53,1.56,1.43,1.49,2083666.0
2020-01-29,1.47,1.52,1.41,1.44,2176970.0,0.0,1.0,1.47,1.52,1.41,1.44,2176970.0
2020-01-30,1.42,1.44,1.34,1.38,2461189.0,0.0,1.0,1.42,1.44,1.34,1.38,2461189.0
2020-01-31,1.35,1.37,1.31,1.35,2596498.0,0.0,1.0,1.35,1.37,1.31,1.35,2596498.0
2020-02-03,1.37,1.41,1.325,1.41,1900050.0,0.0,1.0,1.37,1.41,1.325,1.41,1900050.0
2020-02-04,1.4,1.45,1.36,1.41,1550985.0,0.0,1.0,1.4,1.45,1.36,1.41,1550985.0
2020-02-05,1.4,1.4375,1.34,1.37,1414272.0,0.0,1.0,1.4,1.4375,1.34,1.37,1414272.0
2020-02-06,1.37,1.39,1.35,1.39,789744.0,0.0,1.0,1.37,1.39,1.35,1.39,789744.0
2020-02-07,1.39,1.39,1.35,1.36,950812.0,0.0,1.0,1.39,1.39,1.35,1.36,950812.0
2020-02-10,1.35,1.37,1.33,1.35,911345.0,0.0,1.0,1.35,1.37,1.33,1.35,911345.0
2020-02-11,1.33,1.35,1.21,1.25,3646816.0,0.0,1.0,1.33,1.35,1.21,1.25,3646816.0
2020-02-12,1.24,1.26,1.17,1.21,2310646.0,0.0,1.0,1.24,1.26,1.17,1.21,2310646.0
2020-02-13,1.22,1.32,1.2,1.27,2403520.0,0.0,1.0,1.22,1.32,1.2,1.27,2403520.0
2020-02-14,1.31,1.33,1.28,1.3,1154906.0,0.0,1.0,1.31,1.33,1.28,1.3,1154906.0
2020-02-18,1.32,1.34,1.28,1.3,1065266.0,0.0,1.0,1.32,1.34,1.28,1.3,1065266.0
2020-02-19,1.35,1.36,1.28,1.29,2142018.0,0.0,1.0,1.35,1.36,1.28,1.29,2142018.0
2020-02-20,1.3,1.31,1.235,1.25,1830624.0,0.0,1.0,1.3,1.31,1.235,1.25,1830624.0
2020-02-21,1.23,1.26,1.18,1.19,2496094.0,0.0,1.0,1.23,1.26,1.18,1.19,2496094.0
2020-02-24,1.14,1.2,1.1,1.19,1922200.0,0.0,1.0,1.14,1.2,1.1,1.19,1922200.0
2020-02-25,1.21,1.21,1.12,1.13,1407022.0,0.0,1.0,1.21,1.21,1.12,1.13,1407022.0
2020-02-26,1.12,1.12,1.045,1.08,2272629.0,0.0,1.0,1.12,1.12,1.045,1.08,2272629.0
2020-02-27,1.01,1.06,0.98,1.04,2871990.0,0.0,1.0,1.01,1.06,0.98,1.04,2871990.0
2020-02-28,0.99,1.03,0.9623,1.0,1736658.0,0.0,1.0,0.99,1.03,0.9623,1.0,1736658.0
2020-03-02,1.01,1.12,0.9983,1.11,1859213.0,0.0,1.0,1.01,1.12,0.9983,1.11,1859213.0
2020-03-03,1.15,1.21,1.05,1.08,1607633.0,0.0,1.0,1.15,1.21,1.05,1.08,1607633.0
2020-03-04,1.17,1.18,1.08,1.1,1673344.0,0.0,1.0,1.17,1.18,1.08,1.1,1673344.0
2020-03-05,1.12,1.14,1.075,1.09,1195959.0,0.0,1.0,1.12,1.14,1.075,1.09,1195959.0
2020-03-06,1.05,1.09,1.03,1.06,1106581.0,0.0,1.0,1.05,1.09,1.03,1.06,1106581.0
2020-03-09,0.98,1.01,0.9,0.9399,1574908.0,0.0,1.0,0.98,1.01,0.9,0.9399,1574908.0
2020-03-10,0.9915,0.9915,0.8333,0.9055,1908562.0,0.0,1.0,0.9915,0.9915,0.8333,0.9055,1908562.0
2020-03-11,0.8726,0.907,0.77,0.8,3367664.0,0.0,1.0,0.8726,0.907,0.77,0.8,3367664.0
2020-03-12,0.75,0.77,0.6501,0.6616,3638171.0,0.0,1.0,0.75,0.77,0.6501,0.6616,3638171.0
2020-03-13,0.77,0.77,0.65,0.7001,2613593.0,0.0,1.0,0.77,0.77,0.65,0.7001,2613593.0
2020-03-16,0.6479,0.68,0.5901,0.6,2161012.0,0.0,1.0,0.6479,0.68,0.5901,0.6,2161012.0
2020-03-17,0.6299,0.67,0.6,0.665,1155251.0,0.0,1.0,0.6299,0.67,0.6,0.665,1155251.0
2020-03-18,0.67,0.7091,0.595,0.6201,1660931.0,0.0,1.0,0.67,0.7091,0.595,0.6201,1660931.0
2020-03-19,0.65,0.6685,0.6,0.6472,1944702.0,0.0,1.0,0.65,0.6685,0.6,0.6472,1944702.0
2020-03-20,0.678,0.678,0.58,0.6193,2062822.0,0.0,1.0,0.678,0.678,0.58,0.6193,2062822.0
2020-03-23,0.62,0.63,0.53,0.6,1512403.0,0.0,1.0,0.62,0.63,0.53,0.6,1512403.0
2020-03-24,0.649,0.7314,0.6099,0.6756,2551359.0,0.0,1.0,0.649,0.7314,0.6099,0.6756,2551359.0
2020-03-25,0.75,0.7629,0.68,0.723,1204981.0,0.0,1.0,0.75,0.7629,0.68,0.723,1204981.0
2020-03-26,0.7579,0.7819,0.7003,0.7819,1129640.0,0.0,1.0,0.7579,0.7819,0.7003,0.7819,1129640.0
2020-03-27,0.72,0.72,0.7022,0.72,1042365.0,0.0,1.0,0.72,0.72,0.7022,0.72,1042365.0
2020-03-30,0.7,0.73,0.6806,0.7001,1390272.0,0.0,1.0,0.7,0.73,0.6806,0.7001,1390272.0
2020-03-31,0.5985,0.65,0.52,0.6002,4129825.0,0.0,1.0,0.5985,0.65,0.52,0.6002,4129825.0
2020-04-01,0.6,0.6,0.54,0.5558,2007122.0,0.0,1.0,0.6,0.6,0.54,0.5558,2007122.0
2020-04-02,0.59,0.6,0.54,0.5537,1729794.0,0.0,1.0,0.59,0.6,0.54,0.5537,1729794.0
