Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-19,0.6,0.6,0.3,0.3005,366682.0,0.0,1.0,0.6,0.6,0.3,0.3005,366682.0
2020-11-20,0.37,0.37,0.25,0.3,101000.0,0.0,1.0,0.37,0.37,0.25,0.3,101000.0
2020-11-23,0.49,0.49,0.37,0.4,383460.0,0.0,1.0,0.49,0.49,0.37,0.4,383460.0
2020-11-24,0.44,0.45,0.4,0.4001,306235.0,0.0,1.0,0.44,0.45,0.4,0.4001,306235.0
2020-11-25,0.4,0.48,0.4,0.43,265311.0,0.0,1.0,0.4,0.48,0.4,0.43,265311.0
2020-11-27,0.48,0.49025,0.471,0.49,12829.0,0.0,1.0,0.48,0.49025,0.471,0.49,12829.0
2020-11-30,0.48,0.55,0.4799,0.48,38679.0,0.0,1.0,0.48,0.55,0.4799,0.48,38679.0
2020-12-01,0.512501,0.512501,0.485,0.5,5990.0,0.0,1.0,0.512501,0.512501,0.485,0.5,5990.0
2020-12-02,0.49,0.52,0.49,0.5,28900.0,0.0,1.0,0.49,0.52,0.49,0.5,28900.0
2020-12-03,0.52,0.59,0.5,0.52,25475.0,0.0,1.0,0.52,0.59,0.5,0.52,25475.0
2020-12-04,0.54,0.64,0.4825,0.64,327956.0,0.0,1.0,0.54,0.64,0.4825,0.64,327956.0
2020-12-07,0.65,0.8,0.57,0.57,30128.0,0.0,1.0,0.65,0.8,0.57,0.57,30128.0
2020-12-08,0.6,0.88,0.5005,0.73,282245.0,0.0,1.0,0.6,0.88,0.5005,0.73,282245.0
2020-12-09,0.74,0.81,0.573,0.7354,96316.0,0.0,1.0,0.74,0.81,0.573,0.7354,96316.0
2020-12-10,0.67,0.78,0.65,0.7,56849.0,0.0,1.0,0.67,0.78,0.65,0.7,56849.0
2020-12-11,0.71,0.79,0.65,0.72,165702.0,0.0,1.0,0.71,0.79,0.65,0.72,165702.0
2020-12-14,0.74,0.75,0.63,0.74,175715.0,0.0,1.0,0.74,0.75,0.63,0.74,175715.0
2020-12-15,0.75,0.79,0.7,0.73,151875.0,0.0,1.0,0.75,0.79,0.7,0.73,151875.0
2020-12-16,0.7,0.72,0.6966,0.7,79187.0,0.0,1.0,0.7,0.72,0.6966,0.7,79187.0
2020-12-17,0.7,0.72,0.68,0.7199,41950.0,0.0,1.0,0.7,0.72,0.68,0.7199,41950.0
2020-12-18,0.695,0.74,0.680101,0.7,47182.0,0.0,1.0,0.695,0.74,0.680101,0.7,47182.0
2020-12-21,0.76,0.89,0.75,0.8,112754.0,0.0,1.0,0.76,0.89,0.75,0.8,112754.0
2020-12-22,0.92,0.95,0.76,0.9,125055.0,0.0,1.0,0.92,0.95,0.76,0.9,125055.0
2020-12-23,1.0,1.0999,0.85,1.01,131213.0,0.0,1.0,1.0,1.0999,0.85,1.01,131213.0
2020-12-24,1.01,1.25,1.0,1.03,160853.0,0.0,1.0,1.01,1.25,1.0,1.03,160853.0
2020-12-28,1.1,1.3,1.05,1.15,274121.0,0.0,1.0,1.1,1.3,1.05,1.15,274121.0
2020-12-29,1.1,1.165,1.0,1.05,77858.0,0.0,1.0,1.1,1.165,1.0,1.05,77858.0
2020-12-30,1.1,1.2199,1.1,1.14,10906.0,0.0,1.0,1.1,1.2199,1.1,1.14,10906.0
2020-12-31,1.3,1.3,1.0,1.0,52446.0,0.0,1.0,1.3,1.3,1.0,1.0,52446.0
