Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.77,5.77,5.73,5.73,1973337.0,0.0,1.0,5.0451699634556215,5.0451699634556215,5.010194781733227,5.010194781733227,1973337.0
2020-01-03,5.73,5.76,5.72,5.76,272830.0,0.0,1.0,5.010194781733227,5.036426168025023,5.001450986302627,5.036426168025023,272830.0
2020-01-06,5.76,5.8,5.75,5.8,528261.0,0.0,1.0,5.036426168025023,5.071401349747419,5.027682372594424,5.071401349747419,528261.0
2020-01-07,5.81,5.89,5.8,5.89,766900.0,0.0,1.0,5.080145145178018,5.15009550862281,5.071401349747419,5.15009550862281,766900.0
2020-01-08,5.9,5.91,5.87,5.91,348002.0,0.0,1.0,5.1588393040534095,5.167583099484008,5.132607917761612,5.167583099484008,348002.0
2020-01-09,5.91,5.95,5.9,5.95,789305.0,0.0,1.0,5.167583099484008,5.202558281206405,5.1588393040534095,5.202558281206405,789305.0
2020-01-10,5.89,5.93,5.85,5.85,374747.0,0.0525,1.0,5.196314314469425,5.231603376027791,5.161025252911059,5.161025252911059,374747.0
2020-01-13,5.86,5.92,5.84,5.92,266291.0,0.0,1.0,5.169847518300651,5.222781110638199,5.152202987521467,5.222781110638199,266291.0
2020-01-14,5.9,5.9,5.83,5.83,510961.0,0.0,1.0,5.205136579859017,5.205136579859017,5.143380722131876,5.143380722131876,510961.0
2020-01-15,5.87,5.96,5.87,5.94,828676.0,0.0,1.0,5.178669783690242,5.258070172196566,5.178669783690242,5.240425641417383,828676.0
2020-01-16,5.95,5.95,5.92,5.95,198007.0,0.0,1.0,5.249247906806975,5.249247906806975,5.222781110638199,5.249247906806975,198007.0
2020-01-17,5.96,6.0,5.95,5.99,800392.0,0.0,1.0,5.258070172196566,5.2933592337549324,5.249247906806975,5.284536968365341,800392.0
2020-01-21,5.99,6.0,5.93,5.93,348457.0,0.0,1.0,5.284536968365341,5.2933592337549324,5.231603376027791,5.231603376027791,348457.0
2020-01-22,5.95,5.98,5.93,5.93,204731.0,0.0,1.0,5.249247906806975,5.275714702975749,5.231603376027791,5.231603376027791,204731.0
2020-01-23,5.95,5.95,5.89,5.89,328332.0,0.0,1.0,5.249247906806975,5.249247906806975,5.196314314469425,5.196314314469425,328332.0
2020-01-24,5.92,5.9615,5.89,5.89,334067.0,0.0,1.0,5.222781110638199,5.259393512005005,5.196314314469425,5.196314314469425,334067.0
2020-01-27,5.86,5.88,5.84,5.84,479060.0,0.0,1.0,5.169847518300651,5.187492049079833,5.152202987521467,5.152202987521467,479060.0
2020-01-28,5.87,5.91,5.86,5.9,336783.0,0.0,1.0,5.178669783690242,5.213958845248609,5.169847518300651,5.205136579859017,336783.0
2020-01-29,5.93,6.0,5.93,5.98,447379.0,0.0,1.0,5.231603376027791,5.2933592337549324,5.231603376027791,5.275714702975749,447379.0
2020-01-30,5.98,5.995,5.94,5.97,542928.0,0.0,1.0,5.275714702975749,5.288948101060137,5.240425641417383,5.266892437586157,542928.0
2020-01-31,5.96,5.96,5.91,5.92,197624.0,0.0,1.0,5.258070172196566,5.258070172196566,5.213958845248609,5.222781110638199,197624.0
2020-02-03,5.96,5.97,5.94,5.95,292570.0,0.0,1.0,5.258070172196566,5.266892437586157,5.240425641417383,5.249247906806975,292570.0
2020-02-04,5.98,6.01,5.97,5.99,362945.0,0.0,1.0,5.275714702975749,5.302181499144524,5.266892437586157,5.284536968365341,362945.0
2020-02-05,6.0,6.03,5.9991,6.0,250672.0,0.0,1.0,5.2933592337549324,5.319826029923707,5.2925652298698695,5.2933592337549324,250672.0
2020-02-06,6.0,6.04,5.98,6.04,240118.0,0.0,1.0,5.2933592337549324,5.3286482953132985,5.275714702975749,5.3286482953132985,240118.0
