Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.53,1.56,1.44,1.45,214055.0,0.0,1.0,1.53,1.56,1.44,1.45,214055.0
2020-01-03,1.46,1.46,1.4,1.4,206128.0,0.0,1.0,1.46,1.46,1.4,1.4,206128.0
2020-01-06,1.41,1.44,1.35,1.42,149417.0,0.0,1.0,1.41,1.44,1.35,1.42,149417.0
2020-01-07,1.41,1.42,1.35,1.38,205710.0,0.0,1.0,1.41,1.42,1.35,1.38,205710.0
2020-01-08,1.39,1.39,1.35,1.36,131965.0,0.0,1.0,1.39,1.39,1.35,1.36,131965.0
2020-01-09,1.38,1.38,1.35,1.37,178803.0,0.0,1.0,1.38,1.38,1.35,1.37,178803.0
2020-01-10,1.38,1.43,1.35,1.38,420749.0,0.0,1.0,1.38,1.43,1.35,1.38,420749.0
2020-01-13,1.38,1.47,1.38,1.43,212430.0,0.0,1.0,1.38,1.47,1.38,1.43,212430.0
2020-01-14,1.43,1.53,1.43,1.48,182757.0,0.0,1.0,1.43,1.53,1.43,1.48,182757.0
2020-01-15,1.49,1.55,1.48,1.54,153408.0,0.0,1.0,1.49,1.55,1.48,1.54,153408.0
2020-01-16,1.55,1.58,1.54,1.58,119673.0,0.0,1.0,1.55,1.58,1.54,1.58,119673.0
2020-01-17,1.59,1.6,1.5708,1.6,148345.0,0.0,1.0,1.59,1.6,1.5708,1.6,148345.0
2020-01-21,1.59,1.61,1.55,1.6,103669.0,0.0,1.0,1.59,1.61,1.55,1.6,103669.0
2020-01-22,1.61,1.85,1.59,1.72,453647.0,0.0,1.0,1.61,1.85,1.59,1.72,453647.0
2020-01-23,1.71,1.83,1.63,1.75,469533.0,0.0,1.0,1.71,1.83,1.63,1.75,469533.0
2020-01-24,1.76,1.81,1.71,1.76,352316.0,0.0,1.0,1.76,1.81,1.71,1.76,352316.0
2020-01-27,1.79,1.94,1.71,1.88,1058170.0,0.0,1.0,1.79,1.94,1.71,1.88,1058170.0
