Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.79,2.96,2.66,2.69,1046581.0,0.0,1.0,2.79,2.96,2.66,2.69,1046581.0
2020-01-03,2.66,2.74,2.65,2.69,521118.0,0.0,1.0,2.66,2.74,2.65,2.69,521118.0
2020-01-06,2.66,2.67,2.56,2.56,505710.0,0.0,1.0,2.66,2.67,2.56,2.56,505710.0
2020-01-07,2.56,2.5721,2.45,2.5,491646.0,0.0,1.0,2.56,2.5721,2.45,2.5,491646.0
2020-01-08,2.49,2.6,2.49,2.57,762200.0,0.0,1.0,2.49,2.6,2.49,2.57,762200.0
2020-01-09,2.58,2.665,2.56,2.64,566871.0,0.0,1.0,2.58,2.665,2.56,2.64,566871.0
2020-01-10,2.64,2.65,2.58,2.62,523238.0,0.0,1.0,2.64,2.65,2.58,2.62,523238.0
2020-01-13,2.6,2.61,2.45,2.49,666109.0,0.0,1.0,2.6,2.61,2.45,2.49,666109.0
2020-01-14,2.45,2.62,2.41,2.59,561083.0,0.0,1.0,2.45,2.62,2.41,2.59,561083.0
2020-01-15,2.59,2.93,2.59,2.83,950121.0,0.0,1.0,2.59,2.93,2.59,2.83,950121.0
2020-01-16,2.9,3.02,2.84,2.89,778632.0,0.0,1.0,2.9,3.02,2.84,2.89,778632.0
2020-01-17,2.9,3.0863,2.86,3.02,796009.0,0.0,1.0,2.9,3.0863,2.86,3.02,796009.0
2020-01-21,3.11,3.31,2.99,3.08,1147218.0,0.0,1.0,3.11,3.31,2.99,3.08,1147218.0
2020-01-22,3.09,3.15,2.93,2.99,646130.0,0.0,1.0,3.09,3.15,2.93,2.99,646130.0
2020-01-23,2.94,2.98,2.79,2.87,735247.0,0.0,1.0,2.94,2.98,2.79,2.87,735247.0
2020-01-24,2.88,2.89,2.69,2.72,590149.0,0.0,1.0,2.88,2.89,2.69,2.72,590149.0
2020-01-27,2.65,2.715,2.55,2.62,469170.0,0.0,1.0,2.65,2.715,2.55,2.62,469170.0
2020-01-28,2.63,2.75,2.63,2.72,265028.0,0.0,1.0,2.63,2.75,2.63,2.72,265028.0
2020-01-29,2.74,2.74,2.565,2.59,595447.0,0.0,1.0,2.74,2.74,2.565,2.59,595447.0
2020-01-30,2.65,2.65,2.47,2.49,776901.0,0.0,1.0,2.65,2.65,2.47,2.49,776901.0
2020-01-31,2.47,2.49,2.27,2.37,991335.0,0.0,1.0,2.47,2.49,2.27,2.37,991335.0
2020-02-03,2.34,2.4,2.22,2.28,808673.0,0.0,1.0,2.34,2.4,2.22,2.28,808673.0
2020-02-04,2.28,2.32,2.21,2.3,787758.0,0.0,1.0,2.28,2.32,2.21,2.3,787758.0
2020-02-05,2.32,2.32,2.12,2.18,814647.0,0.0,1.0,2.32,2.32,2.12,2.18,814647.0
2020-02-06,2.2,2.3399,2.1623,2.26,638624.0,0.0,1.0,2.2,2.3399,2.1623,2.26,638624.0
2020-02-07,2.3,2.3185,2.135,2.15,529174.0,0.0,1.0,2.3,2.3185,2.135,2.15,529174.0
2020-02-10,2.15,2.29,1.99,2.11,966132.0,0.0,1.0,2.15,2.29,1.99,2.11,966132.0
2020-02-11,2.11,2.26,2.05,2.24,497392.0,0.0,1.0,2.11,2.26,2.05,2.24,497392.0
2020-02-12,2.25,2.28,2.11,2.12,890154.0,0.0,1.0,2.25,2.28,2.11,2.12,890154.0
2020-02-13,2.01,2.01,1.79,1.86,2567339.0,0.0,1.0,2.01,2.01,1.79,1.86,2567339.0
2020-02-14,2.0,2.15,1.86,1.89,1279563.0,0.0,1.0,2.0,2.15,1.86,1.89,1279563.0
2020-02-18,1.92,1.97,1.88,1.89,701152.0,0.0,1.0,1.92,1.97,1.88,1.89,701152.0
2020-02-19,1.9,1.9,1.67,1.69,1404176.0,0.0,1.0,1.9,1.9,1.67,1.69,1404176.0
