Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-07,4.01,4.01,2.32,2.32,400.0,0.0,1.0,4.01,4.01,2.32,2.32,400.0
2020-12-08,2.1,2.5,1.26,1.7,16042.0,0.0,1.0,2.1,2.5,1.26,1.7,16042.0
2020-12-09,1.8,1.9999,1.4,1.67,37248.0,0.0,1.0,1.8,1.9999,1.4,1.67,37248.0
2020-12-10,1.51,1.65,1.35,1.4,78448.0,0.0,1.0,1.51,1.65,1.35,1.4,78448.0
2020-12-11,1.75,1.75,1.3,1.45,59076.0,0.0,1.0,1.75,1.75,1.3,1.45,59076.0
2020-12-14,1.61,1.7,1.4,1.5,67988.0,0.0,1.0,1.61,1.7,1.4,1.5,67988.0
2020-12-15,1.5,1.51,1.36,1.5,59112.0,0.0,1.0,1.5,1.51,1.36,1.5,59112.0
2020-12-16,1.4867,1.5,1.42,1.5,11072.0,0.0,1.0,1.4867,1.5,1.42,1.5,11072.0
2020-12-17,1.5,1.5,1.3,1.37,14817.0,0.0,1.0,1.5,1.5,1.3,1.37,14817.0
2020-12-18,1.5,1.5,1.36,1.5,84857.0,0.0,1.0,1.5,1.5,1.36,1.5,84857.0
2020-12-21,1.41,1.49,1.29,1.3789,211176.0,0.0,1.0,1.41,1.49,1.29,1.3789,211176.0
2020-12-22,1.47,1.5,1.31,1.35,151997.0,0.0,1.0,1.47,1.5,1.31,1.35,151997.0
2020-12-23,1.42,1.75,1.35,1.4199,269600.0,0.0,1.0,1.42,1.75,1.35,1.4199,269600.0
2020-12-24,1.42,1.5999,1.38,1.5,209082.0,0.0,1.0,1.42,1.5999,1.38,1.5,209082.0
2020-12-28,1.6,1.65,1.495,1.495,293422.0,0.0,1.0,1.6,1.65,1.495,1.495,293422.0
2020-12-29,1.58,1.6399,1.52,1.53,96547.0,0.0,1.0,1.58,1.6399,1.52,1.53,96547.0
2020-12-30,1.53,1.6222,1.45,1.46,107283.0,0.0,1.0,1.53,1.6222,1.45,1.46,107283.0
2020-12-31,1.45,1.6,1.45,1.49,104077.0,0.0,1.0,1.45,1.6,1.45,1.49,104077.0
