Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-08,1.1,1.18,0.89,1.15,80925.0,0.0,1.0,1.1,1.18,0.89,1.15,80925.0
2020-10-09,1.05,1.1,0.95,1.1,132161.0,0.0,1.0,1.05,1.1,0.95,1.1,132161.0
2020-10-12,1.225,1.49,1.2,1.35,5470.0,0.0,1.0,1.225,1.49,1.2,1.35,5470.0
2020-10-13,1.35,1.4499,1.35,1.4499,1710.0,0.0,1.0,1.35,1.4499,1.35,1.4499,1710.0
2020-10-14,1.4,1.4,1.0,1.19,6710.0,0.0,1.0,1.4,1.4,1.0,1.19,6710.0
2020-10-15,1.19,1.25,1.19,1.25,18715.0,0.0,1.0,1.19,1.25,1.19,1.25,18715.0
2020-10-16,1.313,1.35,1.18,1.27,10620.0,0.0,1.0,1.313,1.35,1.18,1.27,10620.0
2020-10-19,1.33,1.33,1.2,1.24,5762.0,0.0,1.0,1.33,1.33,1.2,1.24,5762.0
2020-10-20,1.21,1.3,1.21,1.21,131468.0,0.0,1.0,1.21,1.3,1.21,1.21,131468.0
2020-10-21,1.17,1.19,1.12,1.19,1607.0,0.0,1.0,1.17,1.19,1.12,1.19,1607.0
2020-10-22,1.12,1.15,1.0,1.15,48701.0,0.0,1.0,1.12,1.15,1.0,1.15,48701.0
2020-10-23,1.15,1.2985,1.1462,1.25,34100.0,0.0,1.0,1.15,1.2985,1.1462,1.25,34100.0
2020-10-26,1.0839,1.15,1.03,1.05,45904.0,0.0,1.0,1.0839,1.15,1.03,1.05,45904.0
2020-10-27,1.06,1.14,1.06,1.14,4084.0,0.0,1.0,1.06,1.14,1.06,1.14,4084.0
2020-10-28,1.15,1.15,1.13,1.13,12540.0,0.0,1.0,1.15,1.15,1.13,1.13,12540.0
2020-10-29,1.05,1.06,0.9999,1.0,16652.0,0.0,1.0,1.05,1.06,0.9999,1.0,16652.0
2020-10-30,0.85,0.86,0.764,0.8,7725.0,0.0,1.0,0.85,0.86,0.764,0.8,7725.0
2020-11-02,1.09,1.6,1.06,1.22,159840.0,0.0,1.0,1.09,1.6,1.06,1.22,159840.0
2020-11-03,1.25,1.4298,1.23,1.29,27579.0,0.0,1.0,1.25,1.4298,1.23,1.29,27579.0
2020-11-04,1.35,1.62,1.32,1.44,46595.0,0.0,1.0,1.35,1.62,1.32,1.44,46595.0
2020-11-05,1.5,1.87,1.43,1.6998,75151.0,0.0,1.0,1.5,1.87,1.43,1.6998,75151.0
2020-11-06,2.2,2.2,1.27,1.71,59359.0,0.0,1.0,2.2,2.2,1.27,1.71,59359.0
2020-11-09,1.76,1.76,1.6,1.71,59566.0,0.0,1.0,1.76,1.76,1.6,1.71,59566.0
2020-11-10,1.61,1.75,1.5,1.54,18466.0,0.0,1.0,1.61,1.75,1.5,1.54,18466.0
2020-11-11,1.53,1.635,1.49,1.635,20953.0,0.0,1.0,1.53,1.635,1.49,1.635,20953.0
2020-11-12,1.59,2.0,1.55,1.77,117691.0,0.0,1.0,1.59,2.0,1.55,1.77,117691.0
2020-11-13,1.75,2.0,1.63,1.85,81415.0,0.0,1.0,1.75,2.0,1.63,1.85,81415.0
2020-11-16,1.95,2.0,1.8,1.9,85825.0,0.0,1.0,1.95,2.0,1.8,1.9,85825.0
2020-11-17,1.9,2.06,1.88,1.94,39010.0,0.0,1.0,1.9,2.06,1.88,1.94,39010.0
2020-11-18,1.95,2.1,1.64,2.0,81888.0,0.0,1.0,1.95,2.1,1.64,2.0,81888.0
2020-11-19,2.11,2.48,2.0,2.35,295393.0,0.0,1.0,2.11,2.48,2.0,2.35,295393.0
2020-11-20,2.35,2.55,2.229,2.3999,178931.0,0.0,1.0,2.35,2.55,2.229,2.3999,178931.0
2020-11-23,2.55,3.25,2.55,2.93,423459.0,0.0,1.0,2.55,3.25,2.55,2.93,423459.0
2020-11-24,3.0,3.19,2.4102,2.86,279049.0,0.0,1.0,3.0,3.19,2.4102,2.86,279049.0
2020-11-25,2.6,3.75,2.4,3.5599,323420.0,0.0,1.0,2.6,3.75,2.4,3.5599,323420.0
2020-11-27,3.28,3.5,2.68,3.2,224047.0,0.0,1.0,3.28,3.5,2.68,3.2,224047.0
2020-11-30,3.9,3.9,2.9,3.42,2108234.0,0.0,1.0,3.9,3.9,2.9,3.42,2108234.0
2020-12-01,3.75,3.8,2.92,3.0,1450797.0,0.0,1.0,3.75,3.8,2.92,3.0,1450797.0
2020-12-02,2.7,3.13,2.65,2.95,776340.0,0.0,1.0,2.7,3.13,2.65,2.95,776340.0
2020-12-03,3.2,3.32,3.05,3.2,651792.0,0.0,1.0,3.2,3.32,3.05,3.2,651792.0
2020-12-04,3.51,3.59,3.15,3.3602,856013.0,0.0,1.0,3.51,3.59,3.15,3.3602,856013.0
2020-12-07,3.8,4.05,3.65,4.0,1510884.0,0.0,1.0,3.8,4.05,3.65,4.0,1510884.0
2020-12-08,4.14,4.25,3.83,3.9,1260864.0,0.0,1.0,4.14,4.25,3.83,3.9,1260864.0
2020-12-09,4.12,4.12,3.7,3.845,913784.0,0.0,1.0,4.12,4.12,3.7,3.845,913784.0
2020-12-10,4.0,4.15,3.7,3.9,741512.0,0.0,1.0,4.0,4.15,3.7,3.9,741512.0
2020-12-11,4.07,4.1,3.703,3.8306,573036.0,0.0,1.0,4.07,4.1,3.703,3.8306,573036.0
2020-12-14,4.05,4.15,3.68,3.74,682543.0,0.0,1.0,4.05,4.15,3.68,3.74,682543.0
2020-12-15,3.61,3.73,3.37,3.45,735797.0,0.0,1.0,3.61,3.73,3.37,3.45,735797.0
2020-12-16,3.55,3.77,3.45,3.6,291148.0,0.0,1.0,3.55,3.77,3.45,3.6,291148.0
2020-12-17,3.88,3.88,3.57,3.7,165074.0,0.0,1.0,3.88,3.88,3.57,3.7,165074.0
2020-12-18,3.85,3.96,3.67,3.96,272452.0,0.0,1.0,3.85,3.96,3.67,3.96,272452.0
2020-12-21,3.9,4.14,3.81,4.0,490499.0,0.0,1.0,3.9,4.14,3.81,4.0,490499.0
2020-12-22,4.23,4.33,4.0999,4.25,370263.0,0.0,1.0,4.23,4.33,4.0999,4.25,370263.0
2020-12-23,4.45,5.0495,4.3,4.9798,841702.0,0.0,1.0,4.45,5.0495,4.3,4.9798,841702.0
2020-12-24,5.25,5.6903,5.15,5.6099,601453.0,0.0,1.0,5.25,5.6903,5.15,5.6099,601453.0
2020-12-28,6.06,6.74,5.5,5.92,858138.0,0.0,1.0,6.06,6.74,5.5,5.92,858138.0
2020-12-29,5.96,6.3,5.1465,5.2,591703.0,0.0,1.0,5.96,6.3,5.1465,5.2,591703.0
2020-12-30,5.51,5.95,5.38,5.38,418213.0,0.0,1.0,5.51,5.95,5.38,5.38,418213.0
