Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.9,0.92,0.89,0.901,2070508.0,0.0,1.0,0.9,0.92,0.89,0.901,2070508.0
2020-01-03,0.9323,0.9498,0.8843,0.8896,2956679.0,0.0,1.0,0.9323,0.9498,0.8843,0.8896,2956679.0
2020-01-06,0.93,0.9345,0.8903,0.91,1954098.0,0.0,1.0,0.93,0.9345,0.8903,0.91,1954098.0
2020-01-07,0.9,1.02,0.9,0.9823,4509264.0,0.0,1.0,0.9,1.02,0.9,0.9823,4509264.0
2020-01-08,1.02,1.03,0.88,0.9007,4163148.0,0.0,1.0,1.02,1.03,0.88,0.9007,4163148.0
2020-01-09,0.9086,0.9299,0.9,0.9273,1588325.0,0.0,1.0,0.9086,0.9299,0.9,0.9273,1588325.0
2020-01-10,0.945,1.0039,0.9357,0.9901,4061937.0,0.0,1.0,0.945,1.0039,0.9357,0.9901,4061937.0
2020-01-13,0.984,0.987,0.9362,0.9362,1745154.0,0.0,1.0,0.984,0.987,0.9362,0.9362,1745154.0
2020-01-14,0.94,0.97,0.938,0.955,2482784.0,0.0,1.0,0.94,0.97,0.938,0.955,2482784.0
2020-01-15,0.98,1.06,0.9708,1.04,4777205.0,0.0,1.0,0.98,1.06,0.9708,1.04,4777205.0
2020-01-16,1.05,1.07,1.02,1.04,3950991.0,0.0,1.0,1.05,1.07,1.02,1.04,3950991.0
2020-01-17,1.03,1.03,0.98,0.98,2944174.0,0.0,1.0,1.03,1.03,0.98,0.98,2944174.0
2020-01-21,0.98,0.9897,0.945,0.9506,2066296.0,0.0,1.0,0.98,0.9897,0.945,0.9506,2066296.0
2020-01-22,0.96,0.9643,0.9255,0.93,1407011.0,0.0,1.0,0.96,0.9643,0.9255,0.93,1407011.0
2020-01-23,0.9339,0.953,0.921,0.926,1204094.0,0.0,1.0,0.9339,0.953,0.921,0.926,1204094.0
2020-01-24,0.92,0.94,0.9,0.9356,1808347.0,0.0,1.0,0.92,0.94,0.9,0.9356,1808347.0
2020-01-27,0.968,0.968,0.9076,0.9161,2547751.0,0.0,1.0,0.968,0.968,0.9076,0.9161,2547751.0
2020-01-28,0.91,0.9239,0.9,0.9022,1206708.0,0.0,1.0,0.91,0.9239,0.9,0.9022,1206708.0
