Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.08,1.09,1.01,1.03,59625.0,0.0,1.0,1.08,1.09,1.01,1.03,59625.0
2020-01-03,1.05,1.05,0.99,1.02,89629.0,0.0,1.0,1.05,1.05,0.99,1.02,89629.0
2020-01-06,1.04,1.04,0.9901,1.01,65034.0,0.0,1.0,1.04,1.04,0.9901,1.01,65034.0
2020-01-07,1.02,1.02,0.92,0.97,97958.0,0.0,1.0,1.02,1.02,0.92,0.97,97958.0
2020-01-08,0.9641,0.992,0.93,0.9757,69451.0,0.0,1.0,0.9641,0.992,0.93,0.9757,69451.0
2020-01-09,1.0,1.04,0.97,1.04,95218.0,0.0,1.0,1.0,1.04,0.97,1.04,95218.0
2020-01-10,1.05,1.09,1.015,1.0798,121310.0,0.0,1.0,1.05,1.09,1.015,1.0798,121310.0
2020-01-13,1.05,1.35,1.05,1.15,598008.0,0.0,1.0,1.05,1.35,1.05,1.15,598008.0
2020-01-14,1.46,1.7199,1.2,1.26,2861021.0,0.0,1.0,1.46,1.7199,1.2,1.26,2861021.0
2020-01-15,1.26,1.4,1.15,1.37,416757.0,0.0,1.0,1.26,1.4,1.15,1.37,416757.0
2020-01-16,1.3,1.5,1.2827,1.42,486286.0,0.0,1.0,1.3,1.5,1.2827,1.42,486286.0
2020-01-17,1.51,1.51,1.34,1.44,281078.0,0.0,1.0,1.51,1.51,1.34,1.44,281078.0
2020-01-21,1.48,1.5,1.37,1.46,178109.0,0.0,1.0,1.48,1.5,1.37,1.46,178109.0
2020-01-22,1.44,1.44,1.3,1.34,174247.0,0.0,1.0,1.44,1.44,1.3,1.34,174247.0
2020-01-23,1.36,1.44,1.34,1.39,116707.0,0.0,1.0,1.36,1.44,1.34,1.39,116707.0
2020-01-24,1.4,1.43,1.31,1.36,108220.0,0.0,1.0,1.4,1.43,1.31,1.36,108220.0
2020-01-27,1.42,1.42,1.29,1.31,190987.0,0.0,1.0,1.42,1.42,1.29,1.31,190987.0
2020-01-28,1.66,2.75,1.55,2.05,21133843.0,0.0,1.0,1.66,2.75,1.55,2.05,21133843.0
2020-01-29,1.96,2.08,1.68,1.83,2059119.0,0.0,1.0,1.96,2.08,1.68,1.83,2059119.0
2020-01-30,1.83,1.99,1.72,1.88,985199.0,0.0,1.0,1.83,1.99,1.72,1.88,985199.0
2020-01-31,1.85,1.9,1.62,1.72,639651.0,0.0,1.0,1.85,1.9,1.62,1.72,639651.0
2020-02-03,1.67,1.71,1.58,1.64,512923.0,0.0,1.0,1.67,1.71,1.58,1.64,512923.0
2020-02-04,1.62,1.67,1.59,1.64,325767.0,0.0,1.0,1.62,1.67,1.59,1.64,325767.0
2020-02-05,1.64,1.6612,1.6,1.63,235613.0,0.0,1.0,1.64,1.6612,1.6,1.63,235613.0
