Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-14,3.89,3.9,3.66,3.74,19890.0,0.0,1.0,3.89,3.9,3.66,3.74,19890.0
2020-10-15,3.78,4.2,3.73,4.05,85519.0,0.0,1.0,3.78,4.2,3.73,4.05,85519.0
2020-10-16,3.98,4.25,3.91,4.01,60376.0,0.0,1.0,3.98,4.25,3.91,4.01,60376.0
2020-10-19,4.12,4.2499,3.8,3.82,32068.0,0.0,1.0,4.12,4.2499,3.8,3.82,32068.0
2020-10-20,3.75,3.855,3.65,3.75,23998.0,0.0,1.0,3.75,3.855,3.65,3.75,23998.0
2020-10-21,3.7,3.7399,3.549,3.63,26452.0,0.0,1.0,3.7,3.7399,3.549,3.63,26452.0
2020-10-22,3.65,3.75,3.63,3.63,12496.0,0.0,1.0,3.65,3.75,3.63,3.63,12496.0
2020-10-23,3.6818,4.0,3.68,3.81,12059.0,0.0,1.0,3.6818,4.0,3.68,3.81,12059.0
2020-10-26,3.7635,4.05,3.55,3.69,20228.0,0.0,1.0,3.7635,4.05,3.55,3.69,20228.0
2020-10-27,3.69,3.836,3.69,3.7,14470.0,0.0,1.0,3.69,3.836,3.69,3.7,14470.0
2020-10-28,3.64,3.715,3.55,3.64,13201.0,0.0,1.0,3.64,3.715,3.55,3.64,13201.0
2020-10-29,3.59,3.71,3.48,3.62,27287.0,0.0,1.0,3.59,3.71,3.48,3.62,27287.0
2020-10-30,3.63,3.66,3.35,3.55,28676.0,0.0,1.0,3.63,3.66,3.35,3.55,28676.0
2020-11-02,3.37,3.57,3.3013,3.49,14516.0,0.0,1.0,3.37,3.57,3.3013,3.49,14516.0
2020-11-03,3.43,3.71,3.3957,3.69,16663.0,0.0,1.0,3.43,3.71,3.3957,3.69,16663.0
2020-11-04,3.55,3.58,3.45,3.5,5125.0,0.0,1.0,3.55,3.58,3.45,3.5,5125.0
2020-11-05,3.5091,3.725,3.38,3.65,17060.0,0.0,1.0,3.5091,3.725,3.38,3.65,17060.0
2020-11-06,3.73,3.73,3.67,3.67,6394.0,0.0,1.0,3.73,3.73,3.67,3.67,6394.0
2020-11-09,3.92,3.98,3.77,3.83,31289.0,0.0,1.0,3.92,3.98,3.77,3.83,31289.0
2020-11-10,3.89,4.18,3.8479,4.16,75578.0,0.0,1.0,3.89,4.18,3.8479,4.16,75578.0
2020-11-11,4.2099,4.2099,3.94,4.1,46892.0,0.0,1.0,4.2099,4.2099,3.94,4.1,46892.0
2020-11-12,3.93,3.95,3.6738,3.84,27141.0,0.0,1.0,3.93,3.95,3.6738,3.84,27141.0
2020-11-13,3.83,4.11,3.83,3.99,44644.0,0.0,1.0,3.83,4.11,3.83,3.99,44644.0
2020-11-16,4.04,4.065,3.95,4.06,15875.0,0.0,1.0,4.04,4.065,3.95,4.06,15875.0
2020-11-17,4.1,4.1,3.9379,3.94,17099.0,0.0,1.0,4.1,4.1,3.9379,3.94,17099.0
2020-11-18,4.0,4.04,3.87,3.98,23350.0,0.0,1.0,4.0,4.04,3.87,3.98,23350.0
2020-11-19,4.01,4.17,3.9,4.12,66694.0,0.0,1.0,4.01,4.17,3.9,4.12,66694.0
2020-11-20,4.01,4.11,3.9901,4.02,13350.0,0.0,1.0,4.01,4.11,3.9901,4.02,13350.0
2020-11-23,4.02,4.08,3.94,4.0,26178.0,0.0,1.0,4.02,4.08,3.94,4.0,26178.0
2020-11-24,4.05,4.2,4.03,4.14,38227.0,0.0,1.0,4.05,4.2,4.03,4.14,38227.0
2020-11-25,4.07,4.33,4.07,4.26,90856.0,0.0,1.0,4.07,4.33,4.07,4.26,90856.0
2020-11-27,4.24,4.283,4.17,4.26,8100.0,0.0,1.0,4.24,4.283,4.17,4.26,8100.0
2020-11-30,4.3,4.32,3.95,4.1,32564.0,0.0,1.0,4.3,4.32,3.95,4.1,32564.0
2020-12-01,4.19,4.19,3.8,3.88,34584.0,0.0,1.0,4.19,4.19,3.8,3.88,34584.0
2020-12-02,3.96,3.96,3.78,3.83,12249.0,0.0,1.0,3.96,3.96,3.78,3.83,12249.0
2020-12-03,3.8,4.05,3.7,3.83,31058.0,0.0,1.0,3.8,4.05,3.7,3.83,31058.0
2020-12-04,3.86,3.8953,3.7,3.7,26106.0,0.0,1.0,3.86,3.8953,3.7,3.7,26106.0
2020-12-07,3.71,4.0466,3.71,3.73,42357.0,0.0,1.0,3.71,4.0466,3.71,3.73,42357.0
2020-12-08,3.86,3.9,3.45,3.77,80245.0,0.0,1.0,3.86,3.9,3.45,3.77,80245.0
2020-12-09,3.79,3.81,3.53,3.6,18429.0,0.0,1.0,3.79,3.81,3.53,3.6,18429.0
2020-12-10,3.6978,3.78,3.61,3.78,11522.0,0.0,1.0,3.6978,3.78,3.61,3.78,11522.0
2020-12-11,3.78,3.79,3.61,3.66,16013.0,0.0,1.0,3.78,3.79,3.61,3.66,16013.0
2020-12-14,3.63,3.81,3.63,3.69,16000.0,0.0,1.0,3.63,3.81,3.63,3.69,16000.0
2020-12-15,3.67,3.82,3.67,3.68,21574.0,0.0,1.0,3.67,3.82,3.67,3.68,21574.0
2020-12-16,3.71,3.72,3.6,3.6,15332.0,0.0,1.0,3.71,3.72,3.6,3.6,15332.0
2020-12-17,3.67,3.7999,3.57,3.64,40115.0,0.0,1.0,3.67,3.7999,3.57,3.64,40115.0
2020-12-18,3.69,4.4,3.64,4.35,275960.0,0.0,1.0,3.69,4.4,3.64,4.35,275960.0
2020-12-21,4.3073,4.59,4.15,4.52,114520.0,0.0,1.0,4.3073,4.59,4.15,4.52,114520.0
2020-12-22,4.65,4.75,4.3,4.37,100220.0,0.0,1.0,4.65,4.75,4.3,4.37,100220.0
2020-12-23,4.34,4.47,4.31,4.39,19407.0,0.0,1.0,4.34,4.47,4.31,4.39,19407.0
2020-12-24,4.44,4.4436,4.16,4.21,32497.0,0.0,1.0,4.44,4.4436,4.16,4.21,32497.0
2020-12-28,4.4,4.4,4.08,4.2,27562.0,0.0,1.0,4.4,4.4,4.08,4.2,27562.0
2020-12-29,4.2201,4.2267,3.85,3.87,37000.0,0.0,1.0,4.2201,4.2267,3.85,3.87,37000.0
2020-12-30,3.8,4.06,3.8,4.04,29092.0,0.0,1.0,3.8,4.06,3.8,4.04,29092.0
2020-12-31,3.94,3.99,3.75,3.77,31642.0,0.0,1.0,3.94,3.99,3.75,3.77,31642.0
