Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.588,0.6,0.5551,0.57,834792.0,0.0,1.0,0.588,0.6,0.5551,0.57,834792.0
2020-01-03,0.56,0.5781,0.5203,0.565,889737.0,0.0,1.0,0.56,0.5781,0.5203,0.565,889737.0
2020-01-06,0.565,0.58,0.56,0.58,748807.0,0.0,1.0,0.565,0.58,0.56,0.58,748807.0
2020-01-07,0.59,0.59,0.56,0.5875,284561.0,0.0,1.0,0.59,0.59,0.56,0.5875,284561.0
2020-01-08,0.5749,0.64,0.5749,0.6201,465969.0,0.0,1.0,0.5749,0.64,0.5749,0.6201,465969.0
2020-01-09,0.62,0.6383,0.615,0.6382,243080.0,0.0,1.0,0.62,0.6383,0.615,0.6382,243080.0
2020-01-10,0.6382,0.6888,0.6382,0.6453,605598.0,0.0,1.0,0.6382,0.6888,0.6382,0.6453,605598.0
2020-01-13,0.66,0.6848,0.65,0.669,396794.0,0.0,1.0,0.66,0.6848,0.65,0.669,396794.0
2020-01-14,0.669,0.68,0.6401,0.655,211940.0,0.0,1.0,0.669,0.68,0.6401,0.655,211940.0
2020-01-15,0.6551,0.665,0.645,0.655,180157.0,0.0,1.0,0.6551,0.665,0.645,0.655,180157.0
2020-01-16,0.6534,0.67,0.65,0.661,164905.0,0.0,1.0,0.6534,0.67,0.65,0.661,164905.0
2020-01-17,0.6624,0.67,0.65,0.65999,210674.0,0.0,1.0,0.6624,0.67,0.65,0.65999,210674.0
2020-01-21,0.67,0.67,0.65,0.6546,215312.0,0.0,1.0,0.67,0.67,0.65,0.6546,215312.0
2020-01-22,0.6574,0.6598,0.65,0.6569,611860.0,0.0,1.0,0.6574,0.6598,0.65,0.6569,611860.0
2020-01-23,1.03,1.22,0.801,0.91,15158295.0,0.0,1.0,1.03,1.22,0.801,0.91,15158295.0
2020-01-24,0.8872,0.89,0.8,0.8325,1539226.0,0.0,1.0,0.8872,0.89,0.8,0.8325,1539226.0
2020-01-27,0.77,0.83,0.75,0.8128,562291.0,0.0,1.0,0.77,0.83,0.75,0.8128,562291.0
2020-01-28,0.7802,0.848,0.7802,0.8126,453601.0,0.0,1.0,0.7802,0.848,0.7802,0.8126,453601.0
2020-01-29,0.85,0.885,0.81,0.8205,509177.0,0.0,1.0,0.85,0.885,0.81,0.8205,509177.0
2020-01-30,0.81,0.83,0.76,0.7701,476803.0,0.0,1.0,0.81,0.83,0.76,0.7701,476803.0
2020-01-31,0.795,0.82,0.74,0.75,564718.0,0.0,1.0,0.795,0.82,0.74,0.75,564718.0
2020-02-03,0.71,0.75,0.7002,0.7221,385542.0,0.0,1.0,0.71,0.75,0.7002,0.7221,385542.0
2020-02-04,0.715,0.739,0.7,0.739,260120.0,0.0,1.0,0.715,0.739,0.7,0.739,260120.0
2020-02-05,0.74,0.78,0.72,0.7648,212052.0,0.0,1.0,0.74,0.78,0.72,0.7648,212052.0
2020-02-06,0.7823,0.84,0.7501,0.834,395894.0,0.0,1.0,0.7823,0.84,0.7501,0.834,395894.0
2020-02-07,0.8167,0.82,0.78,0.787,292854.0,0.0,1.0,0.8167,0.82,0.78,0.787,292854.0
2020-02-10,0.79,0.812,0.7304,0.7554,317478.0,0.0,1.0,0.79,0.812,0.7304,0.7554,317478.0
2020-02-11,0.749,0.785,0.745,0.785,140642.0,0.0,1.0,0.749,0.785,0.745,0.785,140642.0
2020-02-12,0.805,0.82,0.76,0.7814,213693.0,0.0,1.0,0.805,0.82,0.76,0.7814,213693.0
2020-02-13,0.7814,0.783,0.745,0.779,172805.0,0.0,1.0,0.7814,0.783,0.745,0.779,172805.0
2020-02-14,0.7511,0.8,0.73,0.7902,233880.0,0.0,1.0,0.7511,0.8,0.73,0.7902,233880.0
2020-02-18,0.8,0.813,0.745,0.7549,371455.0,0.0,1.0,0.8,0.813,0.745,0.7549,371455.0
2020-02-19,0.7509,0.7761,0.7302,0.751,261254.0,0.0,1.0,0.7509,0.7761,0.7302,0.751,261254.0
2020-02-20,0.751,0.76,0.7,0.72,568372.0,0.0,1.0,0.751,0.76,0.7,0.72,568372.0
2020-02-21,0.72,0.7398,0.6806,0.69,285352.0,0.0,1.0,0.72,0.7398,0.6806,0.69,285352.0
2020-02-24,0.69,0.6999,0.65,0.6799,422530.0,0.0,1.0,0.69,0.6999,0.65,0.6799,422530.0
2020-02-25,0.68,0.68,0.65,0.6693,412152.0,0.0,1.0,0.68,0.68,0.65,0.6693,412152.0
2020-02-26,0.65,0.655,0.581,0.6107,408283.0,0.0,1.0,0.65,0.655,0.581,0.6107,408283.0
2020-02-27,0.58,0.6029,0.514,0.577,540051.0,0.0,1.0,0.58,0.6029,0.514,0.577,540051.0
2020-02-28,0.54,0.5779,0.515,0.56,606310.0,0.0,1.0,0.54,0.5779,0.515,0.56,606310.0
2020-03-02,0.68,0.68,0.583137,0.6,219357.0,0.0,1.0,0.68,0.68,0.583137,0.6,219357.0
2020-03-03,0.63,0.64,0.5704,0.575,262644.0,0.0,1.0,0.63,0.64,0.5704,0.575,262644.0
2020-03-04,0.588,0.6174,0.5701,0.607001,214892.0,0.0,1.0,0.588,0.6174,0.5701,0.607001,214892.0
2020-03-05,0.63,0.6399,0.5701,0.61,169132.0,0.0,1.0,0.63,0.6399,0.5701,0.61,169132.0
2020-03-06,0.57,0.61,0.57,0.581,156876.0,0.0,1.0,0.57,0.61,0.57,0.581,156876.0
2020-03-09,0.55,0.55,0.5,0.54,274757.0,0.0,1.0,0.55,0.55,0.5,0.54,274757.0
2020-03-10,0.54,0.56,0.45,0.491,373543.0,0.0,1.0,0.54,0.56,0.45,0.491,373543.0
2020-03-11,0.51,0.51,0.42,0.4715,235971.0,0.0,1.0,0.51,0.51,0.42,0.4715,235971.0
2020-03-12,0.41,0.452923,0.372,0.4267,244531.0,0.0,1.0,0.41,0.452923,0.372,0.4267,244531.0
2020-03-13,0.39,0.475,0.38,0.42,283305.0,0.0,1.0,0.39,0.475,0.38,0.42,283305.0
2020-03-16,0.4,0.446,0.394,0.405,88894.0,0.0,1.0,0.4,0.446,0.394,0.405,88894.0
2020-03-17,0.4136,0.4179,0.3722,0.3918,108150.0,0.0,1.0,0.4136,0.4179,0.3722,0.3918,108150.0
2020-03-18,0.4,0.4,0.3701,0.3901,176105.0,0.0,1.0,0.4,0.4,0.3701,0.3901,176105.0
2020-03-19,0.3996,0.4702,0.3751,0.424999,154624.0,0.0,1.0,0.3996,0.4702,0.3751,0.424999,154624.0
2020-03-20,0.44,0.485,0.44,0.47,128943.0,0.0,1.0,0.44,0.485,0.44,0.47,128943.0
2020-03-23,0.4725,0.4798,0.382,0.4151,179644.0,0.0,1.0,0.4725,0.4798,0.382,0.4151,179644.0
2020-03-24,0.44,0.45,0.39,0.4398,237057.0,0.0,1.0,0.44,0.45,0.39,0.4398,237057.0
2020-03-25,0.44,0.46,0.402,0.42,222656.0,0.0,1.0,0.44,0.46,0.402,0.42,222656.0
2020-03-26,0.4265,0.495,0.41,0.4763,164249.0,0.0,1.0,0.4265,0.495,0.41,0.4763,164249.0
2020-03-27,0.4897,0.497,0.43001,0.47,94737.0,0.0,1.0,0.4897,0.497,0.43001,0.47,94737.0
2020-03-30,0.4603,0.48,0.4301,0.4625,155873.0,0.0,1.0,0.4603,0.48,0.4301,0.4625,155873.0
2020-03-31,0.469,0.58,0.469,0.5032,338328.0,0.0,1.0,0.469,0.58,0.469,0.5032,338328.0
2020-04-01,0.49,0.503199,0.45,0.47,157749.0,0.0,1.0,0.49,0.503199,0.45,0.47,157749.0
2020-04-02,0.5,0.5,0.4501,0.47,112286.0,0.0,1.0,0.5,0.5,0.4501,0.47,112286.0
2020-04-03,0.48,0.49,0.4101,0.49,124764.0,0.0,1.0,0.48,0.49,0.4101,0.49,124764.0
2020-04-06,0.49,0.53,0.4509,0.4808,77234.0,0.0,1.0,0.49,0.53,0.4509,0.4808,77234.0
2020-04-07,0.448,0.51,0.4396,0.477,350377.0,0.0,1.0,0.448,0.51,0.4396,0.477,350377.0
2020-04-08,0.477,0.485,0.4402,0.4799,151696.0,0.0,1.0,0.477,0.485,0.4402,0.4799,151696.0
2020-04-09,0.51,0.53,0.48,0.49,169228.0,0.0,1.0,0.51,0.53,0.48,0.49,169228.0
2020-04-13,0.47,0.51,0.4501,0.4611,199303.0,0.0,1.0,0.47,0.51,0.4501,0.4611,199303.0
2020-04-14,0.47,0.4874,0.4524,0.458,163319.0,0.0,1.0,0.47,0.4874,0.4524,0.458,163319.0
2020-04-15,0.4749,0.48,0.44,0.459603,193262.0,0.0,1.0,0.4749,0.48,0.44,0.459603,193262.0
2020-04-16,0.462,0.462,0.4328,0.4328,188589.0,0.0,1.0,0.462,0.462,0.4328,0.4328,188589.0
2020-04-17,0.447,0.46,0.43,0.4426,180144.0,0.0,1.0,0.447,0.46,0.43,0.4426,180144.0
2020-04-20,0.4402,0.5,0.4402,0.4649,201003.0,0.0,1.0,0.4402,0.5,0.4402,0.4649,201003.0
2020-04-21,0.4621,0.5349,0.431,0.48,228337.0,0.0,1.0,0.4621,0.5349,0.431,0.48,228337.0
2020-04-22,0.49,0.5,0.47,0.4811,109482.0,0.0,1.0,0.49,0.5,0.47,0.4811,109482.0
2020-04-23,0.498,0.689,0.4751,0.665,1209789.0,0.0,1.0,0.498,0.689,0.4751,0.665,1209789.0
2020-04-24,0.66,0.68,0.58,0.6001,536548.0,0.0,1.0,0.66,0.68,0.58,0.6001,536548.0
2020-04-27,0.64,0.66,0.5851,0.6592,293374.0,0.0,1.0,0.64,0.66,0.5851,0.6592,293374.0
2020-04-28,0.66,0.669,0.6,0.62,282439.0,0.0,1.0,0.66,0.669,0.6,0.62,282439.0
2020-04-29,0.68,0.76,0.6435,0.715,719873.0,0.0,1.0,0.68,0.76,0.6435,0.715,719873.0
2020-04-30,0.75,0.75,0.61,0.702,604599.0,0.0,1.0,0.75,0.75,0.61,0.702,604599.0
2020-05-01,0.72,0.72,0.551,0.56,1547785.0,0.0,1.0,0.72,0.72,0.551,0.56,1547785.0
2020-05-04,0.5299,0.815,0.49,0.5,698204.0,0.0,1.0,0.5299,0.815,0.49,0.5,698204.0
2020-05-05,0.514,0.537,0.49,0.5,624319.0,0.0,1.0,0.514,0.537,0.49,0.5,624319.0
2020-05-06,0.51,0.51,0.4404,0.45,1454114.0,0.0,1.0,0.51,0.51,0.4404,0.45,1454114.0
2020-05-07,0.5,0.54,0.46,0.53,530744.0,0.0,1.0,0.5,0.54,0.46,0.53,530744.0
2020-05-08,0.53,0.55,0.5002,0.5435,397459.0,0.0,1.0,0.53,0.55,0.5002,0.5435,397459.0
2020-05-11,0.65,0.65,0.565,0.625,940740.0,0.0,1.0,0.65,0.65,0.565,0.625,940740.0
2020-05-12,0.64,0.76,0.64,0.737,1478970.0,0.0,1.0,0.64,0.76,0.64,0.737,1478970.0
2020-05-13,0.759,0.765,0.65,0.6862,694382.0,0.0,1.0,0.759,0.765,0.65,0.6862,694382.0
2020-05-14,0.68,0.68,0.5535,0.609,572012.0,0.0,1.0,0.68,0.68,0.5535,0.609,572012.0
2020-05-15,0.6125,0.6431,0.6,0.625,291817.0,0.0,1.0,0.6125,0.6431,0.6,0.625,291817.0
2020-05-18,0.619,0.65,0.59,0.61,467190.0,0.0,1.0,0.619,0.65,0.59,0.61,467190.0
2020-05-19,0.63,0.63,0.5806,0.5952,256658.0,0.0,1.0,0.63,0.63,0.5806,0.5952,256658.0
2020-05-20,0.6,0.61,0.55,0.557,407276.0,0.0,1.0,0.6,0.61,0.55,0.557,407276.0
2020-05-21,0.5848,0.6,0.56,0.5873,186010.0,0.0,1.0,0.5848,0.6,0.56,0.5873,186010.0
2020-05-22,0.59,0.59,0.551,0.5688,209200.0,0.0,1.0,0.59,0.59,0.551,0.5688,209200.0
2020-05-26,0.5688,0.58,0.5601,0.5763,195371.0,0.0,1.0,0.5688,0.58,0.5601,0.5763,195371.0
2020-05-27,0.578,0.615,0.5551,0.5999,287573.0,0.0,1.0,0.578,0.615,0.5551,0.5999,287573.0
2020-05-28,0.6,0.6098,0.5602,0.574,78030.0,0.0,1.0,0.6,0.6098,0.5602,0.574,78030.0
2020-05-29,0.5722,0.5997,0.54,0.565,205202.0,0.0,1.0,0.5722,0.5997,0.54,0.565,205202.0
2020-06-01,0.5516,0.599889,0.55,0.5799,146965.0,0.0,1.0,0.5516,0.599889,0.55,0.5799,146965.0
2020-06-02,0.58,0.58,0.5505,0.5661,163659.0,0.0,1.0,0.58,0.58,0.5505,0.5661,163659.0
2020-06-03,0.5772,0.587,0.55551,0.58,155603.0,0.0,1.0,0.5772,0.587,0.55551,0.58,155603.0
2020-06-04,0.5723,0.599,0.5631,0.58,254817.0,0.0,1.0,0.5723,0.599,0.5631,0.58,254817.0
2020-06-05,0.6,0.69,0.57,0.6688,1099341.0,0.0,1.0,0.6,0.69,0.57,0.6688,1099341.0
2020-06-08,0.69,0.69,0.62,0.6729,530518.0,0.0,1.0,0.69,0.69,0.62,0.6729,530518.0
2020-06-09,0.69,0.69,0.6601,0.6638,252901.0,0.0,1.0,0.69,0.69,0.6601,0.6638,252901.0
2020-06-10,0.68,0.69,0.591,0.6206,416184.0,0.0,1.0,0.68,0.69,0.591,0.6206,416184.0
2020-06-11,0.62,0.62,0.55,0.579,490443.0,0.0,1.0,0.62,0.62,0.55,0.579,490443.0
2020-06-12,0.6,0.63,0.57601,0.6,289319.0,0.0,1.0,0.6,0.63,0.57601,0.6,289319.0
2020-06-15,0.58,0.6155,0.57,0.6,150147.0,0.0,1.0,0.58,0.6155,0.57,0.6,150147.0
2020-06-16,0.611,0.638,0.581456,0.5901,229552.0,0.0,1.0,0.611,0.638,0.581456,0.5901,229552.0
2020-06-17,0.6055,0.63,0.5901,0.5975,413229.0,0.0,1.0,0.6055,0.63,0.5901,0.5975,413229.0
2020-06-18,0.6,0.62,0.581,0.5928,282298.0,0.0,1.0,0.6,0.62,0.581,0.5928,282298.0
2020-06-19,0.585,0.605,0.5701,0.5754,292392.0,0.0,1.0,0.585,0.605,0.5701,0.5754,292392.0
2020-06-22,0.59,0.598,0.5622,0.5654,419122.0,0.0,1.0,0.59,0.598,0.5622,0.5654,419122.0
2020-06-23,0.5954,0.5977,0.5301,0.5346,721235.0,0.0,1.0,0.5954,0.5977,0.5301,0.5346,721235.0
2020-06-24,0.5426,0.56,0.5188,0.5383,622627.0,0.0,1.0,0.5426,0.56,0.5188,0.5383,622627.0
2020-06-25,0.5378,0.555899,0.5152,0.5444,472448.0,0.0,1.0,0.5378,0.555899,0.5152,0.5444,472448.0
2020-06-26,0.53,0.586,0.52,0.5348,810980.0,0.0,1.0,0.53,0.586,0.52,0.5348,810980.0
2020-06-29,0.5351,0.58,0.52,0.5607,634089.0,0.0,1.0,0.5351,0.58,0.52,0.5607,634089.0
2020-06-30,0.67,0.67,0.5547,0.5729,2783833.0,0.0,1.0,0.67,0.67,0.5547,0.5729,2783833.0
2020-07-01,0.795,0.82,0.6565,0.7222,18728674.0,0.0,1.0,0.795,0.82,0.6565,0.7222,18728674.0
2020-07-02,0.7,0.7015,0.611,0.6401,3875445.0,0.0,1.0,0.7,0.7015,0.611,0.6401,3875445.0
2020-07-06,0.65,0.65,0.5992,0.6216,2706123.0,0.0,1.0,0.65,0.65,0.5992,0.6216,2706123.0
2020-07-07,0.595,0.6075,0.57,0.5825,1460069.0,0.0,1.0,0.595,0.6075,0.57,0.5825,1460069.0
2020-07-08,0.58,0.6187,0.5525,0.6158,1893400.0,0.0,1.0,0.58,0.6187,0.5525,0.6158,1893400.0
