Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.5006,0.5006,0.48,0.4925,205853.0,0.0,1.0,10.012,10.012,9.6,9.85,10292.65
2020-01-03,0.5,0.5174,0.47,0.497,308347.0,0.0,1.0,10.0,10.347999999999999,9.399999999999999,9.94,15417.35
2020-01-06,0.4999,0.5,0.48,0.4881,253579.0,0.0,1.0,9.998000000000001,10.0,9.6,9.762,12678.95
2020-01-07,0.4878,0.54,0.4878,0.5199,479732.0,0.0,1.0,9.756,10.8,9.756,10.398,23986.6
2020-01-08,0.52,0.52,0.49,0.495,365086.0,0.0,1.0,10.4,10.4,9.8,9.9,18254.3
2020-01-09,0.56,0.64,0.4911,0.5,3497723.0,0.0,1.0,11.200000000000001,12.8,9.822,10.0,174886.15
2020-01-10,0.52,0.56,0.5,0.5122,722353.0,0.0,1.0,10.4,11.200000000000001,10.0,10.244,36117.65
2020-01-13,0.56,0.56,0.5022,0.519,655587.0,0.0,1.0,11.200000000000001,11.200000000000001,10.044,10.38,32779.35
2020-01-14,0.5355,0.55,0.5102,0.5283,236202.0,0.0,1.0,10.709999999999999,11.0,10.204,10.565999999999999,11810.1
2020-01-15,0.532,0.54,0.5101,0.5249,356678.0,0.0,1.0,10.64,10.8,10.202,10.498000000000001,17833.9
2020-01-16,0.54,0.54,0.515,0.5298,265555.0,0.0,1.0,10.8,10.8,10.3,10.596,13277.75
2020-01-17,0.54,0.57,0.52,0.5597,1095513.0,0.0,1.0,10.8,11.399999999999999,10.4,11.193999999999999,54775.65
2020-01-21,0.56,0.5989,0.55,0.562,713040.0,0.0,1.0,11.200000000000001,11.978,11.0,11.240000000000002,35652.0
2020-01-22,0.59,0.59,0.54,0.55315,239314.0,0.0,1.0,11.799999999999999,11.799999999999999,10.8,11.063,11965.7
2020-01-23,0.5653,0.57,0.5311,0.5501,255197.0,0.0,1.0,11.306000000000001,11.399999999999999,10.622,11.002,12759.85
2020-01-24,0.5664,0.5694,0.515,0.515,251412.0,0.0,1.0,11.328,11.388,10.3,10.3,12570.6
2020-01-27,0.511,0.5232,0.4906,0.4906,374108.0,0.0,1.0,10.22,10.464,9.812,9.812,18705.4
2020-01-28,0.504,0.52,0.5,0.5023,99507.0,0.0,1.0,10.08,10.4,10.0,10.046,4975.35
2020-01-29,0.525,0.525,0.4949,0.516,150690.0,0.0,1.0,10.5,10.5,9.898,10.32,7534.5
2020-01-30,0.51,0.51,0.45,0.464,1104982.0,0.0,1.0,10.2,10.2,9.0,9.280000000000001,55249.1
2020-01-31,0.34,0.34,0.281,0.2907,6028694.0,0.0,1.0,6.800000000000001,6.800000000000001,5.620000000000001,5.814,301434.7
2020-02-03,0.3,0.324,0.27,0.295,3393574.0,0.0,1.0,6.0,6.48,5.4,5.8999999999999995,169678.7
2020-02-04,0.29,0.2978,0.279,0.279,1554494.0,0.0,1.0,5.8,5.956,5.58,5.58,77724.7
2020-02-05,0.28,0.2975,0.272,0.28,2210269.0,0.0,1.0,5.6000000000000005,5.949999999999999,5.44,5.6000000000000005,110513.45
2020-02-06,0.2895,0.2895,0.258,0.2679,2000084.0,0.0,1.0,5.789999999999999,5.789999999999999,5.16,5.3580000000000005,100004.2
2020-02-07,0.2762,0.2762,0.2299,0.2506,3119256.0,0.0,1.0,5.524,5.524,4.598,5.012,155962.8
2020-02-10,0.25,0.26,0.233205,0.253,1683511.0,0.0,1.0,5.0,5.2,4.6640999999999995,5.0600000000000005,84175.55
2020-02-11,0.27,0.2888,0.2625,0.275,3465021.0,0.0,1.0,5.4,5.776,5.25,5.5,173251.05
2020-02-12,0.28,0.29,0.265,0.284,1796092.0,0.0,1.0,5.6000000000000005,5.8,5.300000000000001,5.68,89804.6
2020-02-13,0.298,0.298,0.27,0.279,1093989.0,0.0,1.0,5.96,5.96,5.4,5.58,54699.45
2020-02-14,0.2708,0.285,0.2708,0.2803,730100.0,0.0,1.0,5.4159999999999995,5.699999999999999,5.4159999999999995,5.606,36505.0
2020-02-18,0.28,0.281,0.26,0.27,1050453.0,0.0,1.0,5.6000000000000005,5.620000000000001,5.2,5.4,52522.65
2020-02-19,0.27,0.2779,0.261657,0.2739,649256.0,0.0,1.0,5.4,5.558,5.23314,5.478,32462.8
2020-02-20,0.275,0.29,0.2709,0.28,1786024.0,0.0,1.0,5.5,5.8,5.417999999999999,5.6000000000000005,89301.2
