Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.0,1.02,0.98,1.01,11977933.0,0.0,1.0,1.0,1.02,0.98,1.01,11977933.0
2020-01-03,1.01,1.03,0.9986,1.03,672044.0,0.0,1.0,1.01,1.03,0.9986,1.03,672044.0
2020-01-06,1.04,1.07,1.03,1.07,16177727.0,0.0,1.0,1.04,1.07,1.03,1.07,16177727.0
2020-01-07,1.08,1.1,1.07,1.1,3612647.0,0.0,1.0,1.08,1.1,1.07,1.1,3612647.0
2020-01-08,1.08,1.11,1.06,1.08,2185907.0,0.0,1.0,1.08,1.11,1.06,1.08,2185907.0
2020-01-09,1.06,1.09,1.06,1.08,603364.0,0.0,1.0,1.06,1.09,1.06,1.08,603364.0
2020-01-10,1.08,1.09,1.05,1.09,334737.0,0.0,1.0,1.08,1.09,1.05,1.09,334737.0
2020-01-13,1.03,1.06,1.0283,1.06,335043.0,0.0,1.0,1.03,1.06,1.0283,1.06,335043.0
2020-01-14,1.03,1.06,1.02,1.05,167706.0,0.0,1.0,1.03,1.06,1.02,1.05,167706.0
2020-01-15,1.04,1.06,1.01,1.03,220868.0,0.0,1.0,1.04,1.06,1.01,1.03,220868.0
2020-01-16,1.01,1.05,1.01,1.05,5018779.0,0.0,1.0,1.01,1.05,1.01,1.05,5018779.0
2020-01-17,1.04,1.05,1.02,1.04,1443968.0,0.0,1.0,1.04,1.05,1.02,1.04,1443968.0
2020-01-21,1.2,1.21,1.14,1.15,11391394.0,0.0,1.0,1.2,1.21,1.14,1.15,11391394.0
2020-01-22,1.16,1.16,1.09,1.1,2254640.0,0.0,1.0,1.16,1.16,1.09,1.1,2254640.0
2020-01-23,1.22,1.24,1.17,1.23,7879361.0,0.0,1.0,1.22,1.24,1.17,1.23,7879361.0
2020-01-24,1.22,1.23,1.06,1.06,10415063.0,0.0,1.0,1.22,1.23,1.06,1.06,10415063.0
2020-01-27,1.09,1.18,1.08,1.11,4624976.0,0.0,1.0,1.09,1.18,1.08,1.11,4624976.0
2020-01-28,1.12,1.15,1.09,1.1,392839.0,0.0,1.0,1.12,1.15,1.09,1.1,392839.0
2020-01-29,1.1,1.14,1.09,1.11,355879.0,0.0,1.0,1.1,1.14,1.09,1.11,355879.0
2020-01-30,1.09,1.1,1.05,1.1,2743119.0,0.0,1.0,1.09,1.1,1.05,1.1,2743119.0
2020-01-31,1.1,1.1157,1.07,1.07,308512.0,0.0,1.0,1.1,1.1157,1.07,1.07,308512.0
2020-02-03,1.1,1.13,1.09,1.11,1644758.0,0.0,1.0,1.1,1.13,1.09,1.11,1644758.0
2020-02-04,1.12,1.13,1.1,1.1,1058553.0,0.0,1.0,1.12,1.13,1.1,1.1,1058553.0
2020-02-05,1.11,1.12,1.1,1.1,226349.0,0.0,1.0,1.11,1.12,1.1,1.1,226349.0
2020-02-06,1.1,1.13,1.09,1.13,3962071.0,0.0,1.0,1.1,1.13,1.09,1.13,3962071.0
2020-02-07,1.09,1.105,1.07,1.08,1086888.0,0.0,1.0,1.09,1.105,1.07,1.08,1086888.0
2020-02-10,1.07,1.09,1.03,1.04,726462.0,0.0,1.0,1.07,1.09,1.03,1.04,726462.0
2020-02-11,1.04,1.06,1.03,1.03,783255.0,0.0,1.0,1.04,1.06,1.03,1.03,783255.0
2020-02-12,1.05,1.11,1.04,1.06,7961854.0,0.0,1.0,1.05,1.11,1.04,1.06,7961854.0
2020-02-13,1.09,1.13,1.08,1.09,1495057.0,0.0,1.0,1.09,1.13,1.08,1.09,1495057.0
2020-02-14,1.11,1.14,1.1,1.1,645036.0,0.0,1.0,1.11,1.14,1.1,1.1,645036.0
2020-02-18,1.13,1.14,1.08,1.1,1285042.0,0.0,1.0,1.13,1.14,1.08,1.1,1285042.0
2020-02-19,1.09,1.17,1.09,1.16,4436070.0,0.0,1.0,1.09,1.17,1.09,1.16,4436070.0
2020-02-20,1.15,1.18,1.13,1.14,665967.0,0.0,1.0,1.15,1.18,1.13,1.14,665967.0
2020-02-21,1.15,1.25,1.14,1.24,703471.0,0.0,1.0,1.15,1.25,1.14,1.24,703471.0
2020-02-24,1.21,1.21,1.16,1.17,221085.0,0.0,1.0,1.21,1.21,1.16,1.17,221085.0
2020-02-25,1.14,1.18,1.11,1.12,2666086.0,0.0,1.0,1.14,1.18,1.11,1.12,2666086.0
2020-02-26,1.1,1.17,1.09,1.1,1360239.0,0.0,1.0,1.1,1.17,1.09,1.1,1360239.0
2020-02-27,1.09,1.1,1.02,1.03,10955401.0,0.0,1.0,1.09,1.1,1.02,1.03,10955401.0
2020-02-28,1.03,1.05,0.99,1.05,9401039.0,0.0,1.0,1.03,1.05,0.99,1.05,9401039.0
2020-03-02,1.09,1.11,1.035,1.04,8835675.0,0.0,1.0,1.09,1.11,1.035,1.04,8835675.0
2020-03-03,1.13,1.14,1.055,1.06,7211394.0,0.0,1.0,1.13,1.14,1.055,1.06,7211394.0
2020-03-04,1.08,1.08,1.04,1.08,4084717.0,0.0,1.0,1.08,1.08,1.04,1.08,4084717.0
2020-03-05,1.04,1.05,0.969601,0.99,1494136.0,0.0,1.0,1.04,1.05,0.969601,0.99,1494136.0
2020-03-06,0.97,0.97,0.79,0.82,1684805.0,0.0,1.0,0.97,0.97,0.79,0.82,1684805.0
2020-03-09,0.8,0.8382,0.68,0.788,4121049.0,0.0,1.0,0.8,0.8382,0.68,0.788,4121049.0
2020-03-10,0.8,0.8992,0.8,0.8989,3976425.0,0.0,1.0,0.8,0.8992,0.8,0.8989,3976425.0
2020-03-11,1.02,1.05,0.8188,0.8985,7859180.0,0.0,1.0,1.02,1.05,0.8188,0.8985,7859180.0
2020-03-12,0.75,0.8522,0.710902,0.7509,2970254.0,0.0,1.0,0.75,0.8522,0.710902,0.7509,2970254.0
2020-03-13,0.8505,0.8516,0.75,0.7704,429131.0,0.0,1.0,0.8505,0.8516,0.75,0.7704,429131.0
2020-03-16,0.66,0.8,0.653,0.66,277591.0,0.0,1.0,0.66,0.8,0.653,0.66,277591.0
2020-03-17,0.74,0.74,0.6299,0.6299,418658.0,0.0,1.0,0.74,0.74,0.6299,0.6299,418658.0
2020-03-18,0.61,0.64,0.4036,0.4932,392287.0,0.0,1.0,0.61,0.64,0.4036,0.4932,392287.0
2020-03-19,0.49,0.5,0.4,0.4173,712251.0,0.0,1.0,0.49,0.5,0.4,0.4173,712251.0
2020-03-20,0.45,0.4826,0.39,0.39,1594824.0,0.0,1.0,0.45,0.4826,0.39,0.39,1594824.0
2020-03-23,0.4163,0.44,0.35,0.375,3070298.0,0.0,1.0,0.4163,0.44,0.35,0.375,3070298.0
2020-03-24,0.41,0.4129,0.37,0.39,3007280.0,0.0,1.0,0.41,0.4129,0.37,0.39,3007280.0
2020-03-25,0.44,0.48,0.38,0.4582,4407887.0,0.0,1.0,0.44,0.48,0.38,0.4582,4407887.0
2020-03-26,0.48,0.52,0.435,0.46,1693180.0,0.0,1.0,0.48,0.52,0.435,0.46,1693180.0
2020-03-27,0.432,0.4641,0.4002,0.46,292254.0,0.0,1.0,0.432,0.4641,0.4002,0.46,292254.0
2020-03-30,0.48,0.48,0.43,0.45,115068.0,0.0,1.0,0.48,0.48,0.43,0.45,115068.0
2020-03-31,0.46,0.46,0.4259,0.4389,175873.0,0.0,1.0,0.46,0.46,0.4259,0.4389,175873.0
2020-04-01,0.4168,0.4168,0.38,0.3831,1495473.0,0.0,1.0,0.4168,0.4168,0.38,0.3831,1495473.0
2020-04-02,0.42,0.43,0.4,0.4,912626.0,0.0,1.0,0.42,0.43,0.4,0.4,912626.0
2020-04-03,0.415,0.415,0.38,0.4,207831.0,0.0,1.0,0.415,0.415,0.38,0.4,207831.0
2020-04-06,0.4185,0.4185,0.4,0.4,26757.0,0.0,1.0,0.4185,0.4185,0.4,0.4,26757.0
2020-04-07,0.44,0.45,0.41535,0.425,5871794.0,0.0,1.0,0.44,0.45,0.41535,0.425,5871794.0
2020-04-08,0.43,0.45,0.4191,0.428,2946000.0,0.0,1.0,0.43,0.45,0.4191,0.428,2946000.0
2020-04-09,0.49,0.49,0.435,0.45,1132918.0,0.0,1.0,0.49,0.49,0.435,0.45,1132918.0
2020-04-13,0.4672,0.4672,0.42,0.42,102039.0,0.0,1.0,0.4672,0.4672,0.42,0.42,102039.0
2020-04-14,0.45,0.48,0.4363,0.47,1263903.0,0.0,1.0,0.45,0.48,0.4363,0.47,1263903.0
2020-04-15,0.4797,0.93,0.432,0.51,9532842.0,0.0,1.0,0.4797,0.93,0.432,0.51,9532842.0
2020-04-16,0.56,0.6,0.519,0.529,3252143.0,0.0,1.0,0.56,0.6,0.519,0.529,3252143.0
2020-04-17,0.57,0.58,0.5484,0.56001,3032768.0,0.0,1.0,0.57,0.58,0.5484,0.56001,3032768.0
2020-04-20,0.55,0.5814,0.5479,0.569,946864.0,0.0,1.0,0.55,0.5814,0.5479,0.569,946864.0
2020-04-21,0.543,0.56,0.53,0.5446,280827.0,0.0,1.0,0.543,0.56,0.53,0.5446,280827.0
2020-04-22,0.56,0.58,0.55,0.5567,953271.0,0.0,1.0,0.56,0.58,0.55,0.5567,953271.0
2020-04-23,0.5721,0.5978,0.53,0.5511,927549.0,0.0,1.0,0.5721,0.5978,0.53,0.5511,927549.0
2020-04-24,0.5093,0.5236,0.44,0.4787,1535111.0,0.0,1.0,0.5093,0.5236,0.44,0.4787,1535111.0
2020-04-27,0.5105,0.5105,0.4704,0.4855,407562.0,0.0,1.0,0.5105,0.5105,0.4704,0.4855,407562.0
2020-04-28,0.495,0.51,0.48,0.504503,3463645.0,0.0,1.0,0.495,0.51,0.48,0.504503,3463645.0
2020-04-29,0.5016,0.5499,0.5014,0.54,1778543.0,0.0,1.0,0.5016,0.5499,0.5014,0.54,1778543.0
2020-04-30,0.5278,0.5278,0.51,0.5152,714939.0,0.0,1.0,0.5278,0.5278,0.51,0.5152,714939.0
2020-05-01,0.525,0.525,0.4712,0.4999,133456.0,0.0,1.0,0.525,0.525,0.4712,0.4999,133456.0
2020-05-04,0.5,0.62,0.485,0.56,1909368.0,0.0,1.0,0.5,0.62,0.485,0.56,1909368.0
2020-05-05,0.59,0.6101,0.56,0.57,524838.0,0.0,1.0,0.59,0.6101,0.56,0.57,524838.0
2020-05-06,0.5724,0.5724,0.5432,0.5634,277236.0,0.0,1.0,0.5724,0.5724,0.5432,0.5634,277236.0
2020-05-07,0.554,0.5599,0.5153,0.52,1113902.0,0.0,1.0,0.554,0.5599,0.5153,0.52,1113902.0
2020-05-08,0.5355,0.5533,0.5311,0.54,148390.0,0.0,1.0,0.5355,0.5533,0.5311,0.54,148390.0
