Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.78,1.8,1.7,1.73,28785.0,0.0,1.0,1.78,1.8,1.7,1.73,28785.0
2020-01-03,1.7,1.72,1.69,1.7121,10167.0,0.0,1.0,1.7,1.72,1.69,1.7121,10167.0
2020-01-06,1.7,1.73,1.69,1.7213,31185.0,0.0,1.0,1.7,1.73,1.69,1.7213,31185.0
2020-01-07,1.71,1.7292,1.69,1.69,18776.0,0.0,1.0,1.71,1.7292,1.69,1.69,18776.0
2020-01-08,1.69,1.72,1.63,1.63,33310.0,0.0,1.0,1.69,1.72,1.63,1.63,33310.0
2020-01-09,1.63,1.7038,1.63,1.6837,15437.0,0.0,1.0,1.63,1.7038,1.63,1.6837,15437.0
2020-01-10,1.72,1.72,1.68,1.6816,45776.0,0.0,1.0,1.72,1.72,1.68,1.6816,45776.0
2020-01-13,1.68,1.68,1.66,1.665,32516.0,0.0,1.0,1.68,1.68,1.66,1.665,32516.0
2020-01-14,1.66,1.67,1.63,1.6425,19729.0,0.0,1.0,1.66,1.67,1.63,1.6425,19729.0
2020-01-15,1.61,1.6645,1.61,1.62,22899.0,0.0,1.0,1.61,1.6645,1.61,1.62,22899.0
2020-01-16,1.62,1.64,1.62,1.62,14853.0,0.0,1.0,1.62,1.64,1.62,1.62,14853.0
2020-01-17,1.65,1.65,1.61,1.64,16434.0,0.0,1.0,1.65,1.65,1.61,1.64,16434.0
2020-01-21,1.64,1.64,1.61,1.6159,19877.0,0.0,1.0,1.64,1.64,1.61,1.6159,19877.0
2020-01-22,1.61,1.64,1.61,1.64,41348.0,0.0,1.0,1.61,1.64,1.61,1.64,41348.0
2020-01-23,1.63,1.64,1.63,1.63,10163.0,0.0,1.0,1.63,1.64,1.63,1.63,10163.0
2020-01-24,1.64,1.68,1.64,1.68,19061.0,0.0,1.0,1.64,1.68,1.64,1.68,19061.0
2020-01-27,1.68,1.68,1.62,1.63,4827.0,0.0,1.0,1.68,1.68,1.62,1.63,4827.0
2020-01-28,1.63,1.64,1.6,1.6198,25840.0,0.0,1.0,1.63,1.64,1.6,1.6198,25840.0
2020-01-29,1.6,1.63,1.59,1.63,16120.0,0.0,1.0,1.6,1.63,1.59,1.63,16120.0
2020-01-30,1.581,1.61,1.5217,1.54,46658.0,0.0,1.0,1.581,1.61,1.5217,1.54,46658.0
2020-01-31,1.52,1.58,1.51,1.53,26095.0,0.0,1.0,1.52,1.58,1.51,1.53,26095.0
2020-02-03,1.52,1.545,1.51,1.51,40184.0,0.0,1.0,1.52,1.545,1.51,1.51,40184.0
2020-02-04,1.52,1.64,1.51,1.53,38940.0,0.0,1.0,1.52,1.64,1.51,1.53,38940.0
2020-02-05,1.58,1.5862,1.52,1.52,31193.0,0.0,1.0,1.58,1.5862,1.52,1.52,31193.0
2020-02-06,1.64,1.77,1.58,1.72,224030.0,0.0,1.0,1.64,1.77,1.58,1.72,224030.0
2020-02-07,1.68,1.75,1.5889,1.666,35355.0,0.0,1.0,1.68,1.75,1.5889,1.666,35355.0
2020-02-10,1.63,1.6717,1.6,1.63,49914.0,0.0,1.0,1.63,1.6717,1.6,1.63,49914.0
2020-02-11,1.63,1.65,1.6114,1.65,18245.0,0.0,1.0,1.63,1.65,1.6114,1.65,18245.0
