Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.87,1.95,1.84,1.88,53768.0,0.0,1.0,1.87,1.95,1.84,1.88,53768.0
2020-01-03,1.8507,1.89,1.84,1.85,20832.0,0.0,1.0,1.8507,1.89,1.84,1.85,20832.0
2020-01-06,1.86,1.91,1.85,1.87,20230.0,0.0,1.0,1.86,1.91,1.85,1.87,20230.0
2020-01-07,1.87,1.89,1.85,1.89,36739.0,0.0,1.0,1.87,1.89,1.85,1.89,36739.0
2020-01-08,1.86,1.89,1.85,1.87,31409.0,0.0,1.0,1.86,1.89,1.85,1.87,31409.0
2020-01-09,1.86,1.92,1.85,1.92,51424.0,0.0,1.0,1.86,1.92,1.85,1.92,51424.0
2020-01-10,1.94,2.03,1.93,1.98,87318.0,0.0,1.0,1.94,2.03,1.93,1.98,87318.0
2020-01-13,2.0,2.0,1.8802,1.89,53782.0,0.0,1.0,2.0,2.0,1.8802,1.89,53782.0
2020-01-14,2.0,2.0909,1.95,1.96,200219.0,0.0,1.0,2.0,2.0909,1.95,1.96,200219.0
2020-01-15,2.02,2.03,1.94,2.0,72601.0,0.0,1.0,2.02,2.03,1.94,2.0,72601.0
2020-01-16,2.0,2.1,1.9505,2.08,87906.0,0.0,1.0,2.0,2.1,1.9505,2.08,87906.0
2020-01-17,2.08,2.1,2.0201,2.09,57558.0,0.0,1.0,2.08,2.1,2.0201,2.09,57558.0
2020-01-21,2.11,2.1383,2.01,2.06,42592.0,0.0,1.0,2.11,2.1383,2.01,2.06,42592.0
2020-01-22,2.04,2.09,1.9701,2.03,42794.0,0.0,1.0,2.04,2.09,1.9701,2.03,42794.0
2020-01-23,2.01,2.01,1.87,1.88,48659.0,0.0,1.0,2.01,2.01,1.87,1.88,48659.0
2020-01-24,1.93,1.98,1.81,1.85,80566.0,0.0,1.0,1.93,1.98,1.81,1.85,80566.0
