Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.11,4.12,4.02,4.09,15694.0,0.0,1.0,4.11,4.12,4.02,4.09,15694.0
2020-01-03,4.14,4.38,4.06,4.22,12822.0,0.0,1.0,4.14,4.38,4.06,4.22,12822.0
2020-01-06,4.29,4.3475,4.18,4.22,7935.0,0.0,1.0,4.29,4.3475,4.18,4.22,7935.0
2020-01-07,4.22,4.25,4.0637,4.125,3645.0,0.0,1.0,4.22,4.25,4.0637,4.125,3645.0
2020-01-08,4.1322,4.3,4.1313,4.16,4982.0,0.0,1.0,4.1322,4.3,4.1313,4.16,4982.0
2020-01-09,4.1478,4.29,4.1478,4.26,2757.0,0.0,1.0,4.1478,4.29,4.1478,4.26,2757.0
2020-01-10,4.2341,4.2607,4.1,4.22,10623.0,0.0,1.0,4.2341,4.2607,4.1,4.22,10623.0
2020-01-13,4.34,4.34,4.05,4.05,7565.0,0.0,1.0,4.34,4.34,4.05,4.05,7565.0
2020-01-14,4.02,4.32,3.95,4.15,29218.0,0.0,1.0,4.02,4.32,3.95,4.15,29218.0
2020-01-15,4.2284,4.27,4.221,4.27,1635.0,0.0,1.0,4.2284,4.27,4.221,4.27,1635.0
2020-01-16,4.12,4.32,4.09,4.26,9744.0,0.0,1.0,4.12,4.32,4.09,4.26,9744.0
2020-01-17,4.12,4.2,4.12,4.2,1697.0,0.0,1.0,4.12,4.2,4.12,4.2,1697.0
2020-01-21,4.16,4.18,3.98,4.18,18617.0,0.0,1.0,4.16,4.18,3.98,4.18,18617.0
2020-01-22,4.01,4.12,4.01,4.12,10615.0,0.0,1.0,4.01,4.12,4.01,4.12,10615.0
2020-01-23,4.14,4.14,4.0,4.04,14399.0,0.0,1.0,4.14,4.14,4.0,4.04,14399.0
2020-01-24,4.0,4.1578,3.95,3.96,32271.0,0.0,1.0,4.0,4.1578,3.95,3.96,32271.0
2020-01-27,3.95,4.1,3.9,3.9,18135.0,0.0,1.0,3.95,4.1,3.9,3.9,18135.0
2020-01-28,3.88,3.9433,3.85,3.9433,15368.0,0.0,1.0,3.88,3.9433,3.85,3.9433,15368.0
2020-01-29,3.8536,3.9,3.81,3.9,5407.0,0.0,1.0,3.8536,3.9,3.81,3.9,5407.0
2020-01-30,3.921,3.921,3.711,3.72,32511.0,0.0,1.0,3.921,3.921,3.711,3.72,32511.0
2020-01-31,3.7694,3.918,3.73,3.801,9234.0,0.0,1.0,3.7694,3.918,3.73,3.801,9234.0
2020-02-03,3.819,3.89,3.72,3.75,23478.0,0.0,1.0,3.819,3.89,3.72,3.75,23478.0
2020-02-04,3.8,3.941,3.75,3.89,10917.0,0.0,1.0,3.8,3.941,3.75,3.89,10917.0
2020-02-05,4.0,4.0,3.865,4.0,3761.0,0.0,1.0,4.0,4.0,3.865,4.0,3761.0
2020-02-06,3.92,3.982,3.81,3.91,7678.0,0.0,1.0,3.92,3.982,3.81,3.91,7678.0
2020-02-07,3.95,3.98,3.7643,3.92,9909.0,0.0,1.0,3.95,3.98,3.7643,3.92,9909.0
2020-02-10,3.9641,3.9641,3.87,3.92,7550.0,0.0,1.0,3.9641,3.9641,3.87,3.92,7550.0
2020-02-11,3.897,3.98,3.86,3.9,24284.0,0.0,1.0,3.897,3.98,3.86,3.9,24284.0
2020-02-12,3.87,3.95,3.87,3.95,7823.0,0.0,1.0,3.87,3.95,3.87,3.95,7823.0
2020-02-13,3.91,3.94,3.91,3.92,1497.0,0.0,1.0,3.91,3.94,3.91,3.92,1497.0
2020-02-14,3.97,3.99,3.9,3.97,9809.0,0.0,1.0,3.97,3.99,3.9,3.97,9809.0
2020-02-18,3.97,4.0,3.9543,3.99,14023.0,0.0,1.0,3.97,4.0,3.9543,3.99,14023.0
2020-02-19,3.975,4.35,3.975,4.21,62180.0,0.0,1.0,3.975,4.35,3.975,4.21,62180.0
2020-02-20,4.2351,4.3922,4.2351,4.3922,4201.0,0.0,1.0,4.2351,4.3922,4.2351,4.3922,4201.0
2020-02-21,4.41,4.45,4.1,4.34,20580.0,0.0,1.0,4.41,4.45,4.1,4.34,20580.0
2020-02-24,4.06,4.26,3.9792,4.13,19084.0,0.0,1.0,4.06,4.26,3.9792,4.13,19084.0
2020-02-25,4.02,4.1,3.96,4.1,14219.0,0.0,1.0,4.02,4.1,3.96,4.1,14219.0
2020-02-26,4.0504,4.0504,3.8873,4.05,17242.0,0.0,1.0,4.0504,4.0504,3.8873,4.05,17242.0
2020-02-27,3.69,3.8959,3.58,3.66,45632.0,0.0,1.0,3.69,3.8959,3.58,3.66,45632.0
2020-02-28,3.42,3.84,3.42,3.61,11250.0,0.0,1.0,3.42,3.84,3.42,3.61,11250.0
2020-03-02,3.6301,3.6945,3.63,3.63,5815.0,0.0,1.0,3.6301,3.6945,3.63,3.63,5815.0
2020-03-03,4.18,4.21,3.5,3.5099,14348.0,0.0,1.0,4.18,4.21,3.5,3.5099,14348.0
2020-03-04,3.5785,3.97,3.5785,3.94,3419.0,0.0,1.0,3.5785,3.97,3.5785,3.94,3419.0
2020-03-05,3.89,3.91,3.68,3.91,12157.0,0.0,1.0,3.89,3.91,3.68,3.91,12157.0
2020-03-06,3.74,3.7707,3.7,3.71,5394.0,0.0,1.0,3.74,3.7707,3.7,3.71,5394.0
2020-03-09,3.7,3.71,3.18,3.42,32394.0,0.0,1.0,3.7,3.71,3.18,3.42,32394.0
2020-03-10,3.7319,3.7319,3.05,3.41,13796.0,0.0,1.0,3.7319,3.7319,3.05,3.41,13796.0
2020-03-11,3.4867,4.1,3.42,3.826,32160.0,0.0,1.0,3.4867,4.1,3.42,3.826,32160.0
2020-03-12,3.82,3.8791,3.15,3.205,45663.0,0.0,1.0,3.82,3.8791,3.15,3.205,45663.0
2020-03-13,3.2,3.25,3.19,3.225,14720.0,0.0,1.0,3.2,3.25,3.19,3.225,14720.0
2020-03-16,3.31,3.4635,3.2252,3.33,17788.0,0.0,1.0,3.31,3.4635,3.2252,3.33,17788.0
2020-03-17,2.985,3.38,2.31,3.33,32511.0,0.0,1.0,2.985,3.38,2.31,3.33,32511.0
2020-03-18,3.37,3.81,2.99,2.9967,24510.0,0.0,1.0,3.37,3.81,2.99,2.9967,24510.0
2020-03-19,3.0,3.0,2.6,2.6717,10756.0,0.0,1.0,3.0,3.0,2.6,2.6717,10756.0
2020-03-20,2.67,2.99,2.67,2.72,5148.0,0.0,1.0,2.67,2.99,2.67,2.72,5148.0
2020-03-23,2.51,2.61,2.4774,2.49,5907.0,0.0,1.0,2.51,2.61,2.4774,2.49,5907.0
2020-03-24,2.4256,2.578,2.24,2.5,17623.0,0.0,1.0,2.4256,2.578,2.24,2.5,17623.0
2020-03-25,2.5,2.65,2.4373,2.61,10744.0,0.0,1.0,2.5,2.65,2.4373,2.61,10744.0
2020-03-26,2.7252,2.91,2.71,2.82,7108.0,0.0,1.0,2.7252,2.91,2.71,2.82,7108.0
2020-03-27,2.7,2.85,2.6,2.7862,11764.0,0.0,1.0,2.7,2.85,2.6,2.7862,11764.0
2020-03-30,2.6,3.0,2.6,2.95,10621.0,0.0,1.0,2.6,3.0,2.6,2.95,10621.0
2020-03-31,2.89,3.02,2.79,2.93,12734.0,0.0,1.0,2.89,3.02,2.79,2.93,12734.0
2020-04-01,3.16,3.16,2.84,2.98,9627.0,0.0,1.0,3.16,3.16,2.84,2.98,9627.0
2020-04-02,3.09,3.18,2.63,2.63,16333.0,0.0,1.0,3.09,3.18,2.63,2.63,16333.0
2020-04-03,3.39,3.39,2.76,2.85,7983.0,0.0,1.0,3.39,3.39,2.76,2.85,7983.0
2020-04-06,2.9454,2.98,2.8227,2.84,6256.0,0.0,1.0,2.9454,2.98,2.8227,2.84,6256.0
2020-04-07,2.8906,3.0,2.7601,2.8015,19167.0,0.0,1.0,2.8906,3.0,2.7601,2.8015,19167.0
2020-04-08,2.761,2.9799,2.76,2.94,2700.0,0.0,1.0,2.761,2.9799,2.76,2.94,2700.0
2020-04-09,2.95,2.99,2.52,2.8,15546.0,0.0,1.0,2.95,2.99,2.52,2.8,15546.0
2020-04-13,2.6801,2.79,2.51,2.75,13369.0,0.0,1.0,2.6801,2.79,2.51,2.75,13369.0
2020-04-14,2.6101,2.842,2.6101,2.7749,6787.0,0.0,1.0,2.6101,2.842,2.6101,2.7749,6787.0
2020-04-15,2.89,2.89,2.73,2.8,9176.0,0.0,1.0,2.89,2.89,2.73,2.8,9176.0
2020-04-16,2.8324,2.8324,2.59,2.59,10665.0,0.0,1.0,2.8324,2.8324,2.59,2.59,10665.0
2020-04-17,2.7875,2.83,2.73,2.75,2021.0,0.0,1.0,2.7875,2.83,2.73,2.75,2021.0
2020-04-20,2.6224,2.77,2.59,2.59,10365.0,0.0,1.0,2.6224,2.77,2.59,2.59,10365.0
2020-04-21,2.94,2.94,2.5,2.52,12785.0,0.0,1.0,2.94,2.94,2.5,2.52,12785.0
2020-04-22,2.64,2.6864,2.5112,2.5985,4199.0,0.0,1.0,2.64,2.6864,2.5112,2.5985,4199.0
2020-04-23,2.53,2.67,2.5254,2.58,1214.0,0.0,1.0,2.53,2.67,2.5254,2.58,1214.0
2020-04-24,2.58,2.75,2.5428,2.71,7219.0,0.0,1.0,2.58,2.75,2.5428,2.71,7219.0
2020-04-27,2.64,2.6627,2.64,2.66,812.0,0.0,1.0,2.64,2.6627,2.64,2.66,812.0
2020-04-28,2.68,2.6901,2.6076,2.6076,2727.0,0.0,1.0,2.68,2.6901,2.6076,2.6076,2727.0
2020-04-29,2.7801,2.7801,2.55,2.55,8948.0,0.0,1.0,2.7801,2.7801,2.55,2.55,8948.0
2020-04-30,2.55,2.9865,2.4633,2.59,10156.0,0.0,1.0,2.55,2.9865,2.4633,2.59,10156.0
2020-05-01,2.4772,2.69,2.4772,2.69,787.0,0.0,1.0,2.4772,2.69,2.4772,2.69,787.0
