Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.81,4.9,4.1709,4.5,100495.0,0.0,1.0,4.81,4.9,4.1709,4.5,100495.0
2020-01-03,4.7,4.91,4.62,4.87,54545.0,0.0,1.0,4.7,4.91,4.62,4.87,54545.0
2020-01-06,4.87,5.2427,4.77,5.14,117883.0,0.0,1.0,4.87,5.2427,4.77,5.14,117883.0
2020-01-07,5.1,5.6,5.1,5.1,52972.0,0.0,1.0,5.1,5.6,5.1,5.1,52972.0
2020-01-08,5.04,5.0552,4.75,4.85,38185.0,0.0,1.0,5.04,5.0552,4.75,4.85,38185.0
2020-01-09,4.75,4.75,4.55,4.7,30238.0,0.0,1.0,4.75,4.75,4.55,4.7,30238.0
2020-01-10,4.6,4.6,4.34,4.52,68153.0,0.0,1.0,4.6,4.6,4.34,4.52,68153.0
2020-01-13,4.42,4.45,4.14,4.24,32467.0,0.0,1.0,4.42,4.45,4.14,4.24,32467.0
2020-01-14,4.17,4.997,4.07,4.69,30527.0,0.0,1.0,4.17,4.997,4.07,4.69,30527.0
2020-01-15,4.6,4.98,4.6,4.97,27033.0,0.0,1.0,4.6,4.98,4.6,4.97,27033.0
2020-01-16,4.98,5.2001,4.98,5.02,32126.0,0.0,1.0,4.98,5.2001,4.98,5.02,32126.0
2020-01-17,5.2,5.547,5.2,5.4,113213.0,0.0,1.0,5.2,5.547,5.2,5.4,113213.0
2020-01-21,5.39,5.39,5.0,5.09,85728.0,0.0,1.0,5.39,5.39,5.0,5.09,85728.0
2020-01-22,4.92,5.14,4.74,5.1,26081.0,0.0,1.0,4.92,5.14,4.74,5.1,26081.0
2020-01-23,5.1,5.1,4.7,4.73,63700.0,0.0,1.0,5.1,5.1,4.7,4.73,63700.0
2020-01-24,4.69,5.0,4.6,4.9,25504.0,0.0,1.0,4.69,5.0,4.6,4.9,25504.0
2020-01-27,4.9,4.9,4.77,4.8,8868.0,0.0,1.0,4.9,4.9,4.77,4.8,8868.0
2020-01-28,4.8,4.83,4.62,4.83,18379.0,0.0,1.0,4.8,4.83,4.62,4.83,18379.0
2020-01-29,4.9,5.4,4.9,5.24,49850.0,0.0,1.0,4.9,5.4,4.9,5.24,49850.0
2020-01-30,5.27,5.35,5.035,5.06,35200.0,0.0,1.0,5.27,5.35,5.035,5.06,35200.0
2020-01-31,4.98,5.21,4.98,5.18,16969.0,0.0,1.0,4.98,5.21,4.98,5.18,16969.0
2020-02-03,6.18,6.4888,5.31,5.44,474562.0,0.0,1.0,6.18,6.4888,5.31,5.44,474562.0
2020-02-04,5.44,5.4673,4.91,5.07,93106.0,0.0,1.0,5.44,5.4673,4.91,5.07,93106.0
2020-02-05,4.97,5.09,4.71,4.89,53163.0,0.0,1.0,4.97,5.09,4.71,4.89,53163.0
2020-02-06,4.89,5.25,4.8,5.07,52907.0,0.0,1.0,4.89,5.25,4.8,5.07,52907.0
2020-02-07,5.0,5.0,4.88,4.95,14674.0,0.0,1.0,5.0,5.0,4.88,4.95,14674.0
2020-02-10,4.95,4.98,4.85,4.94,16040.0,0.0,1.0,4.95,4.98,4.85,4.94,16040.0
2020-02-11,4.88,5.38,4.8,5.05,202997.0,0.0,1.0,4.88,5.38,4.8,5.05,202997.0
2020-02-12,5.13,5.13,4.815,5.0,27754.0,0.0,1.0,5.13,5.13,4.815,5.0,27754.0
2020-02-13,5.0,5.14,4.97,5.11,88151.0,0.0,1.0,5.0,5.14,4.97,5.11,88151.0
2020-02-14,5.09,5.09,4.86,4.88,17804.0,0.0,1.0,5.09,5.09,4.86,4.88,17804.0
2020-02-18,4.84,4.95,4.75,4.77,19014.0,0.0,1.0,4.84,4.95,4.75,4.77,19014.0
2020-02-19,4.75,4.86,4.62,4.84,31522.0,0.0,1.0,4.75,4.86,4.62,4.84,31522.0
2020-02-20,4.87,4.87,4.5,4.85,30226.0,0.0,1.0,4.87,4.87,4.5,4.85,30226.0
2020-02-21,4.87,4.87,4.55,4.55,35960.0,0.0,1.0,4.87,4.87,4.55,4.55,35960.0
2020-02-24,4.4,4.505,4.19,4.44,53692.0,0.0,1.0,4.4,4.505,4.19,4.44,53692.0
2020-02-25,4.41,4.44,4.2,4.22,32509.0,0.0,1.0,4.41,4.44,4.2,4.22,32509.0
2020-02-26,4.22,4.4,4.18,4.34,36726.0,0.0,1.0,4.22,4.4,4.18,4.34,36726.0
2020-02-27,4.28,4.3,4.12,4.12,36120.0,0.0,1.0,4.28,4.3,4.12,4.12,36120.0
2020-02-28,4.11,4.32,4.11,4.32,23904.0,0.0,1.0,4.11,4.32,4.11,4.32,23904.0
2020-03-02,4.25,4.35,4.11,4.2,15874.0,0.0,1.0,4.25,4.35,4.11,4.2,15874.0
2020-03-03,4.2,4.34,4.2,4.29,29029.0,0.0,1.0,4.2,4.34,4.2,4.29,29029.0
2020-03-04,4.23,4.33,4.21,4.25,20725.0,0.0,1.0,4.23,4.33,4.21,4.25,20725.0
2020-03-05,4.25,4.45,4.24,4.2913,67466.0,0.0,1.0,4.25,4.45,4.24,4.2913,67466.0
2020-03-06,4.3,4.3,4.02,4.02,52359.0,0.0,1.0,4.3,4.3,4.02,4.02,52359.0
2020-03-09,4.0,4.0,3.57,3.7,53887.0,0.0,1.0,4.0,4.0,3.57,3.7,53887.0
2020-03-10,4.2,4.2,3.63,3.73,22337.0,0.0,1.0,4.2,4.2,3.63,3.73,22337.0
2020-03-11,3.71,3.9,3.64,3.86,35634.0,0.0,1.0,3.71,3.9,3.64,3.86,35634.0
2020-03-12,3.8,3.8,3.16,3.28,49911.0,0.0,1.0,3.8,3.8,3.16,3.28,49911.0
2020-03-13,3.43,3.9,3.43,3.46,17830.0,0.0,1.0,3.43,3.9,3.43,3.46,17830.0
2020-03-16,3.17,3.82,3.17,3.25,15440.0,0.0,1.0,3.17,3.82,3.17,3.25,15440.0
2020-03-17,3.12,3.33,3.05,3.07,30639.0,0.0,1.0,3.12,3.33,3.05,3.07,30639.0
2020-03-18,3.21,3.25,2.8009,2.94,38777.0,0.0,1.0,3.21,3.25,2.8009,2.94,38777.0
2020-03-19,2.99,3.175,2.8,2.99,39132.0,0.0,1.0,2.99,3.175,2.8,2.99,39132.0
