Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-16,1.03,1.03,1.01,1.01,50820.0,0.0,1.0,1.03,1.03,1.01,1.01,50820.0
2020-12-17,1.09,1.1,1.03,1.1,7050.0,0.0,1.0,1.09,1.1,1.03,1.1,7050.0
2020-12-18,1.05,1.07,0.97,1.035,20381.0,0.0,1.0,1.05,1.07,0.97,1.035,20381.0
2020-12-21,1.03,1.03,0.92,0.92,7925.0,0.0,1.0,1.03,1.03,0.92,0.92,7925.0
2020-12-22,0.96,1.0,0.945,0.97,32700.0,0.0,1.0,0.96,1.0,0.945,0.97,32700.0
2020-12-23,0.97,1.0,0.959899,0.97,31746.0,0.0,1.0,0.97,1.0,0.959899,0.97,31746.0
2020-12-24,1.04,1.1,1.03,1.07,269149.0,0.0,1.0,1.04,1.1,1.03,1.07,269149.0
2020-12-28,1.1,1.19,0.98,1.02,174187.0,0.0,1.0,1.1,1.19,0.98,1.02,174187.0
2020-12-29,1.0501,1.11,1.05,1.05,20698.0,0.0,1.0,1.0501,1.11,1.05,1.05,20698.0
2020-12-30,1.06,1.125,1.04,1.1,43222.0,0.0,1.0,1.06,1.125,1.04,1.1,43222.0
2020-12-31,1.25,1.25,0.98,1.01,42634.0,0.0,1.0,1.25,1.25,0.98,1.01,42634.0
