Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-08-21,1.9,1.9999,1.8999,1.9999,2400.0,0.0,1.0,1.9,1.9999,1.8999,1.9999,2400.0
2020-08-24,2.1,2.39,2.1,2.3787,1054.0,0.0,1.0,2.1,2.39,2.1,2.3787,1054.0
2020-08-25,2.3787,2.3787,2.3787,2.3787,0.0,0.0,1.0,2.3787,2.3787,2.3787,2.3787,0.0
2020-08-26,2.34,2.65,2.32,2.59,3310.0,0.0,1.0,2.34,2.65,2.32,2.59,3310.0
2020-08-27,2.59,2.59,2.59,2.59,0.0,0.0,1.0,2.59,2.59,2.59,2.59,0.0
2020-08-28,2.75,2.88,2.75,2.88,1177.0,0.0,1.0,2.75,2.88,2.75,2.88,1177.0
2020-08-31,2.85,3.2502,2.85,2.88,2656.0,0.0,1.0,2.85,3.2502,2.85,2.88,2656.0
2020-09-01,2.88,2.88,2.88,2.88,0.0,0.0,1.0,2.88,2.88,2.88,2.88,0.0
2020-09-02,2.88,2.88,2.88,2.88,0.0,0.0,1.0,2.88,2.88,2.88,2.88,0.0
2020-09-03,3.02,3.02,3.02,3.02,100.0,0.0,1.0,3.02,3.02,3.02,3.02,100.0
2020-09-04,2.14,2.9,2.03,2.9,454.0,0.0,1.0,2.14,2.9,2.03,2.9,454.0
2020-09-08,2.9,2.9,2.9,2.9,0.0,0.0,1.0,2.9,2.9,2.9,2.9,0.0
2020-09-09,2.9,2.9,2.9,2.9,0.0,0.0,1.0,2.9,2.9,2.9,2.9,0.0
2020-09-10,2.9,2.9,2.9,2.9,444.0,0.0,1.0,2.9,2.9,2.9,2.9,444.0
2020-09-11,2.63,2.63,2.63,2.63,112.0,0.0,1.0,2.63,2.63,2.63,2.63,112.0
2020-09-14,2.725,2.725,2.725,2.725,696.0,0.0,1.0,2.725,2.725,2.725,2.725,696.0
2020-09-15,2.7,2.7,2.7,2.7,1468.0,0.0,1.0,2.7,2.7,2.7,2.7,1468.0
