Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-08-31,3.25,3.325,3.09,3.09,173448.0,0.0,1.0,3.25,3.325,3.09,3.09,173448.0
2020-09-01,3.11,3.11,2.76,2.76,160607.0,0.0,1.0,3.11,3.11,2.76,2.76,160607.0
2020-09-02,2.94,3.01,2.6,2.8,64853.0,0.0,1.0,2.94,3.01,2.6,2.8,64853.0
2020-09-03,2.82,2.82,2.48,2.4917,75689.0,0.0,1.0,2.82,2.82,2.48,2.4917,75689.0
2020-09-04,2.59,2.69,2.3701,2.57,119104.0,0.0,1.0,2.59,2.69,2.3701,2.57,119104.0
2020-09-08,2.54,2.66,2.4951,2.51,46427.0,0.0,1.0,2.54,2.66,2.4951,2.51,46427.0
2020-09-09,2.66,2.69,2.45,2.6499,39471.0,0.0,1.0,2.66,2.69,2.45,2.6499,39471.0
2020-09-10,2.67,2.87,2.63,2.87,200659.0,0.0,1.0,2.67,2.87,2.63,2.87,200659.0
2020-09-11,2.8,2.96,2.75,2.95,35064.0,0.0,1.0,2.8,2.96,2.75,2.95,35064.0
2020-09-14,2.95,3.22,2.95,3.03,139888.0,0.0,1.0,2.95,3.22,2.95,3.03,139888.0
2020-09-15,2.95,3.16,2.95,3.06,31290.0,0.0,1.0,2.95,3.16,2.95,3.06,31290.0
2020-09-16,3.045,3.33,3.045,3.17,59822.0,0.0,1.0,3.045,3.33,3.045,3.17,59822.0
2020-09-17,3.18,3.36,3.1,3.15,53083.0,0.0,1.0,3.18,3.36,3.1,3.15,53083.0
2020-09-18,3.14,3.25,3.03,3.08,27738.0,0.0,1.0,3.14,3.25,3.03,3.08,27738.0
2020-09-21,3.01,3.19,2.7,3.005,51402.0,0.0,1.0,3.01,3.19,2.7,3.005,51402.0
2020-09-22,3.17,3.17,2.82,2.82,31158.0,0.0,1.0,3.17,3.17,2.82,2.82,31158.0
2020-09-23,2.86,3.0699,2.79,2.79,7551.0,0.0,1.0,2.86,3.0699,2.79,2.79,7551.0
2020-09-24,2.84,3.0626,2.8,2.94,14328.0,0.0,1.0,2.84,3.0626,2.8,2.94,14328.0
