Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,8.79,9.46,8.65,9.35,92550.0,0.0,1.0,8.79,9.46,8.65,9.35,92550.0
2020-01-03,9.1595,9.1595,8.73,8.89,27340.0,0.0,1.0,9.1595,9.1595,8.73,8.89,27340.0
2020-01-06,8.8,9.19,8.68,8.74,19789.0,0.0,1.0,8.8,9.19,8.68,8.74,19789.0
2020-01-07,8.75,8.9,7.88,8.03,143201.0,0.0,1.0,8.75,8.9,7.88,8.03,143201.0
2020-01-08,8.0,8.53,8.0,8.24,35167.0,0.0,1.0,8.0,8.53,8.0,8.24,35167.0
2020-01-09,8.15,8.1884,8.01,8.01,22549.0,0.0,1.0,8.15,8.1884,8.01,8.01,22549.0
2020-01-10,8.02,8.57,8.02,8.24,60780.0,0.0,1.0,8.02,8.57,8.02,8.24,60780.0
2020-01-13,8.35,8.5,8.1,8.35,30970.0,0.0,1.0,8.35,8.5,8.1,8.35,30970.0
2020-01-14,8.34,8.39,8.03,8.1,39737.0,0.0,1.0,8.34,8.39,8.03,8.1,39737.0
2020-01-15,8.15,8.3516,8.0699,8.07,73523.0,0.0,1.0,8.15,8.3516,8.0699,8.07,73523.0
2020-01-16,8.11,8.5499,8.11,8.48,58550.0,0.0,1.0,8.11,8.5499,8.11,8.48,58550.0
2020-01-17,8.4101,9.34,8.2,9.34,145947.0,0.0,1.0,8.4101,9.34,8.2,9.34,145947.0
2020-01-21,9.35,9.5,8.55,8.76,89317.0,0.0,1.0,9.35,9.5,8.55,8.76,89317.0
2020-01-22,8.93,9.0216,8.6,8.89,35257.0,0.0,1.0,8.93,9.0216,8.6,8.89,35257.0
2020-01-23,8.85,9.04,8.55,8.65,30000.0,0.0,1.0,8.85,9.04,8.55,8.65,30000.0
2020-01-24,8.71,8.74,8.34,8.385,35359.0,0.0,1.0,8.71,8.74,8.34,8.385,35359.0
2020-01-27,8.29,8.47,8.0,8.13,30074.0,0.0,1.0,8.29,8.47,8.0,8.13,30074.0
2020-01-28,8.1,8.598,8.1,8.4,36007.0,0.0,1.0,8.1,8.598,8.1,8.4,36007.0
2020-01-29,8.4,8.57,8.205,8.33,54799.0,0.0,1.0,8.4,8.57,8.205,8.33,54799.0
2020-01-30,8.4,8.4,8.28,8.3673,13101.0,0.0,1.0,8.4,8.4,8.28,8.3673,13101.0
2020-01-31,8.55,8.56,7.25,7.4,149920.0,0.0,1.0,8.55,8.56,7.25,7.4,149920.0
2020-02-03,7.26,7.65,6.61,7.0,141124.0,0.0,1.0,7.26,7.65,6.61,7.0,141124.0
