Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.16,1.25,1.16,1.24,197887.0,0.0,1.0,1.16,1.25,1.16,1.24,197887.0
2020-01-03,1.25,1.26,1.18,1.23,96926.0,0.0,1.0,1.25,1.26,1.18,1.23,96926.0
2020-01-06,1.23,1.32,1.1801,1.24,1095731.0,0.0,1.0,1.23,1.32,1.1801,1.24,1095731.0
2020-01-07,1.29,1.3,1.21,1.23,516743.0,0.0,1.0,1.29,1.3,1.21,1.23,516743.0
2020-01-08,1.2,1.25,1.2,1.2,452000.0,0.0,1.0,1.2,1.25,1.2,1.2,452000.0
2020-01-09,1.21,1.216,1.17,1.18,332908.0,0.0,1.0,1.21,1.216,1.17,1.18,332908.0
2020-01-10,1.18,1.2,1.13,1.17,426281.0,0.0,1.0,1.18,1.2,1.13,1.17,426281.0
2020-01-13,1.13,1.16,1.1,1.12,365226.0,0.0,1.0,1.13,1.16,1.1,1.12,365226.0
2020-01-14,1.13,1.16,1.1,1.13,401660.0,0.0,1.0,1.13,1.16,1.1,1.13,401660.0
2020-01-15,1.15,1.16,1.13,1.14,427045.0,0.0,1.0,1.15,1.16,1.13,1.14,427045.0
2020-01-16,1.18,1.22,1.15,1.18,418792.0,0.0,1.0,1.18,1.22,1.15,1.18,418792.0
2020-01-17,1.17,1.2,1.16,1.16,230996.0,0.0,1.0,1.17,1.2,1.16,1.16,230996.0
2020-01-21,1.17,1.195,1.14,1.14,178222.0,0.0,1.0,1.17,1.195,1.14,1.14,178222.0
2020-01-22,1.14,1.1535,1.11,1.11,202453.0,0.0,1.0,1.14,1.1535,1.11,1.11,202453.0
2020-01-23,1.11,1.12,1.05,1.11,313815.0,0.0,1.0,1.11,1.12,1.05,1.11,313815.0
2020-01-24,1.08,1.16,1.04,1.04,291878.0,0.0,1.0,1.08,1.16,1.04,1.04,291878.0
2020-01-27,1.05,1.05,0.9809,0.995,256142.0,0.0,1.0,1.05,1.05,0.9809,0.995,256142.0
2020-01-28,0.99,0.99,0.93,0.9688,316446.0,0.0,1.0,0.99,0.99,0.93,0.9688,316446.0
2020-01-29,0.9649,0.9649,0.9,0.9066,197328.0,0.0,1.0,0.9649,0.9649,0.9,0.9066,197328.0
2020-01-30,0.8951,0.91,0.8,0.8308,394969.0,0.0,1.0,0.8951,0.91,0.8,0.8308,394969.0
2020-01-31,0.83,0.8976,0.8073,0.89,337288.0,0.0,1.0,0.83,0.8976,0.8073,0.89,337288.0
2020-02-03,0.88,0.9399,0.86,0.8779,338992.0,0.0,1.0,0.88,0.9399,0.86,0.8779,338992.0
2020-02-04,0.878,0.878,0.83,0.8485,351379.0,0.0,1.0,0.878,0.878,0.83,0.8485,351379.0
2020-02-05,0.8567,0.86,0.8,0.8175,412482.0,0.0,1.0,0.8567,0.86,0.8,0.8175,412482.0
2020-02-06,0.85,0.879075,0.79,0.8172,466609.0,0.0,1.0,0.85,0.879075,0.79,0.8172,466609.0
2020-02-07,0.8393,0.87,0.795,0.8301,222501.0,0.0,1.0,0.8393,0.87,0.795,0.8301,222501.0
2020-02-10,0.85,1.06,0.839777,0.9291,1635378.0,0.0,1.0,0.85,1.06,0.839777,0.9291,1635378.0
2020-02-11,0.9476,0.95,0.87071,0.8944,288770.0,0.0,1.0,0.9476,0.95,0.87071,0.8944,288770.0
2020-02-12,0.899,0.9,0.87,0.886,103552.0,0.0,1.0,0.899,0.9,0.87,0.886,103552.0
2020-02-13,0.87,0.9,0.8506,0.8828,236457.0,0.0,1.0,0.87,0.9,0.8506,0.8828,236457.0
2020-02-14,0.89,0.9099,0.8651,0.9047,96257.0,0.0,1.0,0.89,0.9099,0.8651,0.9047,96257.0
2020-02-18,0.9607,0.960839,0.886,0.9,147476.0,0.0,1.0,0.9607,0.960839,0.886,0.9,147476.0
