Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-12,0.92,0.92,0.61,0.61,5301.0,0.0,1.0,0.92,0.92,0.61,0.61,5301.0
2020-11-13,0.64,0.64,0.58,0.58,10200.0,0.0,1.0,0.64,0.64,0.58,0.58,10200.0
2020-11-16,0.61,0.69,0.61,0.64,19950.0,0.0,1.0,0.61,0.69,0.61,0.64,19950.0
2020-11-17,0.66,0.7,0.602,0.67,11950.0,0.0,1.0,0.66,0.7,0.602,0.67,11950.0
2020-11-18,0.67,0.67,0.664046,0.664046,2904.0,0.0,1.0,0.67,0.67,0.664046,0.664046,2904.0
2020-11-19,0.67,0.67,0.63,0.66,22858.0,0.0,1.0,0.67,0.67,0.63,0.66,22858.0
2020-11-20,0.66,0.82,0.66,0.7068,17352.0,0.0,1.0,0.66,0.82,0.66,0.7068,17352.0
2020-11-23,0.65,0.7551,0.65,0.714175,6580.0,0.0,1.0,0.65,0.7551,0.65,0.714175,6580.0
2020-11-24,0.71,0.8157,0.7057,0.7057,4450.0,0.0,1.0,0.71,0.8157,0.7057,0.7057,4450.0
2020-11-25,0.7,1.16,0.644999,0.7802,52747.0,0.0,1.0,0.7,1.16,0.644999,0.7802,52747.0
2020-11-27,0.7802,0.7802,0.7802,0.7802,30.0,0.0,1.0,0.7802,0.7802,0.7802,0.7802,30.0
2020-11-30,0.8426,0.9226,0.8426,0.9225,1247.0,0.0,1.0,0.8426,0.9226,0.8426,0.9225,1247.0
2020-12-01,0.89,0.89,0.81,0.81,7182.0,0.0,1.0,0.89,0.89,0.81,0.81,7182.0
2020-12-02,0.81,0.81,0.81,0.81,0.0,0.0,1.0,0.81,0.81,0.81,0.81,0.0
2020-12-03,0.8748,0.8748,0.81,0.81,1303.0,0.0,1.0,0.8748,0.8748,0.81,0.81,1303.0
2020-12-04,0.86,0.96,0.8299,0.83,75206.0,0.0,1.0,0.86,0.96,0.8299,0.83,75206.0
2020-12-07,0.83,0.8675,0.8,0.86,60500.0,0.0,1.0,0.83,0.8675,0.8,0.86,60500.0
2020-12-08,0.9098,0.949984,0.86,0.9274,78656.0,0.0,1.0,0.9098,0.949984,0.86,0.9274,78656.0
2020-12-09,0.9002,0.92,0.8,0.8001,8650.0,0.0,1.0,0.9002,0.92,0.8,0.8001,8650.0
2020-12-10,0.8501,1.035,0.85,1.035,4023.0,0.0,1.0,0.8501,1.035,0.85,1.035,4023.0
2020-12-11,1.18,1.26,1.15,1.17,13660.0,0.0,1.0,1.18,1.26,1.15,1.17,13660.0
2020-12-14,1.11,1.13,1.0099,1.13,6450.0,0.0,1.0,1.11,1.13,1.0099,1.13,6450.0
2020-12-15,1.08,1.08,0.8,0.925099,7000.0,0.0,1.0,1.08,1.08,0.8,0.925099,7000.0
2020-12-16,0.9499,1.1,0.9499,1.0,23545.0,0.0,1.0,0.9499,1.1,0.9499,1.0,23545.0
2020-12-17,0.95,1.03,0.9,0.95,7709.0,0.0,1.0,0.95,1.03,0.9,0.95,7709.0
2020-12-18,0.98,1.05,0.98,1.04,3650.0,0.0,1.0,0.98,1.05,0.98,1.04,3650.0
2020-12-21,1.06,1.1,0.8302,0.95,37015.0,0.0,1.0,1.06,1.1,0.8302,0.95,37015.0
2020-12-22,1.01,1.09,1.01,1.06,14546.0,0.0,1.0,1.01,1.09,1.01,1.06,14546.0
2020-12-23,1.06,1.06,1.05,1.0501,20641.0,0.0,1.0,1.06,1.06,1.05,1.0501,20641.0
2020-12-24,1.06,1.13,1.03,1.03,7816.0,0.0,1.0,1.06,1.13,1.03,1.03,7816.0
2020-12-28,1.19,1.28,1.08,1.095,100106.0,0.0,1.0,1.19,1.28,1.08,1.095,100106.0
2020-12-29,1.0991,1.4899,1.095,1.1,94459.0,0.0,1.0,1.0991,1.4899,1.095,1.1,94459.0
2020-12-30,1.1,1.11,1.06,1.11,13477.0,0.0,1.0,1.1,1.11,1.06,1.11,13477.0
2020-12-31,1.1,1.18,1.0775,1.1,39412.0,0.0,1.0,1.1,1.18,1.0775,1.1,39412.0
