Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-02,2.3,2.33,2.175,2.28,595671.0,0.0,1.0,2.3,2.33,2.175,2.28,595671.0
2020-12-03,2.32,2.4,2.25,2.3,654047.0,0.0,1.0,2.32,2.4,2.25,2.3,654047.0
2020-12-04,2.4,2.57,2.28,2.51,1806607.0,0.0,1.0,2.4,2.57,2.28,2.51,1806607.0
2020-12-07,2.65,2.78,2.43,2.63,2081096.0,0.0,1.0,2.65,2.78,2.43,2.63,2081096.0
2020-12-08,2.9,3.37,2.67,3.21,5970701.0,0.0,1.0,2.9,3.37,2.67,3.21,5970701.0
2020-12-09,3.26,3.99,3.26,3.72,5237229.0,0.0,1.0,3.26,3.99,3.26,3.72,5237229.0
2020-12-10,3.89,4.0,3.23,3.48,3842040.0,0.0,1.0,3.89,4.0,3.23,3.48,3842040.0
2020-12-11,3.6,3.605,3.13,3.59,2333132.0,0.0,1.0,3.6,3.605,3.13,3.59,2333132.0
2020-12-14,3.78,3.8,3.29,3.47,1428040.0,0.0,1.0,3.78,3.8,3.29,3.47,1428040.0
2020-12-15,3.47,3.49,3.2,3.33,1332876.0,0.0,1.0,3.47,3.49,3.2,3.33,1332876.0
2020-12-16,3.3001,3.35,3.07,3.25,1531840.0,0.0,1.0,3.3001,3.35,3.07,3.25,1531840.0
2020-12-17,3.27,3.28,3.05,3.18,1251291.0,0.0,1.0,3.27,3.28,3.05,3.18,1251291.0
2020-12-18,3.22,3.4795,3.13,3.33,1420855.0,0.0,1.0,3.22,3.4795,3.13,3.33,1420855.0
2020-12-21,3.58,3.7,3.36,3.42,1831575.0,0.0,1.0,3.58,3.7,3.36,3.42,1831575.0
2020-12-22,3.6,3.75,3.54,3.6,1486422.0,0.0,1.0,3.6,3.75,3.54,3.6,1486422.0
2020-12-23,3.65,3.75,3.5025,3.65,838880.0,0.0,1.0,3.65,3.75,3.5025,3.65,838880.0
2020-12-24,3.67,3.81,3.58,3.64,551347.0,0.0,1.0,3.67,3.81,3.58,3.64,551347.0
2020-12-28,3.72,3.7215,3.26,3.47,1416669.0,0.0,1.0,3.72,3.7215,3.26,3.47,1416669.0
2020-12-29,3.46,3.475,3.26,3.43,621944.0,0.0,1.0,3.46,3.475,3.26,3.43,621944.0
2020-12-30,3.36,3.45,3.31,3.33,414380.0,0.0,1.0,3.36,3.45,3.31,3.33,414380.0
2020-12-31,3.34,3.38,3.21,3.3,565315.0,0.0,1.0,3.34,3.38,3.21,3.3,565315.0
