Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.03,4.055,3.71,3.99,930711.0,0.0,1.0,4.03,4.055,3.71,3.99,930711.0
2020-01-03,3.91,4.03,3.81,3.92,438025.0,0.0,1.0,3.91,4.03,3.81,3.92,438025.0
2020-01-06,3.95,4.125,3.93,4.0,703439.0,0.0,1.0,3.95,4.125,3.93,4.0,703439.0
2020-01-07,4.0,4.25,4.0,4.15,811303.0,0.0,1.0,4.0,4.25,4.0,4.15,811303.0
2020-01-08,4.23,4.28,4.12,4.17,1167364.0,0.0,1.0,4.23,4.28,4.12,4.17,1167364.0
2020-01-09,4.21,4.39,4.13,4.29,1858972.0,0.0,1.0,4.21,4.39,4.13,4.29,1858972.0
2020-01-10,4.28,4.31,4.1,4.1,1626816.0,0.0,1.0,4.28,4.31,4.1,4.1,1626816.0
2020-01-13,4.15,4.2098,3.83,3.845,1472160.0,0.0,1.0,4.15,4.2098,3.83,3.845,1472160.0
2020-01-14,3.82,3.89,3.58,3.64,2070083.0,0.0,1.0,3.82,3.89,3.58,3.64,2070083.0
2020-01-15,3.65,3.85,3.62,3.685,1554857.0,0.0,1.0,3.65,3.85,3.62,3.685,1554857.0
2020-01-16,3.72,4.0,3.71,3.8,1268508.0,0.0,1.0,3.72,4.0,3.71,3.8,1268508.0
2020-01-17,3.88,3.91,3.5849,3.64,1045755.0,0.0,1.0,3.88,3.91,3.5849,3.64,1045755.0
2020-01-21,3.69,3.725,3.58,3.63,727432.0,0.0,1.0,3.69,3.725,3.58,3.63,727432.0
2020-01-22,3.63,3.76,3.58,3.66,749341.0,0.0,1.0,3.63,3.76,3.58,3.66,749341.0
2020-01-23,3.64,3.73,3.49,3.63,660664.0,0.0,1.0,3.64,3.73,3.49,3.63,660664.0
2020-01-24,3.64,3.685,3.44,3.52,923025.0,0.0,1.0,3.64,3.685,3.44,3.52,923025.0
2020-01-27,3.44,3.63,3.42,3.51,427541.0,0.0,1.0,3.44,3.63,3.42,3.51,427541.0
2020-01-28,3.54,3.59,3.42,3.49,501532.0,0.0,1.0,3.54,3.59,3.42,3.49,501532.0
2020-01-29,3.49,3.55,3.36,3.47,547674.0,0.0,1.0,3.49,3.55,3.36,3.47,547674.0
2020-01-30,3.45,3.48,3.33,3.36,485242.0,0.0,1.0,3.45,3.48,3.33,3.36,485242.0
2020-01-31,3.34,3.4,3.28,3.36,333642.0,0.0,1.0,3.34,3.4,3.28,3.36,333642.0
2020-02-03,3.44,3.51,3.305,3.44,525175.0,0.0,1.0,3.44,3.51,3.305,3.44,525175.0
2020-02-04,3.48,3.53,3.42,3.5,518691.0,0.0,1.0,3.48,3.53,3.42,3.5,518691.0
2020-02-05,3.5,3.75,3.5,3.66,711080.0,0.0,1.0,3.5,3.75,3.5,3.66,711080.0
2020-02-06,3.67,3.715,3.54,3.63,325462.0,0.0,1.0,3.67,3.715,3.54,3.63,325462.0
2020-02-07,3.58,3.73,3.54,3.67,379765.0,0.0,1.0,3.58,3.73,3.54,3.67,379765.0
2020-02-10,3.67,3.7066,3.57,3.66,362199.0,0.0,1.0,3.67,3.7066,3.57,3.66,362199.0
2020-02-11,3.66,3.89,3.63,3.79,782068.0,0.0,1.0,3.66,3.89,3.63,3.79,782068.0
2020-02-12,3.81,3.87,3.72,3.8,506575.0,0.0,1.0,3.81,3.87,3.72,3.8,506575.0
2020-02-13,3.8,3.84,3.64,3.7,854944.0,0.0,1.0,3.8,3.84,3.64,3.7,854944.0
2020-02-14,3.75,3.77,3.425,3.44,563723.0,0.0,1.0,3.75,3.77,3.425,3.44,563723.0
2020-02-18,3.46,3.52,3.41,3.5,399601.0,0.0,1.0,3.46,3.52,3.41,3.5,399601.0
2020-02-19,3.5,3.57,3.4601,3.51,236443.0,0.0,1.0,3.5,3.57,3.4601,3.51,236443.0
2020-02-20,3.5,3.63,3.42,3.59,349227.0,0.0,1.0,3.5,3.63,3.42,3.59,349227.0
2020-02-21,3.59,3.64,3.515,3.55,520409.0,0.0,1.0,3.59,3.64,3.515,3.55,520409.0
2020-02-24,3.6,3.6,3.38,3.52,504052.0,0.0,1.0,3.6,3.6,3.38,3.52,504052.0
2020-02-25,3.55,3.64,3.32,3.6,755709.0,0.0,1.0,3.55,3.64,3.32,3.6,755709.0
2020-02-26,3.61,4.4,3.61,4.32,3231318.0,0.0,1.0,3.61,4.4,3.61,4.32,3231318.0
2020-02-27,4.43,4.98,4.19,4.33,3737522.0,0.0,1.0,4.43,4.98,4.19,4.33,3737522.0
2020-02-28,4.38,4.79,4.35,4.78,1958466.0,0.0,1.0,4.38,4.79,4.35,4.78,1958466.0
2020-03-02,4.88,5.28,4.71,4.97,1753584.0,0.0,1.0,4.88,5.28,4.71,4.97,1753584.0
2020-03-03,5.0,5.05,4.47,4.57,1354723.0,0.0,1.0,5.0,5.05,4.47,4.57,1354723.0
2020-03-04,4.54,4.7,4.42,4.61,730491.0,0.0,1.0,4.54,4.7,4.42,4.61,730491.0
2020-03-05,4.59,4.97,4.51,4.86,675138.0,0.0,1.0,4.59,4.97,4.51,4.86,675138.0
2020-03-06,4.81,4.98,4.53,4.67,933211.0,0.0,1.0,4.81,4.98,4.53,4.67,933211.0
2020-03-09,4.49,4.66,4.01,4.02,991111.0,0.0,1.0,4.49,4.66,4.01,4.02,991111.0
2020-03-10,4.06,4.24,3.81,3.94,1099329.0,0.0,1.0,4.06,4.24,3.81,3.94,1099329.0
2020-03-11,3.92,4.07,3.755,3.89,800883.0,0.0,1.0,3.92,4.07,3.755,3.89,800883.0
2020-03-12,3.65,3.84,3.13,3.14,1475023.0,0.0,1.0,3.65,3.84,3.13,3.14,1475023.0
2020-03-13,3.25,3.35,2.8,2.92,1244934.0,0.0,1.0,3.25,3.35,2.8,2.92,1244934.0
2020-03-16,2.6,3.03,2.5,2.67,1304238.0,0.0,1.0,2.6,3.03,2.5,2.67,1304238.0
2020-03-17,2.7,3.12,2.53,3.09,1013236.0,0.0,1.0,2.7,3.12,2.53,3.09,1013236.0
2020-03-18,2.93,3.43,2.52,3.43,1150652.0,0.0,1.0,2.93,3.43,2.52,3.43,1150652.0
2020-03-19,3.4,3.52,3.1,3.33,801684.0,0.0,1.0,3.4,3.52,3.1,3.33,801684.0
2020-03-20,3.38,3.4,2.89,2.89,932204.0,0.0,1.0,3.38,3.4,2.89,2.89,932204.0
2020-03-23,2.96,3.16,2.65,2.85,1164698.0,0.0,1.0,2.96,3.16,2.65,2.85,1164698.0
2020-03-24,3.0,3.245,2.83,3.2,733785.0,0.0,1.0,3.0,3.245,2.83,3.2,733785.0
2020-03-25,3.21,3.38,3.04,3.16,611001.0,0.0,1.0,3.21,3.38,3.04,3.16,611001.0
2020-03-26,3.21,3.465,3.15,3.19,513257.0,0.0,1.0,3.21,3.465,3.15,3.19,513257.0
2020-03-27,3.21,3.53,3.0652,3.19,785197.0,0.0,1.0,3.21,3.53,3.0652,3.19,785197.0
2020-03-30,3.25,3.3,3.0192,3.12,297980.0,0.0,1.0,3.25,3.3,3.0192,3.12,297980.0
2020-03-31,3.12,3.22,2.95,3.15,644028.0,0.0,1.0,3.12,3.22,2.95,3.15,644028.0
2020-04-01,3.06,3.21,2.9,2.97,521978.0,0.0,1.0,3.06,3.21,2.9,2.97,521978.0
2020-04-02,2.97,3.03,2.85,2.99,568344.0,0.0,1.0,2.97,3.03,2.85,2.99,568344.0
2020-04-03,3.0,3.25,2.95,3.21,554102.0,0.0,1.0,3.0,3.25,2.95,3.21,554102.0
2020-04-06,3.3,3.93,3.28,3.85,940402.0,0.0,1.0,3.3,3.93,3.28,3.85,940402.0
2020-04-07,3.87,4.15,3.665,4.01,539201.0,0.0,1.0,3.87,4.15,3.665,4.01,539201.0
2020-04-08,4.12,4.45,4.04,4.22,617285.0,0.0,1.0,4.12,4.45,4.04,4.22,617285.0
2020-04-09,4.2,4.665,4.17,4.47,945963.0,0.0,1.0,4.2,4.665,4.17,4.47,945963.0
2020-04-13,4.42,4.86,4.31,4.7,710851.0,0.0,1.0,4.42,4.86,4.31,4.7,710851.0
2020-04-14,4.75,4.8,4.56,4.6,584650.0,0.0,1.0,4.75,4.8,4.56,4.6,584650.0
2020-04-15,4.51,4.7,4.1901,4.52,970121.0,0.0,1.0,4.51,4.7,4.1901,4.52,970121.0
2020-04-16,4.55,4.65,4.435,4.52,871378.0,0.0,1.0,4.55,4.65,4.435,4.52,871378.0
2020-04-17,4.6,4.6,4.37,4.44,566143.0,0.0,1.0,4.6,4.6,4.37,4.44,566143.0
2020-04-20,4.44,4.7,4.38,4.48,612594.0,0.0,1.0,4.44,4.7,4.38,4.48,612594.0
2020-04-21,4.34,4.58,4.33,4.365,437279.0,0.0,1.0,4.34,4.58,4.33,4.365,437279.0
2020-04-22,4.47,4.56,4.33,4.36,420857.0,0.0,1.0,4.47,4.56,4.33,4.36,420857.0
2020-04-23,4.37,4.55,4.2,4.36,388344.0,0.0,1.0,4.37,4.55,4.2,4.36,388344.0
2020-04-24,4.39,4.49,4.3287,4.39,377444.0,0.0,1.0,4.39,4.49,4.3287,4.39,377444.0
2020-04-27,4.37,4.58,4.37,4.46,671169.0,0.0,1.0,4.37,4.58,4.37,4.46,671169.0
2020-04-28,4.56,4.7,4.45,4.58,612503.0,0.0,1.0,4.56,4.7,4.45,4.58,612503.0
2020-04-29,4.66,4.75,4.41,4.42,791408.0,0.0,1.0,4.66,4.75,4.41,4.42,791408.0
