Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-03-30,0.6488,0.76,0.5,0.63981,880535.0,0.0,1.0,0.6358240000000001,0.7448,0.49,0.6270138,880535.0
2020-03-31,0.68,0.68,0.55,0.5701,330366.0,0.0,1.0,0.6664,0.6664,0.539,0.558698,330366.0
2020-04-01,0.55,0.6332,0.55,0.5878,187604.0,0.0,1.0,0.539,0.620536,0.539,0.576044,187604.0
2020-04-02,0.6,0.6,0.54,0.5452,157175.0,0.0,1.0,0.588,0.588,0.5292,0.534296,157175.0
2020-04-03,0.55,0.58,0.51,0.517,195267.0,0.0,1.0,0.539,0.5683999999999999,0.4998,0.50666,195267.0
2020-04-06,0.56,0.5998,0.5428,0.59,122509.0,0.0,1.0,0.5488000000000001,0.587804,0.531944,0.5781999999999999,122509.0
2020-04-07,0.63,0.63,0.5501,0.6001,114975.0,0.0,1.0,0.6174,0.6174,0.5390980000000001,0.588098,114975.0
2020-04-08,0.63,0.6599,0.61,0.625,275297.0,0.0,1.0,0.6174,0.646702,0.5978,0.6125,275297.0
2020-04-09,0.6,0.66,0.59,0.6501,141910.0,0.0,1.0,0.588,0.6468,0.5781999999999999,0.637098,141910.0
2020-04-13,0.7,0.7452,0.6,0.659,444196.0,0.0,1.0,0.6859999999999999,0.730296,0.588,0.6458200000000001,444196.0
2020-04-14,0.659,0.698,0.64,0.678,106639.0,0.0,1.0,0.6458200000000001,0.68404,0.6272,0.66444,106639.0
2020-04-15,0.68,0.68,0.595,0.65,121464.0,0.0,1.0,0.6664,0.6664,0.5831,0.637,121464.0
2020-04-16,0.62,0.6853,0.5912,0.679799,182237.0,0.0,1.0,0.6076,0.671594,0.5793759999999999,0.66620302,182237.0
2020-04-17,0.689,0.69,0.65,0.66,100351.0,0.0,1.0,0.6752199999999999,0.6761999999999999,0.637,0.6468,100351.0
2020-04-20,0.69,0.7767,0.6303,0.702,629666.0,0.0,1.0,0.6761999999999999,0.7611659999999999,0.617694,0.6879599999999999,629666.0
2020-04-21,0.74,0.79,0.7113,0.74,721098.0,0.0,1.0,0.7252,0.7742,0.6970740000000001,0.7252,721098.0
2020-04-22,0.7787,0.7787,0.71001,0.7337,238351.0,0.0,1.0,0.763126,0.763126,0.6958098,0.719026,238351.0
2020-04-23,0.7491,0.77,0.72,0.754813,201447.0,0.0,1.0,0.7341179999999999,0.7546,0.7056,0.73971674,201447.0
2020-04-24,0.73,0.77,0.73,0.7599,251453.0,0.0,1.0,0.7153999999999999,0.7546,0.7153999999999999,0.744702,251453.0
2020-04-27,0.78,0.809,0.76,0.78,390380.0,0.0,1.0,0.7644,0.7928200000000001,0.7448,0.7644,390380.0
2020-04-28,0.82,0.87,0.78,0.83,744401.0,0.0,1.0,0.8036,0.8526,0.7644,0.8133999999999999,744401.0
2020-04-29,0.8356,0.860218,0.7201,0.8,487255.0,0.0,1.0,0.818888,0.84301364,0.7056979999999999,0.784,487255.0
2020-04-30,0.8,0.8,0.731,0.745161,354607.0,0.0,1.0,0.784,0.784,0.71638,0.73025778,354607.0
2020-05-01,0.7531,0.7531,0.69,0.7,277099.0,0.0,1.0,0.738038,0.738038,0.6761999999999999,0.6859999999999999,277099.0
2020-05-04,0.7,0.75,0.673,0.7198,175847.0,0.0,1.0,0.6859999999999999,0.735,0.65954,0.705404,175847.0
2020-05-05,0.717,0.749,0.67,0.7077,247221.0,0.0,1.0,0.70266,0.73402,0.6566000000000001,0.693546,247221.0
2020-05-06,0.7398,0.7398,0.675,0.6899,267665.0,0.0,1.0,0.725004,0.725004,0.6615,0.676102,267665.0
2020-05-07,0.7,0.701486,0.6644,0.67,307040.0,0.0,1.0,0.6859999999999999,0.68745628,0.651112,0.6566000000000001,307040.0
2020-05-08,0.7,0.7,0.675,0.69,42029.0,0.0,1.0,0.6859999999999999,0.6859999999999999,0.6615,0.6761999999999999,42029.0
2020-05-11,0.7,0.7,0.6751,0.6801,71553.0,0.0,1.0,0.6859999999999999,0.6859999999999999,0.661598,0.666498,71553.0
2020-05-12,0.6807,0.7,0.6604,0.676,89549.0,0.0,1.0,0.667086,0.6859999999999999,0.647192,0.6624800000000001,89549.0
2020-05-13,0.68,0.69,0.66,0.67,93856.0,0.0,1.0,0.6664,0.6761999999999999,0.6468,0.6566000000000001,93856.0
2020-05-14,0.6703,0.699,0.62375,0.66,118621.0,0.0,1.0,0.656894,0.68502,0.611275,0.6468,118621.0
2020-05-15,0.6211,0.68,0.6211,0.6597,34133.0,0.0,1.0,0.6086779999999999,0.6664,0.6086779999999999,0.6465059999999999,34133.0
2020-05-18,0.6912,0.7399,0.6212,0.6919,463750.0,0.0,1.0,0.677376,0.725102,0.608776,0.6780619999999999,463750.0
2020-05-19,0.7,0.74,0.6712,0.6868,221835.0,0.0,1.0,0.6859999999999999,0.7252,0.657776,0.673064,221835.0
2020-05-20,0.701501,0.72,0.689,0.706873,47700.0,0.0,1.0,0.6874709800000001,0.7056,0.6752199999999999,0.6927355399999999,47700.0
2020-05-21,0.6852,0.709,0.671405,0.682001,91767.0,0.0,1.0,0.671496,0.69482,0.6579769,0.66836098,91767.0
2020-05-22,0.67,0.67,0.655,0.66,61080.0,0.0,1.0,0.6566000000000001,0.6566000000000001,0.6419,0.6468,61080.0
2020-05-26,0.6502,0.66,0.6211,0.6467,91728.0,0.0,1.0,0.637196,0.6468,0.6086779999999999,0.633766,91728.0
2020-05-27,0.65,0.67,0.64,0.665,179269.0,0.0,1.0,0.637,0.6566000000000001,0.6272,0.6517000000000001,179269.0
2020-05-28,0.66,0.67,0.624,0.647,57516.0,0.0,1.0,0.6468,0.6566000000000001,0.61152,0.63406,57516.0
2020-05-29,0.6664,0.67,0.6372,0.655,60740.0,0.0,1.0,0.653072,0.6566000000000001,0.624456,0.6419,60740.0
2020-06-01,0.67,0.7,0.65,0.66,42892.0,0.0,1.0,0.6566000000000001,0.6859999999999999,0.637,0.6468,42892.0
2020-06-02,0.66,0.66,0.6,0.6401,124721.0,0.0,1.0,0.6468,0.6468,0.588,0.627298,124721.0
2020-06-03,0.654,0.654,0.6,0.64,55517.0,0.0,1.0,0.64092,0.64092,0.588,0.6272,55517.0
2020-06-04,0.62,0.68899,0.6122,0.6785,367127.0,0.0,1.0,0.6076,0.6752102,0.5999559999999999,0.66493,367127.0
2020-06-05,0.6931,0.7444,0.665,0.7031,288969.0,0.0,1.0,0.679238,0.7295119999999999,0.6517000000000001,0.6890379999999999,288969.0
2020-06-08,0.6983,0.72,0.67,0.68787,432813.0,0.0,1.0,0.684334,0.7056,0.6566000000000001,0.6741126,432813.0
2020-06-09,0.69,0.6998,0.645999,0.645999,202842.0,0.0,1.0,0.6761999999999999,0.685804,0.6330790199999999,0.6330790199999999,202842.0
2020-06-10,0.6522,0.6783,0.6311,0.6406,173326.0,0.0,1.0,0.639156,0.664734,0.618478,0.6277879999999999,173326.0
2020-06-11,0.63,0.6599,0.5971,0.602,267573.0,0.0,1.0,0.6174,0.646702,0.585158,0.5899599999999999,267573.0
2020-06-12,0.63,0.6469,0.6099,0.6099,110925.0,0.0,1.0,0.6174,0.633962,0.597702,0.597702,110925.0
2020-06-15,0.6182,0.638,0.59021,0.619,278554.0,0.0,1.0,0.6058359999999999,0.62524,0.5784058,0.6066199999999999,278554.0
2020-06-16,0.619,0.64,0.6182,0.625049,66619.0,0.0,1.0,0.6066199999999999,0.6272,0.6058359999999999,0.61254802,66619.0
2020-06-17,0.6082,0.64,0.6082,0.6297,42155.0,0.0,1.0,0.5960359999999999,0.6272,0.5960359999999999,0.617106,42155.0
2020-06-18,0.63,0.6356,0.5901,0.625,90624.0,0.0,1.0,0.6174,0.622888,0.578298,0.6125,90624.0
2020-06-19,0.6205,0.6377,0.59,0.5966,52791.0,0.0,1.0,0.60809,0.624946,0.5781999999999999,0.584668,52791.0
2020-06-22,0.63,0.63,0.5911,0.613164,136182.0,0.0,1.0,0.6174,0.6174,0.579278,0.60090072,136182.0
2020-06-23,0.62,0.68,0.61,0.633,576602.0,0.0,1.0,0.6076,0.6664,0.5978,0.62034,576602.0
2020-06-24,0.6591,0.6591,0.6059,0.6247,239915.0,0.0,1.0,0.645918,0.645918,0.593782,0.612206,239915.0
2020-06-25,0.6,0.65,0.59021,0.6093,114742.0,0.0,1.0,0.588,0.637,0.5784058,0.5971139999999999,114742.0
2020-06-26,0.595,0.617998,0.5828,0.5999,85298.0,0.0,1.0,0.5831,0.60563804,0.571144,0.5879019999999999,85298.0
2020-06-29,0.57,0.6058,0.5626,0.59,52160.0,0.0,1.0,0.5586,0.593684,0.551348,0.5781999999999999,52160.0
2020-06-30,0.62,0.62,0.5761,0.599,54475.0,0.0,1.0,0.6076,0.6076,0.5645779999999999,0.58702,54475.0
2020-07-01,0.61,0.61,0.587,0.5899,62195.0,0.0,1.0,0.5978,0.5978,0.57526,0.578102,62195.0
2020-07-02,0.61,0.61,0.5901,0.59365,51321.0,0.0,1.0,0.5978,0.5978,0.578298,0.581777,51321.0
2020-07-06,0.6,0.6055,0.58,0.595,26540.0,0.0,1.0,0.588,0.59339,0.5683999999999999,0.5831,26540.0
2020-07-07,0.5901,0.5941,0.5588,0.586,83146.0,0.0,1.0,0.578298,0.5822179999999999,0.547624,0.5742799999999999,83146.0
2020-07-08,0.59,0.598,0.5741,0.5902,53800.0,0.0,1.0,0.5781999999999999,0.58604,0.5626180000000001,0.5783959999999999,53800.0
2020-07-09,0.5902,0.6025,0.575,0.5799,61112.0,0.0,1.0,0.5783959999999999,0.59045,0.5635,0.568302,61112.0
2020-07-10,0.6021,0.6499,0.571942,0.6291,265003.0,0.0,1.0,0.590058,0.636902,0.5605031599999999,0.616518,265003.0
2020-07-13,0.6284,0.6459,0.5854,0.6042,254542.0,0.0,1.0,0.6158319999999999,0.632982,0.573692,0.592116,254542.0
2020-07-14,0.6374,0.6423,0.6,0.614949,92104.0,0.0,1.0,0.624652,0.629454,0.588,0.60265002,92104.0
2020-07-15,0.61,0.6349,0.6,0.6201,35830.0,0.0,1.0,0.5978,0.622202,0.588,0.607698,35830.0
2020-07-16,0.62,0.63,0.6001,0.6214,52027.0,0.0,1.0,0.6076,0.6174,0.588098,0.608972,52027.0
2020-07-17,0.63,0.6423,0.6045,0.62001,121446.0,0.0,1.0,0.6174,0.629454,0.59241,0.6076098,121446.0
2020-07-20,0.6296,0.6391,0.61021,0.61021,22162.0,0.0,1.0,0.617008,0.626318,0.5980058,0.5980058,22162.0
2020-07-21,0.62,0.699145,0.6102,0.6701,166364.0,0.0,1.0,0.6076,0.6851621,0.597996,0.656698,166364.0
2020-07-22,0.68,0.68,0.6283,0.648651,80989.0,0.0,1.0,0.6664,0.6664,0.615734,0.63567798,80989.0
2020-07-23,0.648,0.648,0.621,0.621,69444.0,0.0,1.0,0.63504,0.63504,0.60858,0.60858,69444.0
2020-07-24,0.6492,0.6492,0.62,0.6203,41336.0,0.0,1.0,0.636216,0.636216,0.6076,0.6078939999999999,41336.0
2020-07-27,0.65,0.6511,0.6201,0.65,91016.0,0.0,1.0,0.637,0.638078,0.607698,0.637,91016.0
2020-07-28,0.6499,0.6499,0.6205,0.63,51927.0,0.0,1.0,0.636902,0.636902,0.60809,0.6174,51927.0
2020-07-29,0.645,0.65,0.623301,0.645,22315.0,0.0,1.0,0.6321,0.637,0.61083498,0.6321,22315.0
2020-07-30,0.74,0.86,0.663,0.699,3653866.0,0.0,1.0,0.7252,0.8428,0.64974,0.68502,3653866.0
2020-07-31,0.6659,0.7,0.6,0.6299,412564.0,0.0,1.0,0.652582,0.6859999999999999,0.588,0.617302,412564.0
2020-08-03,0.62,0.7298,0.58,0.6301,992801.0,0.0,1.0,0.6076,0.715204,0.5683999999999999,0.617498,992801.0
2020-08-04,0.6143,0.648,0.6143,0.645,135190.0,0.0,1.0,0.6020139999999999,0.63504,0.6020139999999999,0.6321,135190.0
2020-08-05,0.64,0.67,0.64,0.6626,122375.0,0.0,1.0,0.6272,0.6566000000000001,0.6272,0.6493479999999999,122375.0
2020-08-06,0.6576,0.67,0.6406,0.6454,79799.0,0.0,1.0,0.6444479999999999,0.6566000000000001,0.6277879999999999,0.6324919999999999,79799.0
