Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.0,1.0,0.94,0.960101,125393.0,0.0,1.0,1.0,1.0,0.94,0.960101,125393.0
2020-01-03,0.96,1.1798,0.92,1.06,411145.0,0.0,1.0,0.96,1.1798,0.92,1.06,411145.0
2020-01-06,1.14,1.14,1.05,1.07,133626.0,0.0,1.0,1.14,1.14,1.05,1.07,133626.0
2020-01-07,1.07,1.24,1.02,1.16,349492.0,0.0,1.0,1.07,1.24,1.02,1.16,349492.0
2020-01-08,1.19,1.29,1.1729,1.22,393034.0,0.0,1.0,1.19,1.29,1.1729,1.22,393034.0
2020-01-09,1.26,1.37,1.15,1.31,221587.0,0.0,1.0,1.26,1.37,1.15,1.31,221587.0
2020-01-10,1.33,1.3599,1.19,1.19,219815.0,0.0,1.0,1.33,1.3599,1.19,1.19,219815.0
2020-01-13,1.22,1.2356,1.1,1.12,283467.0,0.0,1.0,1.22,1.2356,1.1,1.12,283467.0
2020-01-14,1.14,1.16,1.12,1.15,35045.0,0.0,1.0,1.14,1.16,1.12,1.15,35045.0
2020-01-15,1.11,1.25,1.11,1.14,58025.0,0.0,1.0,1.11,1.25,1.11,1.14,58025.0
2020-01-16,1.16,1.18,1.12,1.17,64232.0,0.0,1.0,1.16,1.18,1.12,1.17,64232.0
2020-01-17,1.18,1.27,1.165,1.23,125634.0,0.0,1.0,1.18,1.27,1.165,1.23,125634.0
2020-01-21,1.26,1.55,1.2161,1.4498,446996.0,0.0,1.0,1.26,1.55,1.2161,1.4498,446996.0
2020-01-22,2.26,3.85,1.38,1.42,49538247.0,0.0,1.0,2.26,3.85,1.38,1.42,49538247.0
2020-01-23,1.46,1.47,1.33,1.43,3160610.0,0.0,1.0,1.46,1.47,1.33,1.43,3160610.0
2020-01-24,1.35,1.38,1.21,1.25,1653807.0,0.0,1.0,1.35,1.38,1.21,1.25,1653807.0
2020-01-27,1.25,1.25,1.1,1.18,694606.0,0.0,1.0,1.25,1.25,1.1,1.18,694606.0
2020-01-28,1.18,1.2,1.12,1.17,272641.0,0.0,1.0,1.18,1.2,1.12,1.17,272641.0
2020-01-29,1.2,1.31,1.19,1.29,575798.0,0.0,1.0,1.2,1.31,1.19,1.29,575798.0
2020-01-30,1.26,1.29,1.19,1.22,333499.0,0.0,1.0,1.26,1.29,1.19,1.22,333499.0
2020-01-31,1.2,1.215,1.15,1.16,465856.0,0.0,1.0,1.2,1.215,1.15,1.16,465856.0
2020-02-03,1.17,1.2,1.13,1.14,303590.0,0.0,1.0,1.17,1.2,1.13,1.14,303590.0
2020-02-04,1.17,1.19,1.11,1.13,369932.0,0.0,1.0,1.17,1.19,1.11,1.13,369932.0
