Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.63,1.79,1.41,1.62,35883931.0,0.0,1.0,1.63,1.79,1.41,1.62,35883931.0
2020-01-03,1.5,1.62,1.45,1.51,3906689.0,0.0,1.0,1.5,1.62,1.45,1.51,3906689.0
2020-01-06,1.64,1.7,1.55,1.59,3340007.0,0.0,1.0,1.64,1.7,1.55,1.59,3340007.0
2020-01-07,1.59,1.59,1.5,1.52,1176288.0,0.0,1.0,1.59,1.59,1.5,1.52,1176288.0
2020-01-08,1.5,1.55,1.39,1.5,1602069.0,0.0,1.0,1.5,1.55,1.39,1.5,1602069.0
2020-01-09,1.48,1.57,1.45,1.54,896059.0,0.0,1.0,1.48,1.57,1.45,1.54,896059.0
2020-01-10,1.62,1.63,1.4995,1.55,430966.0,0.0,1.0,1.62,1.63,1.4995,1.55,430966.0
2020-01-13,1.55,1.56,1.441,1.46,659254.0,0.0,1.0,1.55,1.56,1.441,1.46,659254.0
2020-01-14,1.48,1.51,1.45,1.51,367495.0,0.0,1.0,1.48,1.51,1.45,1.51,367495.0
2020-01-15,1.58,1.58,1.47,1.51,376944.0,0.0,1.0,1.58,1.58,1.47,1.51,376944.0
2020-01-16,1.5,1.6,1.5,1.55,968739.0,0.0,1.0,1.5,1.6,1.5,1.55,968739.0
2020-01-17,1.56,1.7,1.5,1.63,1170670.0,0.0,1.0,1.56,1.7,1.5,1.63,1170670.0
2020-01-21,1.7,1.7,1.58,1.61,487282.0,0.0,1.0,1.7,1.7,1.58,1.61,487282.0
2020-01-22,1.61,1.66,1.56,1.58,374448.0,0.0,1.0,1.61,1.66,1.56,1.58,374448.0
2020-01-23,1.56,1.6,1.55,1.6,331839.0,0.0,1.0,1.56,1.6,1.55,1.6,331839.0
2020-01-24,1.59,1.65,1.58,1.62,439813.0,0.0,1.0,1.59,1.65,1.58,1.62,439813.0
2020-01-27,1.54,1.7,1.51,1.63,615782.0,0.0,1.0,1.54,1.7,1.51,1.63,615782.0
2020-01-28,1.61,1.88,1.61,1.78,1452787.0,0.0,1.0,1.61,1.88,1.61,1.78,1452787.0
2020-01-29,1.77,1.83,1.72,1.82,601184.0,0.0,1.0,1.77,1.83,1.72,1.82,601184.0
2020-01-30,1.88,1.92,1.7,1.75,1508808.0,0.0,1.0,1.88,1.92,1.7,1.75,1508808.0
2020-01-31,1.73,1.75,1.665,1.67,572654.0,0.0,1.0,1.73,1.75,1.665,1.67,572654.0
2020-02-03,1.65,1.7,1.65,1.67,369192.0,0.0,1.0,1.65,1.7,1.65,1.67,369192.0
2020-02-04,1.65,1.7,1.575,1.61,514651.0,0.0,1.0,1.65,1.7,1.575,1.61,514651.0
