Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.59,5.6,5.53,5.5711,31341.0,0.0,1.0,5.2327318208902565,5.242092700712957,5.176566541954046,5.215039758025351,31341.0
2020-01-03,5.66,5.7228,5.61,5.67,57080.0,0.0,1.0,5.2982579796491684,5.3570443049357355,5.25145358053566,5.30761885947187,57080.0
2020-01-06,5.7,5.77,5.66,5.75,50559.0,0.0,1.0,5.335701498939976,5.401227657698887,5.2982579796491684,5.382505898053484,50559.0
2020-01-07,5.69,5.69,5.55,5.6356,37181.0,0.0,1.0,5.326340619117274,5.326340619117274,5.195288301599449,5.275417432881777,37181.0
2020-01-08,5.6202,5.6202,5.4248,5.46,27037.0,0.0,1.0,5.261001677954815,5.261001677954815,5.078090086219224,5.111040383195134,27037.0
2020-01-09,5.43,5.51,5.37,5.49,25006.0,0.0,1.0,5.082957743727029,5.157844782308643,5.026792464790819,5.13912302266324,25006.0
2020-01-10,5.49,5.49,5.4,5.4054,7607.0,0.0,1.0,5.13912302266324,5.13912302266324,5.054875104258924,5.059929979363183,7607.0
2020-01-13,5.4,5.4,5.32,5.3759,12631.0,0.0,1.0,5.054875104258924,5.054875104258924,4.97998806567731,5.032315383886212,12631.0
2020-01-14,5.37,5.4,5.31,5.38,13467.0,0.0,1.0,5.026792464790819,5.054875104258924,4.9706271858546085,5.0361533446135205,13467.0
2020-01-15,5.29,5.3322,5.23,5.25,19377.0,0.0,1.0,4.951905426209205,4.991408339061007,4.895740147272996,4.914461906918398,19377.0
2020-01-16,5.3,5.3327,5.285,5.285,9129.0,0.0,1.0,4.961266306031907,4.9918763830521415,4.947224986297854,4.947224986297854,9129.0
2020-01-17,5.31,5.34,5.2313,5.24,5530.0,0.0,1.0,4.9706271858546085,4.998709825322713,4.896957061649946,4.9051010270956965,5530.0
2020-01-21,5.22,5.22,5.09,5.09,10184.0,0.0,1.0,4.886379267450293,4.886379267450293,4.764687829755171,4.764687829755171,10184.0
2020-01-22,5.04,5.05,5.01,5.015,4568.0,0.0,1.0,4.717883430641662,4.727244310464364,4.689800791173557,4.694481231084907,4568.0
2020-01-23,4.94,4.94,4.83,4.9169,9405.0,0.0,1.0,4.624274632414646,4.624274632414646,4.521304954364926,4.6026510000242045,9405.0
2020-01-24,4.92,4.92,4.7,4.741,8902.0,0.0,1.0,4.605552872769242,4.605552872769242,4.399613516669804,4.4379931239428805,8902.0
2020-01-27,4.63,4.63,4.55,4.55,20128.0,0.0,1.0,4.334087357910892,4.334087357910892,4.2592003193292785,4.2592003193292785,20128.0
2020-01-28,4.58,4.6102,4.58,4.58,5520.0,0.0,1.0,4.287282958797384,4.315552815861943,4.287282958797384,4.287282958797384,5520.0
2020-01-29,4.65,4.65,4.53,4.5318,6585.0,0.0,1.0,4.352809117556296,4.352809117556296,4.240478559683876,4.242163518051961,6585.0
2020-01-30,4.49,4.5276,4.4113,4.5276,16088.0,0.0,1.0,4.203035040393068,4.238231948526426,4.129364916188406,4.238231948526426,16088.0
2020-01-31,4.45,4.45,4.35,4.3896,8184.0,0.0,1.0,4.165591521102262,4.165591521102262,4.071982722875244,4.1090518069731425,8184.0
2020-02-03,4.38,4.43,4.37,4.375,7014.0,0.0,1.0,4.100065362343349,4.146869761456857,4.090704482520648,4.0953849224319985,7014.0
2020-02-04,4.49,4.5173,4.4359,4.4359,2661.0,0.0,1.0,4.203035040393068,4.228590242309044,4.152392680552252,4.152392680552252,2661.0
2020-02-05,4.52,4.67,4.52,4.625,23972.0,0.0,1.0,4.231117679861173,4.371530877201699,4.231117679861173,4.329406917999541,23972.0
2020-02-06,4.64,4.64,4.4803,4.49,9605.0,0.0,1.0,4.343448237733593,4.343448237733593,4.193954986965047,4.203035040393068,9605.0
