Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.43,3.63,3.43,3.63,826029.0,0.0,1.0,3.43,3.63,3.43,3.63,826029.0
2020-01-03,3.58,3.88,3.5,3.81,845715.0,0.0,1.0,3.58,3.88,3.5,3.81,845715.0
2020-01-06,3.8,3.93,3.7505,3.89,751059.0,0.0,1.0,3.8,3.93,3.7505,3.89,751059.0
2020-01-07,3.92,4.04,3.89,3.94,859976.0,0.0,1.0,3.92,4.04,3.89,3.94,859976.0
2020-01-08,3.92,4.0,3.73,3.94,1065314.0,0.0,1.0,3.92,4.0,3.73,3.94,1065314.0
2020-01-09,3.96,4.14,3.96,4.14,943073.0,0.0,1.0,3.96,4.14,3.96,4.14,943073.0
2020-01-10,4.14,4.2,3.98,4.08,694818.0,0.0,1.0,4.14,4.2,3.98,4.08,694818.0
2020-01-13,4.13,4.2,4.03,4.19,991478.0,0.0,1.0,4.13,4.2,4.03,4.19,991478.0
2020-01-14,4.15,4.19,4.01,4.04,784366.0,0.0,1.0,4.15,4.19,4.01,4.04,784366.0
2020-01-15,3.99,4.1,3.94,4.08,676590.0,0.0,1.0,3.99,4.1,3.94,4.08,676590.0
2020-01-16,4.06,4.2,3.99,4.17,447195.0,0.0,1.0,4.06,4.2,3.99,4.17,447195.0
2020-01-17,4.2,4.2,4.1,4.17,642391.0,0.0,1.0,4.2,4.2,4.1,4.17,642391.0
2020-01-21,4.06,4.3419,4.03,4.27,1209445.0,0.0,1.0,4.06,4.3419,4.03,4.27,1209445.0
2020-01-22,4.18,4.86,4.15,4.66,2434554.0,0.0,1.0,4.18,4.86,4.15,4.66,2434554.0
2020-01-23,4.53,4.6,4.35,4.57,789140.0,0.0,1.0,4.53,4.6,4.35,4.57,789140.0
2020-01-24,4.53,4.82,4.52,4.63,931255.0,0.0,1.0,4.53,4.82,4.52,4.63,931255.0
2020-01-27,4.42,4.67,4.33,4.41,1055157.0,0.0,1.0,4.42,4.67,4.33,4.41,1055157.0
2020-01-28,4.33,4.45,4.27,4.39,440106.0,0.0,1.0,4.33,4.45,4.27,4.39,440106.0
2020-01-29,4.38,4.465,4.32,4.38,202697.0,0.0,1.0,4.38,4.465,4.32,4.38,202697.0
2020-01-30,4.3,4.405,4.21,4.21,714305.0,0.0,1.0,4.3,4.405,4.21,4.21,714305.0
2020-01-31,4.2,4.28,3.975,4.12,1253152.0,0.0,1.0,4.2,4.28,3.975,4.12,1253152.0
2020-02-03,4.11,4.59,4.04,4.28,694857.0,0.0,1.0,4.11,4.59,4.04,4.28,694857.0
2020-02-04,4.4,4.74,4.31,4.62,1119184.0,0.0,1.0,4.4,4.74,4.31,4.62,1119184.0
2020-02-05,4.71,5.04,4.52,5.02,1664249.0,0.0,1.0,4.71,5.04,4.52,5.02,1664249.0
2020-02-06,5.0,5.43,5.0,5.38,1495035.0,0.0,1.0,5.0,5.43,5.0,5.38,1495035.0
2020-02-07,5.35,5.46,5.25,5.34,1315839.0,0.0,1.0,5.35,5.46,5.25,5.34,1315839.0
2020-02-10,5.3,5.5,5.29,5.46,969379.0,0.0,1.0,5.3,5.5,5.29,5.46,969379.0
2020-02-11,5.5,5.82,5.485,5.77,1897918.0,0.0,1.0,5.5,5.82,5.485,5.77,1897918.0
2020-02-12,5.9,6.02,5.6633,5.73,2788374.0,0.0,1.0,5.9,6.02,5.6633,5.73,2788374.0
2020-02-13,5.71,5.84,5.6,5.74,990105.0,0.0,1.0,5.71,5.84,5.6,5.74,990105.0
2020-02-14,5.74,5.745,5.35,5.42,2021578.0,0.0,1.0,5.74,5.745,5.35,5.42,2021578.0
2020-02-18,5.43,5.71,5.35,5.6,2674825.0,0.0,1.0,5.43,5.71,5.35,5.6,2674825.0
2020-02-19,5.6,5.84,5.59,5.84,3211609.0,0.0,1.0,5.6,5.84,5.59,5.84,3211609.0
2020-02-20,5.83,6.38,5.79,6.37,3751573.0,0.0,1.0,5.83,6.38,5.79,6.37,3751573.0
2020-02-21,6.49,6.55,5.84,5.89,5525881.0,0.0,1.0,6.49,6.55,5.84,5.89,5525881.0
2020-02-24,5.56,5.73,5.05,5.51,3894037.0,0.0,1.0,5.56,5.73,5.05,5.51,3894037.0
2020-02-25,5.55,5.71,5.48,5.505,1762382.0,0.0,1.0,5.55,5.71,5.48,5.505,1762382.0
2020-02-26,5.6,5.78,5.53,5.73,2019198.0,0.0,1.0,5.6,5.78,5.53,5.73,2019198.0
2020-02-27,5.6,5.69,5.28,5.35,3175054.0,0.0,1.0,5.6,5.69,5.28,5.35,3175054.0
2020-02-28,5.15,5.3,4.85,5.21,3059889.0,0.0,1.0,5.15,5.3,4.85,5.21,3059889.0
2020-03-02,5.27,5.2793,4.9,5.0,2215445.0,0.0,1.0,5.27,5.2793,4.9,5.0,2215445.0
2020-03-03,5.0,5.31,4.99,5.25,3338864.0,0.0,1.0,5.0,5.31,4.99,5.25,3338864.0
2020-03-04,5.25,5.43,5.07,5.1,2306419.0,0.0,1.0,5.25,5.43,5.07,5.1,2306419.0
2020-03-05,5.07,5.11,4.68,4.78,2183125.0,0.0,1.0,5.07,5.11,4.68,4.78,2183125.0
2020-03-06,4.46,4.81,4.455,4.73,2157899.0,0.0,1.0,4.46,4.81,4.455,4.73,2157899.0
2020-03-09,4.38,4.9,4.07,4.51,4340474.0,0.0,1.0,4.38,4.9,4.07,4.51,4340474.0
2020-03-10,4.68,5.08,4.66,5.07,2968219.0,0.0,1.0,4.68,5.08,4.66,5.07,2968219.0
2020-03-11,4.91,5.21,4.8,4.84,2931178.0,0.0,1.0,4.91,5.21,4.8,4.84,2931178.0
2020-03-12,4.39,4.95,4.359,4.81,1861657.0,0.0,1.0,4.39,4.95,4.359,4.81,1861657.0
2020-03-13,5.01,5.15,4.66,4.84,2983062.0,0.0,1.0,5.01,5.15,4.66,4.84,2983062.0
2020-03-16,4.35,4.3901,3.89,4.25,4280377.0,0.0,1.0,4.35,4.3901,3.89,4.25,4280377.0
2020-03-17,4.3,4.6,4.2,4.27,1887222.0,0.0,1.0,4.3,4.6,4.2,4.27,1887222.0
2020-03-18,3.78,4.33,3.78,4.1,1177008.0,0.0,1.0,3.78,4.33,3.78,4.1,1177008.0
2020-03-19,4.11,4.12,3.57,3.66,2001491.0,0.0,1.0,4.11,4.12,3.57,3.66,2001491.0
2020-03-20,3.73,3.84,3.26,3.29,2260426.0,0.0,1.0,3.73,3.84,3.26,3.29,2260426.0
2020-03-23,3.24,3.29,2.27,2.36,5354265.0,0.0,1.0,3.24,3.29,2.27,2.36,5354265.0
2020-03-24,2.54,2.835,2.22,2.82,8806978.0,0.0,1.0,2.54,2.835,2.22,2.82,8806978.0
2020-03-25,2.71,2.89,2.53,2.75,1947395.0,0.0,1.0,2.71,2.89,2.53,2.75,1947395.0
2020-03-26,2.73,2.79,2.6,2.64,1765927.0,0.0,1.0,2.73,2.79,2.6,2.64,1765927.0
2020-03-27,2.6,2.6,2.45,2.45,1549656.0,0.0,1.0,2.6,2.6,2.45,2.45,1549656.0
2020-03-30,2.39,2.5,2.3,2.31,1972169.0,0.0,1.0,2.39,2.5,2.3,2.31,1972169.0
2020-03-31,2.35,2.7,2.33,2.39,2376419.0,0.0,1.0,2.35,2.7,2.33,2.39,2376419.0
2020-04-01,2.4,2.6,2.4,2.4,1288247.0,0.0,1.0,2.4,2.6,2.4,2.4,1288247.0
2020-04-02,2.44,2.51,2.34,2.47,933946.0,0.0,1.0,2.44,2.51,2.34,2.47,933946.0
2020-04-03,2.47,2.575,2.32,2.34,884713.0,0.0,1.0,2.47,2.575,2.32,2.34,884713.0
2020-04-06,2.44,2.545,2.43,2.49,795666.0,0.0,1.0,2.44,2.545,2.43,2.49,795666.0
2020-04-07,2.58,2.69,2.525,2.6,1281650.0,0.0,1.0,2.58,2.69,2.525,2.6,1281650.0
2020-04-08,2.6,2.7,2.55,2.68,678332.0,0.0,1.0,2.6,2.7,2.55,2.68,678332.0
2020-04-09,2.8,2.95,2.69,2.73,1283453.0,0.0,1.0,2.8,2.95,2.69,2.73,1283453.0
2020-04-13,2.71,2.92,2.71,2.75,744942.0,0.0,1.0,2.71,2.92,2.71,2.75,744942.0
2020-04-14,2.85,3.08,2.8,3.05,1745566.0,0.0,1.0,2.85,3.08,2.8,3.05,1745566.0
2020-04-15,3.08,3.1,2.81,2.82,1233951.0,0.0,1.0,3.08,3.1,2.81,2.82,1233951.0
2020-04-16,2.9,2.99,2.81,2.9,886676.0,0.0,1.0,2.9,2.99,2.81,2.9,886676.0
2020-04-17,2.97,2.97,2.82,2.91,1041744.0,0.0,1.0,2.97,2.97,2.82,2.91,1041744.0
2020-04-20,2.81,2.95,2.78,2.87,876174.0,0.0,1.0,2.81,2.95,2.78,2.87,876174.0
2020-04-21,2.82,2.82,2.49,2.53,2848691.0,0.0,1.0,2.82,2.82,2.49,2.53,2848691.0
2020-04-22,2.61,2.7,2.58,2.61,585427.0,0.0,1.0,2.61,2.7,2.58,2.61,585427.0
2020-04-23,2.61,2.66,2.48,2.49,636517.0,0.0,1.0,2.61,2.66,2.48,2.49,636517.0
2020-04-24,2.53,2.56,2.29,2.44,3197216.0,0.0,1.0,2.53,2.56,2.29,2.44,3197216.0
2020-04-27,2.48,2.6,2.4,2.59,956435.0,0.0,1.0,2.48,2.6,2.4,2.59,956435.0
2020-04-28,2.65,2.65,2.38,2.38,1555118.0,0.0,1.0,2.65,2.65,2.38,2.38,1555118.0
2020-04-29,2.43,2.5014,2.405,2.45,1254842.0,0.0,1.0,2.43,2.5014,2.405,2.45,1254842.0
2020-04-30,2.48,2.58,2.4,2.46,1143433.0,0.0,1.0,2.48,2.58,2.4,2.46,1143433.0
2020-05-01,2.42,2.4411,2.3,2.34,1431279.0,0.0,1.0,2.42,2.4411,2.3,2.34,1431279.0
2020-05-04,2.31,2.345,2.255,2.34,912520.0,0.0,1.0,2.31,2.345,2.255,2.34,912520.0
2020-05-05,2.37,2.42,2.2,2.22,1244212.0,0.0,1.0,2.37,2.42,2.2,2.22,1244212.0
2020-05-06,2.31,2.31,2.22,2.27,808655.0,0.0,1.0,2.31,2.31,2.22,2.27,808655.0
2020-05-07,2.29,2.36,2.27,2.35,667329.0,0.0,1.0,2.29,2.36,2.27,2.35,667329.0
2020-05-08,2.39,2.43,2.355,2.38,836490.0,0.0,1.0,2.39,2.43,2.355,2.38,836490.0
2020-05-11,2.38,2.595,2.3737,2.57,953512.0,0.0,1.0,2.38,2.595,2.3737,2.57,953512.0
2020-05-12,2.56,2.66,2.42,2.56,766817.0,0.0,1.0,2.56,2.66,2.42,2.56,766817.0
2020-05-13,2.55,2.56,2.31,2.38,1062505.0,0.0,1.0,2.55,2.56,2.31,2.38,1062505.0
2020-05-14,2.35,2.43,2.26,2.42,682853.0,0.0,1.0,2.35,2.43,2.26,2.42,682853.0
2020-05-15,2.38,2.49,2.355,2.47,435823.0,0.0,1.0,2.38,2.49,2.355,2.47,435823.0
2020-05-18,2.5,2.62,2.49,2.52,963879.0,0.0,1.0,2.5,2.62,2.49,2.52,963879.0
2020-05-19,2.51,2.79,2.51,2.71,1256873.0,0.0,1.0,2.51,2.79,2.51,2.71,1256873.0
2020-05-20,2.75,2.9,2.505,2.56,1206203.0,0.0,1.0,2.75,2.9,2.505,2.56,1206203.0
2020-05-21,2.5,2.58,2.41,2.51,720074.0,0.0,1.0,2.5,2.58,2.41,2.51,720074.0
2020-05-22,2.48,2.48,2.3,2.33,1283828.0,0.0,1.0,2.48,2.48,2.3,2.33,1283828.0
2020-05-26,2.4,2.44,2.26,2.28,1390203.0,0.0,1.0,2.4,2.44,2.26,2.28,1390203.0
2020-05-27,2.34,2.385,2.2936,2.35,613682.0,0.0,1.0,2.34,2.385,2.2936,2.35,613682.0
2020-05-28,2.47,2.48,2.33,2.34,867009.0,0.0,1.0,2.47,2.48,2.33,2.34,867009.0
2020-05-29,2.34,2.415,2.28,2.38,651252.0,0.0,1.0,2.34,2.415,2.28,2.38,651252.0
2020-06-01,2.38,2.77,2.37,2.73,1357426.0,0.0,1.0,2.38,2.77,2.37,2.73,1357426.0
2020-06-02,2.7,2.88,2.56,2.73,1124621.0,0.0,1.0,2.7,2.88,2.56,2.73,1124621.0
2020-06-03,2.79,2.93,2.779,2.88,1404296.0,0.0,1.0,2.79,2.93,2.779,2.88,1404296.0
2020-06-04,3.0,3.28,2.81,2.91,3192703.0,0.0,1.0,3.0,3.28,2.81,2.91,3192703.0
2020-06-05,2.98,3.09,2.75,2.81,1406764.0,0.0,1.0,2.98,3.09,2.75,2.81,1406764.0
2020-06-08,2.73,2.9,2.66,2.71,1742283.0,0.0,1.0,2.73,2.9,2.66,2.71,1742283.0
2020-06-09,2.67,2.8,2.57,2.8,1288545.0,0.0,1.0,2.67,2.8,2.57,2.8,1288545.0
2020-06-10,2.77,2.8299,2.63,2.72,1150588.0,0.0,1.0,2.77,2.8299,2.63,2.72,1150588.0
