Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.75,2.75,2.55,2.6,58981.0,0.0,1.0,2.75,2.75,2.55,2.6,58981.0
2020-01-03,2.78,2.78,2.575,2.575,7868.0,0.0,1.0,2.78,2.78,2.575,2.575,7868.0
2020-01-06,2.5799,2.7,2.535,2.54,19205.0,0.0,1.0,2.5799,2.7,2.535,2.54,19205.0
2020-01-07,2.5182,2.66,2.5182,2.65,3277.0,0.0,1.0,2.5182,2.66,2.5182,2.65,3277.0
2020-01-08,2.5901,2.69,2.5901,2.65,8937.0,0.0,1.0,2.5901,2.69,2.5901,2.65,8937.0
2020-01-09,2.6,2.67,2.5129,2.67,10019.0,0.0,1.0,2.6,2.67,2.5129,2.67,10019.0
2020-01-10,2.65,2.65,2.51,2.56,14987.0,0.0,1.0,2.65,2.65,2.51,2.56,14987.0
2020-01-13,2.5416,2.59,2.47,2.57,45873.0,0.0,1.0,2.5416,2.59,2.47,2.57,45873.0
2020-01-14,2.582,2.6,2.56,2.56,6770.0,0.0,1.0,2.582,2.6,2.56,2.56,6770.0
2020-01-15,2.5813,2.61,2.51,2.51,10035.0,0.0,1.0,2.5813,2.61,2.51,2.51,10035.0
2020-01-16,2.62,2.62,2.5276,2.54,2995.0,0.0,1.0,2.62,2.62,2.5276,2.54,2995.0
2020-01-17,2.54,2.54,2.54,2.54,54.0,0.0,1.0,2.54,2.54,2.54,2.54,54.0
2020-01-21,2.5444,2.62,2.5444,2.62,11513.0,0.0,1.0,2.5444,2.62,2.5444,2.62,11513.0
2020-01-22,2.53,2.53,2.51,2.52,13723.0,0.0,1.0,2.53,2.53,2.51,2.52,13723.0
2020-01-23,2.62,2.63,2.51,2.51,9224.0,0.0,1.0,2.62,2.63,2.51,2.51,9224.0
2020-01-24,2.51,2.51,2.51,2.51,161.0,0.0,1.0,2.51,2.51,2.51,2.51,161.0
2020-01-27,2.5107,2.63,2.51,2.51,4731.0,0.0,1.0,2.5107,2.63,2.51,2.51,4731.0
2020-01-28,2.63,2.63,2.51,2.51,2425.0,0.0,1.0,2.63,2.63,2.51,2.51,2425.0
2020-01-29,2.52,2.535,2.45,2.46,13215.0,0.0,1.0,2.52,2.535,2.45,2.46,13215.0
2020-01-30,2.47,2.4774,2.3392,2.41,14108.0,0.0,1.0,2.47,2.4774,2.3392,2.41,14108.0
2020-01-31,2.36,2.56,2.36,2.48,1182.0,0.0,1.0,2.36,2.56,2.36,2.48,1182.0
2020-02-03,2.42,2.52,2.41,2.41,6839.0,0.0,1.0,2.42,2.52,2.41,2.41,6839.0
2020-02-04,2.53,2.53,2.512,2.512,8137.0,0.0,1.0,2.53,2.53,2.512,2.512,8137.0
2020-02-05,2.51,2.53,2.43,2.43,7174.0,0.0,1.0,2.51,2.53,2.43,2.43,7174.0
2020-02-06,2.47,2.47,2.47,2.47,307.0,0.0,1.0,2.47,2.47,2.47,2.47,307.0
2020-02-07,2.46,2.5,2.42,2.5,5557.0,0.0,1.0,2.46,2.5,2.42,2.5,5557.0
2020-02-10,2.5384,2.5384,2.5,2.52,1702.0,0.0,1.0,2.5384,2.5384,2.5,2.52,1702.0
2020-02-11,2.57,2.6,2.0957,2.16,509536.0,0.0,1.0,2.57,2.6,2.0957,2.16,509536.0
2020-02-12,2.195,2.2,2.1,2.17,421493.0,0.0,1.0,2.195,2.2,2.1,2.17,421493.0
2020-02-13,2.17,2.2,1.95,2.0,214409.0,0.0,1.0,2.17,2.2,1.95,2.0,214409.0
2020-02-14,2.01,2.09,1.955,1.98,126250.0,0.0,1.0,2.01,2.09,1.955,1.98,126250.0
2020-02-18,2.02,2.06,1.9,2.03,99389.0,0.0,1.0,2.02,2.06,1.9,2.03,99389.0
2020-02-19,1.99,2.0,1.91,1.91,49620.0,0.0,1.0,1.99,2.0,1.91,1.91,49620.0
2020-02-20,1.94,1.9941,1.92,1.95,78072.0,0.0,1.0,1.94,1.9941,1.92,1.95,78072.0
2020-02-21,1.91,1.91,1.86,1.86,68857.0,0.0,1.0,1.91,1.91,1.86,1.86,68857.0
2020-02-24,1.72,1.86,1.72,1.7805,146690.0,0.0,1.0,1.72,1.86,1.72,1.7805,146690.0
2020-02-25,1.79,1.8499,1.7,1.7,115806.0,0.0,1.0,1.79,1.8499,1.7,1.7,115806.0
2020-02-26,1.71,1.8,1.7,1.73,53475.0,0.0,1.0,1.71,1.8,1.7,1.73,53475.0
2020-02-27,1.7,1.74,1.69,1.7,26633.0,0.0,1.0,1.7,1.74,1.69,1.7,26633.0
2020-02-28,1.69,1.75,1.5817,1.7,336988.0,0.0,1.0,1.69,1.75,1.5817,1.7,336988.0
2020-03-02,1.67,1.78,1.67,1.71,320238.0,0.0,1.0,1.67,1.78,1.67,1.71,320238.0
2020-03-03,1.7,1.77,1.63,1.77,42921.0,0.0,1.0,1.7,1.77,1.63,1.77,42921.0
2020-03-04,1.74,1.9,1.74,1.78,573650.0,0.0,1.0,1.74,1.9,1.74,1.78,573650.0
2020-03-05,1.8,1.82,1.7,1.76,318945.0,0.0,1.0,1.8,1.82,1.7,1.76,318945.0
2020-03-06,1.7531,1.88,1.7531,1.79,78608.0,0.0,1.0,1.7531,1.88,1.7531,1.79,78608.0
2020-03-09,1.74,1.75,1.6303,1.7,55792.0,0.0,1.0,1.74,1.75,1.6303,1.7,55792.0
2020-03-10,1.73,1.8002,1.64,1.68,95107.0,0.0,1.0,1.73,1.8002,1.64,1.68,95107.0
2020-03-11,1.7,1.7,1.6,1.6,34067.0,0.0,1.0,1.7,1.7,1.6,1.6,34067.0
2020-03-12,1.6,1.6029,1.4436,1.485,354523.0,0.0,1.0,1.6,1.6029,1.4436,1.485,354523.0
2020-03-13,1.77,1.79,1.4,1.44,72383.0,0.0,1.0,1.77,1.79,1.4,1.44,72383.0
2020-03-16,1.2501,1.46,1.2501,1.4,12068.0,0.0,1.0,1.2501,1.46,1.2501,1.4,12068.0
2020-03-17,1.4,1.5,1.25,1.38,88317.0,0.0,1.0,1.4,1.5,1.25,1.38,88317.0
2020-03-18,1.42,1.44,1.25,1.33,24247.0,0.0,1.0,1.42,1.44,1.25,1.33,24247.0
2020-03-19,1.3,1.3711,1.3,1.355,68069.0,0.0,1.0,1.3,1.3711,1.3,1.355,68069.0
2020-03-20,1.45,1.45,1.31,1.45,64835.0,0.0,1.0,1.45,1.45,1.31,1.45,64835.0
2020-03-23,1.505,1.505,1.28,1.35,29655.0,0.0,1.0,1.505,1.505,1.28,1.35,29655.0
2020-03-24,1.42,1.45,1.35,1.4,80262.0,0.0,1.0,1.42,1.45,1.35,1.4,80262.0
2020-03-25,1.35,1.4,1.2958,1.38,298503.0,0.0,1.0,1.35,1.4,1.2958,1.38,298503.0
2020-03-26,1.4,1.41,1.39,1.395,263660.0,0.0,1.0,1.4,1.41,1.39,1.395,263660.0
2020-03-27,1.4,1.4,1.35,1.39,39062.0,0.0,1.0,1.4,1.4,1.35,1.39,39062.0
2020-03-30,1.41,1.45,1.37,1.37,39929.0,0.0,1.0,1.41,1.45,1.37,1.37,39929.0
2020-03-31,1.4,1.7837,1.4,1.66,895018.0,0.0,1.0,1.4,1.7837,1.4,1.66,895018.0
2020-04-01,2.12,2.12,1.41,1.61,3790557.0,0.0,1.0,2.12,2.12,1.41,1.61,3790557.0
2020-04-02,1.6,1.72,1.45,1.61,479089.0,0.0,1.0,1.6,1.72,1.45,1.61,479089.0
2020-04-03,1.61,1.6914,1.61,1.69,189034.0,0.0,1.0,1.61,1.6914,1.61,1.69,189034.0
2020-04-06,1.72,1.74,1.61,1.7,118124.0,0.0,1.0,1.72,1.74,1.61,1.7,118124.0
2020-04-07,1.67,1.72,1.54,1.68,210089.0,0.0,1.0,1.67,1.72,1.54,1.68,210089.0
2020-04-08,1.66,1.67,1.57,1.67,87631.0,0.0,1.0,1.66,1.67,1.57,1.67,87631.0
2020-04-09,1.67,1.7,1.58,1.58,432955.0,0.0,1.0,1.67,1.7,1.58,1.58,432955.0
2020-04-13,1.62,1.97,1.62,1.96,376415.0,0.0,1.0,1.62,1.97,1.62,1.96,376415.0
2020-04-14,2.0,2.1537,1.94,2.1,807047.0,0.0,1.0,2.0,2.1537,1.94,2.1,807047.0
2020-04-15,2.1,2.33,2.02,2.25,386311.0,0.0,1.0,2.1,2.33,2.02,2.25,386311.0
2020-04-16,2.28,2.29,2.12,2.2,203463.0,0.0,1.0,2.28,2.29,2.12,2.2,203463.0
2020-04-17,2.2,2.28,2.16,2.28,159659.0,0.0,1.0,2.2,2.28,2.16,2.28,159659.0
2020-04-20,2.21,2.325,2.12,2.2,233045.0,0.0,1.0,2.21,2.325,2.12,2.2,233045.0
2020-04-21,2.22,2.31,2.15,2.28,123028.0,0.0,1.0,2.22,2.31,2.15,2.28,123028.0
2020-04-22,2.3,2.48,2.21,2.33,246235.0,0.0,1.0,2.3,2.48,2.21,2.33,246235.0
2020-04-23,2.3,2.46,2.3,2.44,78395.0,0.0,1.0,2.3,2.46,2.3,2.44,78395.0
2020-04-24,2.44,2.47,2.38,2.44,31696.0,0.0,1.0,2.44,2.47,2.38,2.44,31696.0
2020-04-27,2.45,2.52,2.43,2.46,43758.0,0.0,1.0,2.45,2.52,2.43,2.46,43758.0
2020-04-28,2.45,2.45,2.3216,2.41,34269.0,0.0,1.0,2.45,2.45,2.3216,2.41,34269.0
2020-04-29,2.42,2.59,2.4,2.5,106222.0,0.0,1.0,2.42,2.59,2.4,2.5,106222.0
2020-04-30,2.5,2.55,2.4434,2.54,46928.0,0.0,1.0,2.5,2.55,2.4434,2.54,46928.0
2020-05-01,2.48,2.54,2.33,2.54,143463.0,0.0,1.0,2.48,2.54,2.33,2.54,143463.0
2020-05-04,2.49,2.58,2.4379,2.49,253526.0,0.0,1.0,2.49,2.58,2.4379,2.49,253526.0
2020-05-05,2.54,2.6,2.3,2.3,89536.0,0.0,1.0,2.54,2.6,2.3,2.3,89536.0
2020-05-06,2.25,2.3,1.88,2.3,221923.0,0.0,1.0,2.25,2.3,1.88,2.3,221923.0
2020-05-07,2.26,2.26,1.82,1.99,452221.0,0.0,1.0,2.26,2.26,1.82,1.99,452221.0
2020-05-08,1.96,2.1,1.92,2.01,259340.0,0.0,1.0,1.96,2.1,1.92,2.01,259340.0
2020-05-11,2.07,2.44,2.07,2.4,298541.0,0.0,1.0,2.07,2.44,2.07,2.4,298541.0
2020-05-12,2.44,2.5476,2.36,2.47,168085.0,0.0,1.0,2.44,2.5476,2.36,2.47,168085.0
2020-05-13,2.42,2.46,2.25,2.38,49069.0,0.0,1.0,2.42,2.46,2.25,2.38,49069.0
2020-05-14,2.38,2.5,2.295,2.5,148129.0,0.0,1.0,2.38,2.5,2.295,2.5,148129.0
2020-05-15,2.5,2.5,2.33,2.33,16846.0,0.0,1.0,2.5,2.5,2.33,2.33,16846.0
2020-05-18,2.37,2.49,2.36,2.41,21607.0,0.0,1.0,2.37,2.49,2.36,2.41,21607.0
2020-05-19,2.4,2.455,2.36,2.39,5598.0,0.0,1.0,2.4,2.455,2.36,2.39,5598.0
2020-05-20,2.439,2.63,2.41,2.63,67938.0,0.0,1.0,2.439,2.63,2.41,2.63,67938.0
2020-05-21,2.61,2.62,2.3457,2.5,65122.0,0.0,1.0,2.61,2.62,2.3457,2.5,65122.0
2020-05-22,2.58,2.58,2.45,2.56,12262.0,0.0,1.0,2.58,2.58,2.45,2.56,12262.0
2020-05-26,2.55,2.6,2.35,2.4,64111.0,0.0,1.0,2.55,2.6,2.35,2.4,64111.0
2020-05-27,2.35,2.45,2.3,2.44,41410.0,0.0,1.0,2.35,2.45,2.3,2.44,41410.0
2020-05-28,2.42,2.56,2.3658,2.51,7537.0,0.0,1.0,2.42,2.56,2.3658,2.51,7537.0
2020-05-29,2.4952,2.6,2.4,2.46,41791.0,0.0,1.0,2.4952,2.6,2.4,2.46,41791.0
2020-06-01,2.52,2.5761,2.4,2.4,30219.0,0.0,1.0,2.52,2.5761,2.4,2.4,30219.0
2020-06-02,2.485,2.515,2.22,2.22,24517.0,0.0,1.0,2.485,2.515,2.22,2.22,24517.0
2020-06-03,2.27,2.4,2.11,2.4,63317.0,0.0,1.0,2.27,2.4,2.11,2.4,63317.0
2020-06-04,2.25,2.25,2.04,2.18,82259.0,0.0,1.0,2.25,2.25,2.04,2.18,82259.0
2020-06-05,2.15,2.33,2.15,2.33,30489.0,0.0,1.0,2.15,2.33,2.15,2.33,30489.0
2020-06-08,2.33,2.344,2.28,2.29,56270.0,0.0,1.0,2.33,2.344,2.28,2.29,56270.0
2020-06-09,2.305,2.3399,2.25,2.25,3470.0,0.0,1.0,2.305,2.3399,2.25,2.25,3470.0
2020-06-10,2.3,2.3199,2.1601,2.23,42782.0,0.0,1.0,2.3,2.3199,2.1601,2.23,42782.0
