Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.65,1.72,1.65,1.7191,2826.0,0.0,1.0,1.65,1.72,1.65,1.7191,2826.0
2020-01-03,1.73,1.82,1.697,1.82,4020.0,0.0,1.0,1.73,1.82,1.697,1.82,4020.0
2020-01-06,1.75,1.77,1.73,1.73,4143.0,0.0,1.0,1.75,1.77,1.73,1.73,4143.0
2020-01-07,1.7175,1.76,1.69,1.69,2277.0,0.0,1.0,1.7175,1.76,1.69,1.69,2277.0
2020-01-08,1.7268,1.7499,1.69,1.69,11967.0,0.0,1.0,1.7268,1.7499,1.69,1.69,11967.0
2020-01-09,1.69,1.7248,1.6801,1.7,4731.0,0.0,1.0,1.69,1.7248,1.6801,1.7,4731.0
2020-01-10,1.72,1.75,1.68,1.68,4030.0,0.0,1.0,1.72,1.75,1.68,1.68,4030.0
2020-01-13,1.67,1.75,1.67,1.6901,11074.0,0.0,1.0,1.67,1.75,1.67,1.6901,11074.0
2020-01-14,1.66,1.7381,1.66,1.71,4407.0,0.0,1.0,1.66,1.7381,1.66,1.71,4407.0
2020-01-15,1.7,1.7252,1.68,1.68,6852.0,0.0,1.0,1.7,1.7252,1.68,1.68,6852.0
2020-01-16,1.69,1.7,1.59,1.59,12710.0,0.0,1.0,1.69,1.7,1.59,1.59,12710.0
2020-01-17,1.63,1.6809,1.59,1.6,15271.0,0.0,1.0,1.63,1.6809,1.59,1.6,15271.0
2020-01-21,1.6405,1.65,1.63,1.63,3288.0,0.0,1.0,1.6405,1.65,1.63,1.63,3288.0
2020-01-22,1.64,1.65,1.63,1.64,6336.0,0.0,1.0,1.64,1.65,1.63,1.64,6336.0
2020-01-23,1.6109,1.6319,1.61,1.61,6761.0,0.0,1.0,1.6109,1.6319,1.61,1.61,6761.0
2020-01-24,1.6,1.65,1.58,1.58,4758.0,0.0,1.0,1.6,1.65,1.58,1.58,4758.0
2020-01-27,1.58,1.64,1.5,1.56,13552.0,0.0,1.0,1.58,1.64,1.5,1.56,13552.0
2020-01-28,1.5718,1.6299,1.5718,1.6299,1242.0,0.0,1.0,1.5718,1.6299,1.5718,1.6299,1242.0
2020-01-29,1.6,1.6317,1.59,1.6,7639.0,0.0,1.0,1.6,1.6317,1.59,1.6,7639.0
2020-01-30,1.5983,1.6296,1.59,1.62,7073.0,0.0,1.0,1.5983,1.6296,1.59,1.62,7073.0
2020-01-31,1.606,1.65,1.58,1.59,6679.0,0.0,1.0,1.606,1.65,1.58,1.59,6679.0
