Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-05,1.7,1.8981,1.55,1.55,28432.0,0.0,1.0,1.7,1.8981,1.55,1.55,28432.0
2020-10-06,1.45,1.55,1.37,1.3999,19711.0,0.0,1.0,1.45,1.55,1.37,1.3999,19711.0
2020-10-07,1.34,1.39,1.29,1.315,73708.0,0.0,1.0,1.34,1.39,1.29,1.315,73708.0
2020-10-08,1.35,1.525,1.33,1.525,133663.0,0.0,1.0,1.35,1.525,1.33,1.525,133663.0
2020-10-09,1.44,1.53,1.35,1.5,32788.0,0.0,1.0,1.44,1.53,1.35,1.5,32788.0
2020-10-12,2.01,2.2,1.8,1.8,493305.0,0.0,1.0,2.01,2.2,1.8,1.8,493305.0
2020-10-13,1.97,2.01,1.5354,1.61,385476.0,0.0,1.0,1.97,2.01,1.5354,1.61,385476.0
2020-10-14,1.6,1.68,1.5,1.5599,115108.0,0.0,1.0,1.6,1.68,1.5,1.5599,115108.0
2020-10-15,1.65,1.65,1.47,1.57,74529.0,0.0,1.0,1.65,1.65,1.47,1.57,74529.0
2020-10-16,1.73,1.74,1.52,1.555,112139.0,0.0,1.0,1.73,1.74,1.52,1.555,112139.0
2020-10-19,1.77,1.77,1.546,1.65,128442.0,0.0,1.0,1.77,1.77,1.546,1.65,128442.0
2020-10-20,1.75,1.75,1.55,1.5895,153938.0,0.0,1.0,1.75,1.75,1.55,1.5895,153938.0
2020-10-21,1.65,1.69,1.55,1.66,52771.0,0.0,1.0,1.65,1.69,1.55,1.66,52771.0
2020-10-22,1.8,1.8,1.6,1.7265,60623.0,0.0,1.0,1.8,1.8,1.6,1.7265,60623.0
2020-10-23,1.8,1.8,1.6,1.62,53731.0,0.0,1.0,1.8,1.8,1.6,1.62,53731.0
2020-10-26,1.66,1.66,1.5,1.6,79392.0,0.0,1.0,1.66,1.66,1.5,1.6,79392.0
2020-10-27,1.6,1.6,1.47,1.54,647105.0,0.0,1.0,1.6,1.6,1.47,1.54,647105.0
2020-10-28,1.45,1.54,1.4,1.54,127520.0,0.0,1.0,1.45,1.54,1.4,1.54,127520.0
2020-10-29,1.49,1.62,1.41,1.53,21611.0,0.0,1.0,1.49,1.62,1.41,1.53,21611.0
2020-10-30,1.5,1.54,1.41,1.54,47009.0,0.0,1.0,1.5,1.54,1.41,1.54,47009.0
2020-11-02,1.48,1.61,1.39,1.5585,29597.0,0.0,1.0,1.48,1.61,1.39,1.5585,29597.0
2020-11-03,1.524,1.75,1.48,1.57,40576.0,0.0,1.0,1.524,1.75,1.48,1.57,40576.0
2020-11-04,1.69,1.69,1.52,1.6,8686.0,0.0,1.0,1.69,1.69,1.52,1.6,8686.0
2020-11-05,1.5,1.63,1.5,1.585,14006.0,0.0,1.0,1.5,1.63,1.5,1.585,14006.0
2020-11-06,1.6,1.607,1.43,1.54,41108.0,0.0,1.0,1.6,1.607,1.43,1.54,41108.0
2020-11-09,1.6399,1.6399,1.41,1.53,16043.0,0.0,1.0,1.6399,1.6399,1.41,1.53,16043.0
2020-11-10,1.45,1.5598,1.39,1.535,14161.0,0.0,1.0,1.45,1.5598,1.39,1.535,14161.0
2020-11-11,1.48,1.57,1.41,1.4898,58763.0,0.0,1.0,1.48,1.57,1.41,1.4898,58763.0
2020-11-12,1.59,1.6,1.46,1.48,44364.0,0.0,1.0,1.59,1.6,1.46,1.48,44364.0
2020-11-13,1.46,1.71,1.46,1.71,46691.0,0.0,1.0,1.46,1.71,1.46,1.71,46691.0
2020-11-16,1.61,1.95,1.61,1.76,99430.0,0.0,1.0,1.61,1.95,1.61,1.76,99430.0
2020-11-17,1.79,1.85,1.73,1.785,67231.0,0.0,1.0,1.79,1.85,1.73,1.785,67231.0
2020-11-18,1.86,1.89,1.75,1.84,61507.0,0.0,1.0,1.86,1.89,1.75,1.84,61507.0
2020-11-19,1.76,1.9,1.66,1.83,53326.0,0.0,1.0,1.76,1.9,1.66,1.83,53326.0
2020-11-20,1.98,1.98,1.72,1.9,62169.0,0.0,1.0,1.98,1.98,1.72,1.9,62169.0
2020-11-23,2.0,2.0,1.71,1.98,89512.0,0.0,1.0,2.0,2.0,1.71,1.98,89512.0
2020-11-24,2.0,2.0,1.755,1.9,49942.0,0.0,1.0,2.0,2.0,1.755,1.9,49942.0
2020-11-25,1.79,1.91,1.63,1.865,59620.0,0.0,1.0,1.79,1.91,1.63,1.865,59620.0
2020-11-27,1.72,1.92,1.72,1.825,58264.0,0.0,1.0,1.72,1.92,1.72,1.825,58264.0
2020-11-30,2.0,2.0,1.75,1.86,93366.0,0.0,1.0,2.0,2.0,1.75,1.86,93366.0
2020-12-01,1.86,1.9,1.82,1.88,49908.0,0.0,1.0,1.86,1.9,1.82,1.88,49908.0
2020-12-02,1.99,1.99,1.8,1.8656,49813.0,0.0,1.0,1.99,1.99,1.8,1.8656,49813.0
2020-12-03,1.85,2.01,1.7498,2.01,108145.0,0.0,1.0,1.85,2.01,1.7498,2.01,108145.0
2020-12-04,2.05,2.06,1.91,2.04,223198.0,0.0,1.0,2.05,2.06,1.91,2.04,223198.0
2020-12-07,2.1,2.14,2.05,2.14,383018.0,0.0,1.0,2.1,2.14,2.05,2.14,383018.0
2020-12-08,2.06,2.17,1.91,2.15,238595.0,0.0,1.0,2.06,2.17,1.91,2.15,238595.0
2020-12-09,2.15,2.3,2.06,2.14,99151.0,0.0,1.0,2.15,2.3,2.06,2.14,99151.0
