Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.945,3.17,2.88,2.94,12667.0,0.0,1.0,2.945,3.17,2.88,2.94,12667.0
2020-01-03,2.932,3.04,2.91,2.91,5401.0,0.0,1.0,2.932,3.04,2.91,2.91,5401.0
2020-01-06,2.9268,3.0967,2.9207,2.99,26782.0,0.0,1.0,2.9268,3.0967,2.9207,2.99,26782.0
2020-01-07,2.95,3.01,2.95,3.01,6572.0,0.0,1.0,2.95,3.01,2.95,3.01,6572.0
2020-01-08,2.97,3.0,2.9609,2.97,16860.0,0.0,1.0,2.97,3.0,2.9609,2.97,16860.0
2020-01-09,2.97,3.02,2.92,3.02,4301.0,0.0,1.0,2.97,3.02,2.92,3.02,4301.0
2020-01-10,2.97,2.97,2.955,2.955,427.0,0.0,1.0,2.97,2.97,2.955,2.955,427.0
2020-01-13,2.96,2.96,2.8944,2.945,4149.0,0.0,1.0,2.96,2.96,2.8944,2.945,4149.0
2020-01-14,2.95,2.97,2.79,2.83,23010.0,0.0,1.0,2.95,2.97,2.79,2.83,23010.0
2020-01-15,2.841,2.9156,2.83,2.83,6156.0,0.0,1.0,2.841,2.9156,2.83,2.83,6156.0
2020-01-16,2.8487,2.8696,2.81,2.8241,14527.0,0.0,1.0,2.8487,2.8696,2.81,2.8241,14527.0
2020-01-17,2.84,2.84,2.77,2.79,14554.0,0.0,1.0,2.84,2.84,2.77,2.79,14554.0
2020-01-21,2.76,2.88,2.74,2.87,7860.0,0.0,1.0,2.76,2.88,2.74,2.87,7860.0
2020-01-22,2.87,2.87,2.7587,2.84,3241.0,0.0,1.0,2.87,2.87,2.7587,2.84,3241.0
2020-01-23,2.8,2.85,2.76,2.82,3297.0,0.0,1.0,2.8,2.85,2.76,2.82,3297.0
2020-01-24,2.86,2.88,2.7839,2.79,4936.0,0.0,1.0,2.86,2.88,2.7839,2.79,4936.0
2020-01-27,2.73,2.84,2.73,2.76,6667.0,0.0,1.0,2.73,2.84,2.73,2.76,6667.0
2020-01-28,2.76,2.77,2.76,2.77,2067.0,0.0,1.0,2.76,2.77,2.76,2.77,2067.0
2020-01-29,2.8092,2.84,2.76,2.81,6132.0,0.0,1.0,2.8092,2.84,2.76,2.81,6132.0
2020-01-30,2.77,2.8,2.73,2.74,4723.0,0.0,1.0,2.77,2.8,2.73,2.74,4723.0
2020-01-31,2.71,2.78,2.71,2.77,5086.0,0.0,1.0,2.71,2.78,2.71,2.77,5086.0
