Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.99,3.29,2.61,2.88,1931974.0,0.0,1.0,2.99,3.29,2.61,2.88,1931974.0
2020-01-03,2.61,2.81,2.56,2.69,106077.0,0.0,1.0,2.61,2.81,2.56,2.69,106077.0
2020-01-06,2.6,2.6,2.32,2.44,67774.0,0.0,1.0,2.6,2.6,2.32,2.44,67774.0
2020-01-07,2.43,2.45,2.4,2.4,30872.0,0.0,1.0,2.43,2.45,2.4,2.4,30872.0
2020-01-08,2.35,2.58,2.35,2.538,81089.0,0.0,1.0,2.35,2.58,2.35,2.538,81089.0
2020-01-09,2.52,2.565,2.48,2.54,14344.0,0.0,1.0,2.52,2.565,2.48,2.54,14344.0
2020-01-10,2.48,2.6,2.48,2.5272,31277.0,0.0,1.0,2.48,2.6,2.48,2.5272,31277.0
2020-01-13,2.62,2.62,2.48,2.5,15225.0,0.0,1.0,2.62,2.62,2.48,2.5,15225.0
2020-01-14,2.48,2.65,2.48,2.5434,173244.0,0.0,1.0,2.48,2.65,2.48,2.5434,173244.0
2020-01-15,2.6,2.6487,2.5,2.5138,28565.0,0.0,1.0,2.6,2.6487,2.5,2.5138,28565.0
2020-01-16,2.43,2.55,2.41,2.4327,25633.0,0.0,1.0,2.43,2.55,2.41,2.4327,25633.0
2020-01-17,2.43,2.53,2.43,2.44,19257.0,0.0,1.0,2.43,2.53,2.43,2.44,19257.0
2020-01-21,2.41,2.6,2.3896,2.5245,49593.0,0.0,1.0,2.41,2.6,2.3896,2.5245,49593.0
2020-01-22,2.54,2.56,2.4881,2.55,4953.0,0.0,1.0,2.54,2.56,2.4881,2.55,4953.0
2020-01-23,2.54,2.54,2.35,2.42,14338.0,0.0,1.0,2.54,2.54,2.35,2.42,14338.0
2020-01-24,2.45,2.45,2.3689,2.4,2392.0,0.0,1.0,2.45,2.45,2.3689,2.4,2392.0
2020-01-27,2.36,2.43,2.36,2.4098,9269.0,0.0,1.0,2.36,2.43,2.36,2.4098,9269.0
2020-01-28,2.36,2.4,2.36,2.4,2657.0,0.0,1.0,2.36,2.4,2.36,2.4,2657.0
2020-01-29,2.3759,2.3759,2.37,2.37,923.0,0.0,1.0,2.3759,2.3759,2.37,2.37,923.0
2020-01-30,2.36,2.36,2.31,2.3487,4669.0,0.0,1.0,2.36,2.36,2.31,2.3487,4669.0
2020-01-31,2.31,2.39,2.3,2.33,12064.0,0.0,1.0,2.31,2.39,2.3,2.33,12064.0
2020-02-03,2.3202,2.33,2.23,2.2301,13296.0,0.0,1.0,2.3202,2.33,2.23,2.2301,13296.0
2020-02-04,2.2327,2.24,2.1,2.18,49580.0,0.0,1.0,2.2327,2.24,2.1,2.18,49580.0
2020-02-05,2.15,2.15,2.08,2.1228,1267.0,0.0,1.0,2.15,2.15,2.08,2.1228,1267.0
2020-02-06,2.09,2.14,2.09,2.1,4801.0,0.0,1.0,2.09,2.14,2.09,2.1,4801.0
2020-02-07,2.05,2.09,2.02,2.0453,27882.0,0.0,1.0,2.05,2.09,2.02,2.0453,27882.0
2020-02-10,2.04,2.15,2.01,2.11,20815.0,0.0,1.0,2.04,2.15,2.01,2.11,20815.0
2020-02-11,2.08,2.135,2.08,2.11,4694.0,0.0,1.0,2.08,2.135,2.08,2.11,4694.0
2020-02-12,2.1429,2.1429,2.12,2.12,1260.0,0.0,1.0,2.1429,2.1429,2.12,2.12,1260.0
2020-02-13,2.126,2.14,2.08,2.13,8194.0,0.0,1.0,2.126,2.14,2.08,2.13,8194.0
2020-02-14,2.1629,2.25,2.15,2.15,20528.0,0.0,1.0,2.1629,2.25,2.15,2.15,20528.0
2020-02-18,2.13,2.1464,2.1,2.1062,14095.0,0.0,1.0,2.13,2.1464,2.1,2.1062,14095.0
2020-02-19,2.11,2.11,2.06,2.0998,19276.0,0.0,1.0,2.11,2.11,2.06,2.0998,19276.0
2020-02-20,2.07,2.07,1.64,1.9,37170.0,0.0,1.0,2.07,2.07,1.64,1.9,37170.0
2020-02-21,1.9799,2.08,1.9799,2.08,8330.0,0.0,1.0,1.9799,2.08,1.9799,2.08,8330.0
2020-02-24,2.0856,2.47,2.0101,2.35,37831.0,0.0,1.0,2.0856,2.47,2.0101,2.35,37831.0
2020-02-25,2.046,2.42,2.046,2.3023,32923.0,0.0,1.0,2.046,2.42,2.046,2.3023,32923.0
2020-02-26,2.38,2.52,2.3301,2.4973,11599.0,0.0,1.0,2.38,2.52,2.3301,2.4973,11599.0
2020-02-27,2.46,2.49,2.3601,2.45,13263.0,0.0,1.0,2.46,2.49,2.3601,2.45,13263.0
2020-02-28,1.71,2.58,1.71,2.5,20601.0,0.0,1.0,1.71,2.58,1.71,2.5,20601.0
2020-03-02,2.37,2.43,2.37,2.4,3097.0,0.0,1.0,2.37,2.43,2.37,2.4,3097.0
2020-03-03,2.46,2.5799,1.98,2.5799,1623.0,0.0,1.0,2.46,2.5799,1.98,2.5799,1623.0
2020-03-04,2.64,3.47,2.145,2.35,316617.0,0.0,1.0,2.64,3.47,2.145,2.35,316617.0
2020-03-05,2.1501,2.26,2.05,2.19,12234.0,0.0,1.0,2.1501,2.26,2.05,2.19,12234.0
2020-03-06,2.11,2.13,2.05,2.0827,3718.0,0.0,1.0,2.11,2.13,2.05,2.0827,3718.0
2020-03-09,2.15,2.15,2.0979,2.11,1055.0,0.0,1.0,2.15,2.15,2.0979,2.11,1055.0
2020-03-10,2.0845,2.0845,1.79,1.88,24015.0,0.0,1.0,2.0845,2.0845,1.79,1.88,24015.0
2020-03-11,1.89,1.89,1.71,1.7462,7217.0,0.0,1.0,1.89,1.89,1.71,1.7462,7217.0
2020-03-12,1.7,1.783,1.7,1.7747,5257.0,0.0,1.0,1.7,1.783,1.7,1.7747,5257.0
2020-03-13,1.7001,1.83,1.68,1.792,10032.0,0.0,1.0,1.7001,1.83,1.68,1.792,10032.0
2020-03-16,1.8101,1.9058,1.7,1.71,7866.0,0.0,1.0,1.8101,1.9058,1.7,1.71,7866.0
2020-03-17,1.79,1.79,1.65,1.65,5486.0,0.0,1.0,1.79,1.79,1.65,1.65,5486.0
2020-03-18,1.6201,1.64,1.11,1.11,37848.0,0.0,1.0,1.6201,1.64,1.11,1.11,37848.0
2020-03-19,1.12,1.5,1.12,1.4601,29333.0,0.0,1.0,1.12,1.5,1.12,1.4601,29333.0
2020-03-20,1.67,1.67,1.4,1.51,3170.0,0.0,1.0,1.67,1.67,1.4,1.51,3170.0
2020-03-23,1.51,1.51,1.51,1.51,211.0,0.0,1.0,1.51,1.51,1.51,1.51,211.0
2020-03-24,1.4267,1.47,1.3008,1.47,2902.0,0.0,1.0,1.4267,1.47,1.3008,1.47,2902.0
2020-03-25,1.38,1.38,1.285,1.3399,10656.0,0.0,1.0,1.38,1.38,1.285,1.3399,10656.0
2020-03-26,1.3399,1.3399,1.3399,1.3399,158.0,0.0,1.0,1.3399,1.3399,1.3399,1.3399,158.0
2020-03-27,1.3399,1.3399,1.3399,1.3399,477.0,0.0,1.0,1.3399,1.3399,1.3399,1.3399,477.0
2020-03-30,1.29,1.32,1.29,1.29,5985.0,0.0,1.0,1.29,1.32,1.29,1.29,5985.0
2020-03-31,1.3926,1.54,1.3926,1.5,12188.0,0.0,1.0,1.3926,1.54,1.3926,1.5,12188.0
2020-04-01,1.49,1.54,1.47,1.4997,36229.0,0.0,1.0,1.49,1.54,1.47,1.4997,36229.0
2020-04-02,1.5,1.6,1.49,1.56,1239.0,0.0,1.0,1.5,1.6,1.49,1.56,1239.0
2020-04-03,1.5,1.99,1.5,1.8032,38035.0,0.0,1.0,1.5,1.99,1.5,1.8032,38035.0
2020-04-06,1.8,1.8597,1.5101,1.5101,10675.0,0.0,1.0,1.8,1.8597,1.5101,1.5101,10675.0
2020-04-07,1.73,1.92,1.52,1.57,13952.0,0.0,1.0,1.73,1.92,1.52,1.57,13952.0
2020-04-08,1.59,1.94,1.58,1.8003,20074.0,0.0,1.0,1.59,1.94,1.58,1.8003,20074.0
2020-04-09,1.71,2.1,1.7,1.89,34011.0,0.0,1.0,1.71,2.1,1.7,1.89,34011.0
2020-04-13,1.81,2.05,1.81,1.9001,9083.0,0.0,1.0,1.81,2.05,1.81,1.9001,9083.0
2020-04-14,1.9477,1.99,1.9,1.9,1768.0,0.0,1.0,1.9477,1.99,1.9,1.9,1768.0
2020-04-15,1.85,2.85,1.85,2.23,164278.0,0.0,1.0,1.85,2.85,1.85,2.23,164278.0
2020-04-16,2.14,2.65,2.1,2.266,14657.0,0.0,1.0,2.14,2.65,2.1,2.266,14657.0
2020-04-17,2.17,2.4,2.17,2.32,17419.0,0.0,1.0,2.17,2.4,2.17,2.32,17419.0
2020-04-20,2.5529,2.56,2.2445,2.3937,7413.0,0.0,1.0,2.5529,2.56,2.2445,2.3937,7413.0
2020-04-21,2.39,2.49,2.37,2.3919,9620.0,0.0,1.0,2.39,2.49,2.37,2.3919,9620.0
2020-04-22,2.47,2.75,2.3216,2.6,22148.0,0.0,1.0,2.47,2.75,2.3216,2.6,22148.0
2020-04-23,2.77,2.77,2.42,2.7,12739.0,0.0,1.0,2.77,2.77,2.42,2.7,12739.0
2020-04-24,2.65,3.1,2.52,3.05,97212.0,0.0,1.0,2.65,3.1,2.52,3.05,97212.0
2020-04-27,3.26,3.8,2.98,3.67,113499.0,0.0,1.0,3.26,3.8,2.98,3.67,113499.0
2020-04-28,3.7,3.99,3.55,3.58,61512.0,0.0,1.0,3.7,3.99,3.55,3.58,61512.0
2020-04-29,3.6,4.0,3.6,3.78,33463.0,0.0,1.0,3.6,4.0,3.6,3.78,33463.0
2020-04-30,3.97,3.97,3.63,3.8,59635.0,0.0,1.0,3.97,3.97,3.63,3.8,59635.0
2020-05-01,4.46,5.55,3.0,3.52,693600.0,0.0,1.0,4.46,5.55,3.0,3.52,693600.0
2020-05-04,3.49,3.94,3.2487,3.8,55718.0,0.0,1.0,3.49,3.94,3.2487,3.8,55718.0
2020-05-05,4.0,4.5,3.505,3.91,83654.0,0.0,1.0,4.0,4.5,3.505,3.91,83654.0
2020-05-06,3.8,3.85,3.27,3.69,53488.0,0.0,1.0,3.8,3.85,3.27,3.69,53488.0
2020-05-07,3.6891,3.77,3.55,3.6825,37197.0,0.0,1.0,3.6891,3.77,3.55,3.6825,37197.0
2020-05-08,3.7,3.95,3.3,3.65,85503.0,0.0,1.0,3.7,3.95,3.3,3.65,85503.0
