Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.21,4.3,4.15,4.25,368651.0,0.0,1.0,4.21,4.3,4.15,4.25,368651.0
2020-01-03,4.17,4.24,4.07,4.1,293310.0,0.0,1.0,4.17,4.24,4.07,4.1,293310.0
2020-01-06,4.11,4.12,3.93,4.04,670081.0,0.0,1.0,4.11,4.12,3.93,4.04,670081.0
2020-01-07,4.04,4.1,3.89,4.03,536745.0,0.0,1.0,4.04,4.1,3.89,4.03,536745.0
2020-01-08,3.99,4.17,3.99,4.07,270189.0,0.0,1.0,3.99,4.17,3.99,4.07,270189.0
2020-01-09,4.08,4.14,4.02,4.03,269564.0,0.0,1.0,4.08,4.14,4.02,4.03,269564.0
2020-01-10,3.98,4.05,3.92,4.01,302211.0,0.0,1.0,3.98,4.05,3.92,4.01,302211.0
2020-01-13,4.11,4.13,3.97,4.1,297378.0,0.0,1.0,4.11,4.13,3.97,4.1,297378.0
2020-01-14,4.08,4.36,4.08,4.31,411737.0,0.0,1.0,4.08,4.36,4.08,4.31,411737.0
2020-01-15,4.31,4.41,4.24,4.35,345304.0,0.0,1.0,4.31,4.41,4.24,4.35,345304.0
2020-01-16,4.27,4.45,4.27,4.42,242878.0,0.0,1.0,4.27,4.45,4.27,4.42,242878.0
2020-01-17,4.46,4.55,4.4,4.49,306075.0,0.0,1.0,4.46,4.55,4.4,4.49,306075.0
2020-01-21,4.6,4.6699,4.435,4.44,276657.0,0.0,1.0,4.6,4.6699,4.435,4.44,276657.0
2020-01-22,4.47,4.52,4.24,4.25,277607.0,0.0,1.0,4.47,4.52,4.24,4.25,277607.0
2020-01-23,4.2,4.2,4.1103,4.15,320159.0,0.0,1.0,4.2,4.2,4.1103,4.15,320159.0
2020-01-24,4.13,4.16,4.03,4.05,237398.0,0.0,1.0,4.13,4.16,4.03,4.05,237398.0
2020-01-27,4.0,4.06,3.88,4.03,348549.0,0.0,1.0,4.0,4.06,3.88,4.03,348549.0
2020-01-28,4.11,4.15,4.0,4.12,447257.0,0.0,1.0,4.11,4.15,4.0,4.12,447257.0
2020-01-29,4.09,4.23,3.77,3.77,647652.0,0.0,1.0,4.09,4.23,3.77,3.77,647652.0
2020-01-30,3.58,3.83,3.28,3.33,1199487.0,0.0,1.0,3.58,3.83,3.28,3.33,1199487.0
2020-01-31,3.45,3.56,3.415,3.49,568794.0,0.0,1.0,3.45,3.56,3.415,3.49,568794.0
2020-02-03,3.59,3.6,3.15,3.19,619219.0,0.0,1.0,3.59,3.6,3.15,3.19,619219.0
2020-02-04,3.22,3.26,3.01,3.02,720682.0,0.0,1.0,3.22,3.26,3.01,3.02,720682.0
2020-02-05,3.02,3.23,3.02,3.18,537124.0,0.0,1.0,3.02,3.23,3.02,3.18,537124.0
2020-02-06,3.29,3.41,3.105,3.21,399288.0,0.0,1.0,3.29,3.41,3.105,3.21,399288.0
2020-02-07,3.25,3.25,3.08,3.17,258131.0,0.0,1.0,3.25,3.25,3.08,3.17,258131.0
2020-02-10,3.13,3.23,3.1,3.11,361914.0,0.0,1.0,3.13,3.23,3.1,3.11,361914.0
2020-02-11,3.12,3.19,3.11,3.12,199762.0,0.0,1.0,3.12,3.19,3.11,3.12,199762.0
2020-02-12,3.19,3.25,3.06,3.14,412626.0,0.0,1.0,3.19,3.25,3.06,3.14,412626.0
2020-02-13,3.12,3.165,3.05,3.13,428359.0,0.0,1.0,3.12,3.165,3.05,3.13,428359.0
2020-02-14,3.11,3.17,3.09,3.16,718888.0,0.0,1.0,3.11,3.17,3.09,3.16,718888.0
2020-02-18,3.15,3.24,3.12,3.15,324084.0,0.0,1.0,3.15,3.24,3.12,3.15,324084.0
2020-02-19,3.14,3.19,3.13,3.13,184193.0,0.0,1.0,3.14,3.19,3.13,3.13,184193.0
2020-02-20,3.13,3.16,3.02,3.08,456847.0,0.0,1.0,3.13,3.16,3.02,3.08,456847.0
2020-02-21,3.06,3.08,2.96,3.01,417570.0,0.0,1.0,3.06,3.08,2.96,3.01,417570.0
2020-02-24,2.95,2.99,2.8018,2.91,369397.0,0.0,1.0,2.95,2.99,2.8018,2.91,369397.0
2020-02-25,2.88,2.91,2.77,2.8,460450.0,0.0,1.0,2.88,2.91,2.77,2.8,460450.0
2020-02-26,2.83,2.86,2.75,2.75,467629.0,0.0,1.0,2.83,2.86,2.75,2.75,467629.0
2020-02-27,2.7,2.76,2.61,2.64,419025.0,0.0,1.0,2.7,2.76,2.61,2.64,419025.0
2020-02-28,2.66,2.75,2.58,2.66,377827.0,0.0,1.0,2.66,2.75,2.58,2.66,377827.0
2020-03-02,2.79,2.94,2.69,2.87,359902.0,0.0,1.0,2.79,2.94,2.69,2.87,359902.0
2020-03-03,2.91,3.06,2.775,2.87,548177.0,0.0,1.0,2.91,3.06,2.775,2.87,548177.0
2020-03-04,2.87,2.97,2.73,2.87,358995.0,0.0,1.0,2.87,2.97,2.73,2.87,358995.0
