Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.62,5.64,5.39,5.56,93356.0,0.0,1.0,5.62,5.64,5.39,5.56,93356.0
2020-01-03,5.52,5.62,5.44,5.62,155255.0,0.0,1.0,5.52,5.62,5.44,5.62,155255.0
2020-01-06,5.63,5.63,5.4,5.45,222895.0,0.0,1.0,5.63,5.63,5.4,5.45,222895.0
2020-01-07,5.46,5.495,5.36,5.44,67347.0,0.0,1.0,5.46,5.495,5.36,5.44,67347.0
2020-01-08,5.44,5.57,5.38,5.47,124719.0,0.0,1.0,5.44,5.57,5.38,5.47,124719.0
2020-01-09,5.49,5.54,5.37,5.44,102184.0,0.0,1.0,5.49,5.54,5.37,5.44,102184.0
2020-01-10,5.42,5.48,5.32,5.35,195019.0,0.0,1.0,5.42,5.48,5.32,5.35,195019.0
2020-01-13,5.35,5.43,5.29,5.39,132184.0,0.0,1.0,5.35,5.43,5.29,5.39,132184.0
2020-01-14,5.36,5.49,5.31,5.4,84111.0,0.0,1.0,5.36,5.49,5.31,5.4,84111.0
2020-01-15,5.45,5.49,5.34,5.44,118475.0,0.0,1.0,5.45,5.49,5.34,5.44,118475.0
2020-01-16,5.5,5.85,5.44,5.81,254391.0,0.0,1.0,5.5,5.85,5.44,5.81,254391.0
2020-01-17,5.89,5.89,5.72,5.72,358822.0,0.0,1.0,5.89,5.89,5.72,5.72,358822.0
2020-01-21,5.84,5.84,5.64,5.75,146852.0,0.0,1.0,5.84,5.84,5.64,5.75,146852.0
2020-01-22,5.7,5.71,5.6001,5.69,110343.0,0.0,1.0,5.7,5.71,5.6001,5.69,110343.0
2020-01-23,5.67,5.71,5.4,5.41,196655.0,0.0,1.0,5.67,5.71,5.4,5.41,196655.0
2020-01-24,5.41,5.45,5.16,5.18,95131.0,0.0,1.0,5.41,5.45,5.16,5.18,95131.0
2020-01-27,5.0,5.13,4.93,4.93,137991.0,0.0,1.0,5.0,5.13,4.93,4.93,137991.0
2020-01-28,4.85,5.0,4.84,4.98,213680.0,0.0,1.0,4.85,5.0,4.84,4.98,213680.0
2020-01-29,5.03,5.15,4.96,5.07,150149.0,0.0,1.0,5.03,5.15,4.96,5.07,150149.0
2020-01-30,4.99,5.07,4.92,4.95,160956.0,0.0,1.0,4.99,5.07,4.92,4.95,160956.0
2020-01-31,4.96,4.99,4.75,4.83,129924.0,0.0,1.0,4.96,4.99,4.75,4.83,129924.0
2020-02-03,4.85,4.93,4.78,4.8,87700.0,0.0,1.0,4.85,4.93,4.78,4.8,87700.0
2020-02-04,4.94,5.03,4.81,4.91,96630.0,0.0,1.0,4.94,5.03,4.81,4.91,96630.0
2020-02-05,5.01,5.33,5.0,5.1,186581.0,0.0,1.0,5.01,5.33,5.0,5.1,186581.0
2020-02-06,5.14,5.14,4.98,4.99,209700.0,0.0,1.0,5.14,5.14,4.98,4.99,209700.0
2020-02-07,5.0,5.19,5.0,5.04,79418.0,0.0,1.0,5.0,5.19,5.0,5.04,79418.0
2020-02-10,5.19,5.19,5.01,5.07,136681.0,0.0,1.0,5.19,5.19,5.01,5.07,136681.0
2020-02-11,4.99,5.07,4.75,4.76,309021.0,0.0,1.0,4.99,5.07,4.75,4.76,309021.0
2020-02-12,4.82,5.04,4.78,4.99,206125.0,0.0,1.0,4.82,5.04,4.78,4.99,206125.0
2020-02-13,4.86,4.98,4.81,4.98,141186.0,0.0,1.0,4.86,4.98,4.81,4.98,141186.0
2020-02-14,4.98,4.98,4.81,4.82,145486.0,0.0,1.0,4.98,4.98,4.81,4.82,145486.0
2020-02-18,4.76,4.84,4.75,4.76,207388.0,0.0,1.0,4.76,4.84,4.75,4.76,207388.0
2020-02-19,4.81,4.845,4.75,4.75,192837.0,0.0,1.0,4.81,4.845,4.75,4.75,192837.0
2020-02-20,4.75,4.86,4.67,4.81,175705.0,0.0,1.0,4.75,4.86,4.67,4.81,175705.0
2020-02-21,4.79,4.79,4.68,4.69,256110.0,0.0,1.0,4.79,4.79,4.68,4.69,256110.0
2020-02-24,4.66,4.71,4.58,4.58,258014.0,0.0,1.0,4.66,4.71,4.58,4.58,258014.0
2020-02-25,4.63,4.6365,4.35,4.42,258045.0,0.0,1.0,4.63,4.6365,4.35,4.42,258045.0
2020-02-26,4.46,4.5,4.33,4.43,178883.0,0.0,1.0,4.46,4.5,4.33,4.43,178883.0
2020-02-27,4.32,4.46,4.16,4.24,349458.0,0.0,1.0,4.32,4.46,4.16,4.24,349458.0
2020-02-28,4.22,4.45,4.2,4.4,296769.0,0.0,1.0,4.22,4.45,4.2,4.4,296769.0
2020-03-02,4.46,4.61,4.34,4.61,171705.0,0.0,1.0,4.46,4.61,4.34,4.61,171705.0
2020-03-03,4.53,4.66,4.41,4.6,208887.0,0.0,1.0,4.53,4.66,4.41,4.6,208887.0
2020-03-04,4.69,4.69,4.28,4.5,219790.0,0.0,1.0,4.69,4.69,4.28,4.5,219790.0
2020-03-05,4.4,4.4277,4.18,4.22,294979.0,0.0,1.0,4.4,4.4277,4.18,4.22,294979.0
2020-03-06,4.15,4.22,4.12,4.13,251611.0,0.0,1.0,4.15,4.22,4.12,4.13,251611.0
2020-03-09,3.93,3.9902,3.67,3.76,242650.0,0.0,1.0,3.93,3.9902,3.67,3.76,242650.0
2020-03-10,3.86,3.91,3.7,3.91,173237.0,0.0,1.0,3.86,3.91,3.7,3.91,173237.0
2020-03-11,3.83,3.83,3.59,3.62,158945.0,0.0,1.0,3.83,3.83,3.59,3.62,158945.0
2020-03-12,3.33,3.52,3.2,3.36,259044.0,0.0,1.0,3.33,3.52,3.2,3.36,259044.0
2020-03-13,3.54,3.63,3.34,3.63,198182.0,0.0,1.0,3.54,3.63,3.34,3.63,198182.0
2020-03-16,3.28,3.62,3.22,3.27,235741.0,0.0,1.0,3.28,3.62,3.22,3.27,235741.0
2020-03-17,3.29,3.82,3.25,3.79,182794.0,0.0,1.0,3.29,3.82,3.25,3.79,182794.0
2020-03-18,3.56,3.57,3.11,3.15,269439.0,0.0,1.0,3.56,3.57,3.11,3.15,269439.0
2020-03-19,3.08,3.6,3.08,3.56,255552.0,0.0,1.0,3.08,3.6,3.08,3.56,255552.0
2020-03-20,3.51,3.72,3.13,3.38,411433.0,0.0,1.0,3.51,3.72,3.13,3.38,411433.0
2020-03-23,3.3,3.44,3.11,3.39,156784.0,0.0,1.0,3.3,3.44,3.11,3.39,156784.0
2020-03-24,3.51,3.6,3.33,3.56,176624.0,0.0,1.0,3.51,3.6,3.33,3.56,176624.0
2020-03-25,3.57,3.8,3.42,3.63,291582.0,0.0,1.0,3.57,3.8,3.42,3.63,291582.0
2020-03-26,3.61,4.0,3.61,3.98,228722.0,0.0,1.0,3.61,4.0,3.61,3.98,228722.0
2020-03-27,3.82,3.92,3.56,3.6,109245.0,0.0,1.0,3.82,3.92,3.56,3.6,109245.0
2020-03-30,3.71,3.82,3.5601,3.82,138834.0,0.0,1.0,3.71,3.82,3.5601,3.82,138834.0
2020-03-31,3.81,3.89,3.67,3.87,182779.0,0.0,1.0,3.81,3.89,3.67,3.87,182779.0
2020-04-01,3.76,3.84,3.5215,3.58,153550.0,0.0,1.0,3.76,3.84,3.5215,3.58,153550.0
2020-04-02,3.72,3.85,3.51,3.73,139463.0,0.0,1.0,3.72,3.85,3.51,3.73,139463.0
2020-04-03,3.81,3.81,3.51,3.56,198833.0,0.0,1.0,3.81,3.81,3.51,3.56,198833.0
2020-04-06,3.74,3.89,3.66,3.69,187948.0,0.0,1.0,3.74,3.89,3.66,3.69,187948.0
2020-04-07,3.82,3.88,3.4,3.4,216763.0,0.0,1.0,3.82,3.88,3.4,3.4,216763.0
2020-04-08,3.46,3.6,3.46,3.49,155444.0,0.0,1.0,3.46,3.6,3.46,3.49,155444.0
2020-04-09,3.59,3.92,3.59,3.86,143804.0,0.0,1.0,3.59,3.92,3.59,3.86,143804.0
2020-04-13,3.84,3.885,3.72,3.75,128976.0,0.0,1.0,3.84,3.885,3.72,3.75,128976.0
2020-04-14,3.76,3.89,3.6,3.69,107575.0,0.0,1.0,3.76,3.89,3.6,3.69,107575.0
2020-04-15,3.53,3.61,3.42,3.42,107302.0,0.0,1.0,3.53,3.61,3.42,3.42,107302.0
2020-04-16,3.48,3.54,3.36,3.51,200088.0,0.0,1.0,3.48,3.54,3.36,3.51,200088.0
2020-04-17,3.7,3.72,3.585,3.66,77142.0,0.0,1.0,3.7,3.72,3.585,3.66,77142.0
2020-04-20,3.64,3.71,3.51,3.63,113067.0,0.0,1.0,3.64,3.71,3.51,3.63,113067.0
2020-04-21,3.53,3.65,3.47,3.48,166829.0,0.0,1.0,3.53,3.65,3.47,3.48,166829.0
2020-04-22,3.58,3.69,3.47,3.68,109226.0,0.0,1.0,3.58,3.69,3.47,3.68,109226.0
2020-04-23,3.64,3.78,3.48,3.52,135686.0,0.0,1.0,3.64,3.78,3.48,3.52,135686.0
