Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.75,3.76,3.6,3.63,96963.0,0.0,1.0,3.75,3.76,3.6,3.63,96963.0
2020-01-03,3.6,3.62,3.52,3.61,93698.0,0.0,1.0,3.6,3.62,3.52,3.61,93698.0
2020-01-06,3.56,3.705,3.56,3.68,65500.0,0.0,1.0,3.56,3.705,3.56,3.68,65500.0
2020-01-07,3.7,3.7,3.58,3.59,197131.0,0.0,1.0,3.7,3.7,3.58,3.59,197131.0
2020-01-08,3.57,3.62,3.55,3.59,263690.0,0.0,1.0,3.57,3.62,3.55,3.59,263690.0
2020-01-09,3.61,3.61,3.4,3.42,87743.0,0.0,1.0,3.61,3.61,3.4,3.42,87743.0
2020-01-10,3.39,3.4011,3.21,3.28,168842.0,0.0,1.0,3.39,3.4011,3.21,3.28,168842.0
2020-01-13,3.26,3.42,3.25,3.41,93529.0,0.0,1.0,3.26,3.42,3.25,3.41,93529.0
2020-01-14,3.4,3.44,3.3,3.36,110677.0,0.0,1.0,3.4,3.44,3.3,3.36,110677.0
2020-01-15,3.36,3.47,3.33,3.39,204496.0,0.0,1.0,3.36,3.47,3.33,3.39,204496.0
2020-01-16,3.43,3.495,3.32,3.33,162347.0,0.0,1.0,3.43,3.495,3.32,3.33,162347.0
2020-01-17,3.31,3.315,3.22,3.26,126820.0,0.0,1.0,3.31,3.315,3.22,3.26,126820.0
2020-01-21,3.2,3.2,3.13,3.15,78491.0,0.0,1.0,3.2,3.2,3.13,3.15,78491.0
2020-01-22,3.13,3.18,3.115,3.16,74322.0,0.0,1.0,3.13,3.18,3.115,3.16,74322.0
2020-01-23,3.12,3.1907,3.08,3.16,311827.0,0.0,1.0,3.12,3.1907,3.08,3.16,311827.0
2020-01-24,3.18,3.18,3.1,3.13,64672.0,0.0,1.0,3.18,3.18,3.1,3.13,64672.0
2020-01-27,3.06,3.11,3.01,3.05,113502.0,0.0,1.0,3.06,3.11,3.01,3.05,113502.0
2020-01-28,3.04,3.0437,2.94,3.01,154768.0,0.0,1.0,3.04,3.0437,2.94,3.01,154768.0
2020-01-29,3.02,3.05,2.95,3.01,85791.0,0.0,1.0,3.02,3.05,2.95,3.01,85791.0
2020-01-30,2.97,3.0,2.89,2.93,73463.0,0.0,1.0,2.97,3.0,2.89,2.93,73463.0
2020-01-31,2.89,2.89,2.69,2.76,216115.0,0.0,1.0,2.89,2.89,2.69,2.76,216115.0
2020-02-03,2.75,2.75,2.53,2.66,291738.0,0.0,1.0,2.75,2.75,2.53,2.66,291738.0
2020-02-04,2.66,2.99,2.66,2.88,198668.0,0.0,1.0,2.66,2.99,2.66,2.88,198668.0
2020-02-05,2.92,3.02,2.85,3.0,212902.0,0.0,1.0,2.92,3.02,2.85,3.0,212902.0
2020-02-06,3.04,3.04,2.85,2.89,58631.0,0.0,1.0,3.04,3.04,2.85,2.89,58631.0
2020-02-07,2.85,2.86,2.73,2.79,82118.0,0.0,1.0,2.85,2.86,2.73,2.79,82118.0
2020-02-10,2.75,2.83,2.74,2.75,61563.0,0.0,1.0,2.75,2.83,2.74,2.75,61563.0
2020-02-11,2.78,2.79,2.68,2.72,61900.0,0.0,1.0,2.78,2.79,2.68,2.72,61900.0
2020-02-12,2.75,2.751,2.66,2.68,46781.0,0.0,1.0,2.75,2.751,2.66,2.68,46781.0
2020-02-13,2.66,2.8,2.59,2.78,119418.0,0.0,1.0,2.66,2.8,2.59,2.78,119418.0
