Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.89,3.9404,3.89,3.93,33760.0,0.0,1.0,3.89,3.9404,3.89,3.93,33760.0
2020-01-03,3.91,3.97,3.91,3.94,32520.0,0.0,1.0,3.91,3.97,3.91,3.94,32520.0
2020-01-06,3.93,4.05,3.93,4.0,116601.0,0.0,1.0,3.93,4.05,3.93,4.0,116601.0
2020-01-07,4.0,4.0456,3.88,3.98,76070.0,0.0,1.0,4.0,4.0456,3.88,3.98,76070.0
2020-01-08,3.96,4.05,3.96,3.98,157284.0,0.0,1.0,3.96,4.05,3.96,3.98,157284.0
2020-01-09,4.0087,4.03,3.96,3.99,27633.0,0.0,1.0,4.0087,4.03,3.96,3.99,27633.0
2020-01-10,3.99,4.0,3.91,3.94,79738.0,0.0,1.0,3.99,4.0,3.91,3.94,79738.0
2020-01-13,3.94,4.08,3.91,4.06,59704.0,0.0,1.0,3.94,4.08,3.91,4.06,59704.0
2020-01-14,4.02,4.1,4.02,4.08,45404.0,0.0,1.0,4.02,4.1,4.02,4.08,45404.0
2020-01-15,4.07,4.17,4.06,4.13,55385.0,0.0,1.0,4.07,4.17,4.06,4.13,55385.0
2020-01-16,4.14,4.25,3.89,4.23,857296.0,0.0,1.0,4.14,4.25,3.89,4.23,857296.0
2020-01-17,4.25,4.46,4.25,4.44,65040.0,0.0,1.0,4.25,4.46,4.25,4.44,65040.0
2020-01-21,4.4,4.75,4.4,4.65,75258.0,0.0,1.0,4.4,4.75,4.4,4.65,75258.0
2020-01-22,4.69,4.83,4.69,4.73,49381.0,0.0,1.0,4.69,4.83,4.69,4.73,49381.0
2020-01-23,4.72,5.36,4.7,5.31,573555.0,0.0,1.0,4.72,5.36,4.7,5.31,573555.0
2020-01-24,5.38,5.38,5.15,5.23,204322.0,0.0,1.0,5.38,5.38,5.15,5.23,204322.0
2020-01-27,5.21,5.28,5.13,5.16,129559.0,0.0,1.0,5.21,5.28,5.13,5.16,129559.0
2020-01-28,5.15,5.24,5.07,5.11,111659.0,0.0,1.0,5.15,5.24,5.07,5.11,111659.0
2020-01-29,5.09,5.16,5.0414,5.12,52418.0,0.0,1.0,5.09,5.16,5.0414,5.12,52418.0
2020-01-30,5.12,5.21,5.08,5.18,49288.0,0.0,1.0,5.12,5.21,5.08,5.18,49288.0
2020-01-31,5.16,5.21,5.0,5.0,66636.0,0.0,1.0,5.16,5.21,5.0,5.0,66636.0
2020-02-03,5.05,5.13,4.9,5.03,71592.0,0.0,1.0,5.05,5.13,4.9,5.03,71592.0
2020-02-04,5.06,5.09,4.94,5.06,67501.0,0.0,1.0,5.06,5.09,4.94,5.06,67501.0
2020-02-05,5.06,5.07,4.94,4.97,76720.0,0.0,1.0,5.06,5.07,4.94,4.97,76720.0
2020-02-06,4.94,5.0,4.9,4.97,47205.0,0.0,1.0,4.94,5.0,4.9,4.97,47205.0
2020-02-07,4.94,4.97,4.75,4.78,86147.0,0.0,1.0,4.94,4.97,4.75,4.78,86147.0
2020-02-10,4.73,4.73,4.11,4.33,276141.0,0.0,1.0,4.73,4.73,4.11,4.33,276141.0
2020-02-11,4.34,4.88,4.34,4.74,234992.0,0.0,1.0,4.34,4.88,4.34,4.74,234992.0
2020-02-12,4.78,5.0439,4.77,4.92,91876.0,0.0,1.0,4.78,5.0439,4.77,4.92,91876.0
2020-02-13,4.91,4.97,4.86,4.9,129979.0,0.0,1.0,4.91,4.97,4.86,4.9,129979.0
2020-02-14,4.92,5.03,4.72,4.99,951578.0,0.0,1.0,4.92,5.03,4.72,4.99,951578.0
2020-02-18,5.01,5.12,4.905,4.91,52424.0,0.0,1.0,5.01,5.12,4.905,4.91,52424.0
2020-02-19,4.89,4.941,4.76,4.8,53898.0,0.0,1.0,4.89,4.941,4.76,4.8,53898.0
2020-02-20,4.74,4.94,4.49,4.86,55123.0,0.0,1.0,4.74,4.94,4.49,4.86,55123.0
2020-02-21,4.88,4.96,4.79,4.9,97707.0,0.0,1.0,4.88,4.96,4.79,4.9,97707.0
2020-02-24,4.77,5.08,4.77,4.99,92994.0,0.0,1.0,4.77,5.08,4.77,4.99,92994.0
2020-02-25,5.04,5.09,4.81,4.85,67146.0,0.0,1.0,5.04,5.09,4.81,4.85,67146.0
2020-02-26,4.85,4.862,4.69,4.76,154654.0,0.0,1.0,4.85,4.862,4.69,4.76,154654.0
2020-02-27,4.66,4.93,4.56,4.775,111022.0,0.0,1.0,4.66,4.93,4.56,4.775,111022.0
2020-02-28,4.76,4.81,4.49,4.62,90280.0,0.0,1.0,4.76,4.81,4.49,4.62,90280.0
2020-03-02,4.61,4.7,4.44,4.51,99962.0,0.0,1.0,4.61,4.7,4.44,4.51,99962.0
2020-03-03,4.48,4.5,4.29,4.37,99822.0,0.0,1.0,4.48,4.5,4.29,4.37,99822.0
2020-03-04,4.37,4.48,4.275,4.29,127214.0,0.0,1.0,4.37,4.48,4.275,4.29,127214.0
2020-03-05,4.23,4.25,4.078,4.15,77593.0,0.0,1.0,4.23,4.25,4.078,4.15,77593.0
2020-03-06,4.08,4.19,4.01,4.15,76717.0,0.0,1.0,4.08,4.19,4.01,4.15,76717.0
2020-03-09,4.2,4.2,3.96,4.02,119315.0,0.0,1.0,4.2,4.2,3.96,4.02,119315.0
2020-03-10,4.1,4.24,3.96,4.24,129838.0,0.0,1.0,4.1,4.24,3.96,4.24,129838.0
