Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.08,2.0931,1.9579,2.0,403516.0,0.0,1.0,2.08,2.0931,1.9579,2.0,403516.0
2020-01-03,2.0,2.01,1.95,2.0,112517.0,0.0,1.0,2.0,2.01,1.95,2.0,112517.0
2020-01-06,2.0,2.13,1.95,2.02,356697.0,0.0,1.0,2.0,2.13,1.95,2.02,356697.0
2020-01-07,2.03,2.12,2.02,2.09,254006.0,0.0,1.0,2.03,2.12,2.02,2.09,254006.0
2020-01-08,2.09,2.12,2.07,2.1,202895.0,0.0,1.0,2.09,2.12,2.07,2.1,202895.0
2020-01-09,2.26,2.37,2.18,2.23,1712832.0,0.0,1.0,2.26,2.37,2.18,2.23,1712832.0
2020-01-10,2.3,2.332,2.23,2.31,528929.0,0.0,1.0,2.3,2.332,2.23,2.31,528929.0
2020-01-13,2.31,2.33,2.19,2.23,436258.0,0.0,1.0,2.31,2.33,2.19,2.23,436258.0
2020-01-14,2.13,2.3,2.13,2.28,300110.0,0.0,1.0,2.13,2.3,2.13,2.28,300110.0
2020-01-15,2.29,2.32,2.27,2.3,211251.0,0.0,1.0,2.29,2.32,2.27,2.3,211251.0
2020-01-16,2.32,2.55,2.32,2.52,457637.0,0.0,1.0,2.32,2.55,2.32,2.52,457637.0
2020-01-17,2.56,2.79,2.56,2.74,1462250.0,0.0,1.0,2.56,2.79,2.56,2.74,1462250.0
2020-01-21,2.77,2.87,2.69,2.72,1443993.0,0.0,1.0,2.77,2.87,2.69,2.72,1443993.0
2020-01-22,2.77,3.12,2.7215,2.97,780118.0,0.0,1.0,2.77,3.12,2.7215,2.97,780118.0
2020-01-23,3.0,3.0699,2.95,3.04,643636.0,0.0,1.0,3.0,3.0699,2.95,3.04,643636.0
2020-01-24,3.06,3.14,3.06,3.13,486412.0,0.0,1.0,3.06,3.14,3.06,3.13,486412.0
2020-01-27,3.1,3.1,2.68,2.98,765854.0,0.0,1.0,3.1,3.1,2.68,2.98,765854.0
2020-01-28,2.96,3.17,2.96,3.14,577587.0,0.0,1.0,2.96,3.17,2.96,3.14,577587.0
2020-01-29,3.16,3.2,3.075,3.15,686309.0,0.0,1.0,3.16,3.2,3.075,3.15,686309.0
2020-01-30,3.16,3.27,2.85,2.89,417616.0,0.0,1.0,3.16,3.27,2.85,2.89,417616.0
2020-01-31,2.89,2.94,2.71,2.935,523765.0,0.0,1.0,2.89,2.94,2.71,2.935,523765.0
2020-02-03,2.96,3.14,2.9,3.12,432682.0,0.0,1.0,2.96,3.14,2.9,3.12,432682.0
2020-02-04,3.24,3.35,3.15,3.33,680354.0,0.0,1.0,3.24,3.35,3.15,3.33,680354.0
2020-02-05,3.35,3.55,3.2502,3.29,405374.0,0.0,1.0,3.35,3.55,3.2502,3.29,405374.0
2020-02-06,3.29,3.46,3.24,3.45,329552.0,0.0,1.0,3.29,3.46,3.24,3.45,329552.0
2020-02-07,3.45,3.46,3.29,3.37,210880.0,0.0,1.0,3.45,3.46,3.29,3.37,210880.0
2020-02-10,3.39,3.39,3.15,3.28,339179.0,0.0,1.0,3.39,3.39,3.15,3.28,339179.0
2020-02-11,3.29,3.31,3.16,3.24,240435.0,0.0,1.0,3.29,3.31,3.16,3.24,240435.0
2020-02-12,3.24,3.3401,3.23,3.26,198955.0,0.0,1.0,3.24,3.3401,3.23,3.26,198955.0
2020-02-13,3.26,3.36,3.19,3.2,213824.0,0.0,1.0,3.26,3.36,3.19,3.2,213824.0
2020-02-14,3.2,3.31,3.16,3.29,254991.0,0.0,1.0,3.2,3.31,3.16,3.29,254991.0
2020-02-18,3.32,3.4,3.29,3.39,170489.0,0.0,1.0,3.32,3.4,3.29,3.39,170489.0
2020-02-19,3.4,3.54,3.4,3.51,261088.0,0.0,1.0,3.4,3.54,3.4,3.51,261088.0
