Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.73,5.9,5.725,5.84,11793.0,0.0,1.0,5.73,5.9,5.725,5.84,11793.0
2020-01-03,5.94,5.97,5.81,5.81,6335.0,0.0,1.0,5.94,5.97,5.81,5.81,6335.0
2020-01-06,5.88,5.95,5.78,5.79,14743.0,0.0,1.0,5.88,5.95,5.78,5.79,14743.0
2020-01-07,5.7,5.8911,5.7,5.76,10130.0,0.0,1.0,5.7,5.8911,5.7,5.76,10130.0
2020-01-08,5.73,5.85,5.72,5.73,9274.0,0.0,1.0,5.73,5.85,5.72,5.73,9274.0
2020-01-09,5.911,5.9628,5.7844,5.85,4320.0,0.0,1.0,5.911,5.9628,5.7844,5.85,4320.0
2020-01-10,5.78,5.86,5.76,5.8,998.0,0.0,1.0,5.78,5.86,5.76,5.8,998.0
2020-01-13,5.7874,5.88,5.75,5.86,5329.0,0.0,1.0,5.7874,5.88,5.75,5.86,5329.0
2020-01-14,5.86,5.95,5.7944,5.84,14325.0,0.0,1.0,5.86,5.95,5.7944,5.84,14325.0
2020-01-15,5.8749,6.13,5.85,6.03,7035.0,0.0,1.0,5.8749,6.13,5.85,6.03,7035.0
2020-01-16,5.99,5.99,5.83,5.855,15902.0,0.0,1.0,5.99,5.99,5.83,5.855,15902.0
2020-01-17,5.79,5.9399,5.79,5.93,5135.0,0.0,1.0,5.79,5.9399,5.79,5.93,5135.0
2020-01-21,5.73,5.96,5.73,5.95,9806.0,0.0,1.0,5.73,5.96,5.73,5.95,9806.0
2020-01-22,5.855,5.94,5.79,5.92,7261.0,0.0,1.0,5.855,5.94,5.79,5.92,7261.0
2020-01-23,5.95,5.95,5.84,5.91,9114.0,0.0,1.0,5.95,5.95,5.84,5.91,9114.0
2020-01-24,5.895,5.9334,5.78,5.79,14649.0,0.0,1.0,5.895,5.9334,5.78,5.79,14649.0
2020-01-27,5.72,5.8138,5.72,5.73,6661.0,0.0,1.0,5.72,5.8138,5.72,5.73,6661.0
2020-01-28,5.76,5.88,5.71,5.88,11131.0,0.0,1.0,5.76,5.88,5.71,5.88,11131.0
2020-01-29,5.88,5.905,5.7,5.71,18985.0,0.0,1.0,5.88,5.905,5.7,5.71,18985.0
2020-01-30,5.8444,5.8444,5.71,5.72,8982.0,0.0,1.0,5.8444,5.8444,5.71,5.72,8982.0
2020-01-31,5.82,5.85,5.63,5.63,17986.0,0.0,1.0,5.82,5.85,5.63,5.63,17986.0
2020-02-03,5.63,5.63,5.36,5.36,66476.0,0.0,1.0,5.63,5.63,5.36,5.36,66476.0
2020-02-04,5.38,5.4985,5.34,5.35,12224.0,0.0,1.0,5.38,5.4985,5.34,5.35,12224.0
2020-02-05,5.38,5.38,5.33,5.38,1681.0,0.0,1.0,5.38,5.38,5.33,5.38,1681.0
2020-02-06,5.3467,5.3528,5.175,5.19,59153.0,0.0,1.0,5.3467,5.3528,5.175,5.19,59153.0
2020-02-07,5.2187,5.2703,5.13,5.17,8296.0,0.0,1.0,5.2187,5.2703,5.13,5.17,8296.0
2020-02-10,5.16,5.16,5.13,5.13,13780.0,0.0,1.0,5.16,5.16,5.13,5.13,13780.0
2020-02-11,5.1449,5.4668,5.1449,5.45,33055.0,0.0,1.0,5.1449,5.4668,5.1449,5.45,33055.0
2020-02-12,5.62,5.62,5.2837,5.38,8835.0,0.0,1.0,5.62,5.62,5.2837,5.38,8835.0
2020-02-13,5.3403,5.3567,5.218,5.23,18610.0,0.0,1.0,5.3403,5.3567,5.218,5.23,18610.0
2020-02-14,5.293,5.3699,5.25,5.25,7996.0,0.0,1.0,5.293,5.3699,5.25,5.25,7996.0
2020-02-18,5.25,5.4063,5.25,5.35,32322.0,0.0,1.0,5.25,5.4063,5.25,5.35,32322.0
2020-02-19,5.35,5.35,5.18,5.19,13553.0,0.0,1.0,5.35,5.35,5.18,5.19,13553.0
2020-02-20,5.17,5.25,5.15,5.15,4803.0,0.0,1.0,5.17,5.25,5.15,5.15,4803.0
2020-02-21,5.16,5.31,5.13,5.31,22323.0,0.0,1.0,5.16,5.31,5.13,5.31,22323.0
