Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-24,1.05,1.2,1.0,1.01,220901.0,0.0,1.0,1.05,1.2,1.0,1.01,220901.0
2020-11-25,1.2,1.2,1.02,1.02,110220.0,0.0,1.0,1.2,1.2,1.02,1.02,110220.0
2020-11-27,1.05,1.31,1.02,1.15,144865.0,0.0,1.0,1.05,1.31,1.02,1.15,144865.0
2020-11-30,1.26,1.3,1.05,1.16,198895.0,0.0,1.0,1.26,1.3,1.05,1.16,198895.0
2020-12-01,1.2,1.25,1.08,1.15,186987.0,0.0,1.0,1.2,1.25,1.08,1.15,186987.0
2020-12-02,1.17,1.2,1.13,1.15,30552.0,0.0,1.0,1.17,1.2,1.13,1.15,30552.0
2020-12-03,1.2292,1.25,1.15,1.18,52579.0,0.0,1.0,1.2292,1.25,1.15,1.18,52579.0
2020-12-04,1.25,1.3,1.1,1.18,70590.0,0.0,1.0,1.25,1.3,1.1,1.18,70590.0
2020-12-07,1.12,1.52,1.12,1.31,125783.0,0.0,1.0,1.12,1.52,1.12,1.31,125783.0
2020-12-08,1.28,1.5,1.16,1.2955,142050.0,0.0,1.0,1.28,1.5,1.16,1.2955,142050.0
2020-12-09,1.3,1.54,1.26,1.3535,229534.0,0.0,1.0,1.3,1.54,1.26,1.3535,229534.0
2020-12-10,1.55,1.65,1.32,1.64,328725.0,0.0,1.0,1.55,1.65,1.32,1.64,328725.0
2020-12-11,1.52,1.86,1.45,1.5498,205199.0,0.0,1.0,1.52,1.86,1.45,1.5498,205199.0
2020-12-14,1.55,1.6,1.34,1.45,377960.0,0.0,1.0,1.55,1.6,1.34,1.45,377960.0
2020-12-15,1.4301,1.55,1.2,1.3,323546.0,0.0,1.0,1.4301,1.55,1.2,1.3,323546.0
2020-12-16,1.3,1.4,1.25,1.3061,114940.0,0.0,1.0,1.3,1.4,1.25,1.3061,114940.0
2020-12-17,1.3,1.35,1.26,1.345,80218.0,0.0,1.0,1.3,1.35,1.26,1.345,80218.0
2020-12-18,1.34,1.505,1.26,1.4,118462.0,0.0,1.0,1.34,1.505,1.26,1.4,118462.0
2020-12-21,1.43,1.4999,1.35,1.36,111869.0,0.0,1.0,1.43,1.4999,1.35,1.36,111869.0
2020-12-22,1.5,1.5,1.36,1.38,143127.0,0.0,1.0,1.5,1.5,1.36,1.38,143127.0
2020-12-23,1.47,1.5,1.36,1.4398,206168.0,0.0,1.0,1.47,1.5,1.36,1.4398,206168.0
2020-12-24,1.55,1.55,1.37,1.45,271099.0,0.0,1.0,1.55,1.55,1.37,1.45,271099.0
2020-12-28,1.6,1.75,1.5,1.605,451867.0,0.0,1.0,1.6,1.75,1.5,1.605,451867.0
2020-12-29,1.7,1.8,1.4401,1.45,378246.0,0.0,1.0,1.7,1.8,1.4401,1.45,378246.0
2020-12-30,1.67,1.67,1.3958,1.4,216039.0,0.0,1.0,1.67,1.67,1.3958,1.4,216039.0
2020-12-31,1.42,1.5,1.35,1.35,278580.0,0.0,1.0,1.42,1.5,1.35,1.35,278580.0
