Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.901,0.91,0.864,0.8805,731004.0,0.0,1.0,0.901,0.91,0.864,0.8805,731004.0
2020-01-03,0.8636,0.9,0.855,0.89,1060056.0,0.0,1.0,0.8636,0.9,0.855,0.89,1060056.0
2020-01-06,0.87,0.88,0.86,0.8611,719653.0,0.0,1.0,0.87,0.88,0.86,0.8611,719653.0
2020-01-07,0.89,0.9,0.87,0.8875,721318.0,0.0,1.0,0.89,0.9,0.87,0.8875,721318.0
2020-01-08,0.89,0.91,0.855,0.8637,1054680.0,0.0,1.0,0.89,0.91,0.855,0.8637,1054680.0
2020-01-09,0.85,0.87,0.8329,0.85,903113.0,0.0,1.0,0.85,0.87,0.8329,0.85,903113.0
2020-01-10,0.8457,0.856,0.83,0.837,846277.0,0.0,1.0,0.8457,0.856,0.83,0.837,846277.0
2020-01-13,0.85,0.89,0.8475,0.875,961539.0,0.0,1.0,0.85,0.89,0.8475,0.875,961539.0
2020-01-14,0.888,0.9365,0.87,0.9,1160288.0,0.0,1.0,0.888,0.9365,0.87,0.9,1160288.0
2020-01-15,0.9,0.9225,0.8965,0.9148,705763.0,0.0,1.0,0.9,0.9225,0.8965,0.9148,705763.0
2020-01-16,0.9122,1.07,0.9122,1.06,2620801.0,0.0,1.0,0.9122,1.07,0.9122,1.06,2620801.0
2020-01-17,1.05,1.07,0.93,0.9499,1463792.0,0.0,1.0,1.05,1.07,0.93,0.9499,1463792.0
2020-01-21,0.95,0.95,0.9,0.9094,3051894.0,0.0,1.0,0.95,0.95,0.9,0.9094,3051894.0
2020-01-22,0.9054,0.915,0.86,0.8978,1775848.0,0.0,1.0,0.9054,0.915,0.86,0.8978,1775848.0
2020-01-23,0.8821,0.8899,0.856,0.8776,764638.0,0.0,1.0,0.8821,0.8899,0.856,0.8776,764638.0
2020-01-24,0.8755,0.8902,0.85,0.8599,914560.0,0.0,1.0,0.8755,0.8902,0.85,0.8599,914560.0
2020-01-27,0.85,0.875,0.844,0.8562,1058700.0,0.0,1.0,0.85,0.875,0.844,0.8562,1058700.0
2020-01-28,0.85,0.89,0.85,0.8664,750768.0,0.0,1.0,0.85,0.89,0.85,0.8664,750768.0
2020-01-29,0.86,0.88,0.845,0.88,1014342.0,0.0,1.0,0.86,0.88,0.845,0.88,1014342.0
2020-01-30,0.88,0.88,0.8253,0.837,1656993.0,0.0,1.0,0.88,0.88,0.8253,0.837,1656993.0
2020-01-31,0.8309,0.8435,0.805,0.8179,1537843.0,0.0,1.0,0.8309,0.8435,0.805,0.8179,1537843.0
2020-02-03,0.8193,0.86,0.8136,0.815,847127.0,0.0,1.0,0.8193,0.86,0.8136,0.815,847127.0
2020-02-04,0.815,0.8579,0.81,0.8579,952820.0,0.0,1.0,0.815,0.8579,0.81,0.8579,952820.0
2020-02-05,0.86,0.87,0.8343,0.8583,565808.0,0.0,1.0,0.86,0.87,0.8343,0.8583,565808.0
2020-02-06,0.87,0.89,0.8348,0.8894,1040804.0,0.0,1.0,0.87,0.89,0.8348,0.8894,1040804.0
2020-02-07,0.8829,0.917,0.8449,0.9157,928713.0,0.0,1.0,0.8829,0.917,0.8449,0.9157,928713.0
2020-02-10,0.92,1.0,0.8905,0.9925,3846881.0,0.0,1.0,0.92,1.0,0.8905,0.9925,3846881.0
2020-02-11,1.0,1.01,0.9482,0.9601,1449933.0,0.0,1.0,1.0,1.01,0.9482,0.9601,1449933.0
