Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-15,2.6583,2.98,2.27,2.78,50829.0,0.0,1.0,2.6583,2.98,2.27,2.78,50829.0
2020-10-16,2.78,3.09,2.78,2.93,152990.0,0.0,1.0,2.78,3.09,2.78,2.93,152990.0
2020-10-19,3.05,3.05,2.59,2.84,53653.0,0.0,1.0,3.05,3.05,2.59,2.84,53653.0
2020-10-20,2.85,2.87,2.6501,2.7444,18443.0,0.0,1.0,2.85,2.87,2.6501,2.7444,18443.0
2020-10-21,2.7481,2.859,2.66,2.68,75373.0,0.0,1.0,2.7481,2.859,2.66,2.68,75373.0
2020-10-22,2.71,2.7319,2.2499,2.31,58609.0,0.0,1.0,2.71,2.7319,2.2499,2.31,58609.0
2020-10-23,2.49,2.49,2.15,2.21,42860.0,0.0,1.0,2.49,2.49,2.15,2.21,42860.0
2020-10-26,2.11,2.4,1.88,2.15,233376.0,0.0,1.0,2.11,2.4,1.88,2.15,233376.0
2020-10-27,2.0167,2.18,2.0167,2.17,16030.0,0.0,1.0,2.0167,2.18,2.0167,2.17,16030.0
2020-10-28,2.15,2.285,2.111,2.15,33780.0,0.0,1.0,2.15,2.285,2.111,2.15,33780.0
2020-10-29,2.1,2.27,1.99,2.25,48859.0,0.0,1.0,2.1,2.27,1.99,2.25,48859.0
2020-10-30,2.39,2.39,2.0601,2.14,24643.0,0.0,1.0,2.39,2.39,2.0601,2.14,24643.0
2020-11-02,2.25,2.25,2.1,2.1002,8925.0,0.0,1.0,2.25,2.25,2.1,2.1002,8925.0
2020-11-03,2.13,2.27,2.13,2.27,3068.0,0.0,1.0,2.13,2.27,2.13,2.27,3068.0
2020-11-04,2.12,2.22,2.04,2.15,24147.0,0.0,1.0,2.12,2.22,2.04,2.15,24147.0
2020-11-05,3.0,3.18,2.97,3.08,1154156.0,0.0,1.0,3.0,3.18,2.97,3.08,1154156.0
2020-11-06,3.1,3.1245,3.03,3.11,386273.0,0.0,1.0,3.1,3.1245,3.03,3.11,386273.0
2020-11-09,3.11,3.15,3.03,3.05,57563.0,0.0,1.0,3.11,3.15,3.03,3.05,57563.0
2020-11-10,3.06,3.2225,3.06,3.2,48646.0,0.0,1.0,3.06,3.2225,3.06,3.2,48646.0
2020-11-11,3.32,3.37,3.28,3.3675,78146.0,0.0,1.0,3.32,3.37,3.28,3.3675,78146.0
2020-11-12,3.29,3.49,3.27,3.45,158285.0,0.0,1.0,3.29,3.49,3.27,3.45,158285.0
2020-11-13,2.91,2.91,2.7,2.77,625071.0,0.0,1.0,2.91,2.91,2.7,2.77,625071.0
2020-11-16,2.9,2.9,2.68,2.7,109353.0,0.0,1.0,2.9,2.9,2.68,2.7,109353.0
2020-11-17,2.74,2.7405,2.64,2.65,221703.0,0.0,1.0,2.74,2.7405,2.64,2.65,221703.0
2020-11-18,2.65,2.671,2.6,2.61,317914.0,0.0,1.0,2.65,2.671,2.6,2.61,317914.0
2020-11-19,2.615,2.641,2.5502,2.5502,250463.0,0.0,1.0,2.615,2.641,2.5502,2.5502,250463.0
2020-11-20,2.63,2.63,2.51,2.57,168592.0,0.0,1.0,2.63,2.63,2.51,2.57,168592.0
2020-11-23,2.6,2.645,2.52,2.56,137542.0,0.0,1.0,2.6,2.645,2.52,2.56,137542.0
2020-11-24,2.6345,2.7899,2.6,2.7,222450.0,0.0,1.0,2.6345,2.7899,2.6,2.7,222450.0
2020-11-25,2.63,3.31,2.63,3.08,131148.0,0.0,1.0,2.63,3.31,2.63,3.08,131148.0
2020-11-27,3.45,3.8,3.22,3.24,78403.0,0.0,1.0,3.45,3.8,3.22,3.24,78403.0
2020-11-30,3.22,3.49,3.03,3.26,127015.0,0.0,1.0,3.22,3.49,3.03,3.26,127015.0
2020-12-01,3.21,3.21,3.09,3.1,33079.0,0.0,1.0,3.21,3.21,3.09,3.1,33079.0
2020-12-02,3.0507,3.215,3.0507,3.1758,10542.0,0.0,1.0,3.0507,3.215,3.0507,3.1758,10542.0
2020-12-03,3.19,3.19,3.08,3.09,33245.0,0.0,1.0,3.19,3.19,3.08,3.09,33245.0
2020-12-04,3.26,3.26,3.12,3.16,54675.0,0.0,1.0,3.26,3.26,3.12,3.16,54675.0
2020-12-07,3.15,3.33,3.15,3.3,114176.0,0.0,1.0,3.15,3.33,3.15,3.3,114176.0
2020-12-08,3.2765,3.2765,3.18,3.24,19930.0,0.0,1.0,3.2765,3.2765,3.18,3.24,19930.0
2020-12-09,3.21,3.21,3.11,3.14,14058.0,0.0,1.0,3.21,3.21,3.11,3.14,14058.0
2020-12-10,3.17,3.22,3.12,3.13,45485.0,0.0,1.0,3.17,3.22,3.12,3.13,45485.0
2020-12-11,3.12,3.13,2.84,3.1,111564.0,0.0,1.0,3.12,3.13,2.84,3.1,111564.0
2020-12-14,2.99,3.13,2.99,3.03,150740.0,0.0,1.0,2.99,3.13,2.99,3.03,150740.0
2020-12-15,3.05,3.06,2.95,2.95,115873.0,0.0,1.0,3.05,3.06,2.95,2.95,115873.0
