Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-09,1.0,1.0,0.8,0.8035,31080.0,0.0,1.0,1.0,1.0,0.8,0.8035,31080.0
2020-12-10,0.8,1.25,0.8,0.9,86876.0,0.0,1.0,0.8,1.25,0.8,0.9,86876.0
2020-12-11,0.9005,1.06,0.845,0.845,36253.0,0.0,1.0,0.9005,1.06,0.845,0.845,36253.0
2020-12-14,0.9005,0.9005,0.7701,0.7701,259506.0,0.0,1.0,0.9005,0.9005,0.7701,0.7701,259506.0
2020-12-15,1.0,1.0,0.81,0.81,72800.0,0.0,1.0,1.0,1.0,0.81,0.81,72800.0
2020-12-16,0.85,0.85,0.8,0.8225,108780.0,0.0,1.0,0.85,0.85,0.8,0.8225,108780.0
2020-12-17,0.83,0.85,0.82,0.85,50735.0,0.0,1.0,0.83,0.85,0.82,0.85,50735.0
2020-12-18,0.85,0.85,0.81995,0.85,70899.0,0.0,1.0,0.85,0.85,0.81995,0.85,70899.0
2020-12-21,0.875,0.875,0.79,0.82,140095.0,0.0,1.0,0.875,0.875,0.79,0.82,140095.0
2020-12-22,0.85,0.85,0.82,0.83,137322.0,0.0,1.0,0.85,0.85,0.82,0.83,137322.0
2020-12-23,0.85,1.0,0.85,0.98,119270.0,0.0,1.0,0.85,1.0,0.85,0.98,119270.0
2020-12-24,0.95,1.2,0.941001,1.0,118594.0,0.0,1.0,0.95,1.2,0.941001,1.0,118594.0
2020-12-28,1.15,1.1737,1.03,1.03,203422.0,0.0,1.0,1.15,1.1737,1.03,1.03,203422.0
2020-12-29,1.1,1.1,1.02,1.05,58348.0,0.0,1.0,1.1,1.1,1.02,1.05,58348.0
2020-12-30,1.05,1.05,0.95,0.99,116555.0,0.0,1.0,1.05,1.05,0.95,0.99,116555.0
2020-12-31,1.01,1.05,0.994,1.0179,37188.0,0.0,1.0,1.01,1.05,0.994,1.0179,37188.0
