Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.15,5.15,4.9,4.95,90826.0,0.0,1.0,5.15,5.15,4.9,4.95,90826.0
2020-01-03,4.9,5.09,4.88,4.91,63265.0,0.0,1.0,4.9,5.09,4.88,4.91,63265.0
2020-01-06,4.88,5.1,4.69,5.07,61452.0,0.0,1.0,4.88,5.1,4.69,5.07,61452.0
2020-01-07,5.04,5.28,4.98,5.22,78603.0,0.0,1.0,5.04,5.28,4.98,5.22,78603.0
2020-01-08,5.25,5.322,5.0401,5.13,78353.0,0.0,1.0,5.25,5.322,5.0401,5.13,78353.0
2020-01-09,5.18,5.26,5.0,5.08,52918.0,0.0,1.0,5.18,5.26,5.0,5.08,52918.0
2020-01-10,5.14,5.15,4.96,4.98,102229.0,0.0,1.0,5.14,5.15,4.96,4.98,102229.0
2020-01-13,5.19,5.23,4.71,4.93,282243.0,0.0,1.0,5.19,5.23,4.71,4.93,282243.0
2020-01-14,4.99,5.25,4.85,4.91,214685.0,0.0,1.0,4.99,5.25,4.85,4.91,214685.0
2020-01-15,4.94,5.0037,4.7,4.82,195515.0,0.0,1.0,4.94,5.0037,4.7,4.82,195515.0
2020-01-16,4.88,4.88,4.59,4.65,351963.0,0.0,1.0,4.88,4.88,4.59,4.65,351963.0
2020-01-17,4.66,4.772,4.43,4.43,231620.0,0.0,1.0,4.66,4.772,4.43,4.43,231620.0
2020-01-21,4.4,4.615,4.35,4.565,156335.0,0.0,1.0,4.4,4.615,4.35,4.565,156335.0
2020-01-22,4.59,4.64,4.41,4.49,105319.0,0.0,1.0,4.59,4.64,4.41,4.49,105319.0
2020-01-23,4.5,4.5,4.1,4.13,232618.0,0.0,1.0,4.5,4.5,4.1,4.13,232618.0
2020-01-24,4.13,4.21,3.85,3.96,278517.0,0.0,1.0,4.13,4.21,3.85,3.96,278517.0
2020-01-27,3.95,3.95,3.55,3.57,257137.0,0.0,1.0,3.95,3.95,3.55,3.57,257137.0
