Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-17,6.34,8.17,5.77,8.06,818323.0,0.0,1.0,6.34,8.17,5.77,8.06,818323.0
2020-12-18,8.13,8.88,7.56,8.1,577624.0,0.0,1.0,8.13,8.88,7.56,8.1,577624.0
2020-12-21,8.25,8.34,7.0,7.2,443268.0,0.0,1.0,8.25,8.34,7.0,7.2,443268.0
2020-12-22,8.05,8.15,7.25,7.33,515759.0,0.0,1.0,8.05,8.15,7.25,7.33,515759.0
2020-12-23,8.0,8.0,7.0,7.0,202504.0,0.0,1.0,8.0,8.0,7.0,7.0,202504.0
2020-12-24,7.01,7.19,6.6,6.72,206124.0,0.0,1.0,7.01,7.19,6.6,6.72,206124.0
2020-12-28,7.4,7.4,6.76,7.0,229893.0,0.0,1.0,7.4,7.4,6.76,7.0,229893.0
2020-12-29,6.81,7.64,6.73,7.25,322716.0,0.0,1.0,6.81,7.64,6.73,7.25,322716.0
2020-12-30,7.41,7.5999,6.92,7.055,143786.0,0.0,1.0,7.41,7.5999,6.92,7.055,143786.0
2020-12-31,7.06,7.42,6.51,7.22,230623.0,0.0,1.0,7.06,7.42,6.51,7.22,230623.0
