Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.38,2.5,2.34,2.4,23753.0,0.0,1.0,2.38,2.5,2.34,2.4,23753.0
2020-01-03,2.4,2.49,2.34,2.38,34044.0,0.0,1.0,2.4,2.49,2.34,2.38,34044.0
2020-01-06,2.35,2.48,2.31,2.36,34085.0,0.0,1.0,2.35,2.48,2.31,2.36,34085.0
2020-01-07,2.43,2.9,2.39,2.8,187038.0,0.0,1.0,2.43,2.9,2.39,2.8,187038.0
2020-01-08,2.9,3.17,2.78,2.96,124038.0,0.0,1.0,2.9,3.17,2.78,2.96,124038.0
2020-01-09,2.94,3.1089,2.6,2.695,81511.0,0.0,1.0,2.94,3.1089,2.6,2.695,81511.0
2020-01-10,2.91,2.91,2.59,2.6988,75535.0,0.0,1.0,2.91,2.91,2.59,2.6988,75535.0
2020-01-13,2.65,3.14,2.61,2.82,102018.0,0.0,1.0,2.65,3.14,2.61,2.82,102018.0
2020-01-14,4.23,5.45,3.11,3.6,1939676.0,0.0,1.0,4.23,5.45,3.11,3.6,1939676.0
2020-01-15,3.66,3.682,3.27,3.53,213473.0,0.0,1.0,3.66,3.682,3.27,3.53,213473.0
2020-01-16,3.7,3.72,3.31,3.55,123930.0,0.0,1.0,3.7,3.72,3.31,3.55,123930.0
2020-01-17,3.55,3.6,3.4001,3.49,30834.0,0.0,1.0,3.55,3.6,3.4001,3.49,30834.0
2020-01-21,3.65,3.65,3.38,3.49,105497.0,0.0,1.0,3.65,3.65,3.38,3.49,105497.0
2020-01-22,3.45,3.482,3.29,3.29,64656.0,0.0,1.0,3.45,3.482,3.29,3.29,64656.0
2020-01-23,3.29,3.29,3.02,3.14,138079.0,0.0,1.0,3.29,3.29,3.02,3.14,138079.0
2020-01-24,3.1,3.14,2.91,3.0,117017.0,0.0,1.0,3.1,3.14,2.91,3.0,117017.0
2020-01-27,3.0,3.0,2.65,2.78,106574.0,0.0,1.0,3.0,3.0,2.65,2.78,106574.0
2020-01-28,2.8,3.015,2.58,2.96,74935.0,0.0,1.0,2.8,3.015,2.58,2.96,74935.0
2020-01-29,2.88,3.1864,2.63,2.79,62647.0,0.0,1.0,2.88,3.1864,2.63,2.79,62647.0
2020-01-30,2.71,2.863,2.61,2.75,45098.0,0.0,1.0,2.71,2.863,2.61,2.75,45098.0
2020-01-31,2.71,2.75,2.5677,2.61,49828.0,0.0,1.0,2.71,2.75,2.5677,2.61,49828.0
2020-02-03,2.62,2.9238,2.62,2.77,55921.0,0.0,1.0,2.62,2.9238,2.62,2.77,55921.0
2020-02-04,2.74,2.97,2.71,2.87,29843.0,0.0,1.0,2.74,2.97,2.71,2.87,29843.0
2020-02-05,2.94,3.0019,2.68,2.72,77719.0,0.0,1.0,2.94,3.0019,2.68,2.72,77719.0
2020-02-06,2.72,2.9657,2.67,2.75,42087.0,0.0,1.0,2.72,2.9657,2.67,2.75,42087.0
2020-02-07,2.76,2.9496,2.7001,2.76,20321.0,0.0,1.0,2.76,2.9496,2.7001,2.76,20321.0
2020-02-10,2.78,2.94,2.54,2.69,48456.0,0.0,1.0,2.78,2.94,2.54,2.69,48456.0
2020-02-11,2.69,2.7125,2.53,2.6,43374.0,0.0,1.0,2.69,2.7125,2.53,2.6,43374.0
2020-02-12,2.58,2.6725,2.52,2.55,56484.0,0.0,1.0,2.58,2.6725,2.52,2.55,56484.0
2020-02-13,2.55,2.62,2.46,2.51,58193.0,0.0,1.0,2.55,2.62,2.46,2.51,58193.0
2020-02-14,2.55,2.62,2.5,2.56,28597.0,0.0,1.0,2.55,2.62,2.5,2.56,28597.0
2020-02-18,2.57,2.79,2.57,2.68,16227.0,0.0,1.0,2.57,2.79,2.57,2.68,16227.0
2020-02-19,2.79,3.07,2.691,3.02,91388.0,0.0,1.0,2.79,3.07,2.691,3.02,91388.0
2020-02-20,3.05,3.05,2.78,2.95,61240.0,0.0,1.0,3.05,3.05,2.78,2.95,61240.0
2020-02-21,3.03,3.03,2.86,2.95,24870.0,0.0,1.0,3.03,3.03,2.86,2.95,24870.0
2020-02-24,3.0,3.03,2.51,2.74,129729.0,0.0,1.0,3.0,3.03,2.51,2.74,129729.0
2020-02-25,2.86,3.1,2.86,3.0,132748.0,0.0,1.0,2.86,3.1,2.86,3.0,132748.0
2020-02-26,3.16,3.69,3.1,3.58,241904.0,0.0,1.0,3.16,3.69,3.1,3.58,241904.0
2020-02-27,3.66,3.7196,3.28,3.38,108151.0,0.0,1.0,3.66,3.7196,3.28,3.38,108151.0
2020-02-28,3.47,3.47,3.0,3.38,79789.0,0.0,1.0,3.47,3.47,3.0,3.38,79789.0
2020-03-02,3.7,3.7,3.11,3.3,57885.0,0.0,1.0,3.7,3.7,3.11,3.3,57885.0
2020-03-03,3.31,3.381,3.12,3.22,31747.0,0.0,1.0,3.31,3.381,3.12,3.22,31747.0
2020-03-04,3.36,3.4,3.15,3.22,50305.0,0.0,1.0,3.36,3.4,3.15,3.22,50305.0
2020-03-05,3.3,3.3,3.0,3.15,54852.0,0.0,1.0,3.3,3.3,3.0,3.15,54852.0
2020-03-06,3.0,3.07,2.85,2.92,53668.0,0.0,1.0,3.0,3.07,2.85,2.92,53668.0
2020-03-09,2.92,2.9899,2.81,2.84,42258.0,0.0,1.0,2.92,2.9899,2.81,2.84,42258.0
2020-03-10,2.8,2.8,2.5559,2.69,66814.0,0.0,1.0,2.8,2.8,2.5559,2.69,66814.0
2020-03-11,2.94,2.94,2.54,2.545,28398.0,0.0,1.0,2.94,2.94,2.54,2.545,28398.0
2020-03-12,2.5,2.5,2.05,2.05,109577.0,0.0,1.0,2.5,2.5,2.05,2.05,109577.0
2020-03-13,2.54,2.54,1.6701,1.99,190126.0,0.0,1.0,2.54,2.54,1.6701,1.99,190126.0
2020-03-16,2.35,2.35,1.7987,1.89,144442.0,0.0,1.0,2.35,2.35,1.7987,1.89,144442.0
2020-03-17,1.98,2.02,1.555,1.8238,113531.0,0.0,1.0,1.98,2.02,1.555,1.8238,113531.0
2020-03-18,1.9,1.97,1.3,1.82,187177.0,0.0,1.0,1.9,1.97,1.3,1.82,187177.0
2020-03-19,1.71,2.6,1.4905,2.24,192010.0,0.0,1.0,1.71,2.6,1.4905,2.24,192010.0
2020-03-20,2.85,3.23,2.1,2.2,360536.0,0.0,1.0,2.85,3.23,2.1,2.2,360536.0
2020-03-23,2.1,2.105,1.76,1.91,124358.0,0.0,1.0,2.1,2.105,1.76,1.91,124358.0
2020-03-24,2.09,2.09,1.75,1.92,94897.0,0.0,1.0,2.09,2.09,1.75,1.92,94897.0
2020-03-25,2.0,2.79,1.93,2.5,174185.0,0.0,1.0,2.0,2.79,1.93,2.5,174185.0
2020-03-26,2.62,2.62,2.25,2.38,58124.0,0.0,1.0,2.62,2.62,2.25,2.38,58124.0
