Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.85,2.97,2.65,2.8,151146.0,0.0,1.0,2.85,2.97,2.65,2.8,151146.0
2020-01-03,2.75,2.89,2.585,2.73,166028.0,0.0,1.0,2.75,2.89,2.585,2.73,166028.0
2020-01-06,2.8,3.09,2.8,2.92,248105.0,0.0,1.0,2.8,3.09,2.8,2.92,248105.0
2020-01-07,2.87,2.9454,2.75,2.85,92005.0,0.0,1.0,2.87,2.9454,2.75,2.85,92005.0
2020-01-08,2.84,2.85,2.66,2.73,127402.0,0.0,1.0,2.84,2.85,2.66,2.73,127402.0
2020-01-09,2.7,2.95,2.7,2.85,105283.0,0.0,1.0,2.7,2.95,2.7,2.85,105283.0
2020-01-10,3.11,3.5,3.05,3.05,740191.0,0.0,1.0,3.11,3.5,3.05,3.05,740191.0
2020-01-13,3.07,3.22,3.0,3.11,208383.0,0.0,1.0,3.07,3.22,3.0,3.11,208383.0
2020-01-14,3.08,3.1297,2.95,3.05,115810.0,0.0,1.0,3.08,3.1297,2.95,3.05,115810.0
2020-01-15,3.05,3.09,2.87,2.9,143393.0,0.0,1.0,3.05,3.09,2.87,2.9,143393.0
2020-01-16,2.91,2.95,2.87,2.95,141560.0,0.0,1.0,2.91,2.95,2.87,2.95,141560.0
2020-01-17,2.94,2.95,2.8,2.85,135213.0,0.0,1.0,2.94,2.95,2.8,2.85,135213.0
2020-01-21,2.9,3.39,2.9,3.35,649933.0,0.0,1.0,2.9,3.39,2.9,3.35,649933.0
2020-01-22,3.4,3.95,3.4,3.83,899483.0,0.0,1.0,3.4,3.95,3.4,3.83,899483.0
2020-01-23,3.85,3.95,3.4,3.85,476883.0,0.0,1.0,3.85,3.95,3.4,3.85,476883.0
2020-01-24,3.95,4.0488,3.5217,3.64,317858.0,0.0,1.0,3.95,4.0488,3.5217,3.64,317858.0
2020-01-27,3.65,3.65,3.26,3.3,256346.0,0.0,1.0,3.65,3.65,3.26,3.3,256346.0
2020-01-28,3.37,3.4017,3.3,3.35,138766.0,0.0,1.0,3.37,3.4017,3.3,3.35,138766.0
2020-01-29,3.4,3.4806,3.1804,3.25,115250.0,0.0,1.0,3.4,3.4806,3.1804,3.25,115250.0
2020-01-30,3.24,3.269,3.11,3.22,68655.0,0.0,1.0,3.24,3.269,3.11,3.22,68655.0
2020-01-31,3.21,3.46,3.0813,3.46,152179.0,0.0,1.0,3.21,3.46,3.0813,3.46,152179.0
2020-02-03,3.54,3.69,3.1895,3.22,236944.0,0.0,1.0,3.54,3.69,3.1895,3.22,236944.0
2020-02-04,3.24,3.34,3.2,3.33,84049.0,0.0,1.0,3.24,3.34,3.2,3.33,84049.0
2020-02-05,3.41,3.43,3.2334,3.34,66322.0,0.0,1.0,3.41,3.43,3.2334,3.34,66322.0
2020-02-06,3.36,3.38,3.045,3.105,149743.0,0.0,1.0,3.36,3.38,3.045,3.105,149743.0
2020-02-07,3.06,3.17,3.02,3.06,216758.0,0.0,1.0,3.06,3.17,3.02,3.06,216758.0
2020-02-10,3.04,3.15,3.0,3.05,72170.0,0.0,1.0,3.04,3.15,3.0,3.05,72170.0
2020-02-11,3.06,3.15,3.03,3.08,45852.0,0.0,1.0,3.06,3.15,3.03,3.08,45852.0
2020-02-12,3.05,3.135,3.0261,3.04,66260.0,0.0,1.0,3.05,3.135,3.0261,3.04,66260.0
2020-02-13,3.01,3.0545,2.8,2.97,131726.0,0.0,1.0,3.01,3.0545,2.8,2.97,131726.0
2020-02-14,2.95,2.98,2.83,2.8946,60568.0,0.0,1.0,2.95,2.98,2.83,2.8946,60568.0
2020-02-18,2.8,3.38,2.8,3.23,161361.0,0.0,1.0,2.8,3.38,2.8,3.23,161361.0
2020-02-19,3.25,3.4,3.214,3.37,129577.0,0.0,1.0,3.25,3.4,3.214,3.37,129577.0
2020-02-20,3.4,3.4,3.25,3.32,68742.0,0.0,1.0,3.4,3.4,3.25,3.32,68742.0
2020-02-21,3.29,3.3487,3.131,3.19,114079.0,0.0,1.0,3.29,3.3487,3.131,3.19,114079.0
2020-02-24,3.01,3.11,2.83,3.06,121678.0,0.0,1.0,3.01,3.11,2.83,3.06,121678.0
2020-02-25,3.06,3.0875,2.86,2.89,110940.0,0.0,1.0,3.06,3.0875,2.86,2.89,110940.0
2020-02-26,2.98,3.075,2.84,2.9,99605.0,0.0,1.0,2.98,3.075,2.84,2.9,99605.0
2020-02-27,2.85,2.85,2.5829,2.66,115883.0,0.0,1.0,2.85,2.85,2.5829,2.66,115883.0
2020-02-28,2.6,2.78,2.46,2.78,139651.0,0.0,1.0,2.6,2.78,2.46,2.78,139651.0
2020-03-02,2.75,2.81,2.66,2.77,80386.0,0.0,1.0,2.75,2.81,2.66,2.77,80386.0
2020-03-03,2.78,2.87,2.66,2.84,65405.0,0.0,1.0,2.78,2.87,2.66,2.84,65405.0
2020-03-04,2.86,3.33,2.8,3.28,233983.0,0.0,1.0,2.86,3.33,2.8,3.28,233983.0
2020-03-05,3.19,3.4,3.1,3.21,143233.0,0.0,1.0,3.19,3.4,3.1,3.21,143233.0
2020-03-06,3.16,3.32,3.07,3.21,117614.0,0.0,1.0,3.16,3.32,3.07,3.21,117614.0
2020-03-09,2.94,3.13,2.64,2.87,114433.0,0.0,1.0,2.94,3.13,2.64,2.87,114433.0
2020-03-10,2.98,2.98,2.61,2.74,112539.0,0.0,1.0,2.98,2.98,2.61,2.74,112539.0
2020-03-11,2.71,2.71,2.36,2.5,257518.0,0.0,1.0,2.71,2.71,2.36,2.5,257518.0
2020-03-12,2.36,2.37,2.03,2.17,137534.0,0.0,1.0,2.36,2.37,2.03,2.17,137534.0
2020-03-13,2.13,2.4525,2.04,2.15,120165.0,0.0,1.0,2.13,2.4525,2.04,2.15,120165.0
2020-03-16,1.9,1.9,1.41,1.77,137687.0,0.0,1.0,1.9,1.9,1.41,1.77,137687.0
2020-03-17,1.78,2.0184,1.67,1.7,129222.0,0.0,1.0,1.78,2.0184,1.67,1.7,129222.0
2020-03-18,1.66,1.75,1.3,1.64,84075.0,0.0,1.0,1.66,1.75,1.3,1.64,84075.0
2020-03-19,1.55,1.78,1.52,1.73,95614.0,0.0,1.0,1.55,1.78,1.52,1.73,95614.0
2020-03-20,1.7,1.88,1.6901,1.84,69837.0,0.0,1.0,1.7,1.88,1.6901,1.84,69837.0
2020-03-23,1.8,1.83,1.6,1.83,64265.0,0.0,1.0,1.8,1.83,1.6,1.83,64265.0
2020-03-24,1.85,2.28,1.76,2.03,81192.0,0.0,1.0,1.85,2.28,1.76,2.03,81192.0
2020-03-25,2.09,2.2,1.83,1.95,152033.0,0.0,1.0,2.09,2.2,1.83,1.95,152033.0
2020-03-26,2.06,2.23,2.01,2.21,78559.0,0.0,1.0,2.06,2.23,2.01,2.21,78559.0
2020-03-27,2.14,2.3599,2.075,2.28,55984.0,0.0,1.0,2.14,2.3599,2.075,2.28,55984.0
2020-03-30,2.23,2.37,2.11,2.23,53284.0,0.0,1.0,2.23,2.37,2.11,2.23,53284.0
2020-03-31,2.24,2.38,2.15,2.38,52813.0,0.0,1.0,2.24,2.38,2.15,2.38,52813.0
2020-04-01,2.4,2.48,2.23,2.47,65367.0,0.0,1.0,2.4,2.48,2.23,2.47,65367.0
2020-04-02,2.51,2.67,2.39,2.39,54371.0,0.0,1.0,2.51,2.67,2.39,2.39,54371.0
2020-04-03,2.38,2.55,2.2,2.24,69287.0,0.0,1.0,2.38,2.55,2.2,2.24,69287.0
2020-04-06,2.2,2.49,2.15,2.19,134379.0,0.0,1.0,2.2,2.49,2.15,2.19,134379.0
2020-04-07,2.4,2.59,2.4,2.47,140870.0,0.0,1.0,2.4,2.59,2.4,2.47,140870.0
2020-04-08,2.49,2.845,2.38,2.82,184442.0,0.0,1.0,2.49,2.845,2.38,2.82,184442.0
2020-04-09,2.83,3.09,2.75,3.09,112333.0,0.0,1.0,2.83,3.09,2.75,3.09,112333.0
