Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.972,1.14,0.93,1.1,338836.0,0.0,1.0,0.972,1.14,0.93,1.1,338836.0
2020-01-03,1.09,1.29,1.0,1.03,535832.0,0.0,1.0,1.09,1.29,1.0,1.03,535832.0
2020-01-06,1.06,1.17,1.0,1.0602,170428.0,0.0,1.0,1.06,1.17,1.0,1.0602,170428.0
2020-01-07,1.1,1.17,1.0302,1.16,166376.0,0.0,1.0,1.1,1.17,1.0302,1.16,166376.0
2020-01-08,1.16,1.48,1.11,1.4,1548199.0,0.0,1.0,1.16,1.48,1.11,1.4,1548199.0
2020-01-09,1.68,1.6899,1.17,1.22,3207391.0,0.0,1.0,1.68,1.6899,1.17,1.22,3207391.0
2020-01-10,1.19,1.4,1.15,1.29,596023.0,0.0,1.0,1.19,1.4,1.15,1.29,596023.0
2020-01-13,1.31,1.3267,1.14,1.18,272778.0,0.0,1.0,1.31,1.3267,1.14,1.18,272778.0
2020-01-14,1.2,1.3,1.18,1.21,257912.0,0.0,1.0,1.2,1.3,1.18,1.21,257912.0
2020-01-15,1.18,1.22,1.17,1.21,85696.0,0.0,1.0,1.18,1.22,1.17,1.21,85696.0
2020-01-16,1.18,1.31,1.17,1.25,328784.0,0.0,1.0,1.18,1.31,1.17,1.25,328784.0
2020-01-17,1.68,4.09,1.42,1.6,79340837.0,0.0,1.0,1.68,4.09,1.42,1.6,79340837.0
2020-01-21,1.53,1.6,1.33,1.35,3669247.0,0.0,1.0,1.53,1.6,1.33,1.35,3669247.0
2020-01-22,1.31,1.35,1.25,1.26,1317337.0,0.0,1.0,1.31,1.35,1.25,1.26,1317337.0
2020-01-23,1.27,1.28,1.11,1.17,1201812.0,0.0,1.0,1.27,1.28,1.11,1.17,1201812.0
2020-01-24,1.2,1.2,1.05,1.08,898005.0,0.0,1.0,1.2,1.2,1.05,1.08,898005.0
2020-01-27,1.03,1.25,0.95,1.18,1632047.0,0.0,1.0,1.03,1.25,0.95,1.18,1632047.0
2020-01-28,1.08,1.17,1.07,1.14,391870.0,0.0,1.0,1.08,1.17,1.07,1.14,391870.0
2020-01-29,1.14,1.27,1.06,1.18,1389144.0,0.0,1.0,1.14,1.27,1.06,1.18,1389144.0
2020-01-30,1.18,1.4,1.13,1.16,2509449.0,0.0,1.0,1.18,1.4,1.13,1.16,2509449.0
2020-01-31,1.14,1.22,1.11,1.16,1370368.0,0.0,1.0,1.14,1.22,1.11,1.16,1370368.0
2020-02-03,1.19,1.19,1.07,1.12,822689.0,0.0,1.0,1.19,1.19,1.07,1.12,822689.0
2020-02-04,1.08,1.12,1.07,1.11,445629.0,0.0,1.0,1.08,1.12,1.07,1.11,445629.0
2020-02-05,1.07,1.15,1.03,1.1,428721.0,0.0,1.0,1.07,1.15,1.03,1.1,428721.0
2020-02-06,1.08,1.13,1.08,1.09,317754.0,0.0,1.0,1.08,1.13,1.08,1.09,317754.0
2020-02-07,1.09,1.1,0.98,1.0,719428.0,0.0,1.0,1.09,1.1,0.98,1.0,719428.0
2020-02-10,1.0,1.075,0.9901,1.05,903956.0,0.0,1.0,1.0,1.075,0.9901,1.05,903956.0
2020-02-11,1.03,1.12,1.02,1.07,1276757.0,0.0,1.0,1.03,1.12,1.02,1.07,1276757.0
2020-02-12,1.05,1.08,0.982704,1.0,452229.0,0.0,1.0,1.05,1.08,0.982704,1.0,452229.0
2020-02-13,1.02,1.04,1.0,1.01,792100.0,0.0,1.0,1.02,1.04,1.0,1.01,792100.0
2020-02-14,1.01,1.0205,0.98,0.9977,562224.0,0.0,1.0,1.01,1.0205,0.98,0.9977,562224.0
2020-02-18,1.01,1.01,0.91,0.97,505283.0,0.0,1.0,1.01,1.01,0.91,0.97,505283.0
2020-02-19,1.0,1.0,0.88,0.92,443763.0,0.0,1.0,1.0,1.0,0.88,0.92,443763.0
2020-02-20,0.92,0.94365,0.895,0.9142,226828.0,0.0,1.0,0.92,0.94365,0.895,0.9142,226828.0
2020-02-21,0.926,0.9615,0.9008,0.9274,124989.0,0.0,1.0,0.926,0.9615,0.9008,0.9274,124989.0
2020-02-24,0.9209,1.07,0.88,0.9418,1218470.0,0.0,1.0,0.9209,1.07,0.88,0.9418,1218470.0
2020-02-25,0.95,0.958,0.831,0.91,421314.0,0.0,1.0,0.95,0.958,0.831,0.91,421314.0
2020-02-26,0.9,0.925,0.852086,0.8649,192050.0,0.0,1.0,0.9,0.925,0.852086,0.8649,192050.0
2020-02-27,0.9,0.9,0.805,0.829,660590.0,0.0,1.0,0.9,0.9,0.805,0.829,660590.0
2020-02-28,0.89,1.14,0.88,0.929,1637666.0,0.0,1.0,0.89,1.14,0.88,0.929,1637666.0
2020-03-02,0.95,0.95,0.885,0.94,200958.0,0.0,1.0,0.95,0.95,0.885,0.94,200958.0
2020-03-03,0.9089,0.95,0.8829,0.89,222309.0,0.0,1.0,0.9089,0.95,0.8829,0.89,222309.0
2020-03-04,0.89,0.94,0.889125,0.9201,151103.0,0.0,1.0,0.89,0.94,0.889125,0.9201,151103.0
2020-03-05,0.9123,0.94,0.8393,0.8483,257716.0,0.0,1.0,0.9123,0.94,0.8393,0.8483,257716.0
2020-03-06,0.823,0.85,0.8,0.8025,300669.0,0.0,1.0,0.823,0.85,0.8,0.8025,300669.0
2020-03-09,0.8,0.8,0.725,0.7453,283606.0,0.0,1.0,0.8,0.8,0.725,0.7453,283606.0
2020-03-10,0.8,0.8,0.731,0.7516,97454.0,0.0,1.0,0.8,0.8,0.731,0.7516,97454.0
2020-03-11,0.7677,0.78,0.7209,0.7209,91945.0,0.0,1.0,0.7677,0.78,0.7209,0.7209,91945.0
2020-03-12,0.7208,0.724891,0.62,0.66,384424.0,0.0,1.0,0.7208,0.724891,0.62,0.66,384424.0
2020-03-13,0.66,0.746,0.6051,0.679,192537.0,0.0,1.0,0.66,0.746,0.6051,0.679,192537.0
2020-03-16,0.679,0.679,0.565,0.593956,146988.0,0.0,1.0,0.679,0.679,0.565,0.593956,146988.0
2020-03-17,0.5716,0.68,0.5699,0.6011,150379.0,0.0,1.0,0.5716,0.68,0.5699,0.6011,150379.0
2020-03-18,0.605,0.64,0.5,0.6098,159420.0,0.0,1.0,0.605,0.64,0.5,0.6098,159420.0
2020-03-19,0.5759,0.64,0.52,0.6102,98970.0,0.0,1.0,0.5759,0.64,0.52,0.6102,98970.0
2020-03-20,0.6166,0.679,0.612,0.650248,113897.0,0.0,1.0,0.6166,0.679,0.612,0.650248,113897.0
2020-03-23,0.6499,0.65,0.55,0.5999,166846.0,0.0,1.0,0.6499,0.65,0.55,0.5999,166846.0
2020-03-24,0.59,0.7,0.58,0.64,473651.0,0.0,1.0,0.59,0.7,0.58,0.64,473651.0
2020-03-25,0.6615,0.6615,0.5951,0.61,158517.0,0.0,1.0,0.6615,0.6615,0.5951,0.61,158517.0
2020-03-26,0.6299,0.64,0.6003,0.6249,94418.0,0.0,1.0,0.6299,0.64,0.6003,0.6249,94418.0
2020-03-27,0.6108,0.6298,0.5801,0.6298,165193.0,0.0,1.0,0.6108,0.6298,0.5801,0.6298,165193.0
2020-03-30,0.63,0.66,0.5801,0.6327,123183.0,0.0,1.0,0.63,0.66,0.5801,0.6327,123183.0
2020-03-31,0.6389,0.67,0.6012,0.6621,95583.0,0.0,1.0,0.6389,0.67,0.6012,0.6621,95583.0
2020-04-01,0.65,0.66,0.6,0.6168,49431.0,0.0,1.0,0.65,0.66,0.6,0.6168,49431.0
2020-04-02,0.616,0.66,0.580117,0.6094,108684.0,0.0,1.0,0.616,0.66,0.580117,0.6094,108684.0
2020-04-03,0.5801,0.75,0.5801,0.7,1210008.0,0.0,1.0,0.5801,0.75,0.5801,0.7,1210008.0
2020-04-06,0.7441,0.748,0.66,0.667,205980.0,0.0,1.0,0.7441,0.748,0.66,0.667,205980.0
2020-04-07,0.71,0.7201,0.65,0.6699,362700.0,0.0,1.0,0.71,0.7201,0.65,0.6699,362700.0
2020-04-08,0.65,0.6899,0.604,0.68,111120.0,0.0,1.0,0.65,0.6899,0.604,0.68,111120.0
2020-04-09,0.75,0.76,0.6601,0.6671,427025.0,0.0,1.0,0.75,0.76,0.6601,0.6671,427025.0
2020-04-13,0.71,0.7489,0.671,0.7484,128668.0,0.0,1.0,0.71,0.7489,0.671,0.7484,128668.0
2020-04-14,0.755,0.9,0.75011,0.8,610276.0,0.0,1.0,0.755,0.9,0.75011,0.8,610276.0
2020-04-15,0.83,0.83,0.72,0.7647,155695.0,0.0,1.0,0.83,0.83,0.72,0.7647,155695.0
2020-04-16,0.7706,0.88,0.73711,0.8185,342560.0,0.0,1.0,0.7706,0.88,0.73711,0.8185,342560.0
2020-04-17,0.82,0.82,0.7501,0.82,88087.0,0.0,1.0,0.82,0.82,0.7501,0.82,88087.0
2020-04-20,0.8198,0.8815,0.783,0.8161,246277.0,0.0,1.0,0.8198,0.8815,0.783,0.8161,246277.0
2020-04-21,0.8455,0.8455,0.7345,0.7627,157172.0,0.0,1.0,0.8455,0.8455,0.7345,0.7627,157172.0
2020-04-22,0.771,0.771,0.7127,0.7441,122138.0,0.0,1.0,0.771,0.771,0.7127,0.7441,122138.0
2020-04-23,0.7392,0.8444,0.7202,0.743,275801.0,0.0,1.0,0.7392,0.8444,0.7202,0.743,275801.0
2020-04-24,0.777,0.828,0.745,0.7937,174795.0,0.0,1.0,0.777,0.828,0.745,0.7937,174795.0
2020-04-27,0.795,0.795,0.7526,0.773199,239014.0,0.0,1.0,0.795,0.795,0.7526,0.773199,239014.0
2020-04-28,0.764,0.81,0.671,0.692,814494.0,0.0,1.0,0.764,0.81,0.671,0.692,814494.0
2020-04-29,0.707,0.7275,0.6927,0.707,357598.0,0.0,1.0,0.707,0.7275,0.6927,0.707,357598.0
2020-04-30,0.7016,0.72,0.6841,0.7072,150622.0,0.0,1.0,0.7016,0.72,0.6841,0.7072,150622.0
2020-05-01,0.7145,0.7145,0.6841,0.69,86657.0,0.0,1.0,0.7145,0.7145,0.6841,0.69,86657.0
2020-05-04,0.7,0.7,0.6841,0.7,84672.0,0.0,1.0,0.7,0.7,0.6841,0.7,84672.0
2020-05-05,0.6971,0.8326,0.6841,0.7349,1404863.0,0.0,1.0,0.6971,0.8326,0.6841,0.7349,1404863.0
2020-05-06,0.73,0.755051,0.6903,0.718089,284741.0,0.0,1.0,0.73,0.755051,0.6903,0.718089,284741.0
2020-05-07,0.7011,0.7503,0.6925,0.741,171430.0,0.0,1.0,0.7011,0.7503,0.6925,0.741,171430.0
2020-05-08,0.7578,0.795,0.726,0.7597,201470.0,0.0,1.0,0.7578,0.795,0.726,0.7597,201470.0
2020-05-11,0.78,0.8898,0.72,0.8054,1217454.0,0.0,1.0,0.78,0.8898,0.72,0.8054,1217454.0
2020-05-12,0.81,0.8352,0.77,0.783,219344.0,0.0,1.0,0.81,0.8352,0.77,0.783,219344.0
2020-05-13,0.7551,0.8,0.708,0.77,171763.0,0.0,1.0,0.7551,0.8,0.708,0.77,171763.0
2020-05-14,0.77,0.77,0.7201,0.7498,105000.0,0.0,1.0,0.77,0.77,0.7201,0.7498,105000.0
2020-05-15,1.0,1.09,0.81,0.92,12305818.0,0.0,1.0,1.0,1.09,0.81,0.92,12305818.0
