Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.1,3.3597,2.68,3.03,2960187.0,0.0,1.0,3.1,3.3597,2.68,3.03,2960187.0
2020-01-03,2.84,2.9999,2.81,2.89,820834.0,0.0,1.0,2.84,2.9999,2.81,2.89,820834.0
2020-01-06,2.86,3.05,2.81,2.97,696908.0,0.0,1.0,2.86,3.05,2.81,2.97,696908.0
2020-01-07,2.96,3.02,2.735,2.84,646367.0,0.0,1.0,2.96,3.02,2.735,2.84,646367.0
2020-01-08,2.91,2.94,2.61,2.71,1016856.0,0.0,1.0,2.91,2.94,2.61,2.71,1016856.0
2020-01-09,2.76,3.005,2.72,3.0,1424997.0,0.0,1.0,2.76,3.005,2.72,3.0,1424997.0
2020-01-10,2.97,3.005,2.74,2.75,915490.0,0.0,1.0,2.97,3.005,2.74,2.75,915490.0
2020-01-13,2.75,2.95,2.67,2.9,1198523.0,0.0,1.0,2.75,2.95,2.67,2.9,1198523.0
2020-01-14,2.86,3.15,2.73,2.87,2424614.0,0.0,1.0,2.86,3.15,2.73,2.87,2424614.0
2020-01-15,2.92,3.49,2.83,3.37,4590613.0,0.0,1.0,2.92,3.49,2.83,3.37,4590613.0
2020-01-16,3.5,3.66,3.21,3.27,2776012.0,0.0,1.0,3.5,3.66,3.21,3.27,2776012.0
2020-01-17,3.3,3.54,3.26,3.46,1335082.0,0.0,1.0,3.3,3.54,3.26,3.46,1335082.0
2020-01-21,3.7,3.88,3.2901,3.35,3873083.0,0.0,1.0,3.7,3.88,3.2901,3.35,3873083.0
2020-01-22,3.41,3.65,2.98,3.09,2516676.0,0.0,1.0,3.41,3.65,2.98,3.09,2516676.0
2020-01-23,2.95,2.99,2.8,2.83,2742678.0,0.0,1.0,2.95,2.99,2.8,2.83,2742678.0
2020-01-24,2.87,2.9,2.59,2.63,2619578.0,0.0,1.0,2.87,2.9,2.59,2.63,2619578.0
2020-01-27,2.48,2.59,2.35,2.52,1756102.0,0.0,1.0,2.48,2.59,2.35,2.52,1756102.0
2020-01-28,2.61,2.64,2.4,2.64,1188485.0,0.0,1.0,2.61,2.64,2.4,2.64,1188485.0
2020-01-29,2.6,2.63,2.48,2.58,478313.0,0.0,1.0,2.6,2.63,2.48,2.58,478313.0
2020-01-30,1.98,2.04,1.51,1.51,9307398.0,0.0,1.0,1.98,2.04,1.51,1.51,9307398.0
2020-01-31,1.58,1.58,1.17,1.2,5908861.0,0.0,1.0,1.58,1.58,1.17,1.2,5908861.0
2020-02-03,1.29,1.38,1.1901,1.35,2321163.0,0.0,1.0,1.29,1.38,1.1901,1.35,2321163.0
2020-02-04,1.4,1.55,1.38,1.45,3196369.0,0.0,1.0,1.4,1.55,1.38,1.45,3196369.0
2020-02-05,1.48,1.54,1.28,1.31,1855598.0,0.0,1.0,1.48,1.54,1.28,1.31,1855598.0
2020-02-06,1.33,1.366,1.29,1.29,637982.0,0.0,1.0,1.33,1.366,1.29,1.29,637982.0
2020-02-07,1.25,1.31,1.21,1.21,1016634.0,0.0,1.0,1.25,1.31,1.21,1.21,1016634.0
2020-02-10,1.23,1.26,1.13,1.14,1448356.0,0.0,1.0,1.23,1.26,1.13,1.14,1448356.0
