Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-06-26,0.7,0.94,0.6917,0.7,469196.0,0.0,1.0,0.7,0.94,0.6917,0.7,469196.0
2020-06-29,1.0,1.0,0.8,0.86,56972.0,0.0,1.0,1.0,1.0,0.8,0.86,56972.0
2020-06-30,0.95,0.95,0.85,0.939,94374.0,0.0,1.0,0.95,0.95,0.85,0.939,94374.0
2020-07-01,0.95,0.95,0.91,0.91,31074.0,0.0,1.0,0.95,0.95,0.91,0.91,31074.0
2020-07-02,0.91,0.95,0.91,0.95,70972.0,0.0,1.0,0.91,0.95,0.91,0.95,70972.0
2020-07-06,0.95,1.0,0.9072,0.92,37506.0,0.0,1.0,0.95,1.0,0.9072,0.92,37506.0
2020-07-07,0.92,0.9695,0.8,0.85,15211.0,0.0,1.0,0.92,0.9695,0.8,0.85,15211.0
2020-07-08,0.83,0.85,0.8,0.8,6856.0,0.0,1.0,0.83,0.85,0.8,0.8,6856.0
2020-07-09,0.83,0.86,0.81,0.83,15505.0,0.0,1.0,0.83,0.86,0.81,0.83,15505.0
2020-07-10,0.85,1.4,0.839999,1.34,428742.0,0.0,1.0,0.85,1.4,0.839999,1.34,428742.0
2020-07-13,1.5,1.75,1.1,1.1,337458.0,0.0,1.0,1.5,1.75,1.1,1.1,337458.0
2020-07-14,1.23,1.41,1.01,1.1899,65505.0,0.0,1.0,1.23,1.41,1.01,1.1899,65505.0
2020-07-15,1.25,1.46,1.0849,1.15,83911.0,0.0,1.0,1.25,1.46,1.0849,1.15,83911.0
2020-07-16,1.28,1.28,1.15,1.2038,49013.0,0.0,1.0,1.28,1.28,1.15,1.2038,49013.0
2020-07-17,1.28,1.4,1.13,1.24,44802.0,0.0,1.0,1.28,1.4,1.13,1.24,44802.0
2020-07-20,1.36,1.36,1.18,1.2557,27051.0,0.0,1.0,1.36,1.36,1.18,1.2557,27051.0
2020-07-21,1.26,1.27,1.16,1.2,43517.0,0.0,1.0,1.26,1.27,1.16,1.2,43517.0
2020-07-22,1.24,1.25,1.15,1.21,27065.0,0.0,1.0,1.24,1.25,1.15,1.21,27065.0
2020-07-23,1.2,1.26,1.15,1.1999,65587.0,0.0,1.0,1.2,1.26,1.15,1.1999,65587.0
2020-07-24,1.16,1.2099,1.1,1.1699,97437.0,0.0,1.0,1.16,1.2099,1.1,1.1699,97437.0
2020-07-27,1.34,1.34,1.11,1.15,54332.0,0.0,1.0,1.34,1.34,1.11,1.15,54332.0
2020-07-28,1.1,1.16,1.08,1.0999,47738.0,0.0,1.0,1.1,1.16,1.08,1.0999,47738.0
2020-07-29,1.1,1.1498,0.9679,0.9899,112985.0,0.0,1.0,1.1,1.1498,0.9679,0.9899,112985.0
2020-07-30,1.03,1.03,0.93,0.94,90923.0,0.0,1.0,1.03,1.03,0.93,0.94,90923.0
2020-07-31,0.9,0.9,0.75,0.75,263042.0,0.0,1.0,0.9,0.9,0.75,0.75,263042.0
2020-08-03,0.81,0.94,0.67,0.9345,254365.0,0.0,1.0,0.81,0.94,0.67,0.9345,254365.0
2020-08-04,0.92,0.92,0.8,0.83,125051.0,0.0,1.0,0.92,0.92,0.8,0.83,125051.0
2020-08-05,0.8715,0.959899,0.745201,0.785,271407.0,0.0,1.0,0.8715,0.959899,0.745201,0.785,271407.0
2020-08-06,0.81,0.87,0.81,0.87,29055.0,0.0,1.0,0.81,0.87,0.81,0.87,29055.0
2020-08-07,0.826501,0.900151,0.826501,0.85,21589.0,0.0,1.0,0.826501,0.900151,0.826501,0.85,21589.0
2020-08-10,0.8895,1.09,0.87,0.96,157644.0,0.0,1.0,0.8895,1.09,0.87,0.96,157644.0
2020-08-11,1.0,1.02,0.94,0.972013,70413.0,0.0,1.0,1.0,1.02,0.94,0.972013,70413.0
2020-08-12,0.98,1.0003,0.92,0.9772,31404.0,0.0,1.0,0.98,1.0003,0.92,0.9772,31404.0
2020-08-13,1.0,1.1053,0.94,0.94,58507.0,0.0,1.0,1.0,1.1053,0.94,0.94,58507.0
2020-08-14,0.93,0.98,0.81,0.917001,72543.0,0.0,1.0,0.93,0.98,0.81,0.917001,72543.0
