Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.44,2.58,2.05,2.51,214508.0,0.0,1.0,2.44,2.58,2.05,2.51,214508.0
2020-01-03,2.6,2.6,2.19,2.2,89841.0,0.0,1.0,2.6,2.6,2.19,2.2,89841.0
2020-01-06,2.35,2.47,2.3,2.35,60695.0,0.0,1.0,2.35,2.47,2.3,2.35,60695.0
2020-01-07,2.35,2.66,2.2121,2.59,64404.0,0.0,1.0,2.35,2.66,2.2121,2.59,64404.0
2020-01-08,2.57,2.57,2.32,2.39,73783.0,0.0,1.0,2.57,2.57,2.32,2.39,73783.0
2020-01-09,2.38,2.5895,2.27,2.5558,105554.0,0.0,1.0,2.38,2.5895,2.27,2.5558,105554.0
2020-01-10,2.58,2.58,2.35,2.44,42775.0,0.0,1.0,2.58,2.58,2.35,2.44,42775.0
2020-01-13,2.41,2.45,2.32,2.37,18306.0,0.0,1.0,2.41,2.45,2.32,2.37,18306.0
2020-01-14,2.35,2.44,2.26,2.36,30931.0,0.0,1.0,2.35,2.44,2.26,2.36,30931.0
2020-01-15,2.31,2.5,2.31,2.47,51660.0,0.0,1.0,2.31,2.5,2.31,2.47,51660.0
2020-01-16,2.42,2.4815,2.3,2.31,81506.0,0.0,1.0,2.42,2.4815,2.3,2.31,81506.0
2020-01-17,2.31,2.45,2.31,2.42,35866.0,0.0,1.0,2.31,2.45,2.31,2.42,35866.0
2020-01-21,2.5,2.549,2.32,2.39,110680.0,0.0,1.0,2.5,2.549,2.32,2.39,110680.0
2020-01-22,2.37,2.46,2.26,2.31,50806.0,0.0,1.0,2.37,2.46,2.26,2.31,50806.0
2020-01-23,2.34,2.35,2.16,2.29,59606.0,0.0,1.0,2.34,2.35,2.16,2.29,59606.0
2020-01-24,2.29,2.35,2.1,2.35,178962.0,0.0,1.0,2.29,2.35,2.1,2.35,178962.0
2020-01-27,2.17,2.28,2.1,2.16,32854.0,0.0,1.0,2.17,2.28,2.1,2.16,32854.0
2020-01-28,2.16,2.3265,2.0801,2.22,37931.0,0.0,1.0,2.16,2.3265,2.0801,2.22,37931.0
2020-01-29,2.2721,2.2721,2.09,2.0978,21853.0,0.0,1.0,2.2721,2.2721,2.09,2.0978,21853.0
2020-01-30,2.19,2.35,1.88,2.2,86437.0,0.0,1.0,2.19,2.35,1.88,2.2,86437.0
2020-01-31,2.12,2.29,1.9,2.24,28161.0,0.0,1.0,2.12,2.29,1.9,2.24,28161.0
2020-02-03,2.2,2.2791,2.19,2.22,9620.0,0.0,1.0,2.2,2.2791,2.19,2.22,9620.0
2020-02-04,2.16,2.28,2.14,2.165,44024.0,0.0,1.0,2.16,2.28,2.14,2.165,44024.0
2020-02-05,2.27,2.6275,2.245,2.25,106800.0,0.0,1.0,2.27,2.6275,2.245,2.25,106800.0
2020-02-06,2.29,2.35,2.2397,2.27,15238.0,0.0,1.0,2.29,2.35,2.2397,2.27,15238.0
2020-02-07,2.24,2.33,2.2,2.22,18313.0,0.0,1.0,2.24,2.33,2.2,2.22,18313.0
2020-02-10,2.26,2.26,2.21,2.24,3567.0,0.0,1.0,2.26,2.26,2.21,2.24,3567.0
2020-02-11,2.23,2.27,2.1,2.19,75686.0,0.0,1.0,2.23,2.27,2.1,2.19,75686.0
2020-02-12,2.2045,2.24,2.15,2.23,42367.0,0.0,1.0,2.2045,2.24,2.15,2.23,42367.0
2020-02-13,2.21,2.58,2.21,2.4221,76170.0,0.0,1.0,2.21,2.58,2.21,2.4221,76170.0
2020-02-14,2.57,2.57,2.41,2.41,17410.0,0.0,1.0,2.57,2.57,2.41,2.41,17410.0
2020-02-18,2.37,2.5,2.37,2.5,16733.0,0.0,1.0,2.37,2.5,2.37,2.5,16733.0
2020-02-19,2.4625,2.64,2.4625,2.64,31803.0,0.0,1.0,2.4625,2.64,2.4625,2.64,31803.0
2020-02-20,2.6,2.8,2.51,2.6,43245.0,0.0,1.0,2.6,2.8,2.51,2.6,43245.0
2020-02-21,2.52,3.0539,2.5,2.94,172514.0,0.0,1.0,2.52,3.0539,2.5,2.94,172514.0
2020-02-24,3.0,3.04,2.7742,2.95,57495.0,0.0,1.0,3.0,3.04,2.7742,2.95,57495.0
2020-02-25,2.89,3.03,2.71,2.77,89223.0,0.0,1.0,2.89,3.03,2.71,2.77,89223.0
2020-02-26,2.95,2.95,2.62,2.67,51630.0,0.0,1.0,2.95,2.95,2.62,2.67,51630.0
2020-02-27,2.66,2.9399,2.6,2.7,36876.0,0.0,1.0,2.66,2.9399,2.6,2.7,36876.0
2020-02-28,2.93,2.95,2.6501,2.88,61021.0,0.0,1.0,2.93,2.95,2.6501,2.88,61021.0
2020-03-02,2.95,2.95,2.66,2.71,42931.0,0.0,1.0,2.95,2.95,2.66,2.71,42931.0
2020-03-03,2.95,2.95,2.22,2.54,105629.0,0.0,1.0,2.95,2.95,2.22,2.54,105629.0
2020-03-04,2.8,2.8,2.5,2.7,56698.0,0.0,1.0,2.8,2.8,2.5,2.7,56698.0
2020-03-05,2.79,2.92,2.67,2.67,31291.0,0.0,1.0,2.79,2.92,2.67,2.67,31291.0
2020-03-06,2.8,2.8,2.46,2.59,30874.0,0.0,1.0,2.8,2.8,2.46,2.59,30874.0
2020-03-09,2.2,2.57,2.0,2.14,95597.0,0.0,1.0,2.2,2.57,2.0,2.14,95597.0
2020-03-10,2.47,2.7547,2.381,2.55,72954.0,0.0,1.0,2.47,2.7547,2.381,2.55,72954.0
