Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.82,0.8654,0.801,0.8303,7762.0,0.0,1.0,0.82,0.8654,0.801,0.8303,7762.0
2020-01-03,0.85,0.85,0.83,0.83,13418.0,0.0,1.0,0.85,0.85,0.83,0.83,13418.0
2020-01-06,0.81,0.83,0.81,0.83,9743.0,0.0,1.0,0.81,0.83,0.81,0.83,9743.0
2020-01-07,0.84,0.85,0.83,0.8456,11120.0,0.0,1.0,0.84,0.85,0.83,0.8456,11120.0
2020-01-08,0.85,0.93,0.84,0.8555,259520.0,0.0,1.0,0.85,0.93,0.84,0.8555,259520.0
2020-01-09,0.8442,0.8442,0.81,0.811,32441.0,0.0,1.0,0.8442,0.8442,0.81,0.811,32441.0
2020-01-10,0.811,0.83,0.788837,0.828663,25165.0,0.0,1.0,0.811,0.83,0.788837,0.828663,25165.0
2020-01-13,0.8287,0.8508,0.7917,0.8,18228.0,0.0,1.0,0.8287,0.8508,0.7917,0.8,18228.0
2020-01-14,0.7941,0.85,0.79,0.81,6576.0,0.0,1.0,0.7941,0.85,0.79,0.81,6576.0
2020-01-15,0.82625,0.83,0.8,0.83,5531.0,0.0,1.0,0.82625,0.83,0.8,0.83,5531.0
2020-01-16,0.83,1.0,0.8202,0.9997,222323.0,0.0,1.0,0.83,1.0,0.8202,0.9997,222323.0
2020-01-17,1.0,1.09,0.8652,0.9015,500416.0,0.0,1.0,1.0,1.09,0.8652,0.9015,500416.0
2020-01-21,0.94,0.9447,0.91,0.921901,96921.0,0.0,1.0,0.94,0.9447,0.91,0.921901,96921.0
2020-01-22,0.92,0.925,0.9056,0.9149,25766.0,0.0,1.0,0.92,0.925,0.9056,0.9149,25766.0
2020-01-23,0.9148,0.918829,0.901,0.9076,19761.0,0.0,1.0,0.9148,0.918829,0.901,0.9076,19761.0
2020-01-24,0.95,0.95,0.9001,0.91,30035.0,0.0,1.0,0.95,0.95,0.9001,0.91,30035.0
2020-01-27,0.92,0.94,0.9,0.91,37534.0,0.0,1.0,0.92,0.94,0.9,0.91,37534.0
2020-01-28,0.94,0.94,0.88,0.92,29152.0,0.0,1.0,0.94,0.94,0.88,0.92,29152.0
2020-01-29,0.91,0.94,0.9,0.92,34513.0,0.0,1.0,0.91,0.94,0.9,0.92,34513.0
2020-01-30,0.92,0.92,0.88,0.8899,22913.0,0.0,1.0,0.92,0.92,0.88,0.8899,22913.0
2020-01-31,0.892,0.92,0.8795,0.92,6199.0,0.0,1.0,0.892,0.92,0.8795,0.92,6199.0
2020-02-03,0.9199,0.92,0.8625,0.88,3846.0,0.0,1.0,0.9199,0.92,0.8625,0.88,3846.0
2020-02-04,0.88,0.8906,0.86,0.86,19656.0,0.0,1.0,0.88,0.8906,0.86,0.86,19656.0
2020-02-05,0.9,0.9,0.85,0.88,19702.0,0.0,1.0,0.9,0.9,0.85,0.88,19702.0
2020-02-06,0.91,0.91,0.8856,0.8856,8103.0,0.0,1.0,0.91,0.91,0.8856,0.8856,8103.0
2020-02-07,0.89,0.89,0.851,0.853,6317.0,0.0,1.0,0.89,0.89,0.851,0.853,6317.0
2020-02-10,0.88,0.89,0.851,0.8555,12590.0,0.0,1.0,0.88,0.89,0.851,0.8555,12590.0
2020-02-11,0.87,0.8834,0.82,0.8299,21582.0,0.0,1.0,0.87,0.8834,0.82,0.8299,21582.0
2020-02-12,0.86,0.86,0.83,0.83,1903.0,0.0,1.0,0.86,0.86,0.83,0.83,1903.0
2020-02-13,0.83,0.8499,0.8,0.81105,15201.0,0.0,1.0,0.83,0.8499,0.8,0.81105,15201.0
2020-02-14,0.84,0.84,0.7506,0.79,45565.0,0.0,1.0,0.84,0.84,0.7506,0.79,45565.0
2020-02-18,0.79,0.8,0.762,0.8,25361.0,0.0,1.0,0.79,0.8,0.762,0.8,25361.0
2020-02-19,0.797,0.8,0.74,0.7599,27331.0,0.0,1.0,0.797,0.8,0.74,0.7599,27331.0
2020-02-20,0.77,0.839,0.76,0.7987,6534.0,0.0,1.0,0.77,0.839,0.76,0.7987,6534.0
2020-02-21,0.756,0.8,0.756,0.7961,20028.0,0.0,1.0,0.756,0.8,0.756,0.7961,20028.0
2020-02-24,0.7501,0.8,0.75,0.7538,8663.0,0.0,1.0,0.7501,0.8,0.75,0.7538,8663.0
2020-02-25,0.75,0.79,0.72,0.72,22050.0,0.0,1.0,0.75,0.79,0.72,0.72,22050.0
2020-02-26,0.73,0.7665,0.72,0.7583,22808.0,0.0,1.0,0.73,0.7665,0.72,0.7583,22808.0
2020-02-27,0.74,0.74,0.69,0.709,31099.0,0.0,1.0,0.74,0.74,0.69,0.709,31099.0
