Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.49,1.55,1.45,1.52,34943.0,0.0,1.0,1.49,1.55,1.45,1.52,34943.0
2020-01-03,1.5,1.55,1.5,1.52,18980.0,0.0,1.0,1.5,1.55,1.5,1.52,18980.0
2020-01-06,1.51,1.6,1.51,1.5725,57759.0,0.0,1.0,1.51,1.6,1.51,1.5725,57759.0
2020-01-07,1.6028,1.6028,1.53,1.53,28141.0,0.0,1.0,1.6028,1.6028,1.53,1.53,28141.0
2020-01-08,1.69,1.69,1.51,1.51,12624.0,0.0,1.0,1.69,1.69,1.51,1.51,12624.0
2020-01-09,1.52,1.5529,1.52,1.5403,5964.0,0.0,1.0,1.52,1.5529,1.52,1.5403,5964.0
2020-01-10,1.53,1.59,1.5,1.5,25226.0,0.0,1.0,1.53,1.59,1.5,1.5,25226.0
2020-01-13,1.51,1.53,1.51,1.53,3194.0,0.0,1.0,1.51,1.53,1.51,1.53,3194.0
2020-01-14,1.55,1.57,1.54,1.54,10628.0,0.0,1.0,1.55,1.57,1.54,1.54,10628.0
2020-01-15,1.55,1.5896,1.5,1.5,16820.0,0.0,1.0,1.55,1.5896,1.5,1.5,16820.0
2020-01-16,1.49,1.56,1.49,1.51,1108.0,0.0,1.0,1.49,1.56,1.49,1.51,1108.0
2020-01-17,1.513,1.52,1.5,1.52,5674.0,0.0,1.0,1.513,1.52,1.5,1.52,5674.0
2020-01-21,1.5,1.53,1.48,1.53,9455.0,0.0,1.0,1.5,1.53,1.48,1.53,9455.0
2020-01-22,1.54,1.54,1.43,1.53,13260.0,0.0,1.0,1.54,1.54,1.43,1.53,13260.0
2020-01-23,1.52,1.52,1.45,1.45,3438.0,0.0,1.0,1.52,1.52,1.45,1.45,3438.0
2020-01-24,1.47,1.55,1.4663,1.49,3136.0,0.0,1.0,1.47,1.55,1.4663,1.49,3136.0
2020-01-27,1.5,1.5005,1.46,1.46,15309.0,0.0,1.0,1.5,1.5005,1.46,1.46,15309.0
2020-01-28,1.4919,1.4919,1.4,1.45,7078.0,0.0,1.0,1.4919,1.4919,1.4,1.45,7078.0
2020-01-29,1.45,1.45,1.3553,1.38,18026.0,0.0,1.0,1.45,1.45,1.3553,1.38,18026.0
2020-01-30,1.38,1.44,1.34,1.41,19204.0,0.0,1.0,1.38,1.44,1.34,1.41,19204.0
2020-01-31,1.4094,1.45,1.37,1.4,29089.0,0.0,1.0,1.4094,1.45,1.37,1.4,29089.0
2020-02-03,1.4,1.51,1.37,1.37,22674.0,0.0,1.0,1.4,1.51,1.37,1.37,22674.0
2020-02-04,1.4,1.4899,1.36,1.46,43415.0,0.0,1.0,1.4,1.4899,1.36,1.46,43415.0
2020-02-05,1.42,1.51,1.4128,1.51,19125.0,0.0,1.0,1.42,1.51,1.4128,1.51,19125.0
2020-02-06,1.511,1.52,1.37,1.46,39326.0,0.0,1.0,1.511,1.52,1.37,1.46,39326.0
2020-02-07,1.43,1.46,1.43,1.46,521.0,0.0,1.0,1.43,1.46,1.43,1.46,521.0
2020-02-10,1.43,1.53,1.37,1.47,48963.0,0.0,1.0,1.43,1.53,1.37,1.47,48963.0
2020-02-11,1.46,1.63,1.46,1.56,20680.0,0.0,1.0,1.46,1.63,1.46,1.56,20680.0
2020-02-12,1.58,1.58,1.46,1.46,30386.0,0.0,1.0,1.58,1.58,1.46,1.46,30386.0
2020-02-13,1.42,1.5268,1.42,1.49,11049.0,0.0,1.0,1.42,1.5268,1.42,1.49,11049.0
2020-02-14,1.46,1.5183,1.4506,1.47,10869.0,0.0,1.0,1.46,1.5183,1.4506,1.47,10869.0
2020-02-18,1.44,1.49,1.38,1.45,7679.0,0.0,1.0,1.44,1.49,1.38,1.45,7679.0
2020-02-19,1.435,1.46,1.41,1.44,18035.0,0.0,1.0,1.435,1.46,1.41,1.44,18035.0
2020-02-20,1.41,1.5,1.41,1.49,19626.0,0.0,1.0,1.41,1.5,1.41,1.49,19626.0
2020-02-21,1.5,1.5073,1.4083,1.49,23716.0,0.0,1.0,1.5,1.5073,1.4083,1.49,23716.0
2020-02-24,1.4,1.5,1.4,1.47,6711.0,0.0,1.0,1.4,1.5,1.4,1.47,6711.0
2020-02-25,1.505,1.512,1.4066,1.48,1792.0,0.0,1.0,1.505,1.512,1.4066,1.48,1792.0
2020-02-26,1.4926,1.4926,1.44,1.47,4048.0,0.0,1.0,1.4926,1.4926,1.44,1.47,4048.0
2020-02-27,1.4573,1.505,1.44,1.45,4777.0,0.0,1.0,1.4573,1.505,1.44,1.45,4777.0
2020-02-28,1.38,1.48,1.35,1.39,53399.0,0.0,1.0,1.38,1.48,1.35,1.39,53399.0
2020-03-02,1.36,1.5,1.36,1.4,26212.0,0.0,1.0,1.36,1.5,1.36,1.4,26212.0
