Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-08,1.1,2.0,1.01,1.35,60475.0,0.0,1.0,1.1,2.0,1.01,1.35,60475.0
2020-10-09,1.45,1.75,1.21,1.2299,44456.0,0.0,1.0,1.45,1.75,1.21,1.2299,44456.0
2020-10-12,1.29,1.38,1.29,1.33,44908.0,0.0,1.0,1.29,1.38,1.29,1.33,44908.0
2020-10-13,1.3,1.75,1.28,1.5,39062.0,0.0,1.0,1.3,1.75,1.28,1.5,39062.0
2020-10-14,1.6,1.6,1.25,1.3,13938.0,0.0,1.0,1.6,1.6,1.25,1.3,13938.0
2020-10-15,1.3,1.45,1.3,1.39,3590.0,0.0,1.0,1.3,1.45,1.3,1.39,3590.0
2020-10-16,1.415,1.415,1.34,1.35,8863.0,0.0,1.0,1.415,1.415,1.34,1.35,8863.0
2020-10-19,1.3,1.31,1.22,1.2411,21009.0,0.0,1.0,1.3,1.31,1.22,1.2411,21009.0
2020-10-20,1.23,1.28,1.23,1.277,19212.0,0.0,1.0,1.23,1.28,1.23,1.277,19212.0
2020-10-21,1.35,1.4,1.23,1.23,8763.0,0.0,1.0,1.35,1.4,1.23,1.23,8763.0
2020-10-22,1.25,1.42,1.25,1.35,2645.0,0.0,1.0,1.25,1.42,1.25,1.35,2645.0
2020-10-23,1.26,1.2601,1.23,1.23,18361.0,0.0,1.0,1.26,1.2601,1.23,1.23,18361.0
2020-10-26,1.23,1.25,0.96,1.03,65958.0,0.0,1.0,1.23,1.25,0.96,1.03,65958.0
2020-10-27,1.08,1.15,1.08,1.1,9303.0,0.0,1.0,1.08,1.15,1.08,1.1,9303.0
2020-10-28,1.1,1.1,1.0,1.0,2653.0,0.0,1.0,1.1,1.1,1.0,1.0,2653.0
2020-10-29,1.05,1.05,1.0,1.0,9746.0,0.0,1.0,1.05,1.05,1.0,1.0,9746.0
2020-10-30,1.01,1.05,1.0,1.01,4123.0,0.0,1.0,1.01,1.05,1.0,1.01,4123.0
2020-11-02,1.01,1.0101,0.98,0.99,7963.0,0.0,1.0,1.01,1.0101,0.98,0.99,7963.0
2020-11-03,0.99,1.05,0.99,1.05,3903.0,0.0,1.0,0.99,1.05,0.99,1.05,3903.0
2020-11-04,1.05,1.05,1.05,1.05,4400.0,0.0,1.0,1.05,1.05,1.05,1.05,4400.0
2020-11-05,1.0,1.0,0.985,0.9998,19198.0,0.0,1.0,1.0,1.0,0.985,0.9998,19198.0
2020-11-06,1.0,1.05,0.986,1.05,31450.0,0.0,1.0,1.0,1.05,0.986,1.05,31450.0
2020-11-09,1.08,1.15,1.0,1.0,14354.0,0.0,1.0,1.08,1.15,1.0,1.0,14354.0
2020-11-10,1.0,1.0,1.0,1.0,436.0,0.0,1.0,1.0,1.0,1.0,1.0,436.0
2020-11-11,1.07,1.15,1.07,1.08,7294.0,0.0,1.0,1.07,1.15,1.07,1.08,7294.0
2020-11-12,1.15,1.15,1.07,1.07,9575.0,0.0,1.0,1.15,1.15,1.07,1.07,9575.0
2020-11-13,1.143,1.143,1.08,1.14,3973.0,0.0,1.0,1.143,1.143,1.08,1.14,3973.0
2020-11-16,1.0,1.1,0.98,1.082,25568.0,0.0,1.0,1.0,1.1,0.98,1.082,25568.0
2020-11-17,1.1,1.12,1.03,1.03,10810.0,0.0,1.0,1.1,1.12,1.03,1.03,10810.0
2020-11-18,1.04,1.1,1.03,1.0999,15009.0,0.0,1.0,1.04,1.1,1.03,1.0999,15009.0
2020-11-19,1.1,1.15,1.0555,1.15,65902.0,0.0,1.0,1.1,1.15,1.0555,1.15,65902.0
2020-11-20,1.15,1.3698,1.15,1.35,58078.0,0.0,1.0,1.15,1.3698,1.15,1.35,58078.0
2020-11-23,1.37,1.5,1.25,1.3,63009.0,0.0,1.0,1.37,1.5,1.25,1.3,63009.0
2020-11-24,1.3,1.5,1.26,1.27,117598.0,0.0,1.0,1.3,1.5,1.26,1.27,117598.0
2020-11-25,1.27,1.5,1.27,1.28,42875.0,0.0,1.0,1.27,1.5,1.27,1.28,42875.0
2020-11-27,1.32,1.47,1.28,1.32,45738.0,0.0,1.0,1.32,1.47,1.28,1.32,45738.0
2020-11-30,1.38,1.5,1.25,1.32,145598.0,0.0,1.0,1.38,1.5,1.25,1.32,145598.0
2020-12-01,1.4,1.49,1.36,1.399,76705.0,0.0,1.0,1.4,1.49,1.36,1.399,76705.0
2020-12-02,1.36,1.5,1.35,1.4,34795.0,0.0,1.0,1.36,1.5,1.35,1.4,34795.0
2020-12-03,1.5,1.5,1.33,1.33,96500.0,0.0,1.0,1.5,1.5,1.33,1.33,96500.0
2020-12-04,2.76,4.49,2.76,4.09,4552316.0,0.0,1.0,2.76,4.49,2.76,4.09,4552316.0
2020-12-07,3.79,3.87,3.25,3.58,1082107.0,0.0,1.0,3.79,3.87,3.25,3.58,1082107.0
2020-12-08,3.66,3.86,3.11,3.26,850098.0,0.0,1.0,3.66,3.86,3.11,3.26,850098.0
2020-12-09,3.4,3.54,3.01,3.26,471195.0,0.0,1.0,3.4,3.54,3.01,3.26,471195.0
2020-12-10,3.3,3.82,3.09,3.7,683147.0,0.0,1.0,3.3,3.82,3.09,3.7,683147.0
2020-12-11,3.85,4.07,3.25,3.85,560219.0,0.0,1.0,3.85,4.07,3.25,3.85,560219.0
2020-12-14,4.0,4.0,3.53,3.74,546751.0,0.0,1.0,4.0,4.0,3.53,3.74,546751.0
2020-12-15,4.0,4.0,3.4,3.76,332717.0,0.0,1.0,4.0,4.0,3.4,3.76,332717.0
2020-12-16,3.4,3.83,3.4,3.72,86370.0,0.0,1.0,3.4,3.83,3.4,3.72,86370.0
