Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-13,0.5,0.5,0.5,0.5,100.0,0.0,1.0,0.5,0.5,0.5,0.5,100.0
2020-11-16,0.49,0.49,0.49,0.49,500.0,0.0,1.0,0.49,0.49,0.49,0.49,500.0
2020-11-17,0.49,0.49,0.49,0.49,0.0,0.0,1.0,0.49,0.49,0.49,0.49,0.0
2020-11-18,0.49,0.49,0.49,0.49,0.0,0.0,1.0,0.49,0.49,0.49,0.49,0.0
2020-11-19,0.65,2.79,0.65,1.11,2922.0,0.0,1.0,0.65,2.79,0.65,1.11,2922.0
2020-11-20,0.84,1.2,0.82,1.2,2131.0,0.0,1.0,0.84,1.2,0.82,1.2,2131.0
2020-11-23,1.2,1.2,1.2,1.2,12.0,0.0,1.0,1.2,1.2,1.2,1.2,12.0
2020-11-24,1.2,1.2,1.0,1.05,3147.0,0.0,1.0,1.2,1.2,1.0,1.05,3147.0
2020-11-25,1.05,1.1,1.0,1.07,105704.0,0.0,1.0,1.05,1.1,1.0,1.07,105704.0
2020-11-27,1.12,1.12,1.0,1.05,264039.0,0.0,1.0,1.12,1.12,1.0,1.05,264039.0
2020-11-30,1.05,1.05,1.05,1.05,0.0,0.0,1.0,1.05,1.05,1.05,1.05,0.0
2020-12-01,1.15,1.445,1.11,1.2242,70069.0,0.0,1.0,1.15,1.445,1.11,1.2242,70069.0
2020-12-02,1.2,1.25,1.15,1.16,24302.0,0.0,1.0,1.2,1.25,1.15,1.16,24302.0
2020-12-03,1.24,1.25,1.12,1.12,111438.0,0.0,1.0,1.24,1.25,1.12,1.12,111438.0
2020-12-04,1.3,1.3,1.15,1.2,114219.0,0.0,1.0,1.3,1.3,1.15,1.2,114219.0
2020-12-07,1.37,1.95,1.2,1.28,55732.0,0.0,1.0,1.37,1.95,1.2,1.28,55732.0
2020-12-08,1.49,1.5,1.23,1.26,54032.0,0.0,1.0,1.49,1.5,1.23,1.26,54032.0
2020-12-09,1.49,1.49,1.32,1.36,28580.0,0.0,1.0,1.49,1.49,1.32,1.36,28580.0
2020-12-10,1.36,1.6399,1.35,1.44,7716.0,0.0,1.0,1.36,1.6399,1.35,1.44,7716.0
2020-12-11,1.55,1.55,1.4498,1.4899,37351.0,0.0,1.0,1.55,1.55,1.4498,1.4899,37351.0
2020-12-14,1.5199,1.56,1.4428,1.45,53970.0,0.0,1.0,1.5199,1.56,1.4428,1.45,53970.0
2020-12-15,1.45,1.47,1.35,1.37,71351.0,0.0,1.0,1.45,1.47,1.35,1.37,71351.0
2020-12-16,1.4196,1.44,1.38,1.38,47119.0,0.0,1.0,1.4196,1.44,1.38,1.38,47119.0
2020-12-17,1.45,1.45,1.4186,1.42,41734.0,0.0,1.0,1.45,1.45,1.4186,1.42,41734.0
2020-12-18,1.4498,1.45,1.38,1.43,63848.0,0.0,1.0,1.4498,1.45,1.38,1.43,63848.0
2020-12-21,1.45,1.53,1.42,1.44,98557.0,0.0,1.0,1.45,1.53,1.42,1.44,98557.0
2020-12-22,1.55,1.75,1.477,1.5,102113.0,0.0,1.0,1.55,1.75,1.477,1.5,102113.0
2020-12-23,1.63,1.63,1.46,1.4999,110233.0,0.0,1.0,1.63,1.63,1.46,1.4999,110233.0
2020-12-24,1.5,1.6,1.5,1.53,45229.0,0.0,1.0,1.5,1.6,1.5,1.53,45229.0
2020-12-28,1.7,2.0,1.5453,1.8501,153914.0,0.0,1.0,1.7,2.0,1.5453,1.8501,153914.0
2020-12-29,1.94,1.94,1.62,1.62,40308.0,0.0,1.0,1.94,1.94,1.62,1.62,40308.0
2020-12-30,1.62,1.66,1.55,1.65,42598.0,0.0,1.0,1.62,1.66,1.55,1.65,42598.0
2020-12-31,1.65,1.71,1.6,1.635,31239.0,0.0,1.0,1.65,1.71,1.6,1.635,31239.0
