Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.53,4.55,3.82,4.08,2738925.0,0.0,1.0,4.53,4.55,3.82,4.08,2738925.0
2020-01-03,3.95,4.19,3.84,4.07,1338109.0,0.0,1.0,3.95,4.19,3.84,4.07,1338109.0
2020-01-06,4.17,4.18,3.3831,3.47,2407180.0,0.0,1.0,4.17,4.18,3.3831,3.47,2407180.0
2020-01-07,3.5,3.64,3.5,3.52,655089.0,0.0,1.0,3.5,3.64,3.5,3.52,655089.0
2020-01-08,3.5,3.6,3.31,3.45,1028774.0,0.0,1.0,3.5,3.6,3.31,3.45,1028774.0
2020-01-09,3.44,3.59,3.25,3.35,1354914.0,0.0,1.0,3.44,3.59,3.25,3.35,1354914.0
2020-01-10,3.32,3.52,3.16,3.46,770628.0,0.0,1.0,3.32,3.52,3.16,3.46,770628.0
2020-01-13,3.43,3.9433,3.27,3.87,1163980.0,0.0,1.0,3.43,3.9433,3.27,3.87,1163980.0
2020-01-14,3.8,3.85,3.4604,3.64,1217877.0,0.0,1.0,3.8,3.85,3.4604,3.64,1217877.0
2020-01-15,3.6,4.0,3.55,3.78,592154.0,0.0,1.0,3.6,4.0,3.55,3.78,592154.0
2020-01-16,3.78,3.82,3.66,3.77,435149.0,0.0,1.0,3.78,3.82,3.66,3.77,435149.0
2020-01-17,3.77,3.95,3.72,3.75,362980.0,0.0,1.0,3.77,3.95,3.72,3.75,362980.0
2020-01-21,3.75,3.8,3.46,3.5,418930.0,0.0,1.0,3.75,3.8,3.46,3.5,418930.0
2020-01-22,3.54,3.59,3.33,3.49,477338.0,0.0,1.0,3.54,3.59,3.33,3.49,477338.0
2020-01-23,3.45,3.476,3.25,3.34,342636.0,0.0,1.0,3.45,3.476,3.25,3.34,342636.0
2020-01-24,3.32,3.39,3.03,3.14,533449.0,0.0,1.0,3.32,3.39,3.03,3.14,533449.0
2020-01-27,3.1,3.23,3.04,3.13,244465.0,0.0,1.0,3.1,3.23,3.04,3.13,244465.0
2020-01-28,3.13,3.28,3.13,3.19,193501.0,0.0,1.0,3.13,3.28,3.13,3.19,193501.0
2020-01-29,3.19,3.22,2.86,2.93,365504.0,0.0,1.0,3.19,3.22,2.86,2.93,365504.0
2020-01-30,2.92,3.05,2.8,2.87,324886.0,0.0,1.0,2.92,3.05,2.8,2.87,324886.0
2020-01-31,2.85,2.92,2.57,2.62,516573.0,0.0,1.0,2.85,2.92,2.57,2.62,516573.0
2020-02-03,2.58,2.72,2.5,2.66,320684.0,0.0,1.0,2.58,2.72,2.5,2.66,320684.0
2020-02-04,2.65,2.65,2.22,2.24,644407.0,0.0,1.0,2.65,2.65,2.22,2.24,644407.0
2020-02-05,2.28,2.58,2.28,2.48,816068.0,0.0,1.0,2.28,2.58,2.28,2.48,816068.0
2020-02-06,2.52,2.5499,2.26,2.28,395931.0,0.0,1.0,2.52,2.5499,2.26,2.28,395931.0
2020-02-07,2.25,2.3,2.17,2.18,340102.0,0.0,1.0,2.25,2.3,2.17,2.18,340102.0
2020-02-10,2.16,2.2735,2.16,2.18,318536.0,0.0,1.0,2.16,2.2735,2.16,2.18,318536.0
2020-02-11,2.21,2.39,2.16,2.33,580713.0,0.0,1.0,2.21,2.39,2.16,2.33,580713.0
2020-02-12,2.33,2.6213,2.33,2.54,597448.0,0.0,1.0,2.33,2.6213,2.33,2.54,597448.0
