Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.76,1.83,1.65,1.65,196289.0,0.0,1.0,1.76,1.83,1.65,1.65,196289.0
2020-01-03,1.67,1.7,1.61,1.64,82862.0,0.0,1.0,1.67,1.7,1.61,1.64,82862.0
2020-01-06,1.62,1.66,1.59,1.6,44035.0,0.0,1.0,1.62,1.66,1.59,1.6,44035.0
2020-01-07,1.6,1.62,1.51,1.51,106696.0,0.0,1.0,1.6,1.62,1.51,1.51,106696.0
2020-01-08,1.52,1.54,1.5,1.5,21629.0,0.0,1.0,1.52,1.54,1.5,1.5,21629.0
2020-01-09,1.5,1.62,1.43,1.56,257927.0,0.0,1.0,1.5,1.62,1.43,1.56,257927.0
2020-01-10,1.57,1.63,1.53,1.53,179978.0,0.0,1.0,1.57,1.63,1.53,1.53,179978.0
2020-01-13,1.54,1.579,1.52,1.53,45953.0,0.0,1.0,1.54,1.579,1.52,1.53,45953.0
2020-01-14,1.52,1.57,1.52,1.52,65138.0,0.0,1.0,1.52,1.57,1.52,1.52,65138.0
2020-01-15,1.53,1.55,1.51,1.51,85760.0,0.0,1.0,1.53,1.55,1.51,1.51,85760.0
2020-01-16,1.53,1.655,1.53,1.64,197832.0,0.0,1.0,1.53,1.655,1.53,1.64,197832.0
2020-01-17,1.61,1.6407,1.58,1.6,167564.0,0.0,1.0,1.61,1.6407,1.58,1.6,167564.0
2020-01-21,1.57,1.6079,1.47,1.47,81631.0,0.0,1.0,1.57,1.6079,1.47,1.47,81631.0
2020-01-22,1.47,1.55,1.47,1.49,45608.0,0.0,1.0,1.47,1.55,1.47,1.49,45608.0
2020-01-23,1.5,1.54,1.47,1.51,38419.0,0.0,1.0,1.5,1.54,1.47,1.51,38419.0
2020-01-24,1.52,1.55,1.48,1.54,61242.0,0.0,1.0,1.52,1.55,1.48,1.54,61242.0
2020-01-27,1.52,1.52,1.45,1.49,29536.0,0.0,1.0,1.52,1.52,1.45,1.49,29536.0
2020-01-28,1.51,1.53,1.48,1.49,21889.0,0.0,1.0,1.51,1.53,1.48,1.49,21889.0
2020-01-29,1.51,1.51,1.46,1.47,22364.0,0.0,1.0,1.51,1.51,1.46,1.47,22364.0
2020-01-30,1.5,1.5,1.43,1.43,61327.0,0.0,1.0,1.5,1.5,1.43,1.43,61327.0
2020-01-31,1.44,1.46,1.425,1.44,51871.0,0.0,1.0,1.44,1.46,1.425,1.44,51871.0
2020-02-03,1.4237,1.569,1.42,1.49,259917.0,0.0,1.0,1.4237,1.569,1.42,1.49,259917.0
2020-02-04,1.47,1.48,1.4372,1.46,59538.0,0.0,1.0,1.47,1.48,1.4372,1.46,59538.0
2020-02-05,1.45,1.54,1.43,1.49,90108.0,0.0,1.0,1.45,1.54,1.43,1.49,90108.0
2020-02-06,1.51,1.51,1.455,1.47,50198.0,0.0,1.0,1.51,1.51,1.455,1.47,50198.0
2020-02-07,1.45,1.5,1.425,1.455,50844.0,0.0,1.0,1.45,1.5,1.425,1.455,50844.0
2020-02-10,1.45,1.45,1.415,1.44,21820.0,0.0,1.0,1.45,1.45,1.415,1.44,21820.0
2020-02-11,1.44,1.45,1.4,1.41,28134.0,0.0,1.0,1.44,1.45,1.4,1.41,28134.0
2020-02-12,1.41,1.42,1.35,1.36,34026.0,0.0,1.0,1.41,1.42,1.35,1.36,34026.0
2020-02-13,1.34,1.39,1.34,1.37,29340.0,0.0,1.0,1.34,1.39,1.34,1.37,29340.0
2020-02-14,1.37,1.38,1.32,1.34,33067.0,0.0,1.0,1.37,1.38,1.32,1.34,33067.0
2020-02-18,1.3245,1.37,1.3,1.36,29657.0,0.0,1.0,1.3245,1.37,1.3,1.36,29657.0
2020-02-19,1.3496,1.35,1.31,1.33,27613.0,0.0,1.0,1.3496,1.35,1.31,1.33,27613.0
2020-02-20,1.32,1.45,1.3003,1.38,131523.0,0.0,1.0,1.32,1.45,1.3003,1.38,131523.0
2020-02-21,1.39,1.39,1.3225,1.36,31280.0,0.0,1.0,1.39,1.39,1.3225,1.36,31280.0
2020-02-24,1.32,1.3375,1.1055,1.11,64325.0,0.0,1.0,1.32,1.3375,1.1055,1.11,64325.0
2020-02-25,1.15,1.2287,1.12,1.13,67442.0,0.0,1.0,1.15,1.2287,1.12,1.13,67442.0
2020-02-26,1.1,1.18,1.04,1.04,145131.0,0.0,1.0,1.1,1.18,1.04,1.04,145131.0
2020-02-27,1.025,1.0437,1.02,1.03,50220.0,0.0,1.0,1.025,1.0437,1.02,1.03,50220.0
2020-02-28,1.02,1.04,1.0,1.01,37429.0,0.0,1.0,1.02,1.04,1.0,1.01,37429.0
2020-03-02,1.06,1.26,1.0573,1.12,236820.0,0.0,1.0,1.06,1.26,1.0573,1.12,236820.0
2020-03-03,1.12,1.149,1.1,1.12,26986.0,0.0,1.0,1.12,1.149,1.1,1.12,26986.0
2020-03-04,1.13,1.15,1.11,1.1103,26471.0,0.0,1.0,1.13,1.15,1.11,1.1103,26471.0
2020-03-05,1.11,1.15,1.1,1.1155,5606.0,0.0,1.0,1.11,1.15,1.1,1.1155,5606.0
2020-03-06,1.1,1.12,1.08,1.08,11645.0,0.0,1.0,1.1,1.12,1.08,1.08,11645.0
2020-03-09,1.06,1.14,0.81,1.07,44406.0,0.0,1.0,1.06,1.14,0.81,1.07,44406.0
2020-03-10,1.09,1.09,1.06,1.0828,11825.0,0.0,1.0,1.09,1.09,1.06,1.0828,11825.0
2020-03-11,1.05,1.09,1.0,1.02,58002.0,0.0,1.0,1.05,1.09,1.0,1.02,58002.0
2020-03-12,0.97,1.03,0.9025,1.0,170337.0,0.0,1.0,0.97,1.03,0.9025,1.0,170337.0
2020-03-13,1.0,1.06,1.0,1.0174,55759.0,0.0,1.0,1.0,1.06,1.0,1.0174,55759.0
2020-03-16,1.02,1.02,0.92,0.96,102533.0,0.0,1.0,1.02,1.02,0.92,0.96,102533.0
2020-03-17,1.02,1.02,0.942,0.98,5916.0,0.0,1.0,1.02,1.02,0.942,0.98,5916.0
2020-03-18,1.1,1.1,0.9,0.93,17406.0,0.0,1.0,1.1,1.1,0.9,0.93,17406.0
2020-03-19,0.9,1.0,0.89,1.0,28627.0,0.0,1.0,0.9,1.0,0.89,1.0,28627.0
2020-03-20,1.0,1.05,0.9503,1.04,3576.0,0.0,1.0,1.0,1.05,0.9503,1.04,3576.0
2020-03-23,0.995,0.995,0.94,0.95,26323.0,0.0,1.0,0.995,0.995,0.94,0.95,26323.0
2020-03-24,0.95,1.0,0.95,1.0,5925.0,0.0,1.0,0.95,1.0,0.95,1.0,5925.0
2020-03-25,1.0,1.02,0.95,0.9999,18713.0,0.0,1.0,1.0,1.02,0.95,0.9999,18713.0
2020-03-26,0.98,1.08,0.9,0.95,61648.0,0.0,1.0,0.98,1.08,0.9,0.95,61648.0
2020-03-27,0.95,0.998,0.95,0.998,2704.0,0.0,1.0,0.95,0.998,0.95,0.998,2704.0
2020-03-30,1.04,1.04,0.93,0.996,11578.0,0.0,1.0,1.04,1.04,0.93,0.996,11578.0
2020-03-31,1.0,1.05,0.9333,1.05,22889.0,0.0,1.0,1.0,1.05,0.9333,1.05,22889.0
2020-04-01,1.04,1.05,0.93,1.0499,5520.0,0.0,1.0,1.04,1.05,0.93,1.0499,5520.0
2020-04-02,1.03,1.03,0.9249,0.939899,19025.0,0.0,1.0,1.03,1.03,0.9249,0.939899,19025.0
