Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.14,7.255,6.89,7.02,416996.0,0.0,1.0,7.14,7.255,6.89,7.02,416996.0
2020-01-03,6.93,7.04,6.78,6.97,412919.0,0.0,1.0,6.93,7.04,6.78,6.97,412919.0
2020-01-06,6.93,6.97,6.84,6.96,399002.0,0.0,1.0,6.93,6.97,6.84,6.96,399002.0
2020-01-07,6.96,7.06,6.77,7.02,350025.0,0.0,1.0,6.96,7.06,6.77,7.02,350025.0
2020-01-08,7.02,7.02,6.83,6.9,313101.0,0.0,1.0,7.02,7.02,6.83,6.9,313101.0
2020-01-09,6.84,7.16,6.84,7.16,251841.0,0.0,1.0,6.84,7.16,6.84,7.16,251841.0
2020-01-10,7.24,7.25,7.0,7.03,254861.0,0.0,1.0,7.24,7.25,7.0,7.03,254861.0
2020-01-13,7.0,7.0483,6.67,6.71,360752.0,0.0,1.0,7.0,7.0483,6.67,6.71,360752.0
2020-01-14,6.62,6.66,6.33,6.54,707413.0,0.0,1.0,6.62,6.66,6.33,6.54,707413.0
2020-01-15,6.54,6.62,6.37,6.49,361605.0,0.0,1.0,6.54,6.62,6.37,6.49,361605.0
2020-01-16,6.48,6.83,6.48,6.68,269876.0,0.0,1.0,6.48,6.83,6.48,6.68,269876.0
2020-01-17,6.69,6.88,6.6804,6.79,411920.0,0.0,1.0,6.69,6.88,6.6804,6.79,411920.0
2020-01-21,6.82,6.82,6.51,6.52,371932.0,0.0,1.0,6.82,6.82,6.51,6.52,371932.0
2020-01-22,6.53,6.63,6.41,6.42,653951.0,0.0,1.0,6.53,6.63,6.41,6.42,653951.0
2020-01-23,6.39,6.45,6.31,6.35,424916.0,0.0,1.0,6.39,6.45,6.31,6.35,424916.0
2020-01-24,6.31,6.46,6.1,6.13,612435.0,0.0,1.0,6.31,6.46,6.1,6.13,612435.0
2020-01-27,6.01,6.25,5.83,6.2,569594.0,0.0,1.0,6.01,6.25,5.83,6.2,569594.0
2020-01-28,6.23,6.38,6.17,6.22,488082.0,0.0,1.0,6.23,6.38,6.17,6.22,488082.0
2020-01-29,6.31,6.42,6.145,6.2,310618.0,0.0,1.0,6.31,6.42,6.145,6.2,310618.0
2020-01-30,6.13,6.33,6.08,6.31,411061.0,0.0,1.0,6.13,6.33,6.08,6.31,411061.0
2020-01-31,6.23,6.24,6.07,6.19,378449.0,0.0,1.0,6.23,6.24,6.07,6.19,378449.0
2020-02-03,6.19,6.54,6.19,6.47,490506.0,0.0,1.0,6.19,6.54,6.19,6.47,490506.0
2020-02-04,6.57,6.68,6.22,6.26,599615.0,0.0,1.0,6.57,6.68,6.22,6.26,599615.0
2020-02-05,6.27,6.39,6.215,6.25,156460.0,0.0,1.0,6.27,6.39,6.215,6.25,156460.0
2020-02-06,6.27,6.37,6.15,6.27,246402.0,0.0,1.0,6.27,6.37,6.15,6.27,246402.0
2020-02-07,6.2,6.3606,6.16,6.35,285366.0,0.0,1.0,6.2,6.3606,6.16,6.35,285366.0
2020-02-10,6.3,6.42,6.245,6.31,316495.0,0.0,1.0,6.3,6.42,6.245,6.31,316495.0
2020-02-11,6.28,6.34,6.08,6.25,307650.0,0.0,1.0,6.28,6.34,6.08,6.25,307650.0
2020-02-12,6.33,6.44,6.25,6.37,173728.0,0.0,1.0,6.33,6.44,6.25,6.37,173728.0
2020-02-13,6.26,6.32,6.07,6.25,401202.0,0.0,1.0,6.26,6.32,6.07,6.25,401202.0
2020-02-14,6.28,6.34,6.12,6.32,228970.0,0.0,1.0,6.28,6.34,6.12,6.32,228970.0
2020-02-18,6.3,6.41,6.17,6.22,270365.0,0.0,1.0,6.3,6.41,6.17,6.22,270365.0
2020-02-19,6.24,6.35,6.19,6.22,334034.0,0.0,1.0,6.24,6.35,6.19,6.22,334034.0
2020-02-20,6.19,6.58,6.19,6.42,419373.0,0.0,1.0,6.19,6.58,6.19,6.42,419373.0
2020-02-21,6.36,6.56,6.35,6.43,309617.0,0.0,1.0,6.36,6.56,6.35,6.43,309617.0
2020-02-24,6.26,6.3,6.085,6.18,297678.0,0.0,1.0,6.26,6.3,6.085,6.18,297678.0
2020-02-25,6.21,6.21,5.89,5.95,748964.0,0.0,1.0,6.21,6.21,5.89,5.95,748964.0
2020-02-26,5.93,6.12,5.69,5.7,711472.0,0.0,1.0,5.93,6.12,5.69,5.7,711472.0
2020-02-27,5.61,5.725,5.42,5.51,1014315.0,0.0,1.0,5.61,5.725,5.42,5.51,1014315.0
2020-02-28,5.37,5.77,5.31,5.61,858927.0,0.0,1.0,5.37,5.77,5.31,5.61,858927.0
2020-03-02,5.61,5.8,5.495,5.77,843145.0,0.0,1.0,5.61,5.8,5.495,5.77,843145.0
2020-03-03,5.77,6.04,5.77,5.88,642434.0,0.0,1.0,5.77,6.04,5.77,5.88,642434.0
2020-03-04,5.95,6.17,5.9,6.09,881660.0,0.0,1.0,5.95,6.17,5.9,6.09,881660.0
2020-03-05,5.94,6.1799,5.83,6.09,658819.0,0.0,1.0,5.94,6.1799,5.83,6.09,658819.0
2020-03-06,5.92,6.13,5.68,5.72,750086.0,0.0,1.0,5.92,6.13,5.68,5.72,750086.0
2020-03-09,5.17,5.44,4.73,4.74,843877.0,0.0,1.0,5.17,5.44,4.73,4.74,843877.0
2020-03-10,5.01,5.385,4.9,5.3,637869.0,0.0,1.0,5.01,5.385,4.9,5.3,637869.0
2020-03-11,5.16,5.23,4.91,5.02,696985.0,0.0,1.0,5.16,5.23,4.91,5.02,696985.0
2020-03-12,4.78,5.04,4.57,4.64,1335970.0,0.0,1.0,4.78,5.04,4.57,4.64,1335970.0
2020-03-13,4.99,5.01,4.68,4.78,562856.0,0.0,1.0,4.99,5.01,4.68,4.78,562856.0
2020-03-16,4.44,4.56,4.04,4.17,430687.0,0.0,1.0,4.44,4.56,4.04,4.17,430687.0
2020-03-17,4.26,4.71,4.16,4.69,799701.0,0.0,1.0,4.26,4.71,4.16,4.69,799701.0
2020-03-18,4.37,4.5,3.8,4.13,536152.0,0.0,1.0,4.37,4.5,3.8,4.13,536152.0
2020-03-19,4.08,4.33,3.95,4.1,480495.0,0.0,1.0,4.08,4.33,3.95,4.1,480495.0
2020-03-20,4.1,4.35,3.97,4.06,366178.0,0.0,1.0,4.1,4.35,3.97,4.06,366178.0
2020-03-23,4.0,4.0999,3.72,3.84,462226.0,0.0,1.0,4.0,4.0999,3.72,3.84,462226.0
2020-03-24,3.98,4.43,3.91,4.38,385531.0,0.0,1.0,3.98,4.43,3.91,4.38,385531.0
2020-03-25,4.39,4.75,4.19,4.68,354452.0,0.0,1.0,4.39,4.75,4.19,4.68,354452.0
2020-03-26,4.6,5.06,4.04,4.52,773468.0,0.0,1.0,4.6,5.06,4.04,4.52,773468.0
2020-03-27,4.25,4.48,4.085,4.19,490464.0,0.0,1.0,4.25,4.48,4.085,4.19,490464.0
2020-03-30,4.44,4.44,4.06,4.17,167957.0,0.0,1.0,4.44,4.44,4.06,4.17,167957.0
2020-03-31,4.2,4.745,4.2,4.6,256587.0,0.0,1.0,4.2,4.745,4.2,4.6,256587.0
2020-04-01,4.5,4.565,4.35,4.47,151741.0,0.0,1.0,4.5,4.565,4.35,4.47,151741.0
2020-04-02,4.5,4.73,4.41,4.51,241873.0,0.0,1.0,4.5,4.73,4.41,4.51,241873.0
2020-04-03,4.72,4.83,4.4,4.74,339975.0,0.0,1.0,4.72,4.83,4.4,4.74,339975.0
2020-04-06,5.01,5.11,4.765,4.81,416801.0,0.0,1.0,5.01,5.11,4.765,4.81,416801.0
2020-04-07,4.87,5.16,4.7,4.76,325068.0,0.0,1.0,4.87,5.16,4.7,4.76,325068.0
2020-04-08,4.65,4.97,4.65,4.88,199245.0,0.0,1.0,4.65,4.97,4.65,4.88,199245.0
2020-04-09,4.88,5.11,4.59,4.62,339143.0,0.0,1.0,4.88,5.11,4.59,4.62,339143.0
2020-04-13,4.58,4.7,4.36,4.46,335467.0,0.0,1.0,4.58,4.7,4.36,4.46,335467.0
2020-04-14,4.37,4.74,4.37,4.52,371814.0,0.0,1.0,4.37,4.74,4.37,4.52,371814.0
2020-04-15,4.38,4.6,4.29,4.49,391940.0,0.0,1.0,4.38,4.6,4.29,4.49,391940.0
2020-04-16,4.61,4.61,4.349,4.51,257555.0,0.0,1.0,4.61,4.61,4.349,4.51,257555.0
2020-04-17,4.47,4.68,4.42,4.48,125016.0,0.0,1.0,4.47,4.68,4.42,4.48,125016.0
2020-04-20,4.39,4.63,4.29,4.34,346510.0,0.0,1.0,4.39,4.63,4.29,4.34,346510.0
2020-04-21,4.2,4.37,4.12,4.29,265917.0,0.0,1.0,4.2,4.37,4.12,4.29,265917.0
2020-04-22,4.37,4.49,4.18,4.18,326993.0,0.0,1.0,4.37,4.49,4.18,4.18,326993.0
2020-04-23,4.28,4.47,4.2042,4.41,346529.0,0.0,1.0,4.28,4.47,4.2042,4.41,346529.0
2020-04-24,4.43,4.56,4.23,4.27,268943.0,0.0,1.0,4.43,4.56,4.23,4.27,268943.0
2020-04-27,4.285,4.31,4.09,4.23,303289.0,0.0,1.0,4.285,4.31,4.09,4.23,303289.0
2020-04-28,4.35,4.48,4.23,4.33,358313.0,0.0,1.0,4.35,4.48,4.23,4.33,358313.0
2020-04-29,4.49,4.63,4.44,4.6,313428.0,0.0,1.0,4.49,4.63,4.44,4.6,313428.0
2020-04-30,4.5,4.7,4.41,4.58,381659.0,0.0,1.0,4.5,4.7,4.41,4.58,381659.0
2020-05-01,4.57,4.59,4.165,4.28,298555.0,0.0,1.0,4.57,4.59,4.165,4.28,298555.0
2020-05-04,4.3,4.45,4.12,4.37,483601.0,0.0,1.0,4.3,4.45,4.12,4.37,483601.0
2020-05-05,4.55,4.61,4.15,4.27,618768.0,0.0,1.0,4.55,4.61,4.15,4.27,618768.0
2020-05-06,4.27,4.45,4.12,4.29,490093.0,0.0,1.0,4.27,4.45,4.12,4.29,490093.0
2020-05-07,4.4,4.56,4.255,4.51,397166.0,0.0,1.0,4.4,4.56,4.255,4.51,397166.0
2020-05-08,4.44,4.86,4.44,4.7,305249.0,0.0,1.0,4.44,4.86,4.44,4.7,305249.0
2020-05-11,4.73,5.13,4.59,5.1,116485.0,0.0,1.0,4.73,5.13,4.59,5.1,116485.0
2020-05-12,5.28,5.41,5.12,5.17,214616.0,0.0,1.0,5.28,5.41,5.12,5.17,214616.0
2020-05-13,5.17,5.17,4.83,4.88,193947.0,0.0,1.0,5.17,5.17,4.83,4.88,193947.0
2020-05-14,4.8,5.3,4.69,5.3,177152.0,0.0,1.0,4.8,5.3,4.69,5.3,177152.0
2020-05-15,5.25,5.45,5.18,5.18,181926.0,0.0,1.0,5.25,5.45,5.18,5.18,181926.0
2020-05-18,5.59,6.08,5.31,5.45,225597.0,0.0,1.0,5.59,6.08,5.31,5.45,225597.0
2020-05-19,5.45,5.55,5.2763,5.37,99873.0,0.0,1.0,5.45,5.55,5.2763,5.37,99873.0
2020-05-20,5.53,5.7,5.18,5.31,157107.0,0.0,1.0,5.53,5.7,5.18,5.31,157107.0
2020-05-21,5.42,5.66,5.2,5.66,255811.0,0.0,1.0,5.42,5.66,5.2,5.66,255811.0
2020-05-22,5.71,5.72,5.36,5.66,181920.0,0.0,1.0,5.71,5.72,5.36,5.66,181920.0
2020-05-26,5.6,5.85,5.51,5.61,183557.0,0.0,1.0,5.6,5.85,5.51,5.61,183557.0
2020-05-27,5.64,5.78,5.34,5.53,71045.0,0.0,1.0,5.64,5.78,5.34,5.53,71045.0
2020-05-28,5.5,5.59,5.29,5.36,99315.0,0.0,1.0,5.5,5.59,5.29,5.36,99315.0
2020-05-29,5.28,5.47,5.17,5.37,184402.0,0.0,1.0,5.28,5.47,5.17,5.37,184402.0
2020-06-01,5.37,5.6,5.315,5.6,88595.0,0.0,1.0,5.37,5.6,5.315,5.6,88595.0
2020-06-02,5.75,5.97,5.65,5.97,169988.0,0.0,1.0,5.75,5.97,5.65,5.97,169988.0
2020-06-03,5.97,6.01,5.69,5.75,274646.0,0.0,1.0,5.97,6.01,5.69,5.75,274646.0
2020-06-04,5.7,5.97,5.7,5.87,150128.0,0.0,1.0,5.7,5.97,5.7,5.87,150128.0
2020-06-05,5.95,6.23,5.95,6.22,310110.0,0.0,1.0,5.95,6.23,5.95,6.22,310110.0
2020-06-08,6.16,6.65,6.16,6.54,255632.0,0.0,1.0,6.16,6.65,6.16,6.54,255632.0
2020-06-09,6.53,6.53,6.12,6.21,253468.0,0.0,1.0,6.53,6.53,6.12,6.21,253468.0
2020-06-10,6.03,6.13,5.91,5.99,242225.0,0.0,1.0,6.03,6.13,5.91,5.99,242225.0
2020-06-11,5.63,5.85,5.45,5.47,197170.0,0.0,1.0,5.63,5.85,5.45,5.47,197170.0
2020-06-12,5.46,5.72,5.38,5.64,155414.0,0.0,1.0,5.46,5.72,5.38,5.64,155414.0
2020-06-15,5.45,5.66,5.45,5.5,106665.0,0.0,1.0,5.45,5.66,5.45,5.5,106665.0
2020-06-16,5.45,5.82,5.45,5.62,106248.0,0.0,1.0,5.45,5.82,5.45,5.62,106248.0
2020-06-17,5.55,5.68,5.49,5.55,82592.0,0.0,1.0,5.55,5.68,5.49,5.55,82592.0
2020-06-18,5.48,5.63,5.16,5.19,273064.0,0.0,1.0,5.48,5.63,5.16,5.19,273064.0
2020-06-19,5.36,5.62,5.33,5.5,91187.0,0.0,1.0,5.36,5.62,5.33,5.5,91187.0
2020-06-22,5.41,5.47,5.19,5.24,84655.0,0.0,1.0,5.41,5.47,5.19,5.24,84655.0
2020-06-23,5.29,5.62,5.27,5.53,83630.0,0.0,1.0,5.29,5.62,5.27,5.53,83630.0
2020-06-24,5.44,5.48,5.3234,5.36,56210.0,0.0,1.0,5.44,5.48,5.3234,5.36,56210.0
2020-06-25,5.3,5.81,5.3,5.81,105322.0,0.0,1.0,5.3,5.81,5.3,5.81,105322.0
2020-06-26,5.81,5.94,5.56,5.64,71382.0,0.0,1.0,5.81,5.94,5.56,5.64,71382.0
2020-06-29,5.6,5.85,5.6,5.72,74419.0,0.0,1.0,5.6,5.85,5.6,5.72,74419.0
2020-06-30,5.69,5.73,5.36,5.63,259458.0,0.0,1.0,5.69,5.73,5.36,5.63,259458.0
2020-07-01,5.55,5.76,5.53,5.6,195296.0,0.0,1.0,5.55,5.76,5.53,5.6,195296.0
2020-07-02,5.66,5.71,5.32,5.34,114784.0,0.0,1.0,5.66,5.71,5.32,5.34,114784.0
2020-07-06,5.79,6.25,5.6701,6.19,263598.0,0.0,1.0,5.79,6.25,5.6701,6.19,263598.0
2020-07-07,6.1,6.13,5.76,5.76,108175.0,0.0,1.0,6.1,6.13,5.76,5.76,108175.0
2020-07-08,5.83,6.04,5.71,5.94,111831.0,0.0,1.0,5.83,6.04,5.71,5.94,111831.0
2020-07-09,5.95,5.97,5.64,5.69,90104.0,0.0,1.0,5.95,5.97,5.64,5.69,90104.0
2020-07-10,5.62,5.87,5.62,5.72,52668.0,0.0,1.0,5.62,5.87,5.62,5.72,52668.0
2020-07-13,5.67,6.04,5.67,5.85,98956.0,0.0,1.0,5.67,6.04,5.67,5.85,98956.0
2020-07-14,5.75,5.86,5.6,5.81,89644.0,0.0,1.0,5.75,5.86,5.6,5.81,89644.0
2020-07-15,5.75,5.96,5.75,5.9,162729.0,0.0,1.0,5.75,5.96,5.75,5.9,162729.0
2020-07-16,5.8,5.91,5.66,5.72,95830.0,0.0,1.0,5.8,5.91,5.66,5.72,95830.0
2020-07-17,5.66,5.885,5.45,5.51,141443.0,0.0,1.0,5.66,5.885,5.45,5.51,141443.0
2020-07-20,5.45,5.58,5.41,5.48,79431.0,0.0,1.0,5.45,5.58,5.41,5.48,79431.0
2020-07-21,5.44,5.88,5.44,5.84,133252.0,0.0,1.0,5.44,5.88,5.44,5.84,133252.0
2020-07-22,5.85,6.02,5.66,5.91,300763.0,0.0,1.0,5.85,6.02,5.66,5.91,300763.0
2020-07-23,5.98,6.25,5.82,6.04,204630.0,0.0,1.0,5.98,6.25,5.82,6.04,204630.0
2020-07-24,6.12,6.18,5.94,6.17,76061.0,0.0,1.0,6.12,6.18,5.94,6.17,76061.0
2020-07-27,6.12,6.28,5.95,5.95,168871.0,0.0,1.0,6.12,6.28,5.95,5.95,168871.0
2020-07-28,6.02,6.02,5.58,5.6,218465.0,0.0,1.0,6.02,6.02,5.58,5.6,218465.0
2020-07-29,5.55,5.79,5.55,5.75,43976.0,0.0,1.0,5.55,5.79,5.55,5.75,43976.0
2020-07-30,5.62,5.92,5.46,5.84,109161.0,0.0,1.0,5.62,5.92,5.46,5.84,109161.0
2020-07-31,5.84,5.84,5.53,5.62,158697.0,0.0,1.0,5.84,5.84,5.53,5.62,158697.0
2020-08-03,5.56,6.36,5.405,6.32,306701.0,0.0,1.0,5.56,6.36,5.405,6.32,306701.0
2020-08-04,6.48,6.77,6.36,6.56,263778.0,0.0,1.0,6.48,6.77,6.36,6.56,263778.0
2020-08-05,6.62,6.74,6.21,6.27,224136.0,0.0,1.0,6.62,6.74,6.21,6.27,224136.0
2020-08-06,6.18,6.305,6.07,6.07,163595.0,0.0,1.0,6.18,6.305,6.07,6.07,163595.0
2020-08-07,5.94,6.08,5.88,5.93,94320.0,0.0,1.0,5.94,6.08,5.88,5.93,94320.0
2020-08-10,5.84,6.12,5.64,5.74,321992.0,0.0,1.0,5.84,6.12,5.64,5.74,321992.0
2020-08-11,5.69,5.76,5.53,5.56,146345.0,0.0,1.0,5.69,5.76,5.53,5.56,146345.0
2020-08-12,5.54,5.594,5.21,5.3,345301.0,0.0,1.0,5.54,5.594,5.21,5.3,345301.0
2020-08-13,5.3,5.6,5.24,5.35,276028.0,0.0,1.0,5.3,5.6,5.24,5.35,276028.0
2020-08-14,5.33,5.33,5.16,5.2,265478.0,0.0,1.0,5.33,5.33,5.16,5.2,265478.0
2020-08-17,5.27,5.27,4.92,5.02,174953.0,0.0,1.0,5.27,5.27,4.92,5.02,174953.0
2020-08-18,4.99,5.05,4.9,4.9,126978.0,0.0,1.0,4.99,5.05,4.9,4.9,126978.0
2020-08-19,4.82,5.01,4.81,4.84,152815.0,0.0,1.0,4.82,5.01,4.81,4.84,152815.0
2020-08-20,4.78,4.87,4.76,4.8,127054.0,0.0,1.0,4.78,4.87,4.76,4.8,127054.0
2020-08-21,4.76,5.0,4.7,4.75,290712.0,0.0,1.0,4.76,5.0,4.7,4.75,290712.0
2020-08-24,4.72,4.84,4.55,4.68,300831.0,0.0,1.0,4.72,4.84,4.55,4.68,300831.0
2020-08-25,4.64,4.6799,4.48,4.54,687279.0,0.0,1.0,4.64,4.6799,4.48,4.54,687279.0
2020-08-26,4.55,4.74,4.48,4.49,497326.0,0.0,1.0,4.55,4.74,4.48,4.49,497326.0
2020-08-27,4.41,4.82,4.39,4.41,580974.0,0.0,1.0,4.41,4.82,4.39,4.41,580974.0
