Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.454787,0.5,0.4,0.5,16221.0,0.0,1.0,0.454787,0.5,0.4,0.5,16221.0
2020-01-03,0.51,0.6,0.480049,0.5,29221.0,0.0,1.0,0.51,0.6,0.480049,0.5,29221.0
2020-01-06,0.5248,0.5248,0.5,0.51,9598.0,0.0,1.0,0.5248,0.5248,0.5,0.51,9598.0
2020-01-07,0.53,0.530155,0.53,0.53,12815.0,0.0,1.0,0.53,0.530155,0.53,0.53,12815.0
2020-01-08,0.55,0.57,0.55,0.55,12434.0,0.0,1.0,0.55,0.57,0.55,0.55,12434.0
2020-01-09,0.58,0.65,0.565,0.6069,46036.0,0.0,1.0,0.58,0.65,0.565,0.6069,46036.0
2020-01-10,0.6,0.73,0.6,0.69,101180.0,0.0,1.0,0.6,0.73,0.6,0.69,101180.0
2020-01-13,0.76,0.79,0.6,0.773281,141152.0,0.0,1.0,0.76,0.79,0.6,0.773281,141152.0
2020-01-14,0.8,0.8,0.7,0.72,44941.0,0.0,1.0,0.8,0.8,0.7,0.72,44941.0
2020-01-15,0.76,0.86,0.74,0.74,9633.0,0.0,1.0,0.76,0.86,0.74,0.74,9633.0
2020-01-16,0.7,0.7761,0.589268,0.6601,39692.0,0.0,1.0,0.7,0.7761,0.589268,0.6601,39692.0
2020-01-17,0.7,0.71,0.69,0.69,19923.0,0.0,1.0,0.7,0.71,0.69,0.69,19923.0
2020-01-21,0.6889,0.72,0.68,0.688,14874.0,0.0,1.0,0.6889,0.72,0.68,0.688,14874.0
2020-01-22,0.6889,0.73,0.68,0.6999,21653.0,0.0,1.0,0.6889,0.73,0.68,0.6999,21653.0
2020-01-23,0.7,0.9,0.7,0.88,57570.0,0.0,1.0,0.7,0.9,0.7,0.88,57570.0
2020-01-24,0.95,1.03,0.8844,0.960084,59893.0,0.0,1.0,0.95,1.03,0.8844,0.960084,59893.0
2020-01-27,0.93,1.0,0.56,0.98,84950.0,0.0,1.0,0.93,1.0,0.56,0.98,84950.0
2020-01-28,0.7407,1.0,0.7407,0.8183,45209.0,0.0,1.0,0.7407,1.0,0.7407,0.8183,45209.0
2020-01-29,0.8423,1.0,0.84,0.994438,19809.0,0.0,1.0,0.8423,1.0,0.84,0.994438,19809.0
2020-01-30,0.9975,1.05,0.945,1.05,29393.0,0.0,1.0,0.9975,1.05,0.945,1.05,29393.0
2020-01-31,1.04,1.24,1.04,1.22,33868.0,0.0,1.0,1.04,1.24,1.04,1.22,33868.0
2020-02-03,1.3791,1.4,1.12,1.33,25575.0,0.0,1.0,1.3791,1.4,1.12,1.33,25575.0
2020-02-04,1.3,1.9,1.3,1.82,90742.0,0.0,1.0,1.3,1.9,1.3,1.82,90742.0
2020-02-05,1.97,2.38,1.76,1.77,343656.0,0.0,1.0,1.97,2.38,1.76,1.77,343656.0
2020-02-06,1.49,1.72,1.0,1.12,182157.0,0.0,1.0,1.49,1.72,1.0,1.12,182157.0
2020-02-07,1.22,1.26,1.09,1.1437,36825.0,0.0,1.0,1.22,1.26,1.09,1.1437,36825.0
2020-02-10,1.19,1.23,1.15,1.1673,17149.0,0.0,1.0,1.19,1.23,1.15,1.1673,17149.0
2020-02-11,1.2,1.3752,1.18,1.3752,47398.0,0.0,1.0,1.2,1.3752,1.18,1.3752,47398.0
2020-02-12,1.39,1.3986,1.34,1.3833,25255.0,0.0,1.0,1.39,1.3986,1.34,1.3833,25255.0
2020-02-13,1.44,1.44,1.2,1.2,3938.0,0.0,1.0,1.44,1.44,1.2,1.2,3938.0
2020-02-14,1.23,1.385,1.15,1.385,22608.0,0.0,1.0,1.23,1.385,1.15,1.385,22608.0
