Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.99,7.99,7.59,7.73,203679.0,0.0,1.0,7.99,7.99,7.59,7.73,203679.0
2020-01-03,7.6,7.87,7.55,7.64,339381.0,0.0,1.0,7.6,7.87,7.55,7.64,339381.0
2020-01-06,7.71,7.78,7.63,7.69,442363.0,0.0,1.0,7.71,7.78,7.63,7.69,442363.0
2020-01-07,7.65,7.825,7.62,7.7,245160.0,0.0,1.0,7.65,7.825,7.62,7.7,245160.0
2020-01-08,7.7,7.97,7.673,7.74,301216.0,0.0,1.0,7.7,7.97,7.673,7.74,301216.0
2020-01-09,7.73,7.81,7.43,7.58,242649.0,0.0,1.0,7.73,7.81,7.43,7.58,242649.0
2020-01-10,7.59,7.66,7.42,7.49,271258.0,0.0,1.0,7.59,7.66,7.42,7.49,271258.0
2020-01-13,7.54,7.65,7.38,7.52,230859.0,0.0,1.0,7.54,7.65,7.38,7.52,230859.0
2020-01-14,7.53,7.65,7.4454,7.51,257850.0,0.0,1.0,7.53,7.65,7.4454,7.51,257850.0
2020-01-15,7.45,7.51,7.35,7.43,202009.0,0.0,1.0,7.45,7.51,7.35,7.43,202009.0
2020-01-16,7.49,7.55,7.235,7.45,264351.0,0.0,1.0,7.49,7.55,7.235,7.45,264351.0
2020-01-17,7.48,7.6588,7.35,7.4,237649.0,0.0,1.0,7.48,7.6588,7.35,7.4,237649.0
2020-01-21,7.46,7.47,7.11,7.23,195201.0,0.0,1.0,7.46,7.47,7.11,7.23,195201.0
2020-01-22,7.31,7.33,7.08,7.15,134753.0,0.0,1.0,7.31,7.33,7.08,7.15,134753.0
2020-01-23,6.98,7.0149,6.5,6.72,390120.0,0.0,1.0,6.98,7.0149,6.5,6.72,390120.0
2020-01-24,6.72,6.72,6.25,6.43,391775.0,0.0,1.0,6.72,6.72,6.25,6.43,391775.0
2020-01-27,6.3,6.3,6.02,6.1,398475.0,0.0,1.0,6.3,6.3,6.02,6.1,398475.0
2020-01-28,6.12,6.38,6.12,6.28,197967.0,0.0,1.0,6.12,6.38,6.12,6.28,197967.0
2020-01-29,6.32,6.41,6.185,6.21,170704.0,0.0,1.0,6.32,6.41,6.185,6.21,170704.0
2020-01-30,6.21,6.38,6.16,6.37,151645.0,0.0,1.0,6.21,6.38,6.16,6.37,151645.0
2020-01-31,6.26,6.46,6.19,6.38,303933.0,0.0,1.0,6.26,6.46,6.19,6.38,303933.0
2020-02-03,6.39,6.45,6.3,6.34,215711.0,0.0,1.0,6.39,6.45,6.3,6.34,215711.0
2020-02-04,6.51,6.57,6.38,6.4,148225.0,0.0,1.0,6.51,6.57,6.38,6.4,148225.0
2020-02-05,6.39,6.73,6.39,6.7,191489.0,0.0,1.0,6.39,6.73,6.39,6.7,191489.0
2020-02-06,6.71,6.78,6.46,6.55,475633.0,0.0,1.0,6.71,6.78,6.46,6.55,475633.0
2020-02-07,6.42,6.42,6.07,6.08,249476.0,0.0,1.0,6.42,6.42,6.07,6.08,249476.0
2020-02-10,6.07,6.1,5.81,5.82,220371.0,0.0,1.0,6.07,6.1,5.81,5.82,220371.0
2020-02-11,6.0,6.12,5.85,5.93,221273.0,0.0,1.0,6.0,6.12,5.85,5.93,221273.0
2020-02-12,6.12,6.2,5.89,5.93,154581.0,0.0,1.0,6.12,6.2,5.89,5.93,154581.0
2020-02-13,5.87,5.91,5.67,5.78,158843.0,0.0,1.0,5.87,5.91,5.67,5.78,158843.0
2020-02-14,5.86,5.86,5.72,5.84,155208.0,0.0,1.0,5.86,5.86,5.72,5.84,155208.0
2020-02-18,5.78,5.84,5.56,5.67,124113.0,0.0,1.0,5.78,5.84,5.56,5.67,124113.0
2020-02-19,5.7,5.86,5.7,5.76,127919.0,0.0,1.0,5.7,5.86,5.7,5.76,127919.0
2020-02-20,5.84,5.96,5.56,5.62,192080.0,0.0,1.0,5.84,5.96,5.56,5.62,192080.0
2020-02-21,5.5,5.57,5.05,5.42,338461.0,0.0,1.0,5.5,5.57,5.05,5.42,338461.0
2020-02-24,5.35,5.59,5.165,5.56,223349.0,0.0,1.0,5.35,5.59,5.165,5.56,223349.0
2020-02-25,5.52,5.585,5.25,5.31,252608.0,0.0,1.0,5.52,5.585,5.25,5.31,252608.0
2020-02-26,5.3,5.47,5.14,5.28,252052.0,0.0,1.0,5.3,5.47,5.14,5.28,252052.0
2020-02-27,5.1,5.45,5.0,5.08,391944.0,0.0,1.0,5.1,5.45,5.0,5.08,391944.0
2020-02-28,5.0,5.27,4.91,5.07,435624.0,0.0,1.0,5.0,5.27,4.91,5.07,435624.0
2020-03-02,5.22,5.37,4.91,5.26,318867.0,0.0,1.0,5.22,5.37,4.91,5.26,318867.0
2020-03-03,5.33,5.46,5.05,5.2,319229.0,0.0,1.0,5.33,5.46,5.05,5.2,319229.0
2020-03-04,5.33,5.49,5.21,5.44,260923.0,0.0,1.0,5.33,5.49,5.21,5.44,260923.0
2020-03-05,5.3,5.36,5.17,5.29,239808.0,0.0,1.0,5.3,5.36,5.17,5.29,239808.0
2020-03-06,5.04,5.345,5.0,5.06,312233.0,0.0,1.0,5.04,5.345,5.0,5.06,312233.0
