Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.49,2.54,2.37,2.39,117433.0,0.0,1.0,2.49,2.54,2.37,2.39,117433.0
2020-01-03,2.36,2.4606,2.31,2.46,103048.0,0.0,1.0,2.36,2.4606,2.31,2.46,103048.0
2020-01-06,2.37,2.53,2.37,2.51,7888.0,0.0,1.0,2.37,2.53,2.37,2.51,7888.0
2020-01-07,2.53,2.61,2.53,2.6,18623.0,0.0,1.0,2.53,2.61,2.53,2.6,18623.0
2020-01-08,2.38,2.6,2.37,2.52,19912.0,0.0,1.0,2.38,2.6,2.37,2.52,19912.0
2020-01-09,2.53,2.62,2.51,2.56,53963.0,0.0,1.0,2.53,2.62,2.51,2.56,53963.0
2020-01-10,2.6249,2.6249,2.44,2.44,119181.0,0.0,1.0,2.6249,2.6249,2.44,2.44,119181.0
2020-01-13,2.41,2.42,2.33,2.39,55049.0,0.0,1.0,2.41,2.42,2.33,2.39,55049.0
2020-01-14,2.3601,2.4101,2.3601,2.38,15660.0,0.0,1.0,2.3601,2.4101,2.3601,2.38,15660.0
2020-01-15,2.37,2.425,2.37,2.4,25087.0,0.0,1.0,2.37,2.425,2.37,2.4,25087.0
2020-01-16,2.39,2.54,2.39,2.4,187406.0,0.0,1.0,2.39,2.54,2.39,2.4,187406.0
2020-01-17,2.46,2.46,2.4,2.4,39462.0,0.0,1.0,2.46,2.46,2.4,2.4,39462.0
2020-01-21,2.39,2.39,2.25,2.29,41150.0,0.0,1.0,2.39,2.39,2.25,2.29,41150.0
2020-01-22,2.28,2.3438,2.26,2.26,25248.0,0.0,1.0,2.28,2.3438,2.26,2.26,25248.0
2020-01-23,2.25,2.3,2.25,2.25,17744.0,0.0,1.0,2.25,2.3,2.25,2.25,17744.0
2020-01-24,2.25,2.25,2.13,2.2,75756.0,0.0,1.0,2.25,2.25,2.13,2.2,75756.0
2020-01-27,2.12,2.12,2.0307,2.04,29543.0,0.0,1.0,2.12,2.12,2.0307,2.04,29543.0
