Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.04,3.06,2.95,3.04,13472.0,0.0,1.0,3.04,3.06,2.95,3.04,13472.0
2020-01-03,3.0,3.05,2.98,3.0,21530.0,0.0,1.0,3.0,3.05,2.98,3.0,21530.0
2020-01-06,3.0,3.09,2.98,3.09,4737.0,0.0,1.0,3.0,3.09,2.98,3.09,4737.0
2020-01-07,3.0523,3.08,3.01,3.08,3394.0,0.0,1.0,3.0523,3.08,3.01,3.08,3394.0
2020-01-08,3.0,3.13,2.96,3.09,25262.0,0.0,1.0,3.0,3.13,2.96,3.09,25262.0
2020-01-09,3.0705,3.09,3.05,3.0501,8507.0,0.0,1.0,3.0705,3.09,3.05,3.0501,8507.0
2020-01-10,3.0653,3.1,3.05,3.07,15013.0,0.0,1.0,3.0653,3.1,3.05,3.07,15013.0
2020-01-13,3.08,3.15,3.08,3.135,19490.0,0.0,1.0,3.08,3.15,3.08,3.135,19490.0
2020-01-14,3.1245,3.14,3.09,3.11,11649.0,0.0,1.0,3.1245,3.14,3.09,3.11,11649.0
2020-01-15,3.08,3.35,3.05,3.29,21808.0,0.0,1.0,3.08,3.35,3.05,3.29,21808.0
2020-01-16,3.23,3.29,3.18,3.28,13983.0,0.0,1.0,3.23,3.29,3.18,3.28,13983.0
2020-01-17,3.3,3.337,3.3,3.3301,8002.0,0.0,1.0,3.3,3.337,3.3,3.3301,8002.0
2020-01-21,3.33,3.33,3.2427,3.28,15617.0,0.0,1.0,3.33,3.33,3.2427,3.28,15617.0
2020-01-22,3.26,3.33,3.25,3.2503,9789.0,0.0,1.0,3.26,3.33,3.25,3.2503,9789.0
2020-01-23,3.33,3.44,3.31,3.43,14712.0,0.0,1.0,3.33,3.44,3.31,3.43,14712.0
2020-01-24,3.47,3.47,3.35,3.38,21216.0,0.0,1.0,3.47,3.47,3.35,3.38,21216.0
2020-01-27,3.37,3.37,3.3,3.3,14751.0,0.0,1.0,3.37,3.37,3.3,3.3,14751.0
2020-01-28,3.27,3.34,3.26,3.34,7729.0,0.0,1.0,3.27,3.34,3.26,3.34,7729.0
2020-01-29,3.335,3.335,3.28,3.3,3937.0,0.0,1.0,3.335,3.335,3.28,3.3,3937.0
2020-01-30,3.315,3.315,3.27,3.27,16067.0,0.0,1.0,3.315,3.315,3.27,3.27,16067.0
2020-01-31,3.32,3.325,3.3,3.3,14342.0,0.0,1.0,3.32,3.325,3.3,3.3,14342.0
2020-02-03,3.3,3.33,3.2527,3.26,12592.0,0.0,1.0,3.3,3.33,3.2527,3.26,12592.0
2020-02-04,3.306,3.306,3.27,3.27,1323.0,0.0,1.0,3.306,3.306,3.27,3.27,1323.0
2020-02-05,3.31,3.36,3.2427,3.35,18897.0,0.0,1.0,3.31,3.36,3.2427,3.35,18897.0
2020-02-06,3.4,3.4,3.33,3.34,7065.0,0.0,1.0,3.4,3.4,3.33,3.34,7065.0
2020-02-07,3.31,3.4,3.3,3.33,14266.0,0.0,1.0,3.31,3.4,3.3,3.33,14266.0
2020-02-10,3.3,3.45,3.3,3.435,14202.0,0.0,1.0,3.3,3.45,3.3,3.435,14202.0
2020-02-11,3.37,3.44,3.37,3.44,11857.0,0.0,1.0,3.37,3.44,3.37,3.44,11857.0
2020-02-12,3.45,3.58,3.45,3.5527,19864.0,0.0,1.0,3.45,3.58,3.45,3.5527,19864.0
2020-02-13,3.5928,3.6,3.52,3.57,5911.0,0.0,1.0,3.5928,3.6,3.52,3.57,5911.0
2020-02-14,3.5,3.57,3.5,3.54,12324.0,0.0,1.0,3.5,3.57,3.5,3.54,12324.0
2020-02-18,3.5525,3.57,3.5427,3.5427,4873.0,0.0,1.0,3.5525,3.57,3.5427,3.5427,4873.0
2020-02-19,3.5,3.55,3.5,3.51,1967.0,0.0,1.0,3.5,3.55,3.5,3.51,1967.0
2020-02-20,3.55,3.57,3.53,3.54,1090.0,0.0,1.0,3.55,3.57,3.53,3.54,1090.0
2020-02-21,3.57,3.6,3.54,3.6,11564.0,0.0,1.0,3.57,3.6,3.54,3.6,11564.0
2020-02-24,3.52,3.5425,3.38,3.43,14796.0,0.0,1.0,3.52,3.5425,3.38,3.43,14796.0
2020-02-25,3.39,3.5,3.3701,3.42,74513.0,0.0,1.0,3.39,3.5,3.3701,3.42,74513.0
2020-02-26,3.41,3.52,3.37,3.5,64490.0,0.0,1.0,3.41,3.52,3.37,3.5,64490.0
2020-02-27,3.39,3.43,3.3,3.37,5018.0,0.0,1.0,3.39,3.43,3.3,3.37,5018.0
2020-02-28,3.3,3.34,3.2,3.29,42116.0,0.0,1.0,3.3,3.34,3.2,3.29,42116.0
2020-03-02,3.2642,3.27,3.235,3.24,4331.0,0.0,1.0,3.2642,3.27,3.235,3.24,4331.0
2020-03-03,3.194,3.2,3.0,3.0,52813.0,0.0,1.0,3.194,3.2,3.0,3.0,52813.0
2020-03-04,3.0999,3.1,3.04,3.05,6831.0,0.0,1.0,3.0999,3.1,3.04,3.05,6831.0
2020-03-05,3.01,3.01,2.95,2.99,14411.0,0.0,1.0,3.01,3.01,2.95,2.99,14411.0
2020-03-06,2.98,2.98,2.85,2.85,9365.0,0.0,1.0,2.98,2.98,2.85,2.85,9365.0
2020-03-09,2.7839,2.85,2.54,2.57,12307.0,0.0,1.0,2.7839,2.85,2.54,2.57,12307.0
2020-03-10,2.63,2.66,2.5,2.5439,14717.0,0.0,1.0,2.63,2.66,2.5,2.5439,14717.0
2020-03-11,2.55,2.6,2.25,2.26,48909.0,0.0,1.0,2.55,2.6,2.25,2.26,48909.0
2020-03-12,2.17,2.23,1.35,1.73,113770.0,0.0,1.0,2.17,2.23,1.35,1.73,113770.0
2020-03-13,1.83,1.97,1.83,1.88,32715.0,0.0,1.0,1.83,1.97,1.83,1.88,32715.0
2020-03-16,1.97,2.05,1.55,1.55,23829.0,0.0,1.0,1.97,2.05,1.55,1.55,23829.0
2020-03-17,1.63,1.69,1.63,1.66,3628.0,0.0,1.0,1.63,1.69,1.63,1.66,3628.0
2020-03-18,1.71,1.7107,1.46,1.57,22267.0,0.0,1.0,1.71,1.7107,1.46,1.57,22267.0
2020-03-19,1.4601,1.57,1.34,1.5,37906.0,0.0,1.0,1.4601,1.57,1.34,1.5,37906.0
2020-03-20,1.4001,1.455,1.25,1.35,62230.0,0.0,1.0,1.4001,1.455,1.25,1.35,62230.0
2020-03-23,1.37,1.4101,1.25,1.31,27195.0,0.0,1.0,1.37,1.4101,1.25,1.31,27195.0
2020-03-24,1.4,1.414,1.27,1.27,42489.0,0.0,1.0,1.4,1.414,1.27,1.27,42489.0
2020-03-25,1.3899,2.24,1.36,1.77,145308.0,0.0,1.0,1.3899,2.24,1.36,1.77,145308.0
2020-03-26,1.8,2.2,1.8,2.09,26126.0,0.0,1.0,1.8,2.2,1.8,2.09,26126.0
2020-03-27,2.16,2.16,1.9,1.99,20912.0,0.0,1.0,2.16,2.16,1.9,1.99,20912.0
2020-03-30,1.91,1.91,1.8,1.83,22216.0,0.0,1.0,1.91,1.91,1.8,1.83,22216.0
2020-03-31,1.75,1.835,1.75,1.82,9362.0,0.0,1.0,1.75,1.835,1.75,1.82,9362.0
2020-04-01,1.71,1.71,1.52,1.54,45818.0,0.0,1.0,1.71,1.71,1.52,1.54,45818.0
2020-04-02,1.53,1.7801,1.52,1.69,18115.0,0.0,1.0,1.53,1.7801,1.52,1.69,18115.0
2020-04-03,1.59,1.79,1.59,1.79,18861.0,0.0,1.0,1.59,1.79,1.59,1.79,18861.0
2020-04-06,1.68,1.96,1.68,1.86,17101.0,0.0,1.0,1.68,1.96,1.68,1.86,17101.0
2020-04-07,2.03,2.11,1.78,1.9,32007.0,0.0,1.0,2.03,2.11,1.78,1.9,32007.0
